@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2-4,7,9,11'

@attribute FWidth numeric
@attribute FSize numeric
@attribute FConc numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
136.031,4.0612,0.0374,-64.858,76.96,g
17.3565,3.0332,0.2529,38.0957,4.792,g
13.7595,2.5521,0.4236,20.456,0.812,g
15.1993,2.5786,0.3377,43.8771,7.875,g
29.9104,3.3331,0.2475,57.5848,9.9144,g
16.46,2.4385,0.5282,-6.5401,11.461,g
15.9235,2.6906,0.3262,26.1095,2.572,g
18.9149,2.5422,0.3759,20.242,19.3719,g
15.1674,2.4338,0.523,16.0316,4.7998,g
10.9058,2.1021,0.7431,-6.2434,42.2408,g
36.8235,3.8026,0.1508,60.9768,2.643,g
19.6402,2.8429,0.3747,29.1531,8.376,g
23.0735,2.9914,0.3182,63.076,4.029,g
12.5473,2.4099,0.4397,14.9018,4.1527,g
12.3164,2.57,0.393,20.673,23.123,g
8.8987,2.3181,0.6683,14.1032,27.014,g
19.8319,3.1041,0.2541,52.5046,0.45,g
17.1981,2.5804,0.4074,13.1053,40.3711,g
26.2233,3.5143,0.1958,46.5522,1.919,g
18.7033,2.6128,0.2561,33.7518,4.182,g
12.8584,2.534,0.5088,-14.9193,6.2472,g
20.0571,2.5224,0.5495,-15.0956,47.786,g
7.1383,2.081,0.722,-10.7906,28.79,g
27.6698,3.0824,0.2738,44.4184,3.9746,g
18.0011,2.9015,0.276,38.9838,2.926,g
25.8939,3.0586,0.2464,35.9762,8.44,g
15.8256,2.5938,0.4968,-20.7925,53.815,g
9.3478,2.2967,0.697,20.1723,75.3948,g
16.3152,2.8756,0.3023,72.2829,1.53,g
12.823,2.3531,0.51,14.0662,1.701,g
17.4136,2.9342,0.2641,42.7297,3.1218,g
15.3311,2.4822,0.5239,-16.1011,14.71,g
26.4199,3.3192,0.1654,60.8729,3.902,g
14.5395,2.634,0.446,12.5722,60.493,g
12.5141,2.4057,0.4676,-12.1122,81.2274,g
18.5575,2.9001,0.2605,29.7202,9.654,g
14.1032,2.8238,0.3781,26.0716,0.1899,g
11.9324,2.4829,0.4539,17.3649,10.7626,g
18.467,2.9834,0.267,-23.523,0.226,g
26.5122,3.7987,0.1644,65.7207,2.712,g
10.4762,2.3096,0.6275,-18.0061,79.4844,g
22.8597,3.0245,0.2108,46.4616,3.713,g
25.1598,3.0253,0.2047,51.7147,8.6575,g
38.0068,3.972,0.1395,70.3318,1.2669,g
33.0185,3.7827,0.1766,49.7881,2.5821,g
13.0214,2.8379,0.305,29.7617,5.173,g
14.2281,2.86,0.2747,24.9629,0.4341,g
9.5924,2.2742,0.6223,20.1332,30.652,g
18.443,2.9883,0.3225,16.2665,8.191,g
19.9578,2.9183,0.3186,59.3038,0.619,g
14.9414,2.7392,0.2753,-34.7392,2.0311,g
17.2949,2.7271,0.3824,20.6289,20.244,g
7.2301,2.1287,0.7509,-11.1057,17.9072,g
14.9132,2.5434,0.5694,17.6908,5.736,g
17.9057,2.5152,0.3481,23.8404,14.4579,g
19.2324,2.5257,0.4292,-12.248,44.407,g
47.7498,4.3035,0.0795,78.7445,1.102,g
12.9439,2.7427,0.3436,78.7654,9.4384,g
19.7858,3.1119,0.2048,30.0402,8.372,g
18.5827,2.8058,0.3393,51.479,4.6368,g
35.4074,3.3729,0.2466,54.667,3.5171,g
17.3722,2.7903,0.3274,13.7674,24.196,g
6.2012,2.2822,0.799,-18.1344,27.282,g
9.2855,2.2553,0.6167,12.3937,79.283,g
30.2821,3.4572,0.1309,58.3096,11.476,g
13.7589,2.5289,0.5118,-14.7138,1.318,g
11.5202,2.0774,0.728,-7.1802,21.21,g
18.6597,2.7189,0.2598,7.5009,8.262,g
20.3468,2.6299,0.3001,24.3449,7.038,g
11.088,2.179,0.5563,-4.1781,3.5463,g
20.5728,3.0434,0.2371,28.694,18.3976,g
15.1941,2.3444,0.371,22.9021,9.323,g
18.1856,2.596,0.3676,-6.9606,9.868,g
12.2039,2.3473,0.4719,8.8387,35.801,g
16.4034,2.6566,0.4432,29.3381,12.3195,g
13.2289,2.4893,0.5835,19.4601,55.7262,g
12.5906,2.2601,0.6044,-10.6821,16.7407,g
87.8861,4.2992,0.0557,108.53,8.6871,g
26.3231,3.321,0.1848,61.2763,9.428,g
14.2909,2.6599,0.5208,-8.2872,0.9412,g
18.1427,2.7239,0.3551,-20.9941,22.241,g
16.1373,2.6464,0.4582,14.1317,10.4419,g
40.4397,4.1952,0.0746,90.6989,0.3,g
20.3297,2.8768,0.3001,28.5441,34.644,g
11.9191,2.1945,0.6901,10.0027,19.242,g
16.4149,2.6646,0.4177,17.5575,9.5021,g
18.2304,3.2549,0.2652,77.7848,4.4339,g
9.1402,2.29,0.641,-13.0801,10.8031,g
24.4913,2.8779,0.2689,10.2877,12.098,g
16.9771,2.5403,0.3746,4.7362,0.0276,g
12.5616,2.5045,0.4789,-10.1706,16.42,g
19.8202,2.4676,0.3407,7.8058,25.505,g
22.7859,3.4214,0.1804,51.7055,0.109,g
9.0044,2.2718,0.6791,13.3154,37.1081,g
42.6959,3.8212,0.1509,59.0818,2.17,g
17.8324,2.5763,0.3422,5.304,16.948,g
15.9605,2.7408,0.347,23.5295,36.3065,g
29.0826,3.6816,0.1884,63.0953,2.2059,g
32.6492,3.5602,0.1729,75.2937,1.5563,g
29.885,3.6743,0.1573,70.974,3.6974,g
11.2402,2.4624,0.7172,-21.3665,18.0262,g
11.9532,2.6201,0.3957,28.6082,0.598,g
12.7878,2.4464,0.5689,17.6538,40.0066,g
29.1304,3.4371,0.1462,48.5874,4.1632,g
34.3795,3.2945,0.2548,-48.7222,0.908,g
12.2901,2.5775,0.5317,19.632,1.8023,g
19.1659,2.8567,0.3644,14.4997,9.37,g
22.9081,2.8552,0.2959,19.356,30.4393,g
24.8222,3.1237,0.2106,57.6858,2.1911,g
25.5873,2.7668,0.3234,17.5713,33.509,g
12.7271,2.6637,0.3536,-18.1295,8.1501,g
11.9714,2.4314,0.6444,3.5627,68.753,g
21.0822,2.7785,0.3264,42.4569,27.9849,g
24.1278,3.4958,0.1718,63.1573,0.709,g
10.5394,2.2028,0.79,4.5837,58.693,g
12.946,2.4616,0.5043,4.8579,53.922,g
25.5134,3.5567,0.1834,97.7039,2.72,g
21.7627,3.0941,0.2311,47.0683,8.993,g
28.7891,2.9823,0.1771,52.382,1.9667,g
17.8147,2.3222,0.6,13.7824,14.9307,g
12.3814,2.3253,0.5106,11.4313,62.678,g
12.8339,2.3454,0.4605,8.3106,30.5107,g
15.5947,2.499,0.4089,19.7074,1.5757,g
16.1465,2.5944,0.3715,-29.5069,1.2733,g
23.2082,2.7878,0.4189,-50.8812,2.135,g
25.6598,3.361,0.2265,96.8077,7.052,g
18.7783,2.7604,0.3455,26.5866,23.761,g
25.3763,3.3648,0.2236,-15.9668,0.8021,g
7.3288,2.1538,0.7649,-10.0917,80.2685,g
19.8555,3.2439,0.2144,-33.2638,3.5641,g
26.0154,3.2076,0.2709,51.1059,14.967,g
34.3084,3.3961,0.1189,57.7795,6.005,g
22.874,3.0925,0.2667,25.2934,4.521,g
17.7987,2.7271,0.3205,-37.4404,17.749,g
7.3055,2.1508,0.7279,-8.9312,45.009,g
17.1093,2.4541,0.6151,13.2628,58.159,g
10.3524,2.3865,0.7639,5.9192,0.764,g
11.8221,2.3444,0.6697,-8.6348,9.027,g
19.6882,3.0276,0.2572,54.625,0.436,g
13.3629,2.5391,0.5058,33.6985,11.03,g
15.0604,2.5723,0.415,23.5596,27.1409,g
15.7135,3.1726,0.2426,42.8062,2.553,g
13.1445,2.7024,0.4087,64.1095,7.3785,g
18.815,2.8176,0.3227,15.0154,12.3055,g
14.2671,2.7896,0.3539,30.4941,14.4244,g
16.1986,2.7372,0.2344,40.4711,8.8454,g
26.6571,3.548,0.1665,66.5324,1.1373,g
24.7136,2.757,0.273,31.5837,31.8731,g
10.6329,2.2923,0.602,19.8107,28.035,g
30.7225,3.578,0.1601,39.4275,7.6181,g
25.8946,3.0362,0.2042,-20.9438,6.2066,g
11.6358,2.1804,0.7129,8.9228,35.694,g
7.7414,2.4224,0.4726,-10.4886,10.8662,g
9.8345,2.3345,0.6667,13.2696,33.3598,g
45.3852,3.3989,0.1525,74.6123,3.144,g
21.6205,3.3506,0.2502,28.1556,1.705,g
12.5083,2.3454,0.4515,9.2222,13.2097,g
16.4904,2.9963,0.2602,13.9027,4.361,g
7.6662,2.415,0.6846,-15.7221,38.741,g
26.5315,3.3195,0.2314,78.6207,0.9581,g
6.6139,2.5353,0.5306,21.7595,1.207,g
12.2051,2.2989,0.6834,3.4973,21.3448,g
17.244,2.5244,0.3856,17.4499,2.0573,g
18.0167,2.8166,0.2578,38.1032,0.256,g
10.1583,2.281,0.6073,10.8606,42.612,g
13.6962,2.4878,0.3675,-37.1503,27.43,g
13.3644,2.4158,0.4952,-16.2021,14.3483,g
