@relation magic

@attribute FLength numeric
@attribute FM3Trans numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
32.7251,14.3703,30.129,g
16.5073,5.14,0.444,g
25.9155,10.3883,62.395,g
93.1864,21.0606,4.5743,g
39.8065,6.5527,8.9132,g
20.2153,10.8678,39.3447,g
38.3439,15.0117,11.7617,g
23.9404,-11.6143,1.7082,g
33.4997,14.4993,24.9095,g
50.0449,19.2442,69.094,g
48.35,11.8165,18.51,g
44.218,17.5626,18.537,g
35.9225,12.4547,2.969,g
22.8495,12.3876,35.283,g
24.593,14.6176,40.433,g
13.2918,-11.6262,58.693,g
88.3846,-10.9787,10.06,g
67.341,-11.9179,0.256,g
64.6222,-16.7046,1.667,g
70.0897,13.8367,0.662,g
72.656,-10.2505,11.6577,g
79.0219,13.507,1.202,g
68.9782,-17.5899,10.051,g
47.8173,-11.3102,2.529,g
84.2514,22.4562,11.124,g
29.7355,-12.6783,30.9438,g
19.9107,1.4623,8.044,g
18.1716,8.3141,33.8273,g
30.9901,-8.5442,28.919,g
48.0627,-6.4965,17.388,g
35.5154,-20.5402,26.577,g
19.5502,-10.0925,17.368,g
63.668,14.8164,11.4153,g
43.03,-19.3328,4.3534,g
85.1724,22.3726,1.778,g
22.0159,8.0787,55.1338,g
82.258,-15.4092,10.429,g
17.3004,6.0218,26.6657,g
22.2724,0.0001,46.1424,g
30.6543,-8.0913,42.632,g
41.0149,-7.1876,6.297,g
31.6036,-9.9574,6.3609,g
26.6249,11.5057,8.869,g
35.3812,-18.4285,15.8702,g
55.1056,-28.7031,1.1528,g
22.4155,9.9436,89.9155,g
25.7545,5.1149,7.3793,g
77.3322,-18.1929,4.744,g
24.8576,4.246,3.715,g
64.6203,-10.699,4.7354,g
36.6156,7.6083,3.125,g
35.0345,15.0592,10.7911,g
47.8669,10.45,0.94,g
12.8702,11.4866,83.1822,g
18.9213,4.7729,8.274,g
44.7138,-13.1393,3.3443,g
65.7726,-11.9568,3.8848,g
74.667,11.7228,7.3061,g
31.276,-3.9887,18.7509,g
18.9455,2.9612,47.57,g
23.5359,-14.7116,24.91,g
77.9731,16.888,2.4615,g
82.1714,-23.7164,0.1989,g
37.2618,-6.6054,11.346,g
12.632,10.7693,82.6681,g
79.539,-11.0191,1.6851,g
27.6746,15.143,19.3719,g
30.5904,10.7776,15.8836,g
90.4766,23.7069,0.141,g
16.3165,-8.4312,13.689,g
18.8209,8.1871,51.214,g
21.4431,8.7253,29.712,g
36.7182,-10.8605,6.35,g
55.7137,16.5932,1.386,g
21.1287,6.2328,34.1392,g
37.7771,-12.1117,0.8021,g
138.838,-27.8132,3.499,g
19.628,-16.1524,14.1914,g
45.8678,10.7484,5.8093,g
17.4031,4.8201,52.56,g
38.8888,5.205,28.6994,g
39.4299,-10.9443,0.04,g
21.3719,8.0277,10.636,g
18.8206,-3.9283,18.121,g
46.8212,11.4032,6.648,g
91.4389,-24.0957,1.088,g
17.0911,7.9732,14.894,g
34.6876,8.8459,12.095,g
57.0031,-21.8591,29.8,g
69.1127,-10.3749,1.875,g
35.1147,8.3877,16.6113,g
55.8434,9.9968,5.4306,g
87.9035,20.0531,3.7892,g
39.8149,-17.5219,7.0048,g
20.3985,6.796,32.3189,g
25.4562,13.5827,0.2694,g
30.7475,7.34,12.5618,g
27.6461,-8.1852,4.9577,g
20.4878,10.4855,4.1929,g
93.9291,11.4425,0.034,g
74.5183,15.5787,0.038,g
77.8915,-16.6057,2.1148,g
25.7564,13.0604,46.4008,g
30.5778,-11.6571,5.5419,g
51.5731,-17.4561,3.174,g
30.3139,9.3084,30.757,g
43.3248,10.9054,11.13,g
20.801,-3.5753,23.3742,g
12.8,-11.3669,63.8866,g
26.1326,-6.7491,32.28,g
24.4431,-4.5861,9.668,g
24.6345,13.8863,54.418,g
32.4915,-11.3673,8.249,g
16.4192,-5.8913,38.836,g
20.6376,-5.9033,46.992,g
12.9504,-5.8389,87.2895,g
56.5279,17.7267,6.718,g
105.033,29.8384,3.9102,g
21.5372,-8.1782,5.69,g
31.0864,16.6905,32.0528,g
70.7565,-35.609,7.797,g
72.5506,-7.8982,18.6144,g
18.8538,13.2414,64.7773,g
35.059,-6.6261,4.005,g
20.9751,5.6286,11.757,g
64.9547,-12.65,0.195,g
32.174,9.8775,5.0804,g
18.649,2.8894,43.5269,g
32.2999,-11.404,6.4181,g
13.2223,11.0877,48.129,g
22.3788,15.6651,43.6657,g
35.3788,9.732,3.7685,g
81.2862,12.9656,4.129,g
20.9383,2.9347,52.554,g
28.9503,-13.4494,35.85,g
18.6578,13.5738,19.426,g
107.188,-18.3064,2.0941,g
94.2137,16.406,1.2801,g
17.1544,-4.0671,48.5893,g
74.5714,-12.2594,4.029,g
31.6027,-8.9988,2.102,g
44.932,-11.0593,10.503,g
83.195,11.5543,2.2045,g
59.7685,49.942,5.053,g
40.9772,18.4596,7.2427,g
13.0339,11.7397,86.3258,g
68.6372,-37.138,2.245,g
92.2474,26.9618,2.235,g
18.9819,-9.7685,23.387,g
30.4298,-10.0079,1.471,g
31.0128,-10.5413,19.332,g
55.3617,-12.6643,13.822,g
12.611,9.1143,5.0155,g
40.5301,-11.3333,26.9369,g
71.3956,16.5205,9.8874,g
81.3711,10.2251,0.6543,g
41.0916,4.5228,10.8662,g
49.2676,-9.1138,0.0549,g
53.2086,-14.1456,10.5073,g
25.8305,4.454,17.392,g
19.5683,-7.9696,29.1592,g
20.947,-3.9038,34.4932,g
37.9313,11.3447,11.4673,g
99.0242,19.2055,2.0115,g
17.2568,-4.0082,13.267,g
63.4558,-5.1909,2.8194,g
96.8163,-22.2398,0.192,g
113.421,21.933,0.837,g
77.1228,-9.0939,0.305,g
21.9039,5.7794,41.331,g
62.4341,31.8603,30.6078,g
23.1716,11.3888,30.652,g
42.6261,16.2289,9.162,g
20.7378,-5.8867,79.647,g
17.9263,6.1012,52.3308,g
45.6761,17.2252,9.1708,g
46.5789,-17.6522,9.2336,g
22.2418,7.1902,18.5462,g
66.2579,-11.0501,17.172,g
12.5765,7.2229,36.511,g
28.2195,-3.1397,12.214,g
20.5966,-13.202,45.299,g
82.5295,-14.2973,2.176,g
82.4094,-17.1337,0.617,g
43.5467,-16.4983,8.662,g
40.9857,-12.7613,12.949,g
12.9712,10.4579,71.9552,g
21.77,16.1668,12.204,g
44.6503,12.5878,26.3364,g
102.022,4.8632,1.8933,g
21.1957,-8.8692,29.6802,g
75.316,-10.859,0.539,g
12.7274,11.2012,5.9251,g
35.9534,-7.8103,12.941,g
50.9972,3.1136,1.2785,g
102.932,7.7583,3.194,g
97.9746,-6.7243,2.449,g
25.5805,-14.7949,1.8043,g
42.1804,9.3111,13.5661,g
