@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,9,11'

@attribute FLength numeric
@attribute FSize numeric
@attribute FConc numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
51.624,2.9085,0.242,3.613,g
87.2384,2.8848,0.3155,4.4265,g
23.5647,2.2095,0.5679,26.5328,g
73.6263,3.4533,0.2493,4.471,g
44.0846,2.8974,0.1963,16.119,g
65.3574,2.7376,0.2855,4.874,g
43.7724,2.8982,0.2743,16.25,g
20.9491,2.1414,0.7292,40.656,g
41.2629,3.1361,0.2807,7.6147,g
53.7339,2.4298,0.4572,1.886,g
47.8275,2.747,0.2775,4.798,g
13.1994,2.224,0.7761,54.0277,g
20.7445,2.5916,0.4686,25.7775,g
42.3725,3.2909,0.2533,0.6925,g
25.2091,2.3701,0.4989,41.563,g
35.7062,2.3664,0.5204,1.2543,g
62.6886,3.2496,0.2077,3.121,g
22.5702,2.1629,0.7904,80.3449,g
33.3528,2.7551,0.3796,8.709,g
97.794,3.5327,0.1516,3.2128,g
52.8479,2.9462,0.3667,6.087,g
40.6097,2.9117,0.2304,0.774,g
59.817,2.8808,0.3132,5.235,g
24.38,2.616,0.4915,0.8652,g
39.2192,2.8534,0.4064,9.1923,g
23.153,2.8065,0.3622,27.621,g
70.457,3.0195,0.2562,34.2372,g
63.7616,3.1096,0.2712,3.473,g
37.6518,2.8561,0.4805,7.803,g
70.4799,2.7906,0.3142,4.5199,g
38.5491,3.0384,0.2947,7.8488,g
36.2124,2.3838,0.3884,27.4653,g
45.5567,2.9263,0.2749,3.378,g
32.4734,2.7271,0.4799,6.915,g
48.6413,2.8048,0.2978,11.287,g
35.5524,2.7945,0.3579,13.69,g
31.8025,2.3502,0.3929,9.822,g
72.7983,3.3429,0.1589,7.4414,g
92.3205,3.0948,0.1704,2.0919,g
18.9658,2.1414,0.7798,76.0739,g
38.525,3.0257,0.2375,2.3112,g
74.1464,2.7348,0.2799,4.802,g
63.6676,2.5877,0.3256,20.872,g
41.504,2.6794,0.249,12.8677,g
43.0546,2.5676,0.2625,12.089,g
60.012,2.9398,0.2389,11.1868,g
43.9241,2.7202,0.381,21.329,g
72.7908,3.5405,0.1803,4.2311,g
31.3015,2.4616,0.418,7.923,g
42.7735,2.7447,0.2646,13.269,g
27.506,2.7263,0.338,3.3162,g
27.8546,2.882,0.4173,4.1367,g
34.9792,3.0222,0.247,4.075,g
12.4899,2.1688,0.6915,45.6611,g
46.3706,2.9206,0.3109,2.447,g
91.6993,3.9713,0.1243,1.9921,g
18.4491,2.1945,0.8051,42.315,g
27.1373,2.4281,0.4851,17.2732,g
12.8557,2.4141,0.79,78.748,g
28.2338,2.5308,0.4065,8.526,g
17.725,2.1833,0.7738,33.97,g
18.7991,2.3829,0.5507,35.2698,g
71.7681,3.6294,0.2033,5.254,g
24.8332,2.3784,0.6695,20.643,g
80.7882,3.4713,0.1449,22.529,g
27.1259,2.5653,0.3918,21.073,g
46.3641,2.9763,0.3675,10.4919,g
53.0403,2.8159,0.4125,10.1148,g
24.8368,2.4571,0.3909,6.437,g
87.02,2.634,0.4042,2.8508,g
25.9826,2.6556,0.4243,4.752,g
22.9006,2.6232,0.4833,11.7582,g
57.9074,2.9365,0.3866,10.159,g
33.4718,2.5617,0.2743,0.6027,g
31.0015,2.5682,0.3459,8.767,g
60.6745,3.1984,0.2001,18.082,g
35.648,2.673,0.3864,5.014,g
26.2271,2.9146,0.3433,2.1651,g
20.5966,2.3473,0.4989,45.299,g
63.9655,3.7121,0.1744,5.7611,g
25.2907,2.4713,0.5169,3.1678,g
49.5199,2.8573,0.2069,16.8734,g
13.1739,2.2467,0.7819,16.7394,g
20.5858,2.0273,0.7042,23.962,g
76.1914,3.6457,0.1219,4.034,g
25.8305,2.2967,0.6566,17.392,g
51.0346,2.6721,0.3511,9.203,g
93.0607,3.5398,0.116,3.737,g
87.9125,3.4298,0.2331,2.628,g
22.2142,2.2455,0.5511,23.936,g
48.4816,2.3802,0.3792,0.7494,g
26.9169,2.2648,0.5924,78.1246,g
53.746,2.8873,0.2735,36.8773,g
33.8385,3.071,0.2284,9.0883,g
54.4375,3.1174,0.1557,2.6399,g
34.6872,2.5484,0.396,4.286,g
20.8857,2.404,0.5957,58.7535,g
56.5563,2.8085,0.317,1.695,g
22.6828,2.3674,0.5408,6.211,g
36.2836,2.6915,0.3438,24.191,g
22.2418,2.4216,0.4205,18.5462,g
18.9821,2.2455,0.5739,18.537,g
27.0104,2.5224,0.3093,11.766,g
25.9264,2.5752,0.5372,19.267,g
23.7368,2.4448,0.5925,30.194,g
41.8489,2.6946,0.3232,5.055,g
63.8905,3.2921,0.1618,4.63,g
94.6049,3.7389,0.1392,1.2109,g
26.0216,2.4935,0.504,44.3455,g
21.2163,2.1732,0.5705,27.583,g
52.3507,2.8606,0.2564,5.164,g
23.945,2.3473,0.5663,7.211,g
37.5297,3.1765,0.2231,30.76,g
20.8415,2.0663,0.6867,33.539,g
80.2186,3.5354,0.1959,0.8713,g
53.1946,2.8896,0.2424,2.701,g
49.8805,3.2717,0.1781,39.8357,g
17.4019,2.5459,0.6458,72.654,g
48.6283,2.7486,0.3854,2.809,g
114.476,2.567,0.4797,1.1708,g
22.4791,2.4472,0.4464,30.8451,g
25.3811,2.7616,0.4329,37.555,g
28.0209,2.8021,0.3375,27.3043,g
49.4822,2.9398,0.2114,3.8218,g
20.1522,2.5575,0.4709,14.451,g
20.7922,2.0233,0.7109,6.786,g
81.5279,3.5589,0.283,0.151,g
18.9583,2.3483,0.6278,38.2,g
123.466,3.2926,0.1575,54.6896,g
36.6884,2.7478,0.4164,9.283,g
50.6386,2.7896,0.2435,14.5598,g
65.6203,3.2445,0.1777,2.733,g
101.939,3.1725,0.1869,9.836,g
