@relation magic

@attribute FSize numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
2.3212,-14.9612,11.754,g
2.4158,16.5853,43.3032,g
2.938,29.5543,30.919,g
2.7532,-8.8087,26.137,g
2.6799,-58.6154,0.565,g
3.1074,-23.6248,6.616,g
2.9533,-11.4513,16.6887,g
2.5296,9.9503,5.452,g
2.3936,-14.7146,57.6366,g
2.3404,9.9113,11.3526,g
2.3589,3.7697,56.553,g
2.6915,17.3007,14.233,g
2.9928,32.6278,7.2636,g
2.9146,31.9218,6.2553,g
3.0218,59.4809,5.3775,g
3.1908,23.8581,5.2373,g
2.658,18.6374,11.2076,g
2.9845,-44.3815,6.6543,g
2.636,-18.3183,14.366,g
2.9513,-21.6896,5.686,g
3.0336,-14.929,76.05,g
3.2102,9.5699,14.0804,g
2.6309,18.0164,42.368,g
2.2455,16.4509,26.38,g
2.4057,11.77,40.824,g
3.0598,-36.8528,4.336,g
3.8232,78.0184,2.3937,g
2.5289,-16.7627,1.0356,g
2.2082,-5.6779,54.0587,g
3.8473,67.4872,1.5216,g
2.3334,-3.681,63.6689,g
2.8132,-22.6194,5.3662,g
2.5434,12.505,12.0487,g
3.2915,53.3826,5.272,g
3.0191,49.8029,6.696,g
2.3988,-13.8935,19.017,g
2.4935,19.4675,0.3559,g
2.4836,20.3054,35.141,g
2.7612,28.0488,2.6944,g
3.3613,68.1114,2.154,g
4.6295,83.0895,2.337,g
2.8293,28.2398,3.973,g
2.6532,-25.0816,16.2095,g
2.6551,-39.2618,7.0357,g
2.3304,11.5547,54.418,g
3.1757,10.8967,8.0235,g
3.2629,39.3279,1.7086,g
2.3324,13.5364,25.8139,g
2.9325,-2.6917,3.249,g
2.7619,22.2786,1.2204,g
2.4969,-13.5823,12.773,g
3.4518,116.453,4.0716,g
2.4807,-14.4434,15.4011,g
2.4456,20.8813,17.466,g
2.3139,-14.9512,2.9483,g
2.9586,40.227,14.293,g
2.946,20.8178,69.7546,g
2.7619,-24.6519,20.8552,g
2.3414,14.3539,15.802,g
2.5308,12.8722,5.9332,g
2.5321,23.8552,12.8796,g
2.9795,66.8521,24.0961,g
2.6253,30.6792,8.782,g
3.4203,45.7148,3.555,g
2.238,15.0916,50.757,g
3.1229,49.0443,8.8233,g
2.8822,78.0131,0.9333,g
2.7316,22.7043,49.1483,g
2.7623,-34.1515,69.125,g
2.9827,21.7099,27.914,g
2.4778,-32.5416,23.914,g
2.1861,-12.8376,39.9572,g
2.2109,-6.6894,28.599,g
2.9363,40.5783,7.132,g
2.1222,-5.0042,2.559,g
3.5073,77.4443,6.784,g
3.5002,86.5883,9.008,g
2.8179,23.322,5.861,g
3.8011,58.0334,4.893,g
3.6493,54.6227,1.0406,g
2.3032,-21.0502,5.965,g
2.5276,69.9028,2.4303,g
2.5302,26.4743,24.9945,g
2.4661,-15.9074,16.189,g
2.9209,-25.3718,4.181,g
4.2409,75.7796,3.4479,g
2.6263,94.3209,6.363,g
2.8834,-64.5845,30.337,g
2.5328,24.1787,8.529,g
2.2867,17.1102,10.8918,g
2.5763,-13.7969,10.7955,g
3.7577,37.7896,0.42,g
3.2901,-25.6589,17.388,g
2.301,22.0672,55.5217,g
2.641,-27.4016,16.54,g
2.1804,-9.323,62.6968,g
2.6946,19.8756,20.7311,g
3.1016,45.5444,6.6582,g
2.2455,-10.4958,18.537,g
2.1446,5.6969,24.9009,g
2.899,21.5177,54.485,g
2.1303,5.0114,45.2655,g
2.1959,6.564,33.191,g
2.8932,-16.046,2.825,g
2.081,5.9191,56.521,g
3.1654,51.2574,3.208,g
3.6141,65.9936,0.2422,g
3.8081,68.6722,3.0507,g
3.0643,43.6727,15.5752,g
2.5453,17.3244,2.288,g
3.0308,52.4417,30.6078,g
2.3901,-10.1415,4.209,g
2.6123,19.0649,22.259,g
3.2239,60.774,4.8815,g
2.2625,14.879,58.609,g
2.7308,13.1451,3.823,g
2.4108,8.1963,82.6681,g
2.5993,-31.6601,73.7915,g
2.5428,9.683,16.026,g
3.2002,-12.6215,37.8821,g
2.7657,4.6154,41.065,g
2.772,16.7179,37.73,g
2.3936,17.1788,55.952,g
2.7924,10.3356,25.1167,g
2.6628,25.8761,14.16,g
2.179,-4.1781,3.5463,g
2.5527,-15.8973,15.405,g
3.2667,18.4641,12.275,g
4.0803,80.6891,1.053,g
2.8457,11.8249,9.59,g
3.2584,42.5362,14.193,g
2.8354,44.7505,5.9909,g
2.2405,16.4387,46.642,g
3.7112,79.5038,3.266,g
2.4526,18.9219,6.5289,g
2.9332,18.1677,5.772,g
2.9209,-12.2255,7.684,g
2.7709,22.0566,8.146,g
2.9079,22.1898,4.009,g
3.2281,-30.4123,3.1846,g
2.9355,25.0497,5.378,g
2.9251,45.2258,9.3666,g
2.4646,26.9885,48.71,g
2.6684,4.0507,28.138,g
2.316,-17.6826,1.5485,g
2.3531,2.6113,15.9915,g
2.5038,14.7743,36.8492,g
2.2999,-10.0136,76.9494,g
2.1861,-4.6025,13.369,g
2.9112,-16.8125,5.956,g
2.2148,4.9753,82.015,g
