@relation magic

@attribute FWidth numeric
@attribute FConc1 numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
21.9899,0.1694,73.3955,1.878,g
7.4401,0.443,-6.8666,60.349,g
24.8864,0.1015,65.6409,0.646,g
21.7313,0.1726,42.9528,18.7204,g
12.9009,0.2589,8.8261,26.4601,g
9.7948,0.317,-16.2061,42.79,g
15.5894,0.2551,-19.0187,24.1621,g
21.4058,0.097,32.1837,1.277,g
10.6422,0.2891,-8.8023,33.034,g
12.3249,0.2304,-15.1941,3.64,g
12.2628,0.3117,17.3251,17.935,g
13.8938,0.2969,14.6349,20.8227,g
14.9523,0.2929,15.1802,27.242,g
17.863,0.2281,-11.9629,62.949,g
14.2783,0.1925,27.0547,5.933,g
18.6462,0.1505,59.7841,2.591,g
12.3796,0.2647,-13.7171,33.2465,g
19.4994,0.2103,-25.2183,57.3468,g
28.3107,0.1291,92.0481,3.367,g
11.9773,0.3554,-8.3772,33.158,g
12.9622,0.2598,-10.6395,61.3805,g
11.6346,0.3921,-8.8394,24.009,g
21.0186,0.0953,22.4525,3.6,g
11.1067,0.3214,18.4301,43.8882,g
11.348,0.4105,7.3404,22.118,g
12.5331,0.4269,-2.7347,15.822,g
28.9088,0.1569,-26.6902,75.807,g
33.4334,0.0666,93.13,3.049,g
19.1008,0.1919,6.8988,21.5907,g
10.4318,0.2752,28.008,38.922,g
11.6431,0.2217,21.0699,9.224,g
11.9098,0.1888,44.5276,21.804,g
9.3418,0.3197,-7.367,5.5511,g
11.9122,0.3779,-8.0744,88.8278,g
25.9623,0.0982,59.8664,19.89,g
11.9191,0.3674,10.0027,19.242,g
14.8964,0.2265,-19.9559,36.8443,g
37.2663,0.0595,90.1485,3.2776,g
25.0589,0.0974,114.48,0.561,g
12.3952,0.252,-23.5217,7.58,g
10.1149,0.3131,17.6801,1.9963,g
10.8996,0.336,-18.8408,12.6972,g
28.8003,0.0633,60.5361,1.611,g
17.929,0.1789,8.8009,22.4192,g
21.0153,0.1049,36.8902,4.501,g
16.4528,0.2215,15.4814,4.6955,g
17.8658,0.1476,14.5003,15.401,g
15.493,0.2358,-22.9316,4.6888,g
34.3604,0.0999,51.842,0.5894,g
28.1252,0.0981,105.637,6.761,g
14.4691,0.1752,31.4879,4.35,g
18.1427,0.1822,-20.9941,22.241,g
20.0086,0.1398,38.7909,6.56,g
26.6888,0.1247,23.5684,4.094,g
12.286,0.3139,9.5843,34.432,g
18.1846,0.2085,5.7024,8.447,g
22.4036,0.1104,24.7846,4.988,g
10.7448,0.3981,-15.9745,72.273,g
11.0944,0.3215,14.9342,34.976,g
12.919,0.2895,6.8389,17.1307,g
10.0481,0.3492,15.455,66.57,g
13.4125,0.1383,74.1245,6.4844,g
35.1717,0.0921,53.0591,0.401,g
28.5707,0.1437,38.1488,7.734,g
12.6578,0.281,-11.4212,59.558,g
11.4624,0.2854,-13.2584,2.5804,g
14.9261,0.3544,19.5301,28.2602,g
11.629,0.3984,-9.413,78.9582,g
10.2982,0.513,6.5421,77.978,g
15.4514,0.2985,-6.7651,17.0993,g
16.5703,0.1103,39.648,1.574,g
13.3309,0.1959,15.4709,17.981,g
13.9391,0.1628,32.7874,0.839,g
26.6843,0.1125,57.664,2.6208,g
17.6551,0.2072,-4.5617,43.73,g
17.8928,0.1938,20.8792,5.0486,g
17.1115,0.1704,23.1687,18.142,g
10.9495,0.4449,5.4015,33.5722,g
20.2021,0.1343,26.362,0.6925,g
11.1068,0.2889,15.095,13.143,g
16.8095,0.1564,-32.4638,12.88,g
11.5799,0.3767,-6.2252,68.3548,g
37.784,0.0564,75.3898,4.3928,g
34.225,0.1129,29.3569,5.7268,g
18.346,0.1552,65.9962,8.966,g
10.996,0.2995,18.4806,23.2454,g
35.6295,0.1207,-60.4177,7.6778,g
22.7019,0.2157,24.4317,7.0048,g
24.8222,0.12,57.6858,2.1911,g
23.5248,0.0837,68.1582,3.5078,g
32.6386,0.0594,69.5388,4.7264,g
21.4086,0.1431,16.104,46.068,g
10.7773,0.2173,26.3367,5.84,g
29.7172,0.1241,58.8996,11.855,g
8.807,0.3724,23.2664,89.7323,g
44.7902,0.0453,89.1063,3.081,g
20.9706,0.1995,26.8606,1.2146,g
26.1718,0.1682,56.5799,1.151,g
20.2256,0.2492,47.9499,41.257,g
11.2723,0.3115,-22.3864,14.237,g
29.2149,0.1022,51.8585,9.9658,g
20.3187,0.1975,56.0385,5.421,g
18.7911,0.1871,25.6006,27.9829,g
36.5351,0.076,33.523,4.533,g
9.5189,0.4313,20.2944,5.205,g
22.0999,0.1843,-25.4435,5.4509,g
15.8921,0.204,7.0359,59.5027,g
7.261,0.3903,10.7235,34.9882,g
21.9331,0.1603,32.6991,2.447,g
20.9245,0.1504,36.095,14.8637,g
30.0761,0.0619,56.9297,1.627,g
28.0831,0.0692,48.5886,8.1299,g
11.9519,0.1913,11.3579,0.9082,g
18.942,0.194,22.7476,9.4759,g
0.0033,0.4155,13.6766,19.423,g
16.559,0.2546,-11.2684,41.838,g
17.9121,0.1649,19.6037,19.0525,g
9.929,0.5078,7.8602,42.856,g
