@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1-3,9,11'

@attribute FLength numeric
@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
63.3453,24.3855,3.4233,0.64,g
63.2886,26.427,3.4434,0.9753,g
35.9913,19.4494,2.7466,0.2425,g
92.8723,25.685,3.1553,7.7301,g
22.7945,14.8676,2.567,6.7835,g
99.6416,13.5477,2.4362,74.5664,g
96.3755,31.3902,3.359,9.782,g
30.3331,14.9817,2.4526,0.9075,g
23.0242,13.2275,2.2188,33.4008,g
23.6353,11.4736,2.4661,43.565,g
39.3737,12.0817,2.7763,3.7449,g
41.0677,16.2578,2.7308,17.671,g
60.0261,12.245,2.8052,1.3841,g
94.2369,17.6341,2.7727,1.854,g
81.2317,32.2546,3.7262,4.155,g
18.8734,17.772,2.5821,17.1286,g
18.249,10.4383,2.2529,15.8259,g
13.1155,10.1083,2.1973,58.845,g
23.807,10.0712,2.4289,10.378,g
33.3045,14.4421,2.6862,5.2437,g
85.6478,20.1038,3.3537,0.7472,g
35.9225,14.7049,2.5224,2.969,g
13.1469,10.548,2.2467,27.3603,g
31.3143,18.0536,2.873,1.6985,g
34.3373,16.4943,2.8109,48.259,g
23.3353,20.2994,2.6721,29.1324,g
31.0208,10.3206,2.5218,8.2969,g
68.6967,24.7983,3.1733,3.4614,g
24.1417,18.2322,2.7853,89.2231,g
53.7088,16.6628,2.8695,11.677,g
30.3706,22.2166,3.0177,6.7334,g
23.2118,10.7747,2.2455,7.755,g
32.9957,12.5757,2.4175,71.066,g
28.4739,21.2686,2.6862,25.431,g
59.0112,26.2465,3.5361,1.8811,g
63.7006,19.4801,3.2033,8.519,g
12.9683,11.098,2.3149,38.1314,g
24.9509,12.2758,2.4928,23.425,g
37.8835,12.4431,2.5752,6.518,g
26.8589,11.3542,2.5145,0.638,g
112.635,31.147,2.9868,17.724,g
12.6846,11.7208,2.1055,4.176,g
67.9187,32.6559,3.5981,0.794,g
19.6321,7.4005,2.0986,8.5814,g
32.0222,8.6668,2.3454,35.625,g
21.5732,0,2.1222,0.0002,g
25.3012,16.2202,2.5682,48.5567,g
70.1479,20.2556,3.4283,8.2377,g
71.6093,20.8942,2.7551,6.166,g
20.8936,7.1692,2.07,53.587,g
138.085,50.5402,3.9738,5.931,g
27.3505,12.6293,2.3212,15.7217,g
18.6133,10.0097,2.3054,9.438,g
35.1926,27.6832,3.2262,10.685,g
