@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1-3,9,11'

@attribute FLength numeric
@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
45.6321,22.71,3.0441,0.3822,g
91.6423,71.8818,3.8484,16.622,g
28.6609,19.1223,2.8609,20.7574,g
75.2057,31.6833,3.1334,1.5926,g
13.2617,10.7145,2.1319,68.604,g
61.6463,21.171,3.4303,4.2131,g
33.4858,15.0766,2.7969,12.9506,g
20.4754,15.7636,2.4425,13.8089,g
59.7337,17.0227,2.7997,5.094,g
70.0322,30.2255,3.1573,2.936,g
50.8293,20.0939,3.3959,3.6565,g
117.749,33.2446,3.1921,2.582,g
58.1232,23.5601,2.8837,20.194,g
25.2228,13.6075,2.3738,66.649,g
48.4695,18.1279,2.9917,6.955,g
22.5539,9.7776,2.2068,9.215,g
31.6173,24.2115,2.7197,22.951,g
85.9355,29.9215,3.0755,4.7597,g
20.0777,12.6181,2.404,36.457,g
80.0169,29.9756,3.6714,4.142,g
101.424,41.0631,4.1837,6.1992,g
29.8023,10.9847,2.2999,0.352,g
20.683,7.2158,2.0233,56.923,g
31.5283,21.6599,2.8618,50.0234,g
90.239,14.5621,2.8293,3.241,g
43.351,17.7081,2.9287,20.664,g
37.3887,19.1897,2.5843,1.818,g
50.0122,17.8938,3.0388,2.8523,g
114.806,22.8821,2.6716,41.91,g
12.871,9.8459,2.2516,40.035,g
36.1618,25.9263,3.1178,33.371,g
29.1123,18.0166,2.635,36.953,g
40.749,26.1492,3.2122,8.364,g
33.8898,17.6924,2.9647,6.891,g
21.4944,10.4204,2.2304,14.8311,g
29.9358,23.5957,2.7427,39.0829,g
23.8669,15.7684,2.639,20.646,g
19.6908,9.72,2.3054,25.149,g
47.4667,17.912,2.7181,11.762,g
70.6596,30.9809,3.1274,11.138,g
23.3751,12.5305,2.3243,33.8435,g
34.2513,17.3507,2.7202,4.939,g
79.6309,30.9289,3.466,2.3084,g
26.1033,19.74,2.7657,5.4609,g
23.6577,9.8458,2.243,26.831,g
27.515,14.227,2.6196,8.977,g
31.5473,16.5484,2.5993,10.6245,g
29.0976,15.3475,2.6243,36.077,g
33.0776,12.6328,2.5126,29.307,g
67.2302,17.0296,2.9664,13.9446,g
41.745,19.728,3.1065,1.2137,g
23.1041,16.8594,2.4281,21.8327,g
27.1239,17.6472,3.058,16.169,g
13.109,10.6767,2.1156,32.0404,g
30.15,19.2314,2.7243,6.93,g
66.7069,26.946,2.971,5.3847,g
48.8204,9.7049,2.7189,4.5898,g
45.5298,24.456,3.2177,5.7152,g
22.9956,14.8647,2.4871,47.9304,g
20.3131,14.9422,2.3838,37.287,g
34.313,17.8379,2.7694,4.4274,g
20.5012,16.254,2.4249,5.932,g
96.5408,37.4145,3.4348,9.0346,g
21.843,9.901,2.2014,6.251,g
12.591,11.8526,2.1477,29.7285,g
18.636,10.1447,2.2923,11.5884,g
23.4645,16.0261,2.4116,33.041,g
77.4178,26.4332,3.1074,1.357,g
29.2873,8.4266,2.4005,12.5354,g
68.2261,35.264,2.6522,54.509,g
27.0994,10.6958,2.4969,1.5977,g
31.2984,18.5756,2.7987,8.988,g
50.2888,18.2407,2.8407,39.0638,g
12.6471,11.7783,2.1569,31.776,g
30.5895,15.344,2.5916,56.2862,g
37.0979,8.0876,2.5809,1.472,g
27.9214,20.2999,2.9809,8.915,g
28.6134,12.329,2.6508,1.338,g
36.37,20.8065,2.7408,5.5742,g
56.6968,23.5737,2.9309,11.9427,g
