@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R3,5,7,9,11'

@attribute FSize numeric
@attribute FConc1 numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
4.0612,0.0187,-64.858,76.96,g
3.0332,0.1515,38.0957,4.792,g
2.5521,0.2174,20.456,0.812,g
2.5786,0.1913,43.8771,7.875,g
3.3331,0.1261,57.5848,9.9144,g
2.4385,0.2933,-6.5401,11.461,g
2.6906,0.1662,26.1095,2.572,g
2.5422,0.2224,20.242,19.3719,g
2.4338,0.337,16.0316,4.7998,g
2.1021,0.4704,-6.2434,42.2408,g
3.8026,0.0809,60.9768,2.643,g
2.8429,0.2534,29.1531,8.376,g
2.9914,0.1627,63.076,4.029,g
2.4099,0.2354,14.9018,4.1527,g
2.57,0.214,20.673,23.123,g
2.3181,0.4543,14.1032,27.014,g
3.1041,0.1334,52.5046,0.45,g
2.5804,0.2142,13.1053,40.3711,g
3.5143,0.1088,46.5522,1.919,g
2.6128,0.1378,33.7518,4.182,g
2.534,0.3173,-14.9193,6.2472,g
2.5224,0.3739,-15.0956,47.786,g
2.081,0.3693,-10.7906,28.79,g
3.0824,0.1576,44.4184,3.9746,g
2.9015,0.1449,38.9838,2.926,g
3.0586,0.1315,35.9762,8.44,g
2.5938,0.3146,-20.7925,53.815,g
2.2967,0.452,20.1723,75.3948,g
2.8756,0.1565,72.2829,1.53,g
2.3531,0.2683,14.0662,1.701,g
2.9342,0.139,42.7297,3.1218,g
2.4822,0.3245,-16.1011,14.71,g
3.3192,0.087,60.8729,3.902,g
2.634,0.2404,12.5722,60.493,g
2.4057,0.2534,-12.1122,81.2274,g
2.9001,0.1479,29.7202,9.654,g
2.8238,0.2093,26.0716,0.1899,g
2.4829,0.2418,17.3649,10.7626,g
2.9834,0.1584,-23.523,0.226,g
3.7987,0.0897,65.7207,2.712,g
2.3096,0.3162,-18.0061,79.4844,g
3.0245,0.112,46.4616,3.713,g
3.0253,0.1203,51.7147,8.6575,g
3.972,0.0706,70.3318,1.2669,g
3.7827,0.0923,49.7881,2.5821,g
2.8379,0.1547,29.7617,5.173,g
2.86,0.1401,24.9629,0.4341,g
2.2742,0.4016,20.1332,30.652,g
2.9883,0.1628,16.2665,8.191,g
2.9183,0.1623,59.3038,0.619,g
2.7392,0.1595,-34.7392,2.0311,g
2.7271,0.2427,20.6289,20.244,g
2.1287,0.3829,-11.1057,17.9072,g
2.5434,0.3476,17.6908,5.736,g
2.5152,0.1756,23.8404,14.4579,g
2.5257,0.2459,-12.248,44.407,g
4.3035,0.0411,78.7445,1.102,g
2.7427,0.2215,78.7654,9.4384,g
3.1119,0.1101,30.0402,8.372,g
2.8058,0.2025,51.479,4.6368,g
3.3729,0.1731,54.667,3.5171,g
2.7903,0.1726,13.7674,24.196,g
2.2822,0.5561,-18.1344,27.282,g
2.2553,0.375,12.3937,79.283,g
3.4572,0.0689,58.3096,11.476,g
2.5289,0.2648,-14.7138,1.318,g
2.0774,0.3891,-7.1802,21.21,g
2.7189,0.1404,7.5009,8.262,g
2.6299,0.1583,24.3449,7.038,g
2.179,0.3278,-4.1781,3.5463,g
3.0434,0.1235,28.694,18.3976,g
2.3444,0.1878,22.9021,9.323,g
2.596,0.2497,-6.9606,9.868,g
2.3473,0.2539,8.8387,35.801,g
2.6566,0.2723,29.3381,12.3195,g
2.4893,0.3549,19.4601,55.7262,g
2.2601,0.3269,-10.6821,16.7407,g
4.2992,0.029,108.53,8.6871,g
3.321,0.0938,61.2763,9.428,g
2.6599,0.2877,-8.2872,0.9412,g
2.7239,0.1822,-20.9941,22.241,g
2.6464,0.3126,14.1317,10.4419,g
4.1952,0.039,90.6989,0.3,g
2.8768,0.1866,28.5441,34.644,g
2.1945,0.3674,10.0027,19.242,g
2.6646,0.276,17.5575,9.5021,g
3.2549,0.1348,77.7848,4.4339,g
2.29,0.4487,-13.0801,10.8031,g
2.8779,0.1384,10.2877,12.098,g
2.5403,0.2003,4.7362,0.0276,g
2.5045,0.2613,-10.1706,16.42,g
2.4676,0.1789,7.8058,25.505,g
3.4214,0.0904,51.7055,0.109,g
2.2718,0.484,13.3154,37.1081,g
3.8212,0.0799,59.0818,2.17,g
2.5763,0.1737,5.304,16.948,g
2.7408,0.2062,23.5295,36.3065,g
3.6816,0.1,63.0953,2.2059,g
3.5602,0.0896,75.2937,1.5563,g
3.6743,0.0875,70.974,3.6974,g
2.4624,0.4672,-21.3665,18.0262,g
2.6201,0.2242,28.6082,0.598,g
2.4464,0.3524,17.6538,40.0066,g
3.4371,0.0769,48.5874,4.1632,g
3.2945,0.1546,-48.7222,0.908,g
2.5775,0.3214,19.632,1.8023,g
2.8567,0.2246,14.4997,9.37,g
2.8552,0.1486,19.356,30.4393,g
3.1237,0.12,57.6858,2.1911,g
2.7668,0.1754,17.5713,33.509,g
2.6637,0.1876,-18.1295,8.1501,g
2.4314,0.3648,3.5627,68.753,g
2.7785,0.2073,42.4569,27.9849,g
3.4958,0.0921,63.1573,0.709,g
2.2028,0.442,4.5837,58.693,g
2.4616,0.2539,4.8579,53.922,g
3.5567,0.0939,97.7039,2.72,g
3.0941,0.1461,47.0683,8.993,g
2.9823,0.0943,52.382,1.9667,g
2.3222,0.3357,13.7824,14.9307,g
2.3253,0.2861,11.4313,62.678,g
2.3454,0.2325,8.3106,30.5107,g
2.499,0.233,19.7074,1.5757,g
2.5944,0.2048,-29.5069,1.2733,g
2.7878,0.2274,-50.8812,2.135,g
3.361,0.1278,96.8077,7.052,g
2.7604,0.1953,26.5866,23.761,g
3.3648,0.1207,-15.9668,0.8021,g
2.1538,0.4175,-10.0917,80.2685,g
3.2439,0.12,-33.2638,3.5641,g
3.2076,0.141,51.1059,14.967,g
3.3961,0.0609,57.7795,6.005,g
3.0925,0.1337,25.2934,4.521,g
2.7271,0.1715,-37.4404,17.749,g
2.1508,0.3922,-8.9312,45.009,g
2.4541,0.3146,13.2628,58.159,g
2.3865,0.5236,5.9192,0.764,g
2.3444,0.3552,-8.6348,9.027,g
3.0276,0.1581,54.625,0.436,g
2.5391,0.3223,33.6985,11.03,g
2.5723,0.2289,23.5596,27.1409,g
3.1726,0.1327,42.8062,2.553,g
2.7024,0.2252,64.1095,7.3785,g
2.8176,0.2017,15.0154,12.3055,g
2.7896,0.2183,30.4941,14.4244,g
2.7372,0.12,40.4711,8.8454,g
3.548,0.0913,66.5324,1.1373,g
2.757,0.1671,31.5837,31.8731,g
2.2923,0.3648,19.8107,28.035,g
3.578,0.0871,39.4275,7.6181,g
3.0362,0.1026,-20.9438,6.2066,g
2.1804,0.3927,8.9228,35.694,g
2.4224,0.2892,-10.4886,10.8662,g
2.3345,0.4005,13.2696,33.3598,g
3.3989,0.0792,74.6123,3.144,g
3.3506,0.1296,28.1556,1.705,g
2.3454,0.2325,9.2222,13.2097,g
2.9963,0.1467,13.9027,4.361,g
2.415,0.3442,-15.7221,38.741,g
3.3195,0.1402,78.6207,0.9581,g
2.5353,0.2668,21.7595,1.207,g
2.2989,0.4146,3.4973,21.3448,g
2.5244,0.2078,17.4499,2.0573,g
2.8166,0.1335,38.1032,0.256,g
2.281,0.3325,10.8606,42.612,g
2.4878,0.1967,-37.1503,27.43,g
2.4158,0.2937,-16.2021,14.3483,g
2.8354,0.1658,12.6851,10.218,g
2.1931,0.3237,-13.2614,0.0865,g
3.3309,0.0945,28.248,12.156,g
2.5826,0.2288,10.3521,26.046,g
3.8792,0.0727,73.077,4.5885,g
3.5505,0.1068,44.2206,1.884,g
2.9521,0.1647,20.7682,15.876,g
2.1599,0.4118,8.7888,45.5575,g
2.8987,0.1357,-18.7026,0.5371,g
2.1089,0.4086,-7.0264,76.6517,g
2.5933,0.1926,14.407,8.3473,g
2.6058,0.2367,18.8052,7.58,g
2.499,0.3122,17.8343,26.742,g
3.1207,0.1094,34.5252,6.1069,g
2.882,0.1568,31.9774,14.5058,g
2.29,0.3,-17.0879,15.8411,g
3.2559,0.0863,33.5983,1.2327,g
2.2867,0.2506,-9.7549,7.9853,g
2.7631,0.2373,23.3278,2.948,g
2.1673,0.2891,6.1119,23.7151,g
2.2553,0.3139,18.8419,36.4032,g
3.6072,0.0896,75.1243,4.0898,g
3.4804,0.065,53.0782,2.7859,g
2.7029,0.1556,-14.5803,19.7036,g
2.7388,0.1432,14.7515,16.4046,g
2.6594,0.2311,9.7216,9.987,g
3.4989,0.1203,66.8088,1.762,g
3.345,0.1385,32.9514,10.7786,g
3.2243,0.0874,-36.2772,17.858,g
3.4379,0.1122,37.0195,8.7025,g
2.4401,0.2632,18.7867,25.809,g
4.1592,0.0449,92.4796,1.9148,g
2.7419,0.1893,34.0807,13.603,g
2.7105,0.2113,22.3198,45.4106,g
