@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,8-9,11'

@attribute FLength numeric
@attribute FM3Trans numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
45.6321,-14.3164,0.3822,g
91.6423,60.019,16.622,g
28.6609,11.4633,20.7574,g
75.2057,10.3219,1.5926,g
13.2617,-11.8517,68.604,g
61.6463,-18.9858,4.2131,g
33.4858,-6.8774,12.9506,g
20.4754,-3.923,13.8089,g
59.7337,-14.0979,5.094,g
70.0322,-24.9966,2.936,g
50.8293,9.3292,3.6565,g
117.749,-17.914,2.582,g
58.1232,11.5684,20.194,g
25.2228,11.3032,66.649,g
48.4695,-10.5913,6.955,g
22.5539,10.4839,9.215,g
31.6173,-11.5139,22.951,g
85.9355,-14.117,4.7597,g
20.0777,7.8845,36.457,g
80.0169,-24.8336,4.142,g
101.424,-27.5737,6.1992,g
29.8023,8.5655,0.352,g
20.683,-5.933,56.923,g
31.5283,13.2218,50.0234,g
90.239,7.5805,3.241,g
43.351,-12.4757,20.664,g
37.3887,-10.4241,1.818,g
50.0122,-11.2019,2.8523,g
114.806,24.28,41.91,g
12.871,-5.4993,40.035,g
36.1618,14.7248,33.371,g
29.1123,-10.7571,36.953,g
40.749,8.9177,8.364,g
33.8898,7.6886,6.891,g
21.4944,-8.5553,14.8311,g
29.9358,-14.6917,39.0829,g
23.8669,-11.9383,20.646,g
19.6908,3.0192,25.149,g
47.4667,-11.3089,11.762,g
70.6596,12.3933,11.138,g
23.3751,-7.8915,33.8435,g
34.2513,11.951,4.939,g
79.6309,18.1939,2.3084,g
26.1033,-11.0293,5.4609,g
23.6577,10.2052,26.831,g
27.515,9.1943,8.977,g
31.5473,11.3766,10.6245,g
29.0976,11.7229,36.077,g
33.0776,-7.7522,29.307,g
67.2302,10.6782,13.9446,g
41.745,11.3817,1.2137,g
23.1041,10.5502,21.8327,g
27.1239,-13.4637,16.169,g
13.109,-10.4481,32.0404,g
30.15,-9.0885,6.93,g
66.7069,-18.6999,5.3847,g
48.8204,9.545,4.5898,g
45.5298,-12.2948,5.7152,g
22.9956,11.9746,47.9304,g
20.3131,-3.9695,37.287,g
34.313,9.2888,4.4274,g
20.5012,-9.2264,5.932,g
96.5408,-22.0443,9.0346,g
21.843,-9.4155,6.251,g
12.591,11.4311,29.7285,g
18.636,-5.4483,11.5884,g
23.4645,10.5489,33.041,g
77.4178,17.2717,1.357,g
29.2873,6.042,12.5354,g
68.2261,31.5966,54.509,g
27.0994,7.4016,1.5977,g
31.2984,11.3887,8.988,g
50.2888,8.2418,39.0638,g
12.6471,11.4747,31.776,g
30.5895,6.3935,56.2862,g
37.0979,10.9802,1.472,g
27.9214,-9.6304,8.915,g
28.6134,9.8838,1.338,g
36.37,8.8217,5.5742,g
56.6968,-10.3543,11.9427,g
37.5856,11.9947,11.117,g
22.939,-7.8812,47.847,g
15.5675,7.7898,62.452,g
21.3568,7.8242,41.559,g
27.5577,9.1073,10.896,g
25.5932,5.0771,19.3573,g
20.1941,5.5067,70.3421,g
81.2009,15.2095,5.5932,g
39.0894,19.8557,10.506,g
23.4914,-9.4179,60.5491,g
37.149,-12.6656,13.729,g
89.1989,11.451,4.2637,g
47.2156,10.4226,3.4,g
13.0702,11.8166,80.3533,g
38.8754,-5.8631,3.361,g
77.6846,18.2497,3.186,g
100.196,20.6047,0.7341,g
31.4336,19.2893,79.959,g
69.4657,-15.1993,5.6357,g
41.1297,-9.8231,6.0359,g
86.4858,-13.2302,11.409,g
23.091,-8.3245,9.3139,g
19.0891,-7.1731,22.732,g
92.595,-23.0421,0.0787,g
40.6277,16.6914,20.656,g
54.9287,7.0632,8.831,g
22.2511,7.2448,16.8825,g
38.844,9.4878,4.582,g
26.403,-8.5969,35.821,g
23.1709,13.6194,34.0936,g
42.4881,-12.8799,3.9627,g
13.0105,10.9106,69.383,g
24.1185,14.897,30.845,g
49.2727,-12.6656,10.1168,g
67.4091,18.252,6.118,g
33.3944,11.4659,2.3935,g
51.6406,8.5649,15.3487,g
20.0489,10.2506,25.883,g
13.3396,11.9001,10.7959,g
30.8845,6.7951,10.2947,g
35.942,-19.487,77.1166,g
32.524,14.3522,17.709,g
57.3271,-7.1838,5.926,g
61.3727,29.1933,2.271,g
64.3124,14.7953,1.42,g
42.0941,-13.4571,1.8847,g
55.8124,-14.4238,6.397,g
33.2147,-22.5822,53.4211,g
45.8064,13.2551,6.8749,g
25.2301,-0.0001,51.816,g
34.2121,11.4392,7.337,g
24.3811,4.0683,33.4353,g
96.3594,-17.0643,0.102,g
50.8322,-9.656,0.817,g
69.446,-6.8479,0.2501,g
13.2611,-11.4973,61.03,g
52.2264,7.9243,0.795,g
82.2565,-14.0413,18.458,g
21.9622,-9.9394,70.525,g
22.2792,-5.2317,30.7241,g
29.7627,14.5303,0.951,g
17.2028,4.3175,89.7035,g
43.3018,-16.2524,30.1483,g
33.0328,-6.125,45.3284,g
122.153,22.3203,6.1874,g
27.8007,10.4829,23.006,g
28.5023,4.5108,43.7515,g
13.1071,11.1795,13.038,g
25.0768,12.4723,65.226,g
73.3506,-14.2326,1.0087,g
26.0678,6.2733,12.9637,g
55.3383,18.0415,9.834,g
26.9136,9.6155,10.463,g
30.5549,-10.7674,5.5986,g
20.2899,5.3061,0.159,g
13.2555,-11.6449,71.43,g
48.163,-5.3118,71.3754,g
18.1938,13.9834,59.1272,g
64.542,17.6999,1.967,g
19.8537,-10.9321,41.838,g
37.3585,-20.513,86.5709,g
24.6723,18.0809,52.307,g
20.6085,8.5657,27.234,g
101.82,14.55,3.648,g
94.7218,17.5828,1.676,g
37.2778,14.9139,8.195,g
69.8894,10.3124,0.225,g
37.1859,-15.4702,5.3784,g
76.6097,15.3138,1.3794,g
42.6468,-15.1967,10.6136,g
52.0784,18.2938,5.802,g
18.7822,-2.1102,61.8767,g
30.7902,-4.4696,27.942,g
57.5381,-18.6801,15.563,g
29.1545,-8.6614,24.7086,g
54.733,-4.6043,6.381,g
28.3396,1.7177,35.715,g
81.0143,18.1783,0.3176,g
22.0016,10.7335,29.348,g
81.174,16.9084,2.569,g
83.738,-29.1398,1.4349,g
24.9352,-8.7697,15.753,g
20.2006,7.1931,9.9206,g
87.4915,20.7408,6.481,g
25.6901,9.2902,37.165,g
38.5073,14.5938,25.519,g
22.1643,5.5689,21.283,g
48.2055,-13.2184,4.199,g
32.8734,9.6089,7.6229,g
33.8872,-8.7236,4.107,g
25.8327,-2.8244,3.7148,g
75.5264,-18.0208,6.198,g
21.1063,6.1724,7.8499,g
77.5988,29.8495,4.774,g
25.8428,11.2755,8.0678,g
20.2506,11.8336,17.2109,g
42.1536,13.3461,8.0243,g
28.7156,6.6946,30.192,g
20.7572,-11.525,20.588,g
46.9247,16.7207,5.1486,g
27.8148,12.8607,2.348,g
67.6194,-15.0872,4.4996,g
21.6581,-8.9505,39.009,g
32.8354,-4.964,10.1619,g
33.5855,11.0716,0.441,g
32.5117,8.4679,25.4448,g
26.6095,14.8182,24.2467,g
64.9861,-15.6523,3.404,g
107.242,-51.7926,17.415,g
41.7658,-7.8327,8.295,g
54.4935,5.0079,1.577,g
29.8063,-20.3248,38.85,g
20.9159,-7.6148,41.0503,g
69.5868,-20.1084,1.817,g
92.0007,22.2188,1.7669,g
23.8851,15.855,17.1681,g
25.4394,-2.4174,3.9221,g
21.3922,11.3967,13.93,g
12.5581,-11.2001,31.1069,g
38.5289,-15.6061,0.804,g
20.2358,-5.4469,7.1029,g
26.8903,4.3473,20.7532,g
51.8528,-11.6498,0.728,g
28.541,-8.0494,28.3824,g
35.6234,-7.1594,18.2432,g
26.1194,-9.5501,52.28,g
23.9948,-10.8641,28.7838,g
90.4566,18.8074,0.3742,g
18.5095,-8.7502,58.5288,g
20.1456,5.4492,12.621,g
81.7537,-11.1344,0.2053,g
69.0711,-12.5814,5.7152,g
27.3062,-8.2512,22.5743,g
52.5166,-15.1208,1.737,g
17.6563,3.9711,72.368,g
19.0237,8.1203,41.866,g
39.5991,15.9953,1.0378,g
