@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2,5,7,9,11'

@attribute FWidth numeric
@attribute FConc1 numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
9.5728,0.3922,-6.4633,10.449,g
33.1061,0.2464,-33.8765,8.292,g
29.1356,0.0683,89.5136,3.312,g
26.7866,0.1761,68.3446,0.3647,g
25.9259,0.075,50.5528,11.5159,g
14.6976,0.2824,17.3916,13.17,g
11.2825,0.1923,-48.92,2.5099,g
10.3849,0.2923,-17.6826,1.5485,g
27.5272,0.1201,-19.3902,5.097,g
13.2636,0.2317,-17.1724,26.3559,g
19.0726,0.1863,11.1564,81.6368,g
19.9402,0.1,44.4537,12.267,g
16.2775,0.1793,-15.3203,27.835,g
15.7069,0.2059,22.4139,1.7371,g
19.6957,0.1762,21.2875,27.297,g
23.7635,0.1016,41.2256,1.0067,g
11.2837,0.219,-19.3437,4.6366,g
20.9217,0.1103,36.6852,0.556,g
12.9011,0.311,-12.0722,33.5573,g
12.7729,0.3165,11.5546,31.4965,g
25.803,0.0986,58.4267,7.596,g
13.4246,0.1435,76.5354,5.847,g
19.4103,0.223,-21.0367,12.24,g
27.6518,0.096,53.802,17.073,g
18.4822,0.1278,-21.5671,3.655,g
10.398,0.3447,11.3674,45.778,g
11.9477,0.3989,-10.1699,20.997,g
19.347,0.143,40.5783,7.132,g
22.2757,0.1435,-36.4026,8.217,g
14.4233,0.1812,37.0007,11.679,g
14.7801,0.1887,-15.1459,10.721,g
18.1128,0.2155,14.3378,66.0281,g
18.0596,0.1705,49.8049,73.9247,g
15.7457,0.1562,14.8127,3.952,g
13.3786,0.3098,-25.4043,4.661,g
24.6122,0.1447,27.5978,7.341,g
27.8697,0.0961,-38.1196,6.845,g
10.0635,0.413,13.3886,23.3338,g
9.2152,0.619,10.0579,31.8219,g
28.5147,0.097,80.0073,2.984,g
16.2113,0.3211,15.2242,68.464,g
11.2603,0.4025,5.9191,56.521,g
35.0948,0.0968,29.1815,4.122,g
21.3476,0.1701,22.1001,1.0148,g
15.872,0.2993,19.358,2.073,g
16.9003,0.2069,-13.2944,0.2976,g
20.8866,0.103,-24.6513,3.4724,g
7.437,0.4491,-7.5664,74.6152,g
16.9979,0.2912,13.8627,23.367,g
19.6079,0.1782,23.5966,21.0958,g
18.8949,0.1031,46.3781,8.293,g
10.0087,0.3182,18.1984,0.572,g
22.8778,0.1168,85.5687,1.57,g
22.0026,0.163,20.2385,37.1267,g
12.0269,0.1976,16.1869,9.697,g
16.5615,0.2937,37.0206,27.593,g
18.7334,0.1745,11.422,10.1102,g
10.5265,0.3121,-18.8925,14.4397,g
10.5157,0.4313,4.3614,76.331,g
14.3351,0.1802,31.9063,10.5513,g
10.91,0.4539,-5.3863,81.2793,g
15.7917,0.2834,30.4447,7.651,g
29.7264,0.084,23.7578,18.3709,g
20.0584,0.2678,22.5903,81.7955,g
35.066,0.0959,52.2989,6.811,g
8.2482,0.2652,20.0241,21.175,g
0,0.3615,0,66.733,g
21.8228,0.1698,42.6022,1.2986,g
17.982,0.1699,-19.4625,8.974,g
10.3919,0.334,5.7769,18.0235,g
16.3143,0.2375,20.5957,48.493,g
12.3317,0.1881,-17.7864,42.108,g
19.2643,0.1543,41.2236,2.5772,g
18.02,0.1422,59.9175,1.3107,g
26.6873,0.1097,39.0716,0.035,g
33.6984,0.0623,83.0857,3.0278,g
21.5338,0.1587,-34.0836,19.187,g
13.0008,0.385,26.7207,39.8253,g
16.529,0.25,-12.7693,9.097,g
23.3213,0.1246,32.8741,0.7406,g
11.3566,0.216,20.7717,19.1106,g
12.6043,0.2435,-12.5683,22.3269,g
16.8242,0.2181,71.255,8.2426,g
10.4236,0.2593,26.8723,5.203,g
19.8659,0.1028,34.6695,1.0624,g
12.5805,0.1529,-25.0953,15.2609,g
16.9694,0.1787,13.0698,29.746,g
21.0037,0.1168,43.6268,4.233,g
14.4701,0.212,19.0003,16.2105,g
12.2272,0.2115,59.957,1.0866,g
