@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2,4,9,11'

@attribute FWidth numeric
@attribute FConc numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
16.0021,0.3918,40.092,g
15.6364,0.3107,3.251,g
19.2817,0.371,77.5379,g
36.4657,0.1393,17.575,g
14.6867,0.432,9.862,g
7.1717,0.7041,85.103,g
17.775,0.4327,81.8671,g
11.7563,0.5714,69.2291,g
39.5491,0.1462,4.0677,g
32.4617,0.3521,9.628,g
12.8876,0.4724,26.586,g
39.9496,0.0806,3.0094,g
7.1982,0.7066,88.4999,g
7.2419,0.7243,9.1256,g
15.0832,0.6404,44.74,g
33.3225,0.1233,3.7714,g
14.4511,0.3759,32.377,g
37.459,0.1521,31.553,g
23.1372,0.2005,12.616,g
12.1812,0.5419,18.354,g
25.6517,0.2231,46.1539,g
25.5221,0.2102,0.402,g
22.0999,0.3017,5.4509,g
12.2939,0.5219,53.7383,g
15.468,0.3957,26.996,g
0,0.7312,0,g
23.5917,0.1866,0.71,g
20.2437,0.2092,6.846,g
7.2912,0.6705,0.589,g
10.0147,0.6166,50.86,g
15.8392,0.5489,83.8778,g
35.2208,0.2914,2.129,g
14.0718,0.4052,47.377,g
20.5976,0.3896,5.1606,g
21.9779,0.2649,6.11,g
29.8364,0.1673,1.6058,g
36.8892,0.2604,16.194,g
14.7674,0.4684,39.4624,g
16.6038,0.2758,15.834,g
37.9939,0.0905,1.024,g
23.3226,0.2619,25.6015,g
23.1654,0.2794,2.1522,g
16.5417,0.3358,3.5355,g
24.3438,0.2718,19.977,g
21.7506,0.1259,0.2763,g
15.5717,0.3918,7.608,g
14.3012,0.4385,20.8407,g
10.2434,0.5336,12.938,g
15.6801,0.3105,8.2676,g
11.3381,0.5188,21.817,g
19.8114,0.3222,18.65,g
17.6112,0.5077,8.3828,g
22.2848,0.1922,0.6261,g
14.8974,0.3905,7.136,g
11.6146,0.4419,30.148,g
8.4981,0.677,9.3744,g
25.5782,0.184,1.8934,g
25.9623,0.1941,19.89,g
40.3261,0.1424,1.7505,g
10.9047,0.5212,6.219,g
19.0787,0.279,27.4184,g
0,0.7634,47.7751,g
12.1986,0.3843,6.6964,g
16.2488,0.3224,7.0604,g
16.3956,0.3259,0.0821,g
10.7215,0.7546,32.861,g
