@relation magic

@attribute FLength numeric
@attribute FConc1 numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
21.3087,0.3846,12.2685,g
40.5301,0.192,26.9369,g
86.3172,0.1091,0.897,g
23.0121,0.2602,32.861,g
22.1148,0.2888,72.274,g
12.611,0.3764,5.0155,g
26.4839,0.1737,9.2085,g
32.115,0.2437,7.1086,g
93.955,0.0767,18.873,g
23.614,0.1862,33.824,g
81.0934,0.1552,3.772,g
34.9381,0.1209,30.3355,g
38.1296,0.1654,0.2439,g
44.6242,0.1203,8.758,g
23.7968,0.2635,33.5063,g
34.0231,0.2556,8.265,g
17.2203,0.3267,88.7401,g
64.0879,0.2241,0.27,g
28.1035,0.1665,13.183,g
83.9635,0.0623,3.0278,g
20.985,0.3872,45.312,g
32.3486,0.2324,20.553,g
45.7365,0.1208,2.443,g
38.7068,0.14,11.295,g
21.7316,0.2252,58.0948,g
51.4676,0.088,4.6537,g
27.6963,0.2103,8.7213,g
24.4582,0.2509,15.933,g
23.2115,0.265,16.4065,g
23.578,0.2734,50.598,g
24.4736,0.2825,2.7837,g
19.4525,0.3129,4.6487,g
22.7689,0.2716,38.404,g
90.2341,0.1362,4.712,g
82.6882,0.058,2.312,g
19.0847,0.2907,35.3545,g
62.2097,0.0864,6.1974,g
76.2706,0.1213,7.539,g
79.0134,0.1949,3.1843,g
70.365,0.1728,0.6983,g
12.9131,0.3785,84.6315,g
30.5986,0.2389,2.5729,g
46.2731,0.1476,2.9498,g
24.8616,0.221,1.6899,g
20.3075,0.3353,13.93,g
47.8281,0.1289,3.53,g
29.5335,0.201,66.7511,g
23.2215,0.2577,4.861,g
18.7532,0.2853,3.5066,g
46.0588,0.1504,8.686,g
27.0762,0.149,10.25,g
40.1596,0.4583,0.235,g
30.0467,0.4502,5.4907,g
36.6822,0.1422,9.2874,g
21.7908,0.2995,23.2454,g
81.174,0.1363,2.569,g
74.6747,0.1369,2.829,g
28.9503,0.1653,35.85,g
36.9453,0.1779,2.242,g
22.6483,0.4574,0,g
49.5412,0.1254,0.699,g
20.9159,0.2854,41.0503,g
32.9955,0.1609,0.465,g
53.2936,0.2418,4.709,g
70.9683,0.1605,5.1398,g
64.3959,0.3664,0.9486,g
16.9261,0.3783,37.753,g
39.5991,0.1178,1.0378,g
13.0087,0.4931,18.8501,g
87.6315,0.1623,2.4188,g
27.7826,0.2096,66.669,g
30.5583,0.2229,14.043,g
55.7065,0.1473,5.801,g
41.4478,0.0862,7.4614,g
27.2175,0.3247,44.767,g
61.8459,0.1273,1.701,g
41.4007,0.109,21.9634,g
79.0178,0.1557,9.0533,g
84.0787,0.1031,5.219,g
17.3357,0.2995,22.2335,g
39.5437,0.2198,3.7748,g
77.1905,0.1503,2.621,g
29.4463,0.4052,69.4052,g
68.6178,0.1033,19.9613,g
28.0756,0.3073,7.463,g
100.953,0.0498,0.804,g
48.6724,0.1944,2.125,g
33.2144,0.2019,1.2333,g
58.6495,0.0961,6.845,g
79.1223,0.1738,1.1933,g
29.8023,0.2882,0.352,g
31.7329,0.2058,7.755,g
37.149,0.3135,13.729,g
77.4226,0.0887,3.438,g
56.7309,0.2056,15.5608,g
21.3638,0.3455,17.5411,g
54.3183,0.0717,4.6472,g
66.0687,0.1493,5.369,g
27.6381,0.215,11.2393,g
48.3776,0.1243,8.3229,g
90.9615,0.053,0.8542,g
24.2462,0.1644,25.7863,g
70.6864,0.1267,28.0147,g
56.0155,0.0893,7.409,g
22.9119,0.368,3.104,g
23.6245,0.2564,9.529,g
12.5765,0.374,36.511,g
51.9877,0.1875,3.8346,g
29.5728,0.2301,28.8051,g
13.0019,0.4613,66.374,g
20.4899,0.3745,70.14,g
47.59,0.0953,3.6,g
27.2873,0.1878,17.919,g
15.8049,0.3375,40.6918,g
25.2083,0.2523,60.5264,g
38.8055,0.1525,5.344,g
22.555,0.3392,56.916,g
81.138,0.1553,3.7004,g
32.524,0.1866,17.709,g
21.1322,0.2909,72.539,g
66.2708,0.1209,5.998,g
80.5977,0.1206,2.3504,g
19.2345,0.4366,40.554,g
47.2489,0.1331,0.7073,g
27.3516,0.2484,3.4856,g
54.8891,0.1025,3.2776,g
92.2474,0.1144,2.235,g
27.5268,0.1359,9.997,g
40.7847,0.1774,47.1801,g
41.8157,0.1668,34.2159,g
38.6092,0.1017,0.4442,g
23.4921,0.2905,21.221,g
95.3993,0.1481,0.9064,g
36.3397,0.1717,5.053,g
12.9504,0.4593,87.2895,g
45.0329,0.0892,38.027,g
102.416,0.088,7.5904,g
41.5538,0.252,7.58,g
26.8817,0.2135,7.9798,g
27.435,0.217,21.0606,g
28.5883,0.2015,14.9018,g
25.22,0.1675,51.835,g
74.8027,0.1256,0.501,g
41.2762,0.208,8.699,g
49.6601,0.1843,5.4509,g
38.8888,0.3037,28.6994,g
12.4751,0.3585,16.29,g
47.4505,0.0842,3.357,g
19.2617,0.2516,48.5785,g
45.4666,0.1621,15.5689,g
29.5142,0.2242,16.5815,g
67.6806,0.1208,3.0146,g
56.5206,0.0872,2.379,g
27.8273,0.1537,43.696,g
26.6921,0.1889,2.96,g
12.8589,0.3738,28.704,g
82.1301,0.0959,0.4454,g
18.7822,0.3133,61.8767,g
84.5887,0.0764,3.6433,g
62.4082,0.1041,6.2553,g
