@relation automobile

@attribute Normalized-losses numeric
@attribute Width numeric
@attribute Stroke numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,67.2,3.15,15985,-2
103,67.2,3.15,18420,-2
93,71.7,3.64,31600,-1
65,66.5,3.54,10898,-1
137,65.4,3.46,9279,-1
65,66.5,3.54,8948,-1
65,66.5,3.54,9988,-1
93,70.3,3.64,25552,-1
65,66.5,3.54,11248,-1
95,68.9,3.15,16845,-1
74,67.2,3.15,18950,-1
65,66.5,3.35,10698,-1
95,68.8,3.15,19045,-1
110,64.6,3.46,8921,-1
74,67.2,3.15,16515,-1
93,70.3,3.64,28248,-1
74,67.2,3.15,13415,-1
90,66.5,3.35,15690,-1
95,68.9,2.87,21485,-1
95,68.9,3.15,22625,-1
102,65.4,2.64,9960,0
89,65.4,2.64,7463,0
161,68.4,3.52,13200,0
91,64.4,3.35,7898,0
91,64.4,3.35,7788,0
192,64.8,2.8,16925,0
161,68.4,3.19,11900,0
91,64.4,3.03,7198,0
89,65.4,2.64,10198,0
115,66.5,3.39,8495,0
115,66.5,3.39,11245,0
118,66.1,3.16,18280,0
128,66.5,3.27,13499,0
85,62.5,3.58,10295,0
85,65.4,2.64,11694,0
85,65.2,3.58,12945,0
161,68.4,2.19,15580,0
106,65.2,3.47,8949,0
77,63.6,3.03,6918,0
106,65.2,3.47,9549,0
161,68.4,3.52,17950,0
161,68.3,3.21,18150,0
145,69.6,4.17,32250,0
106,65.2,3.58,9095,0
102,65.4,2.64,11259,0
161,68.4,3.19,16630,0
108,66.5,3.27,14399,0
161,68.4,3.52,16900,0
110,64,3.41,7295,0
91,64.4,3.03,8358,0
106,65.2,3.58,7895,0
115,66.5,3.39,10245,0
91,64.4,3.03,7738,0
188,64.8,3.19,20970,0
81,63.6,3.11,6575,0
102,65.4,2.64,7126,0
102,65.4,2.64,7775,0
188,64.8,3.19,21105,0
91,63.6,3.03,8778,0
93,70.3,3.64,28176,0
85,65.4,2.64,8013,0
91,64.4,3.03,6938,0
129,66.5,3.39,8845,1
104,64.2,3.15,6095,1
122,63.8,3.29,7499,1
168,64,3.03,8058,1
154,63.8,3.23,6692,1
128,63.8,3.29,7299,1
87,63.6,3.03,5348,1
128,63.8,3.47,7099,1
103,63.8,3.29,7349,1
148,63.8,3.23,6229,1
98,63.6,3.11,6295,1
118,63.8,3.23,5572,1
103,63.8,3.29,7999,1
148,63.8,3.23,7609,1
158,71.4,3.4,23875,1
129,66.5,3.39,10595,1
158,71.4,3.4,17710,1
231,67.9,3.27,18399,1
107,66,3.58,10345,1
125,65.4,3.46,6989,1
128,63.8,3.29,6649,1
161,63.8,3.39,7689,1
104,64.2,3.15,5195,1
101,64,3.41,6529,1
168,64,3.08,9298,1
125,65.4,3.46,8189,1
118,63.8,3.39,7957,1
113,64.2,3.15,7395,1
154,63.8,3.23,6229,1
128,63.8,3.29,5499,1
125,65.4,3.46,9279,1
148,63.8,3.23,6692,1
119,63.8,3.23,5572,1
168,64,3.08,9538,1
122,63.8,3.29,6849,1
168,64,3.03,8238,1
118,63.8,3.23,6377,1
113,64.2,3.15,6695,1
101,64,3.41,7129,1
101,64,3.07,5399,1
154,63.8,3.23,7609,1
83,63.4,2.36,5118,2
83,63.8,2.64,7603,2
168,63.8,3.29,8249,2
104,66.5,3.07,15510,2
94,65.5,3.4,7995,2
161,64.4,3.23,5389,2
134,65.6,3.5,8449,2
104,66.5,3.07,18620,2
134,65.6,3.5,11549,2
134,65.6,3.5,17669,2
94,65.5,3.4,8495,2
122,65.5,3.4,7775,2
104,66.5,3.07,12170,2
192,64.8,2.8,16430,2
137,63.9,3.41,6479,2
94,65.5,3.4,9995,2
121,60.3,3.03,5151,2
134,65.6,3.5,9989,2
94,65.5,3.4,8195,2
161,64.4,3.23,6669,2
161,64.4,3.23,6189,2
164,66.4,3.4,17450,2
134,65.6,3.5,9639,2
164,66.2,3.4,13950,2
134,65.6,3.5,11199,2
94,65.5,3.4,9495,2
186,68.3,3.11,22018,3
256,64,3.4,9980,3
197,67.7,3.35,16558,3
150,66.5,3.07,11850,3
194,67.9,3.27,19699,3
153,65.4,3.46,8499,3
150,66.5,2.07,15040,3
197,67.7,3.35,15998,3
150,66.5,3.07,18150,3
145,66.3,3.9,12964,3
194,67.9,3.27,17199,3
142,70.5,3.1,35056,3
