@relation automobile

@attribute Num-of-doors {four,two}
@attribute Curb-weight numeric
@attribute Bore numeric
@attribute Stroke numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
four,2935,3.78,3.15,-2
four,2912,3.78,3.15,-2
four,3045,3.62,3.15,-2
four,3012,3.58,2.87,-1
four,2414,3.31,3.54,-1
four,3049,3.78,3.15,-1
four,3770,3.58,3.64,-1
four,2414,3.31,3.54,-1
four,3042,3.78,3.15,-1
four,2952,3.78,3.15,-1
four,3157,3.62,3.15,-1
four,3750,3.58,3.64,-1
four,3217,3.01,3.4,-1
four,2480,3.27,3.35,-1
four,2326,3.31,3.54,-1
four,3062,3.78,3.15,-1
four,2535,3.35,3.46,-1
four,3034,3.78,3.15,-1
four,3515,3.58,3.64,-1
four,2403,3.17,3.46,-1
four,3131,3.27,3.35,-1
four,3197,3.7,3.52,0
four,2372,3.15,3.58,0
four,2385,3.62,2.64,0
four,3252,3.7,3.52,0
two,2289,3.15,3.58,0
four,2081,3.19,3.03,0
four,2455,3.62,2.64,0
four,2010,2.91,3.41,0
four,4066,3.63,4.17,0
two,2236,3.15,3.58,0
four,2510,3.62,2.64,0
four,2275,3.27,3.35,0
four,2024,2.92,3.41,0
four,2340,3.62,2.64,0
four,2465,3.15,3.58,0
four,3075,3.46,2.19,0
four,2410,3.39,3.39,0
four,2109,3.19,3.03,0
four,2650,3.62,2.64,0
four,2765,3.31,3.19,0
four,2275,3.27,3.35,0
two,3495,3.58,3.64,0
four,2190,3.62,2.64,0
four,2670,3.76,3.16,0
four,3296,3.43,3.27,0
four,3020,3.46,3.19,0
four,2324,3.33,3.47,0
two,2710,3.31,3.19,0
four,2302,3.33,3.47,0
four,2122,3.19,3.03,0
four,2280,3.05,3.03,0
four,2145,3.62,2.64,0
four,3060,3.43,3.27,0
four,2094,3.19,3.03,0
four,2290,3.05,3.03,0
four,2304,3.15,3.58,0
four,3075,3.46,3.19,0
four,2140,3.19,3.03,0
four,2425,3.39,3.39,0
four,2420,3.62,2.64,0
four,3110,3.05,3.03,0
four,2290,3.62,2.64,0
two,2028,3.15,3.29,1
two,2204,3.19,3.03,1
two,1905,3.03,3.15,1
two,2128,3.03,3.39,1
two,1900,3.03,3.15,1
two,2385,3.39,3.39,1
two,3139,3.43,3.27,1
four,1945,3.03,3.15,1
two,1837,2.91,3.07,1
two,1889,3.15,3.29,1
four,2015,3.05,3.03,1
two,2293,3.15,3.58,1
two,1890,3.03,3.15,1
four,2844,3.19,3.4,1
two,1876,2.97,3.23,1
four,1938,3.15,3.29,1
two,2040,3.05,3.03,1
four,2403,3.17,3.46,1
four,1967,2.97,3.23,1
four,2191,2.97,3.23,1
four,2405,3.35,3.46,1
two,1951,3.15,3.29,1
two,2145,3.03,3.39,1
two,1876,2.97,3.23,1
two,2265,3.24,3.08,1
two,1918,3.15,3.29,1
four,2037,3.15,3.29,1
four,1967,2.97,3.23,1
two,2385,3.39,3.39,1
four,1989,2.97,3.23,1
four,1971,3.15,3.29,1
four,1989,2.97,3.23,1
two,1918,2.97,3.23,1
four,3086,3.13,3.4,1
two,2300,3.24,3.08,1
four,2024,3.15,3.29,1
two,2017,2.99,3.47,1
two,1940,2.91,3.41,1
four,1989,2.97,3.23,1
two,1874,3.03,3.11,1
two,1956,2.91,3.41,1
two,2128,3.03,3.39,1
four,2337,3.19,3.4,2
two,1713,2.91,3.41,2
two,2975,3.62,3.5,2
two,2714,3.62,3.5,2
two,1488,2.91,3.03,2
four,2319,3.01,3.4,2
two,2050,3.62,2.36,2
four,2758,3.54,3.07,2
two,2536,3.62,3.5,2
four,2824,3.19,3.4,2
two,2395,3.5,2.8,2
two,2209,3.19,3.4,2
two,1944,2.97,3.23,2
two,2261,3.01,3.4,2
four,2695,3.54,3.07,2
two,2004,2.97,3.23,2
two,1819,2.91,3.41,2
four,2300,3.19,3.4,2
four,2847,3.54,3.07,2
four,2264,3.01,3.4,2
two,2240,3.62,2.64,2
four,2212,3.19,3.4,2
two,2551,3.62,3.5,2
two,2540,3.62,3.5,2
two,2679,3.62,3.5,2
two,2120,3.62,2.64,2
two,2707,2.54,2.07,3
two,3016,3.27,3.35,3
two,2370,3.17,3.46,3
two,2328,3.35,3.46,3
two,3685,3.46,3.1,3
two,2221,3.19,3.4,3
two,2976,3.27,3.35,3
two,3071,3.43,3.27,3
two,2811,3.6,3.9,3
two,2658,3.54,3.07,3
two,2808,3.54,3.07,3
two,2778,3.94,3.11,3
