@relation automobile

@attribute Width numeric
@attribute Height numeric
@attribute Engine-size numeric
@attribute Peak-rpm numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
67.2,56.2,141,5400,-2
67.2,56.2,130,5100,-2
67.2,56.2,141,5400,-2
67.2,57.5,141,5400,-1
68.9,55.5,145,4800,-1
66.5,53.9,122,4200,-1
67.2,57.5,141,5400,-1
70.3,58.7,183,4350,-1
65.4,51.6,110,5500,-1
68.9,55.5,141,5400,-1
66.5,54.1,171,5200,-1
71.7,56.3,183,4350,-1
68.8,55.5,141,5300,-1
68.9,55.5,141,5400,-1
66.5,54.9,122,4200,-1
67.2,57.5,130,5100,-1
66.5,54.9,110,4500,-1
70.3,56.5,183,4350,-1
68.9,55.5,173,5500,-1
66.5,54.9,122,4200,-1
64.6,59.8,122,5000,-1
65.2,54.7,120,5200,0
65.2,53.3,110,5800,0
66.5,55.1,181,5200,0
65.4,54.3,108,4800,0
64.4,52.8,98,4800,0
68.4,56.7,152,4150,0
63.6,59.1,92,4800,0
65.4,52.5,108,5200,0
64.4,52.8,98,4800,0
66.5,56.1,181,5200,0
66.5,55.5,122,4800,0
65.4,54.9,108,4800,0
63.6,59.1,92,4800,0
65.2,54.7,120,5200,0
63.6,59.1,92,4800,0
64.4,52.8,98,4800,0
65.4,54.9,108,4800,0
68.4,56.7,120,5000,0
65.4,53,108,4800,0
66.5,55.5,122,4800,0
70.3,54.9,183,4350,0
68.4,56.7,120,5000,0
64,54.5,92,6000,0
63.9,58.3,92,6000,0
62.5,54.1,110,5800,0
65.4,53,108,5200,0
65.2,53.3,110,5800,0
69.6,52.8,258,4750,0
64.8,54.3,164,4250,0
64.4,53,98,4800,0
68.4,56.7,152,4150,0
65.4,52.5,108,4800,0
65.4,52.5,108,4400,0
64.4,53,110,4500,0
65.4,54.3,108,4800,0
65.2,54.1,110,5800,0
64.4,52.8,110,4500,0
64.8,54.3,164,4250,0
64.4,53,98,4800,0
66.1,54.4,140,5000,0
68.4,56.7,120,5000,0
65.2,54.1,110,5800,0
64.2,54.1,91,5000,1
64,52.6,98,6600,1
65.4,51.6,110,5500,1
66.5,53.7,122,4800,1
63.8,50.6,90,5500,1
63.8,50.8,98,5500,1
63.8,53.3,97,5200,1
64.2,54.1,91,5000,1
63.6,54.5,92,4800,1
63.8,53.5,97,5200,1
66.5,53.7,122,4800,1
63.8,50.8,90,5500,1
64,52.6,98,4800,1
71.4,55.7,136,5500,1
63.8,50.6,90,5500,1
64.2,54.1,91,5000,1
65.4,51.6,122,5000,1
66,51,110,5500,1
64,52.6,92,6000,1
63.8,54.5,97,5200,1
63.8,50.8,90,5500,1
63.8,54.5,97,5200,1
63.8,50.8,98,5500,1
63.6,52,90,5400,1
63.8,50.8,98,5500,1
63.8,50.6,90,5500,1
64.2,54.1,91,5000,1
63.8,54.5,97,5200,1
63.8,50.8,98,5500,1
64,52.6,92,6000,1
63.8,54.5,103,4800,1
63.8,54.5,97,5200,1
63.8,50.6,90,5500,1
63.8,50.8,90,5500,1
63.8,50.8,90,5500,1
63.8,54.5,97,5200,1
63.6,54.5,92,4800,1
64,52.6,79,5500,1
71.4,55.9,131,5500,1
63.8,53.5,97,5200,1
67.9,49.7,181,5200,1
64,52.6,98,6600,1
65.6,52,146,4800,2
65.6,52,146,4800,2
65.5,55.7,97,4500,2
65.5,55.7,97,4800,2
66.5,56.1,121,5500,2
60.3,53.2,61,5100,2
64.4,50.8,92,5500,2
64.4,50.8,92,5500,2
65.5,55.7,97,4800,2
64.8,54.3,108,5800,2
66.2,54.3,109,5500,2
65.5,55.7,109,5500,2
63.9,50.8,92,4800,2
63.8,55.7,108,4400,2
63.9,50.8,92,6000,2
66.4,54.3,136,5500,2
66.5,56.1,121,5250,2
65.6,52,146,4800,2
66.5,56.1,121,5250,2
63.6,53.7,108,4400,2
65.6,52,146,4800,2
63.4,53.7,97,4900,2
65.6,52,146,4800,2
65.6,53,146,4800,2
65.5,55.7,109,5250,2
65.5,55.7,109,5250,2
66.3,50.2,156,5000,3
67.9,49.7,181,5200,3
70.5,50.8,234,4750,3
66.5,56.1,121,5500,3
67.7,52,171,5200,3
65.4,49.4,122,5000,3
67.7,52,171,5200,3
64,51.4,109,5500,3
68.3,50.2,151,5500,3
65.4,49.4,110,5500,3
66.5,56.1,121,5250,3
66.5,56.1,121,5250,3
