@relation automobile

@attribute Wheel-base numeric
@attribute Height numeric
@attribute Engine-size numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
104.3,56.2,141,-2
104.3,56.2,141,-2
104.3,56.2,130,-2
102.4,54.9,122,-1
109.1,55.5,141,-1
102.4,54.9,122,-1
102.4,54.9,110,-1
103.3,59.8,122,-1
115.6,56.3,183,-1
103.3,59.8,122,-1
109.1,55.5,141,-1
109.1,55.5,173,-1
104.3,57.5,141,-1
104.5,54.1,171,-1
102.4,53.9,122,-1
109.1,55.5,145,-1
109.1,55.5,141,-1
104.3,57.5,141,-1
104.3,57.5,130,-1
102.4,53.9,122,-1
110,56.5,183,-1
97.2,54.7,120,0
101.2,54.3,164,0
100.4,55.1,181,0
94.5,52,90,0
107.9,56.7,120,0
104.9,54.4,140,0
95.7,59.1,92,0
95.7,52.8,110,0
97,53,108,0
100.4,55.1,181,0
96.5,53.3,110,0
98.8,55.5,122,0
96.5,58.3,92,0
101.2,54.3,164,0
97,54.3,108,0
95.7,52.8,98,0
107.9,56.7,152,0
107.9,56.7,152,0
95.7,59.1,92,0
96.5,54.1,110,0
96.5,54.1,110,0
108,56,134,0
97.2,54.7,120,0
95.7,52.8,98,0
95.7,59.1,92,0
107.9,56.7,152,0
95.7,53,98,0
101.2,54.3,108,0
106.7,54.9,183,0
97.2,52.5,108,0
113,52.8,258,0
97.2,52.5,108,0
107.9,56.7,120,0
96.9,54.9,108,0
97,53,108,0
96.5,53.3,110,0
107.9,56.7,120,0
96.5,54.1,110,0
95.7,52.8,98,0
95.7,53,98,0
98.8,55.5,122,0
97.2,52.5,108,0
98.8,55.5,122,0
105.8,55.7,136,1
93.7,50.6,90,1
93.7,52.6,79,1
96.3,51.6,110,1
94.5,53.3,97,1
94.5,52,90,1
94.5,54.5,103,1
93.1,54.1,91,1
95.7,54.5,92,1
94.5,52.6,98,1
93.7,50.8,98,1
94.5,54.5,97,1
96.5,51,110,1
94.5,54.5,97,1
93.1,54.1,91,1
98.8,53.7,122,1
93.7,50.8,98,1
96.3,51.6,122,1
94.5,54.5,97,1
98.8,53.7,122,1
93.1,54.1,91,1
93.7,52.6,92,1
94.5,52.6,98,1
94.5,52.6,98,1
99.2,49.7,181,1
94.5,53.5,97,1
94.5,53.5,97,1
93.7,50.6,90,1
95.7,54.5,92,1
93.7,50.8,98,1
93.7,50.6,90,1
94.5,54.5,97,1
96.3,51.6,122,1
93.7,50.8,90,1
105.8,55.9,131,1
93.7,50.8,90,1
93,50.8,98,1
93.7,50.8,90,1
93.7,52.6,92,1
93.1,54.1,91,1
94.5,54.5,97,1
95.7,54.5,92,1
88.4,53.2,61,2
93.7,50.8,92,2
95.1,53.3,97,2
86.6,50.8,92,2
97.3,55.7,109,2
99.8,54.3,109,2
97.3,55.7,97,2
97.3,55.7,97,2
98.4,53,146,2
98.4,52,146,2
86.6,50.8,92,2
98.4,52,146,2
97.3,55.7,109,2
97.3,55.7,109,2
98.4,52,146,2
93.3,55.7,108,2
99.1,56.1,121,2
99.4,54.3,136,2
98.4,52,146,2
99.1,56.1,121,2
93.7,53.7,108,2
101.2,54.3,108,2
99.1,56.1,121,2
97.3,55.7,97,2
93.7,50.8,92,2
97.3,55.7,109,2
93.7,53.7,97,2
99.1,56.1,121,3
102.9,52,171,3
96.3,49.4,110,3
94.5,51.4,109,3
95.9,50.2,156,3
102.9,52,171,3
91.3,49.7,181,3
96.6,50.8,234,3
96.3,49.4,122,3
99.1,56.1,121,3
94.5,50.2,151,3
91.3,49.7,181,3
99.1,56.1,121,3
