@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Engine-location {front,rear}
@attribute Width numeric
@attribute Height numeric
@attribute Curb-weight numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
volvo,sedan,rwd,front,67.2,56.2,2935,-2
volvo,sedan,rwd,front,67.2,56.2,3045,-2
volvo,sedan,rwd,front,67.2,56.2,2912,-2
plymouth,wagon,fwd,front,64.6,59.8,2535,-1
mercedes-benz,sedan,rwd,front,71.7,56.3,3770,-1
mercedes-benz,sedan,rwd,front,70.3,56.5,3515,-1
volvo,sedan,rwd,front,68.9,55.5,3012,-1
mitsubishi,sedan,fwd,front,65.4,51.6,2403,-1
toyota,sedan,rwd,front,66.5,54.1,3131,-1
volvo,sedan,rwd,front,68.9,55.5,3062,-1
volvo,sedan,rwd,front,68.9,55.5,2952,-1
dodge,wagon,fwd,front,64.6,59.8,2535,-1
volvo,wagon,rwd,front,67.2,57.5,3034,-1
volvo,sedan,rwd,front,68.8,55.5,3049,-1
toyota,sedan,fwd,front,66.5,54.9,2326,-1
toyota,sedan,fwd,front,66.5,54.9,2414,-1
toyota,sedan,fwd,front,66.5,54.9,2480,-1
toyota,hatchback,fwd,front,66.5,53.9,2458,-1
toyota,hatchback,fwd,front,66.5,53.9,2414,-1
mercedes-benz,wagon,rwd,front,70.3,58.7,3750,-1
volvo,sedan,rwd,front,68.9,55.5,3217,-1
peugot,sedan,rwd,front,68.4,56.7,3075,0
nissan,hatchback,fwd,front,65.2,54.7,2324,0
nissan,sedan,fwd,front,66.5,55.1,3095,0
jaguar,sedan,rwd,front,69.6,52.8,4066,0
subaru,sedan,4wd,front,65.4,54.3,2510,0
subaru,sedan,fwd,front,65.4,52.5,2190,0
honda,hatchback,fwd,front,65.2,53.3,2236,0
honda,sedan,fwd,front,65.2,54.1,2465,0
subaru,sedan,4wd,front,65.4,54.3,2385,0
toyota,wagon,fwd,front,63.6,59.1,2280,0
chevrolet,sedan,fwd,front,63.6,52,1909,0
honda,sedan,fwd,front,62.5,54.1,2372,0
mazda,sedan,rwd,front,66.1,54.4,2670,0
peugot,sedan,rwd,front,68.4,56.7,3075,0
toyota,sedan,fwd,front,64.4,52.8,2140,0
mazda,sedan,fwd,front,66.5,55.5,2410,0
toyota,sedan,fwd,front,64.4,53,2094,0
toyota,hatchback,fwd,front,64.4,52.8,2122,0
peugot,sedan,rwd,front,68.4,56.7,3020,0
peugot,sedan,rwd,front,68.4,56.7,3252,0
toyota,hatchback,fwd,front,64.4,52.8,2275,0
mercedes-benz,hardtop,rwd,front,70.3,54.9,3495,0
subaru,sedan,fwd,front,65.4,52.5,2145,0
mazda,hatchback,fwd,front,66.5,55.5,2425,0
peugot,sedan,rwd,front,68.4,56.7,3252,0
bmw,sedan,rwd,front,64.8,54.3,2395,0
subaru,sedan,fwd,front,65.4,52.5,2340,0
honda,sedan,fwd,front,65.2,54.1,2304,0
