@relation automobile

@attribute Normalized-losses numeric
@attribute Fuel-type {diesel,gas}
@attribute Width numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,gas,67.2,18420,-2
103,gas,67.2,15985,-2
103,gas,67.2,12940,-2
93,diesel,71.7,31600,-1
95,gas,68.9,21485,-1
93,diesel,70.3,28248,-1
110,gas,64.6,8921,-1
65,gas,66.5,8948,-1
74,gas,67.2,18950,-1
95,diesel,68.9,22470,-1
95,gas,68.9,22625,-1
74,gas,67.2,16515,-1
95,gas,68.8,19045,-1
137,gas,65.4,9279,-1
90,gas,66.5,15690,-1
65,diesel,66.5,10698,-1
65,gas,66.5,11248,-1
74,gas,64.6,8921,-1
95,gas,68.9,16845,-1
74,gas,67.2,13415,-1
65,gas,66.5,9988,-1
115,gas,66.5,10245,0
192,gas,64.8,16925,0
161,gas,68.3,18150,0
91,gas,64.4,9258,0
106,gas,65.2,9549,0
81,gas,63.6,7898,0
161,diesel,68.4,16900,0
91,diesel,64.4,7898,0
128,gas,66.5,13499,0
145,gas,69.6,32250,0
188,gas,64.8,20970,0
93,diesel,70.3,28176,0
91,gas,64.4,7738,0
81,gas,63.6,6575,0
102,gas,65.4,11259,0
91,gas,64.4,7198,0
91,gas,63.6,8778,0
161,gas,68.4,16630,0
85,gas,65.4,8013,0
89,gas,65.4,10198,0
161,diesel,68.4,13200,0
106,gas,65.2,7895,0
91,gas,64.4,6938,0
85,gas,65.2,8845,0
91,diesel,64.4,7788,0
118,gas,66.1,18280,0
102,gas,65.4,9960,0
110,gas,64,7295,0
106,gas,65.2,8949,0
115,gas,66.5,8495,0
161,gas,68.4,11900,0
106,gas,65.2,9095,0
115,gas,66.5,11245,0
85,gas,62.5,10295,0
85,gas,65.4,11694,0
108,gas,66.5,13499,0
91,gas,64.4,8358,0
108,gas,66.5,14399,0
78,gas,63.9,7295,0
102,gas,65.4,7775,0
77,gas,63.6,6918,0
102,gas,65.4,7126,0
102,gas,65.4,9233,0
168,gas,64,9298,1
104,gas,64.2,5195,1
104,gas,64.2,6795,1
231,gas,67.9,18399,1
101,gas,64,5399,1
118,gas,63.8,7957,1
129,gas,66.5,10595,1
118,gas,63.8,6377,1
98,gas,63.6,6295,1
148,gas,63.8,7609,1
129,gas,66.5,8845,1
158,gas,71.4,23875,1
119,gas,63.8,5572,1
154,gas,63.8,6692,1
101,gas,64,7129,1
161,gas,63.8,7689,1
168,gas,64,8058,1
125,gas,65.4,9279,1
103,gas,63.8,7999,1
125,gas,65.4,6989,1
87,gas,63.6,6338,1
107,gas,66,10345,1
128,diesel,63.8,7099,1
128,gas,63.8,7799,1
119,gas,63.8,7957,1
74,gas,63.6,6488,1
87,gas,63.6,5348,1
104,gas,64.2,6095,1
128,gas,63.8,7299,1
122,gas,63.8,6849,1
113,gas,64.2,7395,1
113,gas,64.2,6695,1
168,gas,64,8238,1
122,gas,63.8,7499,1
118,gas,63.8,5572,1
128,gas,63.8,5499,1
125,gas,65.4,8189,1
148,gas,63.8,6692,1
154,gas,63.8,7609,1
154,gas,63.8,6229,1
83,gas,63.6,7053,2
104,gas,66.5,18620,2
192,gas,64.8,16430,2
121,gas,60.3,5151,2
168,gas,63.8,8249,2
137,gas,63.9,6855,2
122,diesel,65.5,7775,2
83,gas,63.4,5118,2
122,gas,65.5,7975,2
161,gas,64.4,6189,2
134,gas,65.6,8449,2
134,gas,65.6,11199,2
164,gas,66.2,13950,2
94,diesel,65.5,7995,2
94,diesel,65.5,9495,2
94,gas,65.5,8495,2
104,gas,66.5,15510,2
83,gas,63.8,7603,2
104,gas,66.5,12170,2
94,gas,65.5,8195,2
161,gas,64.4,5389,2
134,gas,65.6,9989,2
134,gas,65.6,17669,2
137,gas,63.9,6479,2
134,gas,65.6,9639,2
134,gas,65.6,11549,2
145,gas,66.3,12964,3
153,gas,65.4,9959,3
194,gas,67.9,17199,3
197,gas,67.7,15998,3
150,gas,66.5,11850,3
142,gas,70.5,35056,3
150,gas,66.5,15040,3
150,gas,66.5,18150,3
194,gas,67.9,19699,3
256,gas,64,9980,3
197,gas,67.7,16558,3
