@relation automobile

@attribute Normalized-losses numeric
@attribute Num-of-doors {four,two}
@attribute Width numeric
@attribute Engine-size numeric
@attribute Stroke numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,four,67.2,141,3.15,-2
103,four,67.2,130,3.15,-2
103,four,67.2,141,3.15,-2
74,four,64.6,122,3.46,-1
74,four,67.2,130,3.15,-1
93,four,70.3,183,3.64,-1
137,four,65.4,110,3.46,-1
90,four,66.5,171,3.35,-1
95,four,68.9,141,3.15,-1
65,four,66.5,122,3.54,-1
95,four,68.9,145,3.4,-1
110,four,64.6,122,3.46,-1
65,four,66.5,122,3.54,-1
65,four,66.5,110,3.35,-1
65,four,66.5,122,3.54,-1
93,four,70.3,183,3.64,-1
65,four,66.5,122,3.54,-1
93,four,71.7,183,3.64,-1
95,four,68.9,141,3.15,-1
74,four,67.2,141,3.15,-1
95,four,68.9,173,2.87,-1
91,four,64.4,110,3.35,0
85,four,65.4,108,2.64,0
161,four,68.4,152,3.52,0
77,four,63.6,92,3.03,0
91,four,64.4,98,3.03,0
118,four,66.1,140,3.16,0
81,four,63.6,90,3.11,0
102,four,65.4,108,2.64,0
102,four,65.4,108,2.64,0
188,four,64.8,164,3.19,0
115,four,66.5,122,3.39,0
161,four,68.4,120,3.19,0
145,four,69.6,258,4.17,0
108,four,66.5,181,3.27,0
85,four,65.4,108,2.64,0
106,two,65.2,110,3.58,0
91,four,64.4,110,3.35,0
102,four,65.4,108,2.64,0
108,four,66.5,181,3.27,0
161,four,68.4,152,3.52,0
91,four,64.4,98,3.03,0
93,two,70.3,183,3.64,0
91,four,63.6,92,3.03,0
161,four,68.3,134,3.21,0
161,four,68.4,120,3.19,0
85,four,65.2,110,3.58,0
102,four,65.4,108,2.64,0
81,four,63.6,92,3.03,0
78,four,63.9,92,3.41,0
161,four,68.4,152,3.52,0
192,four,64.8,108,2.8,0
85,four,65.2,110,3.58,0
91,four,64.4,98,3.03,0
110,four,64,92,3.41,0
91,four,64.4,98,3.03,0
89,four,65.4,108,2.64,0
106,four,65.2,120,3.47,0
128,four,66.5,181,3.27,0
89,four,65.4,108,2.64,0
161,four,68.4,120,2.19,0
115,four,66.5,122,3.39,0
91,four,64.4,98,3.03,0
101,two,64,92,3.41,1
148,four,63.8,90,3.23,1
158,four,71.4,136,3.4,1
74,four,63.6,92,3.03,1
128,two,63.8,97,3.29,1
128,two,63.8,97,3.29,1
148,four,63.8,90,3.23,1
128,two,63.8,103,3.47,1
158,four,71.4,131,3.4,1
98,two,63.6,90,3.11,1
103,four,63.8,97,3.29,1
129,two,66.5,122,3.39,1
154,four,63.8,90,3.23,1
168,two,64,98,3.08,1
231,two,67.9,181,3.27,1
129,two,66.5,122,3.39,1
154,four,63.8,98,3.23,1
101,two,64,92,3.41,1
113,four,64.2,91,3.15,1
119,two,63.8,98,3.39,1
125,four,65.4,110,3.46,1
125,four,65.4,122,3.46,1
107,two,66,110,3.58,1
104,two,64.2,91,3.15,1
103,four,63.8,97,3.29,1
104,two,64.2,91,3.15,1
168,two,64,98,3.03,1
122,four,63.8,97,3.29,1
87,two,63.6,92,3.03,1
148,four,63.8,90,3.23,1
128,two,63.8,97,3.29,1
87,two,63.6,92,3.03,1
118,two,63.8,90,3.23,1
125,four,65.4,122,3.46,1
161,two,63.8,98,3.39,1
168,two,64,98,3.08,1
128,two,63.8,97,3.29,1
104,two,64.2,91,3.15,1
101,two,64,79,3.07,1
113,four,64.2,91,3.15,1
122,four,63.8,97,3.29,1
83,two,63.8,108,2.64,2
137,two,63.9,92,3.41,2
83,two,63.6,108,2.64,2
104,four,66.5,121,3.07,2
121,two,60.3,61,3.03,2
161,two,64.4,92,3.23,2
134,two,65.6,146,3.5,2
94,four,65.5,97,3.4,2
94,four,65.5,109,3.4,2
164,four,66.2,109,3.4,2
161,two,64.4,92,3.23,2
161,two,64.4,92,3.23,2
164,four,66.4,136,3.4,2
94,four,65.5,109,3.4,2
192,two,64.8,108,2.8,2
122,two,65.5,109,3.4,2
94,four,65.5,109,3.4,2
83,two,63.4,97,2.36,2
134,two,65.6,146,3.5,2
134,two,65.6,146,3.5,2
168,two,63.8,97,3.29,2
134,two,65.6,146,3.5,2
134,two,65.6,146,3.5,2
137,two,63.9,92,3.41,2
104,four,66.5,121,3.07,2
134,two,65.6,146,3.5,2
186,two,68.3,151,3.11,3
150,two,66.5,121,3.07,3
153,two,65.4,110,3.46,3
150,two,66.5,121,3.07,3
194,two,67.9,181,3.27,3
142,two,70.5,234,3.1,3
145,two,66.3,156,3.9,3
150,two,66.5,121,2.07,3
197,two,67.7,171,3.35,3
194,two,67.9,181,3.27,3
153,two,65.4,122,3.46,3
256,two,64,109,3.4,3
