@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Num-of-doors {four,two}
@attribute Wheel-base numeric
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute Compression-ratio numeric
@attribute Peak-rpm numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
volvo,four,104.3,mpfi,9.5,5400,28,-2
volvo,four,104.3,mpfi,9.5,5400,28,-2
toyota,four,102.4,mpfi,8.7,4200,32,-1
volvo,four,104.3,mpfi,7.5,5100,22,-1
volvo,four,109.1,mpfi,8.7,5300,25,-1
volvo,four,109.1,idi,23,4800,27,-1
toyota,four,102.4,mpfi,8.7,4200,32,-1
volvo,four,109.1,mpfi,9.5,5400,25,-1
mitsubishi,four,96.3,spdi,7.5,5500,30,-1
dodge,four,103.3,2bbl,8.5,5000,30,-1
toyota,four,102.4,mpfi,8.7,4200,32,-1
plymouth,four,103.3,2bbl,8.5,5000,30,-1
mercedes-benz,four,110,idi,21.5,4350,25,-1
volvo,four,104.3,mpfi,9.5,5400,28,-1
volvo,four,104.3,mpfi,9.5,5400,28,-1
toyota,four,102.4,mpfi,8.7,4200,34,-1
toyota,four,104.5,mpfi,9.2,5200,24,-1
mercedes-benz,four,115.6,idi,21.5,4350,25,-1
volvo,four,109.1,mpfi,9.5,5400,28,-1
mercedes-benz,four,110,idi,21.5,4350,25,-1
nissan,four,100.4,mpfi,9,5200,22,0
peugot,four,107.9,mpfi,8.4,5000,24,0
toyota,four,95.7,2bbl,9,4800,32,0
toyota,four,95.7,2bbl,9,4800,37,0
honda,four,96.5,1bbl,9.2,6000,34,0
honda,two,96.5,1bbl,9,5800,33,0
subaru,four,97,mpfi,9,5200,31,0
subaru,four,97,mpfi,7.7,4800,29,0
subaru,four,97,2bbl,9,4800,25,0
peugot,four,107.9,mpfi,8.4,5000,24,0
mazda,four,98.8,2bbl,8.6,4800,32,0
nissan,four,97.2,2bbl,8.5,5200,34,0
honda,four,96.5,mpfi,9,5800,28,0
nissan,four,97.2,2bbl,8.5,5200,34,0
peugot,four,107.9,idi,21,4150,33,0
subaru,four,97.2,mpfi,9,5200,32,0
nissan,four,100.4,mpfi,9,5200,25,0
peugot,four,107.9,mpfi,8.4,5000,24,0
peugot,four,108,mpfi,7,5600,24,0
toyota,four,95.7,idi,22.5,4500,47,0
chevrolet,four,94.5,2bbl,9.6,5400,43,0
toyota,four,95.7,2bbl,9,4800,32,0
jaguar,four,113,mpfi,8.1,4750,19,0
toyota,four,95.7,2bbl,9,4800,34,0
toyota,four,95.7,2bbl,9,4800,37,0
peugot,four,107.9,idi,21,4150,33,0
mazda,four,104.9,mpfi,8,5000,27,0
mercedes-benz,two,106.7,idi,21.5,4350,25,0
honda,four,96.5,1bbl,9.2,6000,34,0
honda,two,96.5,1bbl,9,5800,33,0
nissan,four,100.4,mpfi,9,5200,22,0
bmw,two,101.2,mpfi,9,4250,28,0
toyota,four,95.7,idi,22.5,4500,36,0
