@relation automobile

@attribute Num-of-doors {four,two}
@attribute Wheel-base numeric
@attribute Width numeric
@attribute Engine-size numeric
@attribute Compression-ratio numeric
@attribute Peak-rpm numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
four,104.3,67.2,141,9.5,5400,12940,-2
four,104.3,67.2,130,7.5,5100,18420,-2
four,104.3,67.2,141,9.5,5400,15985,-2
four,109.1,68.9,173,8.8,5500,21485,-1
four,102.4,66.5,122,8.7,4200,11248,-1
four,109.1,68.9,145,23,4800,22470,-1
four,102.4,66.5,110,22.5,4500,10698,-1
four,103.3,64.6,122,8.5,5000,8921,-1
four,103.3,64.6,122,8.5,5000,8921,-1
four,115.6,71.7,183,21.5,4350,31600,-1
four,104.3,67.2,130,7.5,5100,18950,-1
four,102.4,66.5,122,8.7,4200,10898,-1
four,104.3,67.2,141,9.5,5400,13415,-1
four,102.4,66.5,122,8.7,4200,8948,-1
four,110,70.3,183,21.5,4350,25552,-1
four,109.1,68.9,141,9.5,5400,22625,-1
four,104.5,66.5,171,9.2,5200,15690,-1
four,109.1,68.9,141,9.5,5400,16845,-1
four,102.4,66.5,122,8.7,4200,9988,-1
four,109.1,68.8,141,8.7,5300,19045,-1
four,104.3,67.2,141,9.5,5400,16515,-1
four,104.9,66.1,140,8,5000,18280,0
four,95.7,64.4,98,9,4800,7738,0
four,95.7,64.4,98,9,4800,8358,0
four,107.9,68.4,152,21,4150,17950,0
four,98.8,66.5,122,8.6,4800,8495,0
four,107.9,68.4,152,21,4150,13200,0
four,96.5,63.9,92,9.2,6000,7295,0
four,96.5,65.2,110,9,5800,12945,0
four,96.5,62.5,110,9,5800,10295,0
four,95.7,63.6,92,9,4800,8778,0
four,101.2,64.8,108,8.8,5800,16925,0
four,95.7,64.4,98,9,4800,6938,0
four,100.4,66.5,181,9,5200,13499,0
four,95.7,63.6,92,9,4800,6918,0
four,97.2,65.4,108,9.5,4400,7775,0
four,113,69.6,258,8.1,4750,32250,0
four,107.9,68.4,120,8.4,5000,11900,0
four,98.8,66.5,122,8.6,4800,11245,0
four,95.7,63.6,92,9,4800,7898,0
four,96.9,65.4,108,9,4800,8013,0
four,97.2,65.4,108,9,5200,9960,0
four,101.2,64.8,164,9,4250,21105,0
four,97.2,65.2,120,8.5,5200,9549,0
four,97.2,65.2,120,8.5,5200,8949,0
four,95.7,64.4,110,22.5,4500,7788,0
four,94.5,63.6,90,9.6,5400,6575,0
four,107.9,68.4,152,21,4150,16900,0
two,106.7,70.3,183,21.5,4350,28176,0
four,97,65.4,108,9,4800,7463,0
two,96.5,65.2,110,9,5800,7895,0
four,98.8,66.5,122,8.6,4800,10245,0
four,100.4,66.5,181,9,5200,13499,0
four,97.2,65.4,108,9.5,4800,7126,0
two,101.2,64.8,164,9,4250,20970,0
two,96.5,65.2,110,9,5800,9095,0
four,95.7,64.4,98,9,4800,7198,0
four,95.7,64.4,98,9,4800,9258,0
four,107.9,68.4,120,8.4,5000,16630,0
four,108,68.3,134,7,5600,18150,0
four,97,65.4,108,9,4800,9233,0
four,97,65.4,108,9,5200,10198,0
four,96.5,65.2,110,9,5800,8845,0
four,107.9,68.4,120,8.4,5000,15580,0
two,94.5,64,98,9,4800,8238,1
two,93.7,63.8,98,7.6,5500,7957,1
two,93,63.8,98,7.6,5500,7689,1
two,93.7,64,92,9.2,6000,7129,1
four,93.7,63.8,98,9.4,5500,7609,1
four,105.8,71.4,131,8.3,5500,23875,1
four,96.3,65.4,122,8.5,5000,6989,1
four,94.5,63.8,97,9.4,5200,7999,1
four,93.7,63.8,90,9.4,5500,6692,1
four,94.5,63.8,97,9.4,5200,7349,1
two,99.2,67.9,181,9,5200,18399,1
four,105.8,71.4,136,8.5,5500,17710,1
four,93.1,64.2,91,9,5000,7395,1
two,94.5,63.8,97,9.4,5200,5499,1
four,96.3,65.4,110,7.5,5500,9279,1
two,93.7,64,79,10.1,5500,5399,1
two,94.5,63.8,103,21.9,4800,7099,1
two,93.7,63.8,98,7.6,5500,7957,1
two,94.5,63.8,97,9.4,5200,7799,1
two,94.5,64,98,9,4800,8058,1
two,94.5,63.8,97,9.4,5200,7299,1
two,95.7,63.6,92,9,4800,5348,1
four,93.7,63.8,90,9.4,5500,6229,1
two,94.5,64,98,9.4,6600,9538,1
four,94.5,63.8,97,9.4,5200,6849,1
four,93.7,63.8,90,9.4,5500,6229,1
two,94.5,63.6,90,9.6,5400,6295,1
two,98.8,66.5,122,8.6,4800,8845,1
four,95.7,63.6,92,9,4800,6488,1
two,93.1,64.2,91,9,5000,6095,1
two,98.8,66.5,122,8.6,4800,10595,1
four,93.7,63.8,90,9.4,5500,6692,1
four,94.5,63.8,97,9.4,5200,7499,1
two,94.5,63.8,97,9.4,5200,6649,1
two,93.7,63.8,90,9.4,5500,5572,1
two,95.7,63.6,92,9,4800,6338,1
four,96.3,65.4,122,8.5,5000,8189,1
two,93.1,64.2,91,9,5000,6795,1
two,93.7,64,92,9.2,6000,6529,1
two,93.7,63.8,90,9.4,5500,6377,1
four,93.1,64.2,91,9,5000,6695,1
two,96.5,66,110,9.1,5500,10345,1
two,93.3,63.8,108,8.7,4400,7603,2
two,93.7,63.6,108,8.7,4400,7053,2
two,86.6,63.9,92,9.2,6000,6855,2
two,97.3,65.5,97,23,4800,7775,2
two,97.3,65.5,109,9,5250,7975,2
two,98.4,65.6,146,9.3,4800,9989,2
four,99.8,66.2,109,10,5500,13950,2
two,93.7,64.4,92,9.4,5500,6669,2
two,95.1,63.8,97,9.4,5200,8249,2
four,97.3,65.5,97,23,4500,9495,2
four,99.1,66.5,121,9.3,5250,12170,2
two,88.4,60.3,61,9.5,5100,5151,2
two,93.7,63.4,97,9,4900,5118,2
two,98.4,65.6,146,9.3,4800,11199,2
four,97.3,65.5,109,9,5250,8195,2
two,98.4,65.6,146,9.3,4800,17669,2
two,98.4,65.6,146,9.3,4800,8449,2
two,98.4,65.6,146,9.3,4800,11549,2
four,99.1,66.5,121,9,5500,18620,2
four,97.3,65.5,109,10,5500,9995,2
four,97.3,65.5,109,9,5250,8495,2
two,86.6,63.9,92,9.6,4800,6479,2
four,97.3,65.5,97,23,4800,7995,2
four,99.1,66.5,121,9.3,5250,15510,2
four,99.4,66.4,136,8,5500,17450,2
two,93.7,64.4,92,9.4,5500,5389,2
two,101.2,64.8,108,8.8,5800,16430,2
two,94.5,68.3,151,9.5,5500,22018,3
two,102.9,67.7,171,9.3,5200,15998,3
two,94.5,64,109,8.5,5500,9980,3
two,91.3,67.9,181,7.8,5200,19699,3
two,99.1,66.5,121,9.31,5250,11850,3
two,96.6,70.5,234,8.3,4750,35056,3
two,95.9,66.3,156,7,5000,12964,3
two,99.1,66.5,121,9.3,5250,15040,3
two,102.9,67.7,171,9.3,5200,16558,3
two,99.1,66.5,121,9,5500,18150,3
two,96.3,65.4,122,8.5,5000,8499,3
two,96.3,65.4,110,7.5,5500,9959,3
two,91.3,67.9,181,9,5200,17199,3
