@relation titanic

@attribute Sex numeric
@attribute Survived {-1.0,1.0}

@data
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
