@relation banana-weka.filters.unsupervised.attribute.Remove-V-R2-3

@attribute At2 numeric
@attribute Class {-1.0,1.0}

@data
0.397,1.0
-0.459,-1.0
-0.0461,1.0
0.964,1.0
-0.335,1.0
-1.28,-1.0
1.13,-1.0
-1.87,1.0
-0.0439,1.0
0.589,-1.0
-1.02,-1.0
1.55,1.0
0.712,1.0
0.243,-1.0
-1,-1.0
0.707,-1.0
0.633,-1.0
0.715,-1.0
1.07,-1.0
1.15,-1.0
0.702,-1.0
0.81,-1.0
-0.0199,1.0
0.634,-1.0
-0.829,1.0
1.35,-1.0
1.15,-1.0
-0.451,1.0
-0.261,-1.0
-0.631,-1.0
0.976,-1.0
-0.999,-1.0
0.398,-1.0
0.496,1.0
-0.37,1.0
-0.811,-1.0
0.0398,1.0
0.578,1.0
-0.934,1.0
0.427,-1.0
-1.31,-1.0
0.591,1.0
-1.56,-1.0
1.48,-1.0
-0.845,1.0
-1.74,1.0
-1.27,1.0
1.66,-1.0
-0.282,1.0
-0.322,1.0
-1.05,1.0
-1.25,-1.0
0.997,-1.0
0.0171,1.0
0.289,-1.0
0.931,-1.0
-1.38,-1.0
-1.14,-1.0
-0.536,1.0
1.53,-1.0
0.816,-1.0
-0.755,-1.0
0.198,1.0
1.36,1.0
0.133,-1.0
0.153,-1.0
-1.17,-1.0
-0.56,1.0
-0.522,-1.0
1.8,-1.0
-0.405,1.0
0.189,1.0
0.775,1.0
-0.839,-1.0
-1.12,-1.0
2.01,-1.0
-1.13,-1.0
-2.08,1.0
1.07,-1.0
0.309,1.0
0.625,-1.0
-1.34,-1.0
-0.951,-1.0
-0.24,1.0
-1.37,-1.0
-1.31,-1.0
-1.71,-1.0
-0.0819,1.0
-0.238,-1.0
-0.411,1.0
1.33,1.0
2.04,1.0
0.423,1.0
0.445,1.0
-0.356,1.0
0.806,1.0
-1.33,-1.0
0.858,-1.0
1.17,-1.0
-0.709,1.0
-0.19,1.0
0.763,-1.0
1.28,-1.0
0.693,-1.0
-1.45,1.0
0.213,1.0
-1.17,-1.0
1.39,-1.0
0.000168,1.0
0.173,-1.0
1.07,-1.0
-0.182,1.0
-1.07,1.0
1.36,1.0
-1.66,-1.0
-0.202,1.0
0.601,-1.0
-0.0595,1.0
-1.36,-1.0
-1.2,-1.0
-0.914,-1.0
0.245,1.0
-1.52,1.0
-1.21,-1.0
0.0482,-1.0
0.0512,1.0
-1.18,1.0
1.12,-1.0
-1.29,-1.0
-0.458,1.0
-1.12,-1.0
-1.09,-1.0
-0.509,1.0
-0.616,1.0
1.29,-1.0
-1.04,1.0
0.173,-1.0
1.65,1.0
0.745,-1.0
0.168,1.0
-1.36,-1.0
0.153,1.0
-0.115,-1.0
1.4,-1.0
1.49,-1.0
-1.45,-1.0
0.0719,1.0
-0.443,1.0
0.489,1.0
-1,-1.0
-1.03,-1.0
1.5,1.0
-0.612,1.0
1.86,1.0
0.654,1.0
-0.391,-1.0
-0.372,1.0
-1.39,-1.0
0.614,-1.0
0.991,-1.0
0.69,1.0
1.68,1.0
-1.08,1.0
1.1,1.0
1.13,-1.0
1.7,-1.0
-0.334,1.0
-1.4,-1.0
1.77,1.0
0.875,-1.0
-1.47,-1.0
-0.202,1.0
0.19,1.0
-0.943,-1.0
-1.72,1.0
-0.709,-1.0
1.44,-1.0
-0.78,1.0
-0.0829,-1.0
1.26,-1.0
1.6,1.0
-0.896,-1.0
-0.733,1.0
1.28,-1.0
-0.31,1.0
-0.061,1.0
-0.786,1.0
0.0512,-1.0
1.93,-1.0
0.627,-1.0
0.399,-1.0
0.819,-1.0
-0.675,1.0
0.974,1.0
-1.09,-1.0
0.406,-1.0
-0.319,1.0
0.711,-1.0
0.521,1.0
-1.04,-1.0
0.502,-1.0
1.52,-1.0
1.78,-1.0
1.46,1.0
1.16,-1.0
1.37,1.0
-1.34,-1.0
-0.363,1.0
2.1,-1.0
0.582,-1.0
-1.21,-1.0
0.914,-1.0
-1.28,1.0
-1.26,1.0
1.3,-1.0
-0.35,1.0
-0.871,-1.0
-1.01,-1.0
-0.912,1.0
0.343,1.0
1.86,1.0
-0.967,-1.0
-1.21,-1.0
0.397,-1.0
-0.932,-1.0
-0.853,-1.0
1.44,-1.0
-0.285,1.0
-0.823,-1.0
0.648,1.0
0.763,-1.0
1.23,-1.0
0.318,-1.0
