@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Class {0,1}

@data
0.279,0.99,0
1.404,1.531,0
0.532,1.963,0
0.111,0.299,0
2.881,0.896,0
3.386,-0.301,0
0.466,2.279,0
0.423,1.781,0
1.093,1.692,0
0.165,1.031,0
0.172,0.953,0
0.137,0.519,1
0.421,1.055,0
1.371,1.441,0
0.424,0.745,1
1.831,2.751,0
0.721,0.502,0
0.704,0.758,1
0.459,0.541,1
3.052,-0.233,0
0.207,0.532,0
1.658,1.367,0
0.79,2.192,0
0.209,0.617,1
2.307,1.995,0
0.833,2.441,1
2.531,0.387,0
1.169,2.579,0
0.259,1.413,0
0.186,0.487,1
0.216,1.593,0
1.155,2.218,1
1.029,1.893,0
0.152,0.52,1
0.137,0.587,1
0.546,0.449,1
0.328,1.09,1
0.266,0.478,1
3.665,0.822,0
0.555,2.197,0
0.976,0.857,0
3.259,0.65,0
0.656,1.465,0
0.107,0.274,0
2.141,1.604,0
1.512,2.058,0
0.608,2.771,0
0.657,2.528,1
0.082,0.389,0
0.255,1.078,0
0.237,1.014,0
0.312,2.136,0
0.147,0.817,0
0.305,2.821,0
1.352,2.625,1
0.566,2.962,0
0.422,1.875,0
1.95,1.598,0
3.041,1.383,0
0.532,1.06,1
0.124,0.426,1
0.141,1.079,0
0.227,1.501,0
0.109,0.381,0
0.066,0.284,0
1.807,1.094,0
0.305,1.048,1
0.271,0.811,1
1.346,2.116,0
0.826,1.279,1
2.309,1.809,0
2.848,0.753,0
0.142,1.051,0
1.404,1.81,0
1.945,1.221,0
0.481,2.58,0
0.242,0.679,1
-0.083,-0.477,0
0.49,1.113,1
0.383,1.686,0
1.91,0.496,0
0.396,0.676,1
0.346,1.786,0
0.295,0.966,1
2.982,0.346,0
-0.102,0.692,0
0.094,0.926,0
0.961,1.392,1
0.28,0.553,1
0.151,0.302,0
0.277,1.136,0
1.909,2.524,0
0.31,0.953,1
0.316,0.742,1
1.62,2.64,0
0.408,0.563,1
0.773,2.152,0
0.132,0.489,0
0.705,2.407,0
0.225,0.958,1
0.244,0.692,0
0.496,0.764,1
0.465,2.779,1
0.71,2.25,0
2.18,1.275,0
0.452,2.226,0
0.966,2.283,0
0.573,2.555,0
0.243,1.585,0
-0.053,0.502,0
1.011,2.776,1
2.331,0.651,0
0.881,1.289,1
0.231,1.302,0
0.109,0.451,1
1.675,1.764,0
0.145,0.384,0
0.639,0.617,1
0.267,1.687,0
1.622,1.951,0
1.248,3.001,0
1.207,1.059,0
1.871,0.788,0
0.126,0.814,0
1.845,2.214,0
0.348,1.344,0
0.183,1.414,0
0.839,1.08,1
0.268,0.558,1
1.139,0.662,1
0.372,1.829,0
2.367,0.283,0
2.255,0.648,0
0.112,0.598,0
0.182,0.614,1
1.7,0.823,0
1.065,1.975,0
1.335,0.559,0
1.834,2.557,0
3.027,-0.315,0
0.151,0.415,0
2.521,0.403,0
0.238,1.811,0
0.166,0.357,0
0.423,0.607,1
0.128,0.788,1
1.454,1.226,0
0.421,2.318,0
0.318,0.964,1
0.517,2.071,0
1.406,2.253,0
0.524,2.902,0
0.384,1.701,0
0.95,0.555,1
0.352,1.119,1
0.105,0.526,0
0.49,0.442,1
2.84,0.694,0
0.294,1.19,0
0.644,1.912,0
1.061,2.765,0
3.273,0.455,0
0.377,0.801,1
0.132,1.589,0
0.544,2.494,1
0.962,2.006,0
0.114,0.366,0
0.197,1.416,0
0.391,2.897,0
0.255,1.428,0
0.798,3.137,0
1.383,1.322,0
0.495,2.619,0
0.272,0.699,1
3.137,-0.266,0
0.297,0.545,1
0.212,1.047,0
0.239,0.524,0
2.115,0.421,0
0.544,2.493,1
0.723,2.415,0
0.115,0.594,1
0.31,-0.812,1
0.702,3.001,0
0.647,1.483,0
0.103,0.435,1
0.182,0.814,0
-1.595,0.679,0
0.251,1.413,0
0.301,1.704,0
0.3,1.396,0
0.13,0.623,1
0.665,2.994,0
0.189,0.548,0
0.27,0.812,1
2.999,0.473,0
1.722,0.517,0
0.132,0.436,0
0.519,2.216,0
0.183,1.136,0
0.162,0.632,1
0.211,0.32,1
0.556,2.03,1
1.487,1.569,0
0.298,1.866,0
0.597,1.133,1
2.744,-0.224,0
0.277,0.872,0
0.213,0.51,1
0.997,1.578,1
1.295,1.097,0
0.374,3.148,1
0.522,0.539,1
0.264,0.936,1
0.334,1.781,0
2.832,-0.255,0
0.227,0.303,1
0.118,0.306,0
2.666,0.329,0
0.147,0.569,0
0.209,1.072,0
1.061,3.173,0
0.205,0.351,1
-0.251,1.135,0
1.205,0.722,1
1.192,2.808,0
0.689,1.289,1
0.229,0.718,1
0.24,1.547,0
0.168,0.49,1
3.426,0.753,0
0.902,1.984,0
0.138,0.361,0
2.046,0.532,0
0.204,0.411,1
0.28,2.745,0
0.729,2.246,0
0.141,0.56,1
0.389,2.741,0
2.106,1.277,0
0.391,1.409,1
0.147,0.289,0
0.541,0.852,1
3.144,-0.268,0
2.242,1.295,0
0.234,1.933,0
0.109,0.517,1
0.318,1.818,0
0.265,0.819,0
0.15,0.635,1
-0.385,-0.797,0
-0.136,-0.397,1
0.642,2.805,0
0.567,2.412,1
1.162,0.769,0
3.414,-0.243,0
2.007,0.997,0
0.426,0.358,0
0.347,0.96,1
0.393,1.922,0
0.266,2.584,0
0.739,1.87,0
0.868,2.002,0
0.126,0.333,0
0.367,1.673,1
0.417,1.73,0
0.229,2.188,0
0.81,1.545,0
0.157,0.514,0
0.234,0.576,1
2.558,1.196,0
0.287,0.816,1
0.356,3.227,0
0.328,0.765,0
2.398,1.156,0
0.18,0.944,0
0.232,0.776,1
1.108,1.63,0
0.328,0.774,1
0.688,2.617,0
1.349,2.589,0
0.483,0.926,1
0.508,3.092,1
0.162,0.705,0
2.92,0.446,0
0.234,0.973,0
0.079,0.327,0
0.812,3.116,0
0.308,0.943,0
1.957,1.328,0
-0.101,-0.372,0
0.446,0.59,1
2.799,1.275,0
1.109,2.796,0
0.92,1.144,1
0.23,0.724,1
0.822,2.76,0
0.326,1.646,0
0.577,0.895,1
0.904,0.617,0
0.578,2.614,0
0.296,0.735,0
0.598,2.118,0
0.118,0.561,0
1.499,2.131,0
0.161,0.177,1
1.158,2.622,0
0.296,1.257,0
0.59,0.973,1
-1.044,1.572,0
0.198,0.677,1
0.257,0.392,1
0.222,0.433,1
1.004,0.527,1
0.404,2.028,0
0.358,1.812,0
0.558,0.41,1
0.334,1.489,0
0.774,1.042,1
1.612,2.319,0
0.947,1.114,0
2.267,2.222,0
2.331,0.652,0
0.317,0.804,0
0.409,0.753,1
0.136,0.922,0
3.509,0.553,0
0.511,2.031,0
0.532,3.369,0
0.435,2.454,0
0.803,0.396,1
0.99,2.64,1
-0.115,0.619,1
0.319,1.231,1
0.538,1.104,1
1.977,1.376,0
0.215,0.771,1
0.403,3.058,0
0.4,0.887,1
0.657,1.763,0
3.461,0.457,0
0.565,1.954,0
0.618,2.662,0
0.298,0.611,1
0.659,1.949,0
0.165,1.307,0
1.091,2.127,0
-0.504,1.951,0
0.554,0.219,1
0.409,3.187,0
1.72,1.719,0
3.086,1.188,0
0.301,1.256,1
0.2,0.506,1
2.56,-0.244,0
2.245,1.11,0
1.565,0.867,0
0.242,0.723,1
0.279,0.701,1
2.827,0.825,0
0.324,1.101,0
0.2,0.666,1
0.343,0.927,1
0.922,2.302,0
1.509,1.557,0
0.395,2.376,0
0.128,0.5,0
0.259,0.381,0
0.351,0.607,0
2.53,-0.211,0
1.363,1.641,1
0.123,0.469,0
1.071,2.521,0
0.676,2.231,1
0.647,0.483,0
0.239,0.753,1
-0.104,-0.52,0
0.455,0.842,1
0.242,0.859,0
0.413,1.597,0
1.048,1.933,0
0.262,2.524,0
0.484,2.633,0
-0.05,0.42,1
2.602,0.423,0
0.608,1.52,0
0.737,2.504,0
0.383,0.711,1
0.522,1.165,0
0.231,0.661,1
0.273,1.057,0
0.283,1.349,0
2.767,0.315,0
0.172,0.391,0
-0.233,0.69,0
0.35,1.239,0
0.157,0.985,0
0.556,3.059,0
0.489,2.921,0
0.156,0.564,0
0.242,0.797,1
0.234,0.854,0
-0.103,0.929,0
0.099,0.534,1
0.156,1.034,0
0.285,1.467,0
0.099,0.258,0
0.363,0.994,0
0.205,0.673,0
1.707,1.574,1
0.326,1.658,0
0.417,1.5,0
0.598,1.595,1
0.258,1.825,0
0.508,2.252,0
0.474,1.093,1
1.236,1.986,1
0.52,2.213,0
-0.222,-0.565,1
0.159,0.329,1
1.013,2.312,1
0.719,3.563,0
0.245,0.354,0
1.084,1.697,0
0.159,0.686,1
0.366,0.414,0
0.161,0.552,1
2.399,0.797,0
0.151,0.577,0
0.223,1.533,0
0.131,0.858,0
0.926,1.532,1
1.097,2.087,0
0.329,0.8,1
0.891,0.909,1
0.474,1.277,1
0.545,0.513,0
0.279,1.93,1
0.965,2.664,0
3.619,-0.356,0
1.041,1.968,0
0.066,0.295,0
0.27,1.134,0
2.906,0.775,0
0.326,0.458,1
0.348,2.567,0
3.015,0.337,0
0.511,2.783,0
1.997,2.309,0
1.268,1.104,0
0.086,0.353,0
0.278,0.534,1
0.691,2.603,0
0.637,2.446,0
2.702,-0.236,0
-0.15,1.436,0
0.562,1.04,1
2.653,0.448,0
1.362,1.301,0
0.409,0.79,0
0.116,0.478,1
0.266,1.229,0
0.222,0.577,1
1.099,2.428,0
0.942,1.88,0
0.243,0.917,1
0.121,0.575,1
3.256,1.141,0
-0.221,3.016,0
3.773,-0.306,0
0.401,2.322,0
0.155,0.773,0
0.116,0.318,0
0.364,1.863,0
0.473,1.072,1
0.174,0.453,0
0.227,0.987,0
1.23,1.569,0
0.842,2.641,0
0.223,0.367,1
0.266,1.268,0
0.424,2.375,0
0.295,1.883,0
0.832,3.085,0
0.504,2.585,0
0.405,0.866,0
0.301,1.249,0
1.274,1.404,0
0.895,0.559,1
0.12,0.342,0
0.169,0.397,0
0.564,3.344,0
0.733,0.594,1
0.074,0.333,0
0.624,2.416,0
0.476,2.54,0
0.331,2.335,0
0.214,0.744,1
1.765,1.217,0
0.686,1.069,1
0.13,0.56,0
0.181,1.368,0
0.593,3.003,0
0.8,1.932,0
0.259,0.688,0
0.189,1.314,0
0.323,1.315,0
0.246,0.477,0
0.226,0.672,0
2.365,0.282,0
0.116,0.477,1
1.013,1.772,0
2.17,-0.458,0
2.937,0.357,0
0.375,2.21,0
1.051,2.749,0
3.15,0.54,0
0.764,2.524,0
0.212,0.746,1
0.485,1.094,1
1.022,2.181,0
3.239,0.65,0
0.151,1.008,0
0.249,0.964,1
2.663,-0.253,0
0.154,0.52,0
0.029,-0.188,0
0.258,1.188,1
1.508,1.749,0
0.562,1.013,0
3.328,-0.317,0
0.411,1.587,0
0.437,1.43,1
0.626,2.386,0
-0.125,1.264,0
0.4,1.334,1
0.341,1.523,0
0.21,0.847,0
0.333,1.453,0
3.232,0.906,0
