@relation phoneme

@attribute Aa numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.294,-0.72,0
2.827,0.257,0
0.592,-0.173,0
0.085,1.604,0
0.401,-0.736,0
1.4,0.159,0
1.622,-0.136,0
1.472,-0.123,0
0.178,1.268,0
3.236,-0.069,0
0.257,-0.601,0
0.249,0.379,0
-0.054,0.525,0
0.277,1.371,0
0.412,-0.343,0
1.527,-0.137,0
3.429,0.139,0
2.414,0.131,0
0.437,1.17,0
-0.174,0.648,0
0.555,0.578,0
0.631,0.409,0
0.33,-0.539,0
3.167,0.172,0
0.414,0.571,0
0.553,0.39,0
3.067,0.084,0
0.724,0.398,0
0.174,1.701,0
1.9,-0.088,0
1.91,-0.097,0
2.063,0.09,0
1.415,-0.101,0
0.716,-0.226,0
3.336,-0.073,0
1.723,-0.281,0
0.637,-0.338,0
0.562,-0.224,0
0.121,1.534,0
0.666,-0.432,0
0.392,-0.6,0
0.987,1.578,0
1.15,0.659,0
0.204,-0.649,0
0.686,-0.225,0
1.543,-0.126,0
2.141,-0.292,0
0.237,-0.849,0
1.158,-0.159,0
2.399,-0.116,0
0.94,-0.441,0
0.228,1.282,0
0.117,1.128,0
1.266,0.607,0
1.398,0.217,0
0.15,2.115,0
1.104,1.452,0
0.972,0.295,0
0.618,0.446,0
0.662,-0.417,0
0.319,0.428,0
0.356,1.089,0
0.637,-0.376,0
0.443,0.697,0
2.486,0.087,0
0.53,-0.474,0
0.737,0.255,0
1.722,-0.586,0
0.807,-0.187,0
2.884,0.219,0
1.752,0.22,0
0.456,0.703,0
1.706,0.568,0
3.459,0.108,0
0.708,-0.188,0
1.199,-0.469,0
3.386,-0.078,0
0.518,0.691,0
0.492,0.313,0
0.901,-0.272,0
1.404,-0.125,0
0.438,1.157,0
3.177,0.09,0
-1.044,-0.406,0
-0.554,-0.294,0
0.325,1.262,0
0.636,0.469,0
0.269,-0.786,0
0.12,0.997,0
0.226,1.814,0
2.544,-0.081,0
1.322,0.371,0
1.362,1.699,0
0.265,-0.627,0
0.44,0.244,0
1.802,0.141,0
0.513,-0.496,0
0.235,-0.638,0
2.364,-0.078,0
0.962,-0.173,0
0.436,1.382,0
0.155,-0.747,0
0.187,1.26,0
2.411,0.226,0
1.131,-0.158,0
0.204,0.336,0
0.141,0.969,0
-0.185,-0.64,0
1.328,0.2,0
0.145,2.14,0
2.937,-0.287,0
1.214,-0.108,0
2.23,0.102,0
0.331,0.3,0
1.12,0.569,0
0.721,2.022,0
0.174,1.262,0
0.762,-0.209,0
1.413,-0.216,0
0.408,-0.481,0
0.152,0.335,0
0.734,-0.346,0
1.568,0.129,0
-0.645,-0.195,0
2.059,-0.169,0
0.546,-0.597,0
0.096,0.591,0
1.612,0.22,0
2.865,0.099,0
2.217,0.776,0
0.839,0.244,0
2.786,0.11,0
0.091,0.738,0
0.165,0.551,0
0.266,-0.527,0
0.189,-0.406,0
0.735,-0.412,0
3.041,0.089,0
0.24,0.286,0
0.85,0.381,0
0.09,1.454,0
-0.199,-0.641,0
1.029,-0.432,0
0.111,2.035,0
0.744,0.437,0
0.335,0.866,0
2.611,0.104,0
1.567,1.041,0
0.942,0.107,0
0.237,0.986,0
1.838,0.091,0
2.819,0.085,0
0.466,-0.431,0
1.294,0.114,0
0.593,-0.201,0
2.334,0.213,0
0.359,0.928,0
0.315,0.369,0
0.201,0.507,0
0.452,0.717,0
0.258,0.799,0
1.121,0.329,0
1.57,-0.09,0
0.192,-0.695,0
0.142,1.693,0
0.687,0.404,0
0.193,-0.964,0
1.226,-0.505,0
0.308,0.307,0
2.935,-0.147,0
0.247,-0.56,0
1.198,-0.462,0
0.785,0.538,0
2.617,-0.087,0
1.288,-0.201,0
0.347,1.298,0
1.515,0.396,0
0.102,0.842,0
0.259,2.362,0
0.789,1.265,0
0.492,0.448,0
1.284,0.249,0
0.402,-0.175,0
0.647,1.912,0
2.986,0.094,0
2.198,0.095,0
2.881,0.475,0
0.558,-0.281,0
0.283,-0.77,0
0.736,1.439,0
0.192,0.319,0
1.402,-0.145,0
0.2,-0.523,0
-0.09,2.327,0
0.455,-0.353,0
-0.089,0.746,0
1.26,0.112,0
0.548,0.479,0
0.371,0.687,0
0.825,0.167,0
0.796,-0.101,0
1.593,0.153,0
0.259,-0.363,0
1.31,-0.148,0
2.866,0.959,0
2.601,-0.08,0
1.441,0.265,0
3.078,0.211,0
3.059,0.078,0
1.988,0.141,0
0.231,-0.474,0
2.51,0.215,0
0.6,0.983,0
2.146,0.129,0
1.146,0.472,0
0.87,-0.276,0
0.129,0.928,0
0.421,0.546,0
0.534,0.345,0
3.17,0.172,0
2.843,0.154,0
1.622,0.13,0
0.47,1.012,0
1.304,-0.199,0
0.453,0.667,0
0.183,-0.754,0
-0.164,0.699,0
0.812,-0.792,0
3.041,0.691,0
0.73,-0.189,0
1.453,0.148,0
2.87,-0.066,0
1.312,-0.154,0
2.648,0.08,0
0.336,0.783,0
0.17,1.124,0
-0.117,-1.156,0
0.965,0.583,0
1.583,-0.209,0
0.834,-0.19,0
1.458,0.131,0
0.574,0.268,0
0.184,0.658,0
2.6,0.133,0
0.307,-0.946,0
0.435,0.507,0
2.331,0.128,0
-0.058,-0.253,0
2.898,0.135,0
3.067,0.21,0
0.223,-0.372,0
0.523,0.345,0
1.482,0.413,0
2.203,0.067,0
0.842,0.229,0
0.195,-0.432,0
0.986,-0.485,0
0.842,0.327,0
0.816,-0.17,0
0.455,0.322,0
0.692,-0.199,0
1.062,-0.199,0
2.065,-0.079,0
0.515,-0.176,0
1.257,0.233,0
-0.887,-0.154,0
2.203,0.438,0
3.287,0.871,0
0.266,-0.142,0
0.503,-0.278,0
0.54,-0.242,0
0.138,1.951,0
2.713,-0.273,0
1.586,0.196,0
1.392,-0.102,0
2.242,-0.169,0
0.316,-0.401,0
0.45,0.424,0
1.524,-0.127,0
0.221,0.71,0
0.187,-0.565,0
0.165,2.003,0
0.123,2.496,0
0.163,0.721,0
0.52,0.287,0
0.139,-0.714,0
1.153,-0.112,0
2.115,-0.192,0
3.084,-0.088,0
2.242,0.11,0
0.635,0.31,0
0.791,-0.12,0
1.247,-0.468,0
0.244,1.574,0
0.55,0.503,0
1.061,-0.238,0
0.674,0.315,0
0.363,0.798,0
0.113,2.092,0
0.565,-0.52,0
0.121,-0.611,0
-0.099,-0.724,0
0.404,0.831,0
1.092,-0.383,0
0.124,-0.89,0
0.714,-0.571,0
3.363,0.657,0
0.148,-0.732,0
1.056,0.211,0
1.209,0.176,0
2.971,-0.285,0
0.234,-0.725,0
0.264,-0.627,0
0.76,-0.221,0
3.259,0.112,0
0.452,-0.161,0
0.321,-0.297,0
0.204,0.62,0
0.18,1.436,0
0.404,-0.799,0
0.241,0.379,0
0.448,0.33,0
0.313,-0.841,0
0.922,0.227,0
1.425,-0.135,0
1.064,1.599,0
0.708,-0.27,0
0.34,0.896,0
1.232,-0.08,0
0.55,-0.207,0
0.316,-0.54,0
0.864,-0.181,0
0.092,0.505,0
0.743,1.092,0
1.041,0.34,0
1.929,0.163,0
2.975,0.086,0
1.396,0.617,0
0.479,-0.292,0
1.532,0.28,0
0.233,-0.952,0
0.322,0.269,0
-0.191,-0.577,0
0.086,0.495,0
0.205,-0.874,0
-0.199,1.824,0
0.87,-0.251,0
1.04,0.913,0
2.941,-0.331,0
0.251,-0.54,0
0.476,0.691,0
1.078,-0.188,0
1.051,0.231,0
0.264,-0.512,0
0.374,1.077,0
0.33,-0.73,0
0.233,-0.694,0
2.441,0.176,0
0.152,2.041,0
0.131,-0.834,0
0.367,-0.148,0
0.091,0.456,0
2.163,-0.095,0
1.24,-0.078,0
0.774,-0.123,0
0.472,-0.357,0
0.424,1.114,0
0.85,-0.112,0
0.308,-0.593,0
0.328,0.776,0
1.093,-0.312,0
2.665,-0.276,0
2.918,-0.148,0
0.151,0.853,0
0.325,-0.798,0
0.874,0.175,0
0.145,0.792,0
3.052,-0.078,0
0.665,1.359,0
2.832,0.118,0
1.786,0.182,0
0.562,-0.383,0
0.563,-0.589,0
0.359,-0.781,0
0.138,1.308,0
0.091,-1.093,0
1.038,0.371,0
0.257,-0.751,0
3.598,0.078,0
2.62,-0.239,0
2.53,0.152,0
0.152,2.058,0
1.322,0.145,0
0.524,0.329,0
0.203,-0.546,0
0.771,0.426,0
0.205,1.653,0
0.219,-0.68,0
0.334,-0.842,0
0.468,-0.238,0
0.589,0.931,0
0.234,-0.693,0
0.674,0.309,0
0.074,-0.594,0
2.602,0.1,0
1.022,0.236,0
1.117,-0.222,0
0.636,0.737,0
0.264,-0.575,0
0.72,-0.227,0
0.996,0.177,0
0.469,0.771,0
0.164,2.022,0
2.299,-0.217,0
0.778,-0.317,0
0.173,2.415,0
1.977,0.236,0
0.555,-0.238,0
0.323,-0.834,0
2.18,0.427,0
0.22,1.102,0
0.295,0.84,0
0.783,0.304,0
1.404,0.249,0
1.988,-0.18,0
-0.106,1.628,0
0.212,-0.806,0
1.123,0.287,0
0.234,1.016,0
2.055,0.227,0
0.193,1.631,0
0.435,-0.294,0
0.409,-0.24,0
0.992,-0.152,0
0.289,-0.659,0
0.311,-0.45,0
0.229,1.062,0
0.259,-1.048,0
0.119,1.522,0
-0.801,0.341,0
1.724,-0.127,0
1.087,0.25,0
0.308,-0.784,0
0.216,0.981,0
0.135,2.007,0
0.847,0.312,0
-0.363,-0.358,0
1.01,-0.096,0
0.38,-0.244,0
0.508,0.403,0
0.401,-0.164,0
1.487,0.305,0
3.868,-0.066,0
0.157,1.52,0
0.557,-0.511,0
1.846,0.09,0
0.256,2.29,0
0.286,-0.732,0
0.301,-0.245,0
2.558,0.485,0
0.375,0.26,0
0.412,0.226,0
1.545,0.758,0
0.379,-0.584,0
0.702,-0.424,0
0.526,0.622,0
0.699,-0.341,0
0.266,0.408,0
-0.147,0.901,0
2.473,0.208,0
0.596,0.242,0
0.059,-0.522,0
0.701,-0.242,0
0.984,-0.149,0
0.354,-0.609,0
0.27,-0.518,0
0.625,0.319,0
0.214,-0.597,0
1.169,0.724,0
2.756,0.194,0
0.383,-0.241,0
2.089,0.194,0
1.084,0.185,0
1.182,-0.178,0
0.249,-0.81,0
0.377,0.345,0
0.932,-0.202,0
3.156,-0.065,0
0.89,-0.097,0
0.922,-0.255,0
0.25,-0.493,0
0.204,-0.612,0
3.097,0.275,0
2.393,-0.053,0
0.996,0.324,0
0.355,-0.621,0
0.185,1.872,0
1.6,0.129,0
2.531,1.019,0
0.643,0.156,0
1.952,0.323,0
0.776,-0.205,0
0.213,-0.676,0
2.911,0.093,0
0.17,-0.633,0
0.073,0.477,0
0.301,-0.138,0
0.312,-0.686,0
2.116,0.57,0
0.542,1.004,0
2.938,-0.287,0
0.239,-0.407,0
0.965,-0.121,0
1.68,-0.138,0
3.639,-0.095,0
0.243,-0.524,0
0.586,-0.267,0
0.366,-0.413,0
2.514,0.089,0
1.859,0.158,0
0.192,0.961,0
0.237,2.177,0
0.48,-0.442,0
0.991,0.308,0
0.279,-0.53,0
0.557,0.309,0
0.772,-0.321,0
2.761,-0.215,0
0.072,0.624,0
1.781,-0.139,0
0.724,0.3,0
0.172,-0.777,0
1.658,0.14,0
0.131,1.7,0
0.767,-0.1,0
0.832,0.593,0
0.066,-0.544,0
0.223,-0.944,0
0.934,0.233,0
0.176,2.42,0
0.32,-0.216,0
0.325,-1.354,0
1.079,1.475,0
0.978,-0.178,0
0.171,-0.762,0
0.635,-0.291,0
3.537,-0.073,0
0.273,0.226,0
0.615,1.046,0
0.441,0.308,0
0.642,-0.395,0
0.241,-0.368,0
0.764,-0.218,0
0.098,1.478,0
2.08,-0.067,0
0.19,-0.476,0
0.11,-0.741,0
1.022,-0.223,0
1.037,-0.16,0
1.611,0.548,0
0.816,-0.198,0
2.999,-0.072,0
