@relation phoneme

@attribute Ao numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.743,-0.404,1.494,0
2.061,0.248,-0.121,0
0.858,1.41,-0.48,0
2.015,-0.187,0.156,0
1.411,0.135,-0.08,0
1.991,0.194,-0.413,0
0.36,0.095,-0.08,0
1.114,0.558,-0.384,0
2.285,-0.159,-0.099,0
1.222,0.645,0,0
0.426,1.696,0,0
1.136,-0.074,0,0
2.019,0.629,0,0
1.129,-0.565,-0.21,0
2.322,-0.164,-0.093,0
2.527,0.426,-0.481,0
1.019,0.656,-0.166,0
1.334,-0.094,0.087,0
1.292,0.455,-0.199,0
2.364,-0.155,0.235,0
0.258,1.391,1.838,0
2.326,-0.203,0,0
2.176,0.294,-0.122,0
0.61,1.854,-0.77,0
-0.235,0.137,-0.133,0
1.682,1.275,-0.375,0
0.471,-0.069,-0.049,0
1.45,1.677,-0.396,0
0.46,1.282,0.712,0
1.04,-0.833,0.651,0
0.545,-0.06,-0.038,0
2.585,0.426,-0.3,0
1.17,0.783,-0.39,0
0.826,-0.274,0,0
0.936,1.76,-0.348,0
0.406,1.567,1.672,0
1.645,0.638,0,0
0.929,1.115,-0.46,0
1.174,-0.098,0.077,0
2.609,1.195,-0.377,0
0.89,0.931,-0.557,0
1.418,-0.596,0.561,0
2.888,-0.222,-0.158,0
2.767,-0.272,-0.148,0
0.346,0.51,-0.234,0
0.758,0.139,-0.177,0
2.64,0.609,-0.213,0
1.185,-0.6,0,0
0.432,0.7,-0.245,0
0.667,-0.804,2.286,0
1.838,0.24,-0.269,0
1.639,0.28,0.357,0
1.09,0.525,0,0
1.147,-0.844,0,0
1.822,-0.116,-0.094,0
0.813,1.109,0,0
0.333,-0.872,2.377,0
2.757,-0.163,-0.12,0
0.514,1.52,1.984,0
0.422,-0.08,0.119,0
1.984,-0.147,0.159,0
2.588,-0.372,-0.195,0
2.874,0.521,-0.205,0
-0.27,0.21,-0.082,0
2.506,-0.148,0.181,0
0.904,-0.803,-0.314,0
0.307,-0.594,0,0
1.188,0.388,0.274,0
2.591,-0.246,-0.286,0
1.241,-0.314,-0.624,0
0.346,0.154,-0.08,0
1.671,0.617,0.503,0
1.243,0.141,0.096,0
1.9,-0.474,-0.298,0
1.238,0.149,0.28,0
0.979,-0.612,-0.261,0
1.155,-0.087,0,0
0.54,0.216,-0.061,0
0.496,0.523,1.063,0
2.748,0.301,0.619,0
1.786,0.459,-0.209,0
0.673,0.194,-0.138,0
0.308,0.071,-0.098,0
0.491,-0.084,0.071,0
1.103,-0.458,0,0
0.705,1.91,-0.567,0
0.354,2.27,0,0
1.347,-0.318,0.438,0
1.763,-0.173,0,0
0.618,0.068,-0.039,0
2.408,0.347,-0.311,0
0.872,1.371,-0.449,0
1.88,0.322,-0.118,0
0.741,0.956,-0.372,0
1.153,0.371,-0.395,0
1.135,-0.448,-0.214,0
0.402,-0.298,-0.115,0
1.547,0.156,-0.065,0
3.369,0.541,0,0
1.911,-0.211,-0.202,0
1.968,0.196,-0.412,0
0.675,1.631,-0.593,0
1.692,-0.312,1.608,0
0.836,1.056,0,0
1.316,-0.723,-0.384,0
1.661,-0.141,0.107,0
1.111,-0.639,-0.268,0
2.586,0.292,-0.18,0
0.423,1.862,0,0
0.55,1.204,-0.368,0
1.108,-0.552,0,0
1.811,0.257,0.119,0
0.532,1.25,2.511,0
2.821,-0.249,0.884,0
4.378,-0.253,-0.163,0
1.008,-0.777,0,0
1.403,-0.336,2.016,0
2.527,0.336,0,0
1.985,-0.162,0,0
2.062,1.29,-0.369,0
1.569,0.332,0.285,0
1.333,0.746,-0.266,0
1.081,-0.237,0.313,0
-0.306,-0.087,-0.065,0
2.98,-0.307,-0.158,0
0.771,0.116,0.084,0
3.365,0.36,0.689,0
1.179,0.682,-0.224,0
3.375,0.611,-0.189,0
1.436,0.158,0.299,0
0.373,1.402,2.043,0
0.858,-0.718,-0.535,0
1.272,0.585,-0.227,0
0.401,0.717,-0.291,0
0.891,-0.51,0,0
2.911,-0.224,0.187,0
3.102,-0.27,-0.21,0
1.009,-0.555,-0.271,0
2.018,-0.568,-0.291,0
2.263,0.226,0.161,0
3.27,0.338,0.678,0
0.495,2.321,0,0
0.561,0.475,0.341,0
0.648,0.111,-0.049,0
1.547,0.466,-0.268,0
-0.317,0.126,0.093,0
1.667,-0.211,0,0
1.38,-0.12,0,0
0.561,2.211,0,0
0.295,0.62,-0.96,0
0.481,0.109,0.077,0
2.661,-0.18,-0.131,0
0.298,1.854,1.152,0
0.66,0.068,-0.04,0
1.997,-0.163,-0.101,0
2.389,-0.245,0.238,0
2.187,-0.179,0.181,0
1.695,0.264,0.15,0
0.973,1.023,-0.353,0
2.127,0.22,-0.124,0
0.879,0.208,-0.094,0
1.114,-0.101,0.072,0
0.525,0.236,-0.124,0
0.544,-0.782,2.112,0
0.472,1.996,-0.781,0
1.852,0.406,1.379,0
3.135,0.456,0.664,0
1.279,-0.599,0.462,0
2.19,-0.51,0,0
2.777,-0.227,-0.131,0
1.372,0.604,1.309,0
