@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
2.941,0.657,-0.331,0
0.105,0.576,0.83,1
0.151,0.642,1.281,1
1.089,1.423,-0.123,0
0.464,1.792,-0.517,0
0.268,2.164,0.63,0
0.832,2.711,0.381,0
0.341,1.007,-0.772,0
1.752,1.47,-0.437,1
0.17,1.356,0.333,0
0.238,0.475,1.637,0
0.389,0.55,1.13,1
0.861,1.811,0.212,0
1.437,1.91,0.563,1
3.307,0.503,-0.156,0
3.06,0.584,0.326,0
0.41,1.009,-0.555,0
0.144,0.713,1.197,0
0.772,2.995,-0.321,0
0.096,0.433,2.096,1
0.131,0.5,1.7,0
1.923,0.966,0.301,0
0.14,0.996,-0.721,0
2.153,1.127,-0.105,0
1.021,2.274,-0.19,0
0.797,2.197,-0.19,0
1.022,1.607,-0.109,0
0.159,0.378,-0.601,0
0.755,1.277,-0.426,0
3.079,0.491,-0.084,0
3.341,-0.275,-0.069,0
0.954,1.444,0.716,1
-0.668,-0.709,-0.143,0
0.106,0.455,1.748,0
0.925,2.303,-0.144,0
0.421,1.494,1.755,1
0.19,0.496,1.781,0
0.195,1.204,-0.432,0
-0.185,-0.656,-0.64,0
2.786,-0.269,0.11,0
0.231,0.52,1.957,1
0.41,2.084,0.426,0
0.618,0.884,1.215,1
3.381,0.566,0.202,0
0.325,0.758,0.746,0
2.946,1.555,-0.097,0
0.25,0.5,0.831,0
0.185,0.932,-0.612,0
0.228,0.471,1.183,0
0.179,0.448,1.786,0
1.098,2.692,0.348,0
0.226,0.704,1.741,0
0.558,3.17,-0.281,0
2.675,0.309,0.984,0
1.173,1.814,0.741,1
2.62,1.082,-0.239,0
1.219,2.015,-0.187,0
0.779,2.109,-0.419,1
0.563,3.544,0.456,0
-0.063,0.752,1.324,1
0.598,0.932,1.787,1
0.383,1.267,0.575,0
0.116,0.719,0,1
1.989,1.975,-0.18,0
0.671,1.538,0.191,0
0.995,1.846,1.53,1
0.348,0.602,-0.748,1
1.607,2.311,0.222,0
0.258,0.861,1.026,1
0.976,0.774,-0.091,0
0.436,0.734,1.698,1
0.16,0.374,0.482,1
2.558,0.561,0.475,0
0.287,0.883,0.842,1
0.191,0.395,0.544,0
2.045,0.531,-0.445,0
0.227,0.686,1.873,0
1.928,2.195,-0.138,0
0.635,3.459,-0.291,0
0.536,3.273,-0.307,0
0.218,1.149,-0.724,0
2.521,0.476,0.147,0
1.591,1.104,0.729,1
0.56,2.372,0.278,0
2.287,-0.234,0.176,0
0.231,1.136,-0.638,0
0.498,3.28,-0.242,0
3.097,0.575,0.275,0
0.892,1.352,0.861,1
0.383,2.201,0.739,0
0.132,0.515,1.668,1
1.292,1.044,0.134,0
1.254,2.545,0.227,0
0.069,0.269,0.931,0
0.505,0.534,-0.799,1
0.264,1.064,-0.627,0
0.359,0.601,0.928,0
0.529,2.477,-0.484,0
0.277,1.079,-0.688,0
0.345,2.558,-0.497,0
1.37,0.965,0.638,1
0.129,0.546,0.53,0
1.598,1.054,0.808,1
0.121,0.172,-0.439,1
1.146,1.998,-0.189,0
2.095,0.66,0.068,0
1.122,2.532,-0.158,0
0.202,0.733,0.343,1
1.051,2.748,0.301,0
0.982,2.68,0.265,0
1.58,1.639,0.28,0
0.243,1.265,-0.524,0
2.239,0.89,0.245,0
0.325,1.122,-0.798,0
2.035,1.232,0.103,0
-0.076,0.341,1.026,1
0.24,1.851,0.286,0
0.36,2.311,-0.289,0
0.221,1.321,-0.503,0
0.6,1.791,0.983,0
1.877,2.205,0.191,0
0.88,2.242,0.587,1
0.127,0.422,1.954,1
0.348,1.079,1.109,1
2.463,1.019,0.113,0
2.509,0.448,-0.387,0
0.214,0.508,0.927,1
1.773,1.634,-0.121,0
0.87,3.42,-0.245,0
0.319,3.013,0.295,0
0.246,0.559,1.542,0
0.323,0.577,1.267,1
0.364,2.186,0.215,0
0.375,2.068,0.311,0
0.532,0.434,1.443,1
0.271,0.641,2.283,1
1.342,1.218,-0.098,0
0.615,0.985,-0.563,1
0.295,0.837,2.826,1
2.074,2.103,0.601,0
0.678,0.655,1.735,1
0.32,2.883,-0.216,0
0.371,1.194,0.687,0
2.039,1.226,0.35,0
1.329,1.413,0.69,1
0.74,2.248,-0.25,0
0.278,2.076,1.383,1
0.257,0.317,2.224,0
2.601,0.422,-0.08,0
0.206,1.345,0.693,0
0.21,0.45,0.946,1
0.503,2.681,-0.278,0
0.084,0.41,0.671,0
0.166,0.873,-0.837,0
0.253,2.692,0.274,0
0.327,0.51,-1.004,1
0.133,0.506,0.84,1
0.783,3.076,0.304,0
0.331,1.72,0.3,0
0.529,3.296,0.887,0
0.289,1.059,-0.874,1
1.926,0.811,0.162,0
0.17,0.463,-0.848,0
2.607,0.359,0.093,0
0.792,2.015,1.552,0
0.346,0.526,1.195,1
0.235,0.966,-0.638,0
1.654,1.518,0.716,0
-0.147,-0.297,1.205,1
0.15,0.661,2.273,0
3.156,0.537,-0.065,0
1.338,1.555,0.516,0
0.657,2.138,0.292,0
0.134,0.326,-0.788,0
3.607,0.572,0.327,0
0.352,1.147,0.647,0
0.586,2.32,-0.587,0
0.132,0.543,1.6,1
0.135,0.584,2.355,0
0.249,1.147,-0.844,0
0.328,0.901,1.194,0
0.245,1.495,0.718,0
0.115,0.444,2.178,0
0.324,0.411,1.456,0
0.371,1.222,0.645,0
2.324,0.65,0.131,0
1.604,0.991,0.869,1
2.785,0.581,-0.073,0
0.763,1.414,-0.299,1
0.442,2.568,0.469,0
2.631,0.604,0.098,0
0.426,0.754,0.915,1
2.112,1.354,-0.097,0
0.176,0.472,-0.583,1
0.487,1.881,1.629,1
2.043,1.455,0.394,0
0.454,0.99,0.833,1
0.515,2.984,0.352,0
0.687,2.277,-0.354,0
0.375,1.797,0.401,0
2.177,1.375,-0.083,0
3.098,0.358,-0.324,0
0.706,0.837,0.916,1
0.215,2.081,0.287,0
0.115,0.528,2.296,0
1.208,1.688,-0.256,1
2.558,0.56,0.476,0
0.999,2.345,1.402,0
0.333,1.906,0.714,1
1.19,1.647,-0.121,0
0.067,0.286,-0.454,0
0.173,0.362,1.387,1
1.6,0.579,0.082,0
0.121,0.544,0.468,1
2.168,0.402,-0.083,0
2.836,0.582,0.178,0
0.886,1.555,-0.56,1
0.069,0.562,0.474,0
-0.058,-0.256,-0.954,1
1.487,1.568,-0.261,0
0.258,0.699,2.133,1
1.483,1.798,0.921,0
0.559,2.521,0.648,0
0.686,1.876,-0.326,0
0.325,0.815,1.28,1
0.122,0.512,1.683,1
2.374,1.034,0.187,0
-0.082,0.579,1.848,0
0.317,1.119,-0.864,1
1.064,2.8,-0.204,0
2.995,1.389,-0.106,0
0.596,0.671,1.095,1
2.44,1.136,-0.074,0
1.288,2.328,-0.201,0
0.349,0.794,0.913,1
1.146,2.943,0.472,0
0.118,0.497,1.743,1
1.4,1.01,0.159,0
1.293,1.097,-0.596,0
1.018,0.77,0.075,0
1.721,0.578,-0.13,0
0.423,0.691,0.941,1
0.644,1.088,-0.51,0
1.836,0.751,0.134,0
0.388,0.577,1.54,1
0.573,0.92,0.78,0
1.098,2.506,-0.148,0
0.786,0.546,1.737,1
0.348,0.808,0.932,1
0.365,0.624,0.956,0
0.201,0.892,1.008,1
1.963,1.677,-0.109,0
0.179,0.781,-0.787,1
1.688,1.674,-0.348,0
3.343,-0.28,0.077,0
1.585,0.407,-0.081,0
1.103,0.633,-0.626,1
0.677,1.413,0.194,0
0.807,1.334,0.168,0
0.371,0.535,1.079,1
0.584,1.42,-0.159,0
0.795,0.861,1.715,1
1.053,0.573,1.495,1
0.242,0.533,1.327,1
0.529,3.296,0.887,0
3.772,0.877,0.11,0
0.228,1.044,-0.663,0
0.446,1.034,0.914,0
-0.319,0.635,1.262,1
0.912,1.59,-0.121,0
1.58,1.14,0.11,0
-0.18,1.99,0.489,0
0.636,1.985,-0.162,0
0.719,1.661,-0.141,0
0.305,0.599,1.92,1
0.493,2.278,1.631,0
0.601,0.905,1.777,1
1.153,1.839,-0.112,0
0.321,1.628,-0.561,0
0.302,0.65,1.893,1
0.65,3.042,-0.256,0
0.172,0.894,-0.842,0
0.21,0.749,0.986,1
0.496,2.197,0.405,0
1.165,2.441,0.367,0
0.088,0.271,0.455,0
3.363,0.586,0.657,0
2.157,2.183,-0.115,0
1.128,1.33,-0.114,0
0.693,0.627,2.078,1
0.922,2.596,-0.255,0
1.062,1.602,-0.576,1
0.434,2.539,-0.374,0
0.15,0.827,1.827,1
0.207,0.658,0.616,1
0.397,0.91,-0.616,0
1.095,1.291,-0.132,0
0.42,0.333,1.17,0
-0.107,-0.515,-1.526,1
1.274,1.307,-0.079,0
0.74,3.439,-0.276,0
0.499,1.921,-0.35,0
0.649,1.762,-0.448,0
-0.158,2.19,-0.51,0
1.903,0.797,0.146,0
0.189,0.529,-0.704,0
-0.092,-0.391,-0.685,1
1.057,1.935,-0.473,1
0.934,3.018,0.233,0
0.285,1.068,1.394,0
0.502,2.169,-0.253,0
2.466,0.78,-0.118,0
0.67,1.848,-0.135,0
2.055,1.155,0.227,0
1.147,0.598,0.636,1
0.284,1.148,1.726,0
0.564,1.168,-0.494,1
1.653,0.732,0.065,0
0.122,0.724,1.292,1
0.447,1.651,-0.547,0
1.157,2.253,-0.457,1
0.064,0.517,0.498,0
-0.069,-0.273,1.198,1
1.065,2.259,0.252,0
0.805,1.398,0.222,0
0.774,1.042,-0.652,1
0.192,0.292,1.358,1
0.233,1.469,1.012,0
0.635,3.054,0.31,0
2.539,1.247,0.146,0
0.349,1.736,-0.502,0
0.496,1.938,-0.645,0
0.233,0.385,1.504,1
1.746,1.608,-0.123,0
0.456,1.275,-0.418,0
0.128,0.351,2.105,0
0.273,2.073,0.313,0
0.173,0.406,-0.594,0
0.761,1.655,-0.175,0
0.32,0.822,0.806,1
0.269,1.041,-0.754,0
0.515,2.151,-0.176,0
0.373,1.511,0.323,0
0.274,3.21,0.411,0
0.555,2.696,-0.288,0
0.531,2.018,-0.568,0
0.552,2.956,0.285,0
0.334,0.9,1.297,0
0.325,0.854,1.221,1
-0.081,-0.263,-0.581,1
0.085,0.356,1.604,0
0.736,0.75,2.181,1
3.218,-0.364,0.094,0
0.337,1.199,1.051,1
2.911,0.745,0.264,0
0.419,0.601,1.045,1
0.723,0.723,-0.667,0
0.211,0.679,1.488,0
0.115,0.514,0.725,1
0.352,2.01,0.314,0
0.984,2.472,-0.149,0
0.279,1.643,0.331,0
1.274,1.755,-0.111,0
