@relation phoneme

@attribute Ao numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
2.458,-0.124,0
-0.214,0.073,0
1.178,-0.067,0
2.256,-0.224,0
1.631,-0.263,0
0.346,-0.08,0
0.522,0.977,0
2.43,-0.194,0
1.678,0.158,0
1.783,-0.15,0
1.326,-0.15,0
1.426,0.22,0
2.581,-0.201,0
1.671,0.503,0
1.034,0.2,0
0.356,1.424,0
-0.254,-0.101,0
1.769,-0.282,0
-0.188,0,0
1.764,-0.117,0
2.076,-0.314,0
2.668,0,0
1.068,-0.447,0
2.718,0.342,0
2.61,0.22,0
1.004,-0.361,0
2.01,-0.135,0
2.104,-0.112,0
2.225,0.18,0
1.503,0,0
0.552,0,0
0.384,-0.834,0
1.78,-0.286,0
1.276,-0.376,0
2.225,-0.107,0
0.593,-0.446,0
0.858,0.509,0
2.048,-0.455,0
1.48,0,0
-0.213,-0.094,0
0.372,0.069,0
0.615,0.054,0
2.238,-0.135,0
1.806,-0.155,0
1.811,-0.256,0
2.6,-0.107,0
1.797,-0.283,0
1.113,0.069,0
1.127,-0.062,0
0.351,0.045,0
1.587,-0.479,0
0.773,0.553,0
1.59,0.067,0
1.373,-0.058,0
1.87,-0.084,0
3.259,0.157,0
0.503,0.598,0
0.521,-0.142,0
1.569,0.285,0
0.61,0.749,0
-0.361,0.069,0
2.255,0.309,0
0.903,0,0
1.064,-0.305,0
0.354,0,0
3.348,0,0
2.348,-0.173,0
1.984,-0.118,0
1.464,-0.627,0
0.735,0.067,0
1.982,-0.411,0
0.706,0.447,0
1.316,-0.384,0
2.17,0,0
1.307,0,0
1.489,0,0
2.369,0.898,0
0.845,-0.294,0
1.794,-0.119,0
1.03,-0.075,0
1.88,-0.118,0
0.509,-0.06,0
2.741,1.173,0
-0.211,-0.061,0
0.508,0,0
1.068,-0.297,0
1.071,-0.313,0
1.001,-0.21,0
1.315,0,0
-0.306,0.056,0
2.278,0.544,0
2.16,0,0
1.63,-0.395,0
2.782,-0.138,0
0.333,2.377,0
0.784,0,0
0.54,-0.038,0
1.84,-0.245,0
2.346,-0.17,0
2.425,0,0
2.885,0,0
1.529,0.092,0
0.848,0.112,0
2.728,0.686,0
0.302,0,0
2.259,0.342,0
2.498,-0.137,0
1.304,-0.416,0
0.895,-0.559,0
2.401,-0.123,0
2.711,0,0
1.983,-0.123,0
1.128,0.417,0
2.047,-0.124,0
-0.251,-0.32,0
0.76,0.08,0
2.328,0.175,0
1.598,0.503,0
1.794,-0.285,0
3.147,-0.331,0
0.561,-0.512,0
2.211,0,0
3.131,-0.308,0
2.638,-0.246,0
2.363,-0.173,0
-0.273,-0.095,0
0.75,-0.606,0
-0.341,0.066,0
1.205,0,0
1.503,-0.164,0
0.989,0.408,0
1.555,1.038,0
0.551,0.986,0
1.795,0.929,0
0.616,0,0
0.627,0,0
0.678,-0.546,0
0.496,-0.047,0
0.61,0.102,0
1.848,-0.357,0
1.266,0,0
1.098,-0.39,0
3.51,0.275,0
1.254,-0.215,0
1.473,0,0
1.559,-0.07,0
1.987,-0.254,0
1.817,-0.279,0
0.395,0,0
1.38,-0.219,0
2.915,-0.177,0
1.089,-0.103,0
1.265,0,0
2.24,0,0
2.386,0.164,0
0.508,-0.046,0
1.806,-0.177,0
0.825,-0.319,0
2.345,1.167,0
0.411,-0.777,0
3.42,-0.139,0
1.778,0.108,0
1.934,0,0
-0.317,0.055,0
1.235,-0.358,0
2.779,0.271,0
1.264,0,0
1.306,-0.537,0
2.274,0.129,0
2.286,-0.116,0
1.585,1.72,0
0.973,-0.353,0
2.054,0.223,0
0.966,0.228,0
0.779,0.122,0
2.712,-0.2,0
0.267,-0.08,0
1.247,0.269,0
1.443,0,0
0.767,0.416,0
1.247,-0.184,0
1.631,0,0
1.951,-0.175,0
1.203,-0.384,0
2.193,-0.132,0
3.033,0.682,0
1.782,-0.079,0
0.601,0.925,0
2.79,-0.225,0
-0.32,0.082,0
0.672,0,0
1.717,-0.322,0
2.771,-0.268,0
-0.233,0.063,0
2.033,0,0
-0.264,-0.049,0
2.457,0.158,0
2.263,0.161,0
0.994,-0.384,0
1.412,0.309,0
2.304,-0.259,0
0.675,-0.593,0
2.361,-0.162,0
0.788,0,0
2.322,-0.093,0
0.694,0.607,0
0.524,-0.129,0
2.151,-0.094,0
1.772,0.137,0
2.162,1.611,0
1.892,0.741,0
0.355,-0.047,0
2.212,-0.401,0
1.079,0,0
0.592,-0.056,0
1.051,0,0
3.365,0.689,0
1.537,-0.083,0
0.962,-0.38,0
0.502,-0.594,0
0.717,-0.068,0
2.773,0.156,0
0.867,0.559,0
2.093,-0.448,0
0.667,-0.456,0
2.181,0,0
2.309,0.533,0
1.534,-0.069,0
1.07,-0.051,0
1.298,0.095,0
-0.244,-0.058,0
0.892,-0.307,0
1.009,-0.06,0
0.452,1.046,0
0.728,-0.239,0
0.732,-0.056,0
0.476,-0.051,0
0.789,-0.934,0
1.416,-0.299,0
2.237,1.332,0
0.399,0,0
1.811,0.301,0
0.526,-0.709,0
1.05,-0.089,0
1.741,-0.175,0
0.603,-0.163,0
0.932,-0.177,0
2.068,-0.129,0
-0.238,0.09,0
2.548,-0.331,0
-0.213,-0.093,0
0.858,-0.535,0
0.399,0,0
1.393,0,0
0.755,0,0
0.624,0,0
2.345,-0.391,0
1.044,0,0
2.131,0.746,0
2.31,-0.101,0
2.762,-0.116,0
1.594,0,0
2.219,-0.247,0
1.344,-0.16,0
0.335,0,0
0.834,0.085,0
2.033,-0.432,0
1.876,0,0
0.362,-0.705,0
0.387,-0.337,0
2.639,-0.265,0
1.719,0.846,0
1.78,-0.103,0
1.349,0.104,0
0.402,-0.051,0
2.506,0.181,0
1.788,0.303,0
1.259,0,0
2.471,-0.11,0
0.472,-0.781,0
1.046,-0.089,0
2.951,-0.133,0
1.012,0,0
1.441,-0.214,0
2.187,0,0
1.058,0.448,0
1.695,-0.163,0
1.327,-0.297,0
-0.296,-0.071,0
1.266,-0.206,0
3.241,0.327,0
3.309,-0.152,0
1.623,-0.093,0
2.745,0.161,0
1.695,0.15,0
0.403,-0.068,0
0.524,-0.191,0
0.497,1.159,0
0.681,0.56,0
2.186,-0.227,0
1.483,1.016,0
1.643,-0.118,0
1.818,-0.302,0
1.797,-0.274,0
2.205,-0.116,0
0.985,0,0
2.152,0.185,0
0.79,-0.517,0
1.023,-0.534,0
1.334,0,0
2.596,-0.163,0
1.612,0.511,0
0.638,-0.035,0
1.516,-0.187,0
0.448,-0.631,0
0.688,0,0
0.558,-0.662,0
0.891,0,0
1.694,-0.117,0
2.3,-0.161,0
0.673,-0.4,0
1.174,-0.205,0
0.444,0,0
0.633,-0.181,0
1.555,0.149,0
0.872,-0.449,0
1.277,0,0
0.381,-0.478,0
1.733,0,0
1.865,0.994,0
1.604,-0.134,0
0.55,-0.122,0
1.159,-0.285,0
0.297,-0.084,0
0.333,-0.791,0
0.656,-0.067,0
2.211,-0.136,0
-0.211,-0.062,0
-0.267,-0.059,0
0.479,0.082,0
0.314,0,0
0.285,0.297,0
2.845,0.617,0
2.116,0.318,0
1.89,-0.243,0
3.001,-0.166,0
0.562,-0.073,0
1.223,-0.184,0
0.301,-0.084,0
1.811,0.119,0
1.414,0,0
1.663,-0.119,0
1.367,0.133,0
1.626,0.394,0
0.301,-0.43,0
0.351,1.222,0
2.261,0.21,0
1.677,0.106,0
1.822,-0.094,0
1.21,0.55,0
1.383,-0.179,0
2.541,0.153,0
1.855,0.261,0
-0.211,-0.058,0
1.236,-0.058,0
1.705,1.781,0
0.435,-0.722,0
0.551,0.401,0
2.248,-0.145,0
1.178,0.071,0
2.081,0.177,0
0.392,1.125,0
0.847,-0.562,0
