@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-3,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Dcl numeric
@attribute Class {0,1}

@data
1.24,0.875,-0.205,0
0.96,0.712,-0.143,0
0.108,0.464,1.302,0
0.747,1.029,1.346,1
0.96,1.09,0.513,1
0.531,2.105,-0.397,0
3.084,0.782,-0.166,0
0.141,0.64,0.922,1
0.148,0.777,1.533,0
0.64,2.462,1.133,0
0.352,1.828,-0.377,0
0.515,0.457,1.714,1
-0.077,-0.174,0.431,0
-0.145,1.424,1.738,0
0.303,1.426,0.978,0
0.213,1.448,0.992,0
0.324,1.276,0.55,0
1.026,2.185,-0.539,0
0.648,0.484,0.776,0
1.16,1.236,-0.238,0
2.586,0.614,0.19,0
0.999,2.847,0.928,1
0.377,0.801,2.391,1
0.157,0.841,0.912,0
1.576,1.608,-0.304,0
3.223,0.698,-0.13,0
0.145,0.392,0.477,0
1.918,1.214,0.261,0
0.735,2.882,1.014,0
2.885,-0.282,1.362,0
0.991,2.986,0.833,0
0.208,0.897,0.738,1
4.107,0.607,-0.107,0
0.195,0.419,1.9,1
2.917,1.008,0.494,0
0.365,0.876,0.9,1
0.711,2.448,-0.47,0
0.358,0.471,2.017,1
0.294,1.074,0.746,1
0.247,1.17,2.051,0
0.55,2.247,0.744,0
3.221,0.509,-0.151,0
0.308,2.612,-0.517,0
2.286,1.321,0.696,0
1.543,1.994,-0.283,0
0.192,1.594,2.314,0
0.201,1.552,0.829,0
0.156,0.678,1.319,1
0.134,0.681,1.628,0
0.257,0.577,0.638,0
0.55,1.931,-0.482,0
1.002,1.378,1.598,1
0.205,1.397,1.363,0
0.117,0.276,0.554,0
1.952,1.886,0.387,0
-0.239,3.211,-0.684,0
3.065,0.355,-0.113,0
0.708,2.221,-0.545,0
3.061,0.583,0.224,0
0.078,0.353,0.424,0
1.49,1.435,-0.249,0
1.012,1.612,-0.3,0
1.004,2.192,1.276,0
0.091,0.443,0.427,0
0.622,3.087,-0.758,0
0.396,1.382,1.724,1
0.518,2.673,1.493,0
0.847,1.63,-0.328,0
0.366,1.727,0.828,0
0.239,0.547,0.397,0
1.065,2.259,-0.486,0
0.136,0.717,1.145,1
0.207,1.141,1.935,0
0.978,0.816,1.927,1
0.785,2.821,1.234,1
1.952,0.499,0.188,0
0.53,2.274,-0.541,0
2.342,1.805,-0.33,0
1.654,1.517,0.68,0
1.063,2.585,-0.415,0
0.23,0.926,1.236,1
0.314,2.164,1.565,0
-0.164,0.342,0.758,1
0.683,3.51,-0.562,0
0.665,2.972,-0.438,0
0.425,1.439,0.424,0
0.208,0.617,0.643,1
0.326,0.7,0.62,1
0.106,0.468,0.906,1
0.582,0.496,0.81,1
2.364,0.747,0.321,0
2.975,0.585,-0.127,0
1.303,1.852,-0.364,0
1.121,1.599,0.512,0
2.756,0.266,0.158,0
0.346,1.789,0.629,0
0.31,0.496,1.401,1
2.036,1.325,0.513,0
-0.154,-0.237,-0.372,1
0.402,2.047,-0.326,0
0.27,1.23,2.807,0
0.1,0.261,0.323,0
0.102,0.564,0.579,0
0.441,1.842,-0.321,0
0.125,0.446,0.441,0
0.134,0.494,-0.522,0
3.027,0.863,-0.149,0
0.192,0.982,2.439,0
1.62,1.209,1.446,1
0.947,2.776,0.745,0
0.412,2.62,0.73,0
1.022,1.834,-0.253,0
0.942,0.966,-0.214,0
0.431,0.681,2.374,1
2.427,0.253,0.514,0
0.495,2.94,-0.701,0
1.108,1.182,0.35,0
2.032,0.524,0.118,0
0.435,1.86,0.716,0
0.517,1.513,1.587,1
0.223,0.395,0.399,0
0.691,1.179,1.665,0
0.503,3.593,-0.575,0
0.42,0.862,2.552,0
0.891,1.352,1.66,1
0.242,1.661,1.102,0
3.055,0.508,-0.123,0
0.699,1.203,1.834,1
0.104,0.356,0.453,0
0.648,0.754,1.927,1
1.152,2.062,0.808,0
0.356,0.847,-1.823,0
0.89,1.93,1.45,1
0.287,0.938,1.769,1
0.685,3.172,-0.565,1
1.09,1.212,1.154,1
2.763,0.624,0.157,0
0.234,1.459,2.048,0
0.589,0.89,1.737,0
0.526,2.483,1.42,0
0.123,0.726,0.707,0
0.267,1.309,1.846,0
2.522,0.476,0.192,0
0.435,2.408,1.477,0
0.219,1.279,2.585,0
2.014,0.545,-0.107,0
0.314,0.665,0.361,1
0.822,1.043,1.901,1
0.519,1.999,2.438,0
2.967,1.482,0.376,0
0.378,2.203,1.577,0
2.092,1.178,0.318,0
0.162,0.753,0.951,1
0.627,2.967,-0.547,1
0.431,0.475,1.736,1
0.065,0.279,0.432,0
0.487,1.881,1.522,1
-0.32,-0.587,1.347,0
0.163,0.544,0.506,0
1.125,1.966,-0.354,0
1.265,2.212,-0.34,0
1.167,2.286,0.792,1
0.32,1.827,0.587,0
0.229,0.998,2.236,0
0.221,0.754,1.001,1
0.431,2.627,1.902,1
1.013,2.31,1.406,1
2.038,2.236,-0.452,1
1.859,0.81,0.183,0
0.218,1.072,1.943,0
0.537,1.104,1.705,1
2.942,0.53,-0.105,0
0.167,0.364,0.556,0
0.196,0.525,0.651,0
3.164,-0.263,-0.098,0
1.4,1.26,0.292,0
0.253,0.406,0.468,0
3.169,0.412,-0.148,0
0.156,0.464,0.533,1
0.458,1.129,0.473,1
-0.104,0.551,1.352,0
1.68,2.342,-0.337,0
0.593,2.432,-0.471,0
3.264,-0.306,-0.135,0
0.386,2.363,-0.524,0
0.345,2.155,-0.48,0
0.729,1.166,1.935,1
2.283,-0.2,0.092,0
0.226,1.21,-0.274,0
0.099,0.378,0.766,1
0.179,0.878,0.698,1
0.671,0.593,2.116,1
0.435,3.341,-0.518,0
0.348,0.918,2.355,0
0.607,2.526,1.618,0
0.182,0.515,0.739,1
0.236,0.46,2.043,0
0.337,1.18,1.616,0
0.339,1.134,2.134,0
0.961,1.678,1.486,1
0.463,2.963,-0.63,0
0.817,1.094,-0.228,0
0.202,0.733,0.89,1
0.213,0.962,2.447,1
0.122,0.573,1.393,0
1.453,2.15,-0.566,0
0.305,1.943,1.757,0
0.341,1.223,1.633,1
0.736,2.493,-0.363,0
0.334,0.442,0.958,0
0.89,2.258,-0.475,0
3.012,1.408,0.341,0
0.1,0.405,0.58,0
0.876,3.241,-0.58,0
0.534,2.848,-0.663,0
0.305,0.599,0.826,1
-0.165,1.809,1.261,0
2.074,1.149,0.493,0
2.869,1.077,0.523,0
-0.184,0.485,-0.671,1
0.061,0.266,0.403,0
0.221,0.609,0.635,0
2.444,0.273,0.139,0
0.763,3.172,-0.441,0
0.816,3.026,-0.454,0
0.218,1.432,1.361,0
0.716,3.174,-0.412,0
0.461,0.809,0.511,1
1.509,1.922,0.539,0
0.111,0.452,0.574,1
0.108,0.402,0.264,1
0.356,0.551,1.79,0
0.158,0.416,0.499,0
0.099,0.472,1.064,0
0.269,0.725,2.656,1
1.415,1.529,-0.248,0
0.441,0.794,1.914,1
0.573,0.733,2.036,1
0.215,0.376,0.637,1
0.48,0.656,1.949,1
0.096,0.326,0.449,0
0.54,2.787,-0.667,0
0.983,1.915,1.802,1
0.162,1.153,1.582,0
0.567,0.907,1.464,1
0.424,0.428,1.041,0
0.278,2.433,1.106,0
0.962,1.664,1.233,1
0.898,2.733,-0.381,0
-0.152,1.182,2.085,0
0.265,0.819,2.52,0
-0.142,0.613,0.589,1
0.465,0.871,1.689,1
2.013,2.143,-0.487,0
0.675,2.915,0.996,0
-0.132,0.94,2.238,0
0.583,0.594,1.341,1
0.171,0.913,0.815,0
