@relation phoneme

@attribute Ao numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
2.521,1.509,0.648,0
1.88,2.01,-0.49,0
1.57,-0.209,-0.115,0
0.617,1.67,0.864,0
1.489,-0.244,0.509,0
-0.211,0.222,0.166,0
2.589,-0.44,0.251,0
1.135,1.02,0.486,0
0.435,-0.11,0.086,0
0.337,0.513,1.485,0
0.268,-0.11,0.081,0
-0.2,0.092,0.071,0
0.447,1.278,1.595,0
0.345,0.36,0.969,0
0.966,0.365,0.301,0
0.823,-0.409,1.83,0
1.191,0.628,-0.277,0
0.989,0.485,0.537,0
2.692,-0.599,0.624,0
1.028,1.768,0.56,0
2.612,-0.517,0.271,0
2.963,-0.63,0.324,0
1.03,0.349,0.219,0
2.609,-0.435,-0.262,0
1.98,1.237,-0.433,0
3.096,-0.604,0.416,0
0.67,0.619,1.042,0
2.047,0.878,0.322,0
1.206,-0.296,-0.096,0
2.842,-0.383,-0.161,0
0.786,-0.151,0.115,0
2.114,-0.458,-0.191,0
1.763,0.499,-0.173,0
2.125,1.012,0.494,0
1.822,-0.334,-0.116,0
2.775,0.717,0.833,0
2.31,-0.321,-0.157,0
1.428,1.474,0.525,0
0.48,1.235,-0.285,0
1.271,-0.244,0.122,0
0.672,0.783,1.99,0
1.473,-0.26,0.322,0
1.351,0.438,-0.138,0
0.557,-0.134,0.181,0
0.877,-0.15,0.11,0
1.071,2.003,-0.609,0
0.448,0.241,0.089,0
0.629,0.355,-0.085,0
2.804,-0.435,1.197,0
3.041,-0.547,-0.242,0
3.211,-0.684,-0.311,0
2.222,0.553,0.413,0
0.477,1.836,0.926,0
3.28,-0.608,-0.242,0
2.295,0.67,0.403,0
0.366,0.477,-0.74,0
0.725,0.86,1.092,0
1.108,1.706,-0.483,0
1.2,-0.279,-0.142,0
3.173,-0.631,-0.238,0
1.268,2.178,-0.809,0
2.845,0.779,-0.202,0
0.875,1.999,1.127,0
1.704,1.237,1.884,0
0.904,2.035,1.594,0
0.679,-0.188,-0.127,0
0.838,2.266,-0.714,0
1.866,0.955,2.193,0
2,-0.385,0.288,0
1.89,1.988,-0.65,0
1.999,-0.415,-0.193,0
1.913,0.667,0.247,0
1.153,0.403,0.371,0
1.213,2.769,-0.858,0
2.064,-0.454,-0.342,0
2.225,-0.291,-0.145,0
3.176,-0.506,0.324,0
2.192,-0.436,0.264,0
0.472,-0.121,0.093,0
0.616,-0.1,-0.064,0
0.767,1.795,0.842,0
-1.011,-0.546,1.599,0
0.598,0.316,0.096,0
1.435,-0.182,-0.086,0
0.598,2.218,-0.606,0
3.142,-0.585,0.545,0
1.474,-0.182,-0.045,0
1.458,1.659,0.643,0
0.628,0.523,0.719,0
3.451,-0.597,-0.245,0
1.545,-0.303,0.181,0
1.631,0.505,0.34,0
0.577,1.302,1.116,0
2.733,-0.381,-0.161,0
2.425,1.323,0.685,0
1.547,-0.301,0.156,0
1.541,1.985,-0.539,0
