@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
2.941,1.493,-0.123,0
0.105,0.342,0,1
0.151,1.454,-0.716,1
1.089,-0.387,0.09,0
0.464,2.176,-0.327,0
0.268,0.991,0,0
0.832,-0.639,0,0
0.341,2.908,0.391,0
1.752,1.261,0.648,1
0.17,0.82,0,0
0.238,1.232,0.785,0
0.389,0.897,0,1
0.861,-0.291,-0.256,0
1.437,1.583,-0.165,1
3.307,-0.171,0.598,0
3.06,0.224,-0.088,0
0.41,2.024,-0.271,0
0.144,1.753,0,0
0.772,0.945,0.204,0
0.096,0.631,-0.896,1
0.131,1.297,-0.536,0
1.923,0.365,1.151,0
0.14,2.233,-0.281,0
2.153,0.359,-0.062,0
1.021,-0.52,-0.12,0
0.797,-0.479,0,0
1.022,-0.248,0.11,0
0.159,0.46,1.794,0
0.755,-0.297,1.903,0
3.079,-0.124,0.071,0
3.341,-0.106,-0.051,0
0.954,1.608,0.689,1
-0.668,-0.391,-0.089,0
0.106,0.989,0,0
0.925,-0.408,-0.084,0
0.421,1.362,0,1
0.19,0.893,-0.507,0
0.195,1.497,0,0
-0.185,-0.802,-0.32,0
2.786,0.124,0.063,0
0.231,0.871,0,1
0.41,1.072,-0.289,0
0.618,1.435,-0.349,1
3.381,0.22,0.565,0
0.325,2.099,0.405,0
2.946,-0.247,-0.066,0
0.25,2.194,0.616,0
0.185,2.296,-0.258,0
0.228,1.647,0.704,0
0.179,1.268,-0.631,0
1.098,0.812,0,0
0.226,0.719,0,0
0.558,-0.711,0.197,0
2.675,0.452,-0.225,0
1.173,1.537,-0.208,1
2.62,1.435,-0.107,0
1.219,-0.417,0.156,0
0.779,1.791,-0.159,1
0.563,-0.707,0.484,0
-0.063,1.637,0.991,1
0.598,2.187,-0.49,1
0.383,1.145,-0.212,0
0.116,1.221,0,1
1.989,0.622,-0.102,0
0.671,-0.334,-0.129,0
0.995,0.799,-0.462,1
0.348,2.488,0.714,1
1.607,-0.381,0.163,0
0.258,0.683,0,1
0.976,-0.182,0.111,0
0.436,0.685,-1.012,1
0.16,0.269,0,1
2.558,0.573,0.341,0
0.287,0.887,0,1
0.191,0.643,0,0
2.045,2.079,-0.161,0
0.227,1.339,-0.671,0
1.928,-0.284,-0.097,0
0.635,-0.525,0.332,0
0.536,-0.604,-0.356,0
0.218,2.683,-0.426,0
2.521,0.192,-0.05,0
1.591,1.237,0.636,1
0.56,0.751,0.199,0
2.287,0.215,-0.085,0
0.231,2.493,0,0
0.498,-0.608,0,0
3.097,0.228,-0.078,0
0.892,1.659,0.854,1
0.383,1.691,-0.347,0
0.132,0.665,0.674,1
1.292,-0.364,0,0
1.254,-0.44,0.165,0
0.069,0.337,1.571,0
0.505,2.077,0,1
0.264,2.082,-0.305,0
0.359,1.712,0.925,0
0.529,0.875,1.482,0
0.277,2.757,0,0
0.345,-0.677,1.361,0
1.37,0.75,0.325,1
0.129,0.893,0,0
1.598,1.336,0.732,1
0.121,0.165,1.005,1
1.146,0.64,-0.178,0
2.095,-0.09,-0.04,0
1.122,-0.358,0.272,0
0.202,0.89,1.266,1
1.051,-0.42,0.619,0
0.982,-0.574,0.168,0
1.58,0.709,0.357,0
0.243,2.289,0,0
2.239,0.354,0.556,0
0.325,2.831,-0.366,0
2.035,-0.204,-0.063,0
-0.076,0.592,0,1
0.24,0.659,-0.11,0
0.36,-0.475,-0.147,0
0.221,1.726,-0.229,0
0.6,1.23,1.141,0
1.877,-0.484,-0.116,0
0.88,1.602,-0.178,1
0.127,0.942,-0.795,1
0.348,1.385,0.688,1
2.463,-0.147,0.08,0
2.509,1.68,-0.146,0
0.214,0.631,0,1
1.773,-0.276,0.105,0
0.87,-0.661,-0.139,0
0.319,-0.563,0.19,0
0.246,1.911,-0.597,0
0.323,0.736,0,1
0.364,-0.535,0.149,0
0.375,0.612,-0.129,0
0.532,1.216,1.977,1
0.271,0.805,-1.064,1
1.342,-0.269,0.086,0
0.615,1.8,0.401,1
0.295,1.527,-0.816,1
2.074,-0.494,-0.227,0
0.678,1.833,0.846,1
0.32,-0.428,-0.139,0
0.371,1.549,-0.474,0
2.039,0.508,-0.135,0
1.329,0.913,1.283,1
0.74,-0.622,-0.145,0
0.278,0.841,-0.414,1
0.257,0.61,-0.794,0
2.601,-0.144,0.119,0
0.206,1.822,0,0
0.21,0.747,0,1
0.503,-0.614,-0.178,0
0.084,0.827,0.478,0
0.166,2.163,-0.398,0
0.253,-0.521,0.166,0
0.327,1.476,1.941,1
0.133,1.022,-0.477,1
0.783,-0.424,0.399,0
0.331,0.6,-0.119,0
0.529,-0.577,-0.272,0
0.289,1.928,1.442,1
1.926,0.193,0.171,0
0.17,0.585,0,0
2.607,0.12,0.087,0
0.792,0.735,-0.427,0
0.346,1.47,1.876,1
0.235,2.033,-0.266,0
