@relation phoneme-weka.filters.unsupervised.attribute.Remove-V-R3-6

@attribute Dcl numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
2.555,-0.738,0,0
0.476,1.601,-0.424,0
-0.355,0.191,-0.122,0
0.404,0.694,0,0
0.495,0.475,-0.113,0
0.136,-0.078,-0.055,0
1.825,0.778,-0.253,0
-0.696,0.491,1.106,0
0.445,-0.312,1.608,0
1.947,-0.544,-0.228,0
2.051,-0.777,-0.572,0
0.76,1.611,0,1
2.305,-0.547,0.344,0
-0.287,0.167,-0.171,0
0.766,1.225,1.068,1
-0.372,-0.169,-0.099,0
0.871,2.022,-0.563,0
1.516,1.905,-0.85,1
1.959,1.106,-0.785,1
0.162,-0.078,-0.071,0
0.667,1.25,2.511,0
-0.202,0.14,0.133,0
-0.436,0.264,-0.166,0
0.883,1.338,0.705,1
-0.279,-0.144,-0.087,0
1.525,0.436,-0.162,1
0.64,1.019,-0.337,0
-0.529,0.724,0.488,0
0.988,-0.348,0.246,0
0.289,0.693,0,1
1.12,0.516,0,0
1.672,-0.313,-0.166,1
0.658,-0.432,1.155,0
0.92,1.652,-0.749,1
1.131,0.668,0.544,1
2.054,0.936,1.639,1
2.044,1.063,1.043,1
1.972,1,0.602,1
-0.158,-0.087,-0.055,0
-0.337,0.199,-0.146,0
2.104,0.725,0.368,0
0.176,0.112,-0.066,0
1.766,0.689,-0.253,0
0.337,1.426,1.803,0
1.045,-0.292,-0.134,0
0.567,0.668,0.487,0
-0.436,0.249,-0.268,0
1.186,0.882,-0.241,1
0.378,-0.617,1.555,0
2.834,-0.775,0,0
2.321,-0.849,0,0
-0.335,-0.184,-0.108,0
1.534,1.705,0,0
-0.423,-0.432,1.228,0
0.972,-0.205,-0.12,1
-0.624,0.388,-0.181,0
1.571,-0.461,0.272,0
0.495,0.252,0.503,0
-0.265,0.691,-0.179,0
0.93,2.435,-0.708,1
0.948,0.71,0,1
1.308,-0.341,-0.166,0
1.921,0.993,1.152,0
0.656,-0.263,-0.478,0
0.353,-0.574,2.136,0
-0.191,-0.082,0.068,0
1.192,1.328,-0.969,1
0.913,2.122,0,1
-0.304,-0.166,-0.145,0
1.977,-0.533,0.347,1
-0.363,0.917,-0.26,0
1.285,-0.31,-0.125,0
1.96,-0.564,0,0
-0.342,-0.125,-0.085,0
1.189,1.071,-0.285,0
1.476,0.789,-0.24,0
2.17,-0.68,0.545,1
-1.189,-1.581,0,0
1.751,1.019,1.024,1
0.65,-0.256,-0.17,0
0.188,0.15,-0.149,0
3.044,-0.554,0.514,1
1.235,0.459,-0.209,0
1.56,-0.458,0.4,1
1.35,0.51,-0.234,0
1.585,1.197,0,0
1.599,-0.563,-0.305,0
1.215,0.476,1.277,1
0.725,1.927,-0.783,1
0.409,0.853,1.596,0
2.468,-0.763,-0.41,0
-0.418,0.371,-0.197,0
1.54,1.066,-0.639,1
0.73,1.221,-0.88,1
-0.457,0.609,-0.213,0
1.687,1.186,-0.912,1
-0.639,-0.244,0.185,0
1.098,0.915,0,0
-0.348,-0.18,-0.124,0
2.428,-0.813,1.215,1
0.951,1.574,0,0
2.141,-0.605,0.721,1
1.315,0.605,-0.19,1
0.718,0.272,-0.117,0
0.459,0.427,-0.234,0
-0.355,-0.161,-0.096,0
0.617,1.456,-0.431,0
1.523,0.452,-0.19,0
1.824,1.145,1.123,0
1.327,1.72,-0.594,0
1.053,0.474,-0.168,1
-0.107,0.128,-0.052,0
1.726,1.098,0.834,1
1.354,-0.474,-0.239,0
0.87,0.832,0,1
1.366,-0.238,-0.117,0
0.491,2.14,-0.834,0
1.573,0.633,0.493,1
2.051,-0.63,0,0
-0.313,-0.136,0.141,0
-0.43,-0.171,-0.128,0
-0.208,-0.083,-0.055,0
0.16,0.133,-0.159,0
1.292,1.692,0,0
-0.376,-0.149,-0.119,0
2.678,-0.698,-0.321,0
2.471,-0.728,0,0
1.333,-1.124,1.503,1
0.412,1.417,0.709,1
2.77,-0.607,-0.242,1
1.163,-0.44,0,0
0.158,0.156,-0.06,0
-0.111,0.111,-0.049,0
1.302,2.198,-0.826,0
0.629,0.449,0,1
-0.409,1.83,-0.441,0
-0.349,0.217,0.126,0
0.149,0.139,-0.214,0
-0.313,-0.143,-0.099,0
0.164,-0.109,-0.113,0
0.501,2.147,-0.987,0
-0.107,0.1,-0.068,0
0.682,0.257,0.119,0
0.534,-0.32,0,0
1.774,0.993,1.777,1
0.52,1.231,0,1
-0.265,0.1,-0.054,0
1.101,0.546,-0.252,0
0.848,-0.477,0,1
1.352,-0.423,0,0
-0.535,-0.201,0.1,0
-0.59,1.191,-0.328,0
2.268,-0.641,0,0
1.311,1.481,1.496,1
1.644,-0.634,-0.324,1
1.282,2.081,-0.709,0
1.683,1.071,-0.371,1
0.395,-0.087,0.08,0
2.566,-0.72,-0.33,0
-0.322,-0.154,0.136,0
-0.46,0.286,0.73,0
0.488,0.576,0.307,0
2.391,-0.743,-0.506,1
1.012,0.685,0,0
1.148,1.169,-0.355,1
-0.386,-0.173,-0.111,0
0.477,-0.74,2.273,0
2.061,-0.848,-0.299,0
-0.59,0.371,0.953,0
1.474,0.525,-0.203,0
-0.603,0.545,0.249,0
0.348,-0.109,0.14,0
0.691,0.362,-0.155,0
0.419,1.115,-0.529,1
0.108,0.091,-0.082,0
0.349,1.286,0.849,1
1.964,-0.541,0,0
0.571,-0.407,-1.046,0
0.154,0.121,-0.149,0
1.148,1.169,-0.355,1
1.512,-0.365,-0.17,0
1.195,0.942,-0.477,1
1.327,-0.465,0.513,1
-0.525,-0.234,-0.129,0
1.368,0.627,1.016,0
0.622,1.844,-0.797,1
1.867,1.07,0,0
-0.188,-0.127,-0.092,0
2.024,-0.54,-0.505,0
1.237,1.884,-0.639,0
1.661,-0.459,-0.214,0
0.993,2.13,-0.793,1
0.875,-0.309,0.713,0
0.918,1.984,-0.614,0
2.105,0.852,0.415,1
-0.124,-0.072,-0.048,0
2.304,-0.48,-0.191,0
0.501,0.961,0.881,0
-0.407,-0.173,-0.095,0
1.711,-0.517,0,0
0.746,1.327,-0.638,1
0.595,1.601,1.188,1
0.841,-0.264,-0.257,1
1.606,-0.262,-0.131,0
0.955,2.193,-0.589,0
1.896,-0.601,-0.231,1
0.171,0.098,0.074,0
1.918,1.371,-0.449,0
0.977,1.266,1.975,1
1.248,-0.353,0.979,1
-0.779,-0.596,-0.316,0
1.502,0.533,-0.174,1
1.575,1.194,1.138,1
1.734,0.998,1.148,1
0.698,0.284,-0.124,0
0.122,0.118,-0.058,0
0.59,1.548,0.964,1
0.559,2.143,-0.666,0
0.188,0.226,-0.079,0
0.732,2.224,-0.639,0
2.069,-0.636,-0.238,0
-0.631,-0.238,0.162,0
-0.866,1.614,-0.935,1
1.116,-0.517,-0.274,0
2.709,-0.604,-0.236,1
0.933,-0.285,0.144,0
2.224,1.191,-0.418,1
0.778,1.253,0,1
0.664,0.275,0.172,0
0.542,1.816,-0.7,1
-0.143,-0.091,-0.053,0
-0.398,-0.194,-0.118,0
0.526,1.951,-0.665,0
2.079,-0.445,-0.161,0
0.654,1.529,1.854,1
-0.47,-0.213,-0.146,0
-0.346,-0.176,-0.113,0
1.008,0.828,0,1
0.755,0.602,1.173,0
-0.176,0.182,-0.065,0
1.394,1.683,-0.481,1
0.384,0.928,1.595,0
2.056,-0.463,0.378,1
0.164,0.12,-0.114,0
0.702,-0.169,0.202,0
1.898,-0.693,-0.27,0
0.866,1.565,-0.879,1
-0.384,-0.162,0,0
2.521,-0.627,-0.34,0
1.424,1.116,-0.667,1
-0.293,-0.102,-0.069,0
0.703,-0.743,1.456,1
1.183,0.64,-0.22,0
1.066,1.286,-0.362,1
-0.121,0.094,-0.051,0
0.187,-0.081,0.082,0
-0.149,0.116,0.062,0
0.775,1.07,1.176,0
2.339,-0.753,0.433,1
1.826,-0.546,-0.281,0
0.739,0.408,-0.143,0
-0.32,-0.148,-0.084,0
-0.434,0.238,-0.137,0
0.597,2.136,-0.791,0
-0.402,-0.351,0.624,1
-0.364,-0.154,0,0
0.848,0.521,-0.24,0
-0.303,0.181,-0.087,0
0.792,1.52,1.984,0
0.718,0.945,-1.009,1
1.052,0.485,-0.143,0
1.133,1.041,0.354,1
-0.407,0.395,0.814,0
2.081,0.818,-0.35,0
-0.248,-0.077,0,0
2.27,-0.601,0,0
0.783,1.646,0,1
0.42,-0.32,1.796,0
0.772,1.417,0,1
1.225,0.483,0.48,0
-0.44,0.251,0.441,0
1.565,0.679,-0.34,1
1.04,0.693,-0.255,1
1.06,2.135,-0.602,0
-0.105,0.08,-0.049,0
2.176,1.023,-0.353,0
0.386,0.659,0,0
-0.483,0.786,-0.227,0
1.352,-0.387,-0.234,0
0.82,0.45,-0.258,0
-0.421,0.878,1.853,0
2.048,0.884,0.666,1
-0.243,0.725,-0.236,0
-0.443,-0.199,0.278,0
2.172,0.776,0.471,1
2.633,1.233,0.64,1
-0.373,-0.166,-0.126,0
2.18,-0.578,-0.284,0
1.831,-0.673,1.464,1
1.67,0.864,0.585,0
0.866,0.512,1.169,0
1.704,1.119,0.677,0
1.005,-0.487,1.555,0
1.243,2.211,0,0
-0.409,0.323,0.803,0
-0.167,0.714,-0.937,1
-0.362,-0.159,0.23,0
2.688,-0.762,-0.372,0
1.521,1.282,1.441,1
-0.923,-0.406,0,0
1.169,1.591,-0.513,1
0.77,0.966,0.786,1
0.684,1.743,0,1
1.608,1.904,0.718,1
-0.358,-0.176,-0.096,0
1.189,0.441,-0.189,0
1.943,-0.497,0.44,1
2.335,-0.665,0,0
2.066,-0.652,0.796,1
-0.385,0.22,0.164,0
0.333,-0.101,0.072,0
0.553,0.413,0.214,0
-0.107,0.128,-0.051,0
1.952,-0.885,-0.378,0
1.935,0.942,1.234,1
2.224,-0.738,-0.322,0
0.27,0.607,-0.161,0
0.578,0.271,-0.132,0
-0.601,0.541,0,0
1.028,0.507,-0.295,0
2.035,-0.54,0.5,1
0.721,0.803,-0.271,1
0.902,1.714,-0.828,1
0.761,1.386,-0.735,1
1.581,-0.509,-0.268,1
-0.303,0.236,-0.094,0
0.837,1.89,0,1
-0.594,0.407,-0.189,0
1.77,1.122,-0.716,1
0.499,-0.173,0,0
-0.111,-0.068,-0.042,0
1.013,-0.52,1.881,0
1.031,0.367,0,0
0.498,1.293,1.02,1
0.779,-0.251,-0.125,0
1.164,0.551,-0.211,0
-0.37,0.254,-0.152,0
0.828,-0.28,-0.175,0
1.588,0.873,-0.602,1
-0.635,0.427,-0.187,0
0.384,0.37,0.846,0
0.521,0.388,0.274,0
1.688,2.351,-0.71,1
0.833,0.837,0,1
-0.113,0.112,-0.058,0
-0.149,0.11,-0.058,0
1.299,1.041,0.559,0
1.084,2.037,0,1
0.936,1.152,0,1
0.298,0.257,0.653,0
2.536,1.192,-0.406,0
0.749,-0.366,1.391,1
1.783,1.192,1.546,1
-0.467,0.227,-0.127,0
0.482,0.283,-0.169,0
-0.59,0.499,-0.181,0
0.428,1.026,1.031,0
0.92,2.362,-0.833,0
2.578,0.819,0.353,0
0.213,0.152,-0.058,0
1.936,-0.367,-0.153,1
-0.863,2.082,-0.998,0
-0.346,-0.152,-0.208,0
1.364,1.144,-0.307,1
0.776,1.912,-0.599,0
-0.972,1.907,0,1
1.525,-0.945,0,0
1.864,-0.622,1.512,1
2.259,-0.688,0,0
2.578,-0.55,-0.304,0
-0.333,-0.127,0.118,0
-0.395,0.238,0.168,0
0.917,-0.305,0.163,0
0.923,-0.357,-0.357,1
-0.144,-0.08,0.119,0
-0.344,-0.129,-0.074,0
-0.467,0.255,-0.257,0
2.162,0.79,0.636,1
2.095,-0.565,-0.24,0
2.467,1.153,1.191,1
1.926,1.731,0,0
0.535,-0.203,-0.119,0
1.166,-0.304,0.269,0
0.64,1.694,0,0
1.364,-0.778,-0.532,0
2.361,-0.652,0.566,0
2.493,-0.747,0,0
1.234,0.61,-0.238,0
-0.47,0.255,-0.161,0
1.35,1.842,0,0
1.295,1.68,0,1
2.599,-0.725,0.549,0
1.762,0.943,-0.424,0
0.854,-0.444,0,1
1.946,-0.555,0,0
-0.452,0.243,-0.106,0
0.332,1.391,1.838,0
2.446,-0.692,-0.384,0
1.165,1.399,-0.4,0
0.449,0.381,0,1
2.22,-0.567,0,0
-0.407,-0.153,-0.103,0
2.137,0.705,-0.257,1
0.995,0.809,-0.344,0
0.998,0.403,-0.207,0
1.336,0.697,-0.376,1
1.835,-0.38,-0.167,1
1.208,0.417,-0.195,0
-0.798,-0.931,-0.407,1
0.617,1.513,-0.873,1
1.531,-0.381,-0.162,1
-0.713,0.339,-0.141,0
0.768,2.27,0,0
-0.298,0.185,-0.102,0
1.129,1.911,0,1
0.889,1.934,-0.584,0
0.983,1.504,-0.933,1
0.392,-0.116,-0.045,0
1.302,1.116,0,0
2.011,0.902,0,0
1.839,-0.834,-0.411,0
1.984,0.86,-0.244,1
-0.549,0.2,0.245,0
0.792,0.957,0.873,1
1.041,0.848,-0.23,1
2.454,-0.761,0.791,1
1.504,1.904,-0.728,0
0.803,1.596,0,1
-0.422,1.123,-0.381,0
-0.146,0.091,-0.065,0
-0.321,0.196,-0.412,0
0.345,-0.621,0,0
1.964,-0.518,-0.235,0
0.272,0.176,0.25,0
1.856,1.602,1.481,1
-0.397,0.297,-0.383,0
-0.117,-0.078,-0.052,0
-0.523,0.345,-0.156,0
-0.407,0.309,0.533,0
2.24,-0.564,-0.208,0
0.724,1.399,-0.418,0
0.383,1.363,0.771,1
-0.49,-0.351,1.17,0
1.17,-0.338,0,0
0.189,0.119,-0.143,0
2.41,-0.653,0,0
1.75,0.703,-0.33,1
0.241,0.089,0.092,0
0.486,0.385,-0.277,0
1.243,1.747,-0.517,0
0.762,0,0,1
2.271,0.879,-0.326,0
0.607,1.784,-1.143,1
-0.398,-0.169,-0.112,0
1.179,0.719,0.725,0
-0.659,2.233,-1.078,1
0.967,0.943,0,1
0.356,0.279,0.132,0
-0.621,-0.33,-0.171,0
-0.128,-0.087,-0.065,0
-0.347,-0.164,-0.093,0
