@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-3,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Dcl numeric
@attribute Class {0,1}

@data
0.807,2.227,-0.556,0
0.619,2.238,-0.417,0
1.669,2.226,0.545,0
0.48,1.502,2.495,1
0.874,3.03,-0.496,0
1.712,1.764,0.375,0
0.577,3.348,-0.621,0
2.456,0.964,0.686,0
0.812,0.762,2.242,0
0.398,1.547,1.228,0
0.336,0.875,2.576,0
1.115,0.331,1.24,1
-0.105,0.697,1.461,1
1.466,0.924,-0.172,0
1.142,1.867,-0.351,0
0.276,1.107,2.229,0
0.249,1.297,2.72,0
0.128,0.434,0.509,0
0.303,2.016,-0.448,0
0.98,2.364,-0.496,0
0.184,0.425,0.952,0
0.24,1.068,2.387,0
0.343,1.708,0.602,0
0.278,0.72,0.442,1
0.152,0.631,1.342,0
1.488,1.97,0.515,0
1.089,2.187,1.117,0
-0.155,1.643,1.345,0
0.22,0.709,1.048,1
1.222,1.182,-0.186,0
0.169,0.41,0.485,0
0.122,0.561,0.927,1
1.408,1.792,-0.344,0
0.79,2.386,-0.403,0
0.293,1.058,2.634,0
0.186,0.699,0.514,1
0.222,1.521,1.321,0
0.079,0.293,0.883,1
0.324,1.166,2.049,1
0.213,1.071,2.003,0
0.711,2.712,1.415,0
1.644,1.98,0.579,0
1.032,2.486,-0.491,0
1.26,0.695,-0.122,0
3.167,0.529,-0.143,0
-0.147,1.023,1.96,0
1.423,2.429,0.999,0
0.219,0.562,0.59,1
0.378,1.737,1.078,0
0.223,0.497,1.054,1
1.231,1.554,2.102,1
1.936,0.848,0.203,0
0.12,0.38,0.413,0
0.677,1.384,1.891,1
0.48,1.042,1.914,0
1.05,1.982,0.613,0
0.108,0.305,0.386,0
1.017,2.97,-0.393,0
0.223,0.609,1.516,1
0.864,1.505,-0.241,0
1.422,2.28,-0.554,0
0.437,1.435,0.502,0
0.437,2.9,-0.578,0
0.214,1.201,0.711,1
0.717,1.937,0.963,0
0.219,1.447,2.493,0
0.222,0.672,-0.637,1
0.095,0.496,0.329,0
0.204,0.779,0.901,1
2.909,0.745,-0.168,0
0.651,2.706,0.894,1
0.211,0.785,0.6,1
0.384,1.323,-1.087,1
0.239,0.883,2.657,0
0.674,2.695,0.917,0
3.163,-0.265,0.107,0
0.857,1.331,2.092,1
0.85,2.377,-0.438,0
0.102,0.452,0.519,1
0.239,0.589,2.461,1
1.481,1.592,-0.328,0
3.054,-0.324,0.275,0
0.121,0.74,0.345,1
0.353,0.583,1.946,1
1.545,2.072,0.575,0
0.561,1.17,1.464,1
0.106,0.635,0.252,1
0.195,1.18,1.363,0
0.175,0.896,2.265,0
0.056,0.245,0.364,0
0.323,1.208,2.573,0
0.109,0.445,0.879,1
0.428,0.796,1.302,0
0.372,0.48,1.904,0
0.84,2.23,1.577,1
0.122,0.689,0.398,1
0.093,0.435,0.763,1
0.346,0.942,1.713,0
0.494,2.368,1.053,1
0.283,1.085,2.7,0
0.449,0.592,1.338,1
1.104,2.076,0.701,0
0.338,0.437,1.708,0
0.347,0.487,1.899,0
0.785,2.862,0.843,0
0.889,1.076,2.289,1
0.594,3.102,-0.502,0
0.493,2.223,1.209,1
0.519,2.023,1.445,0
0.238,0.454,1.589,0
2.935,1.03,0.732,0
0.223,0.603,0.703,1
0.928,1.866,1.028,0
0.212,1.31,2.543,0
2.859,-0.254,-0.116,0
0.278,1.134,2.136,1
1.199,1.223,2.284,0
0.367,1.526,1.57,0
0.114,0.554,1.26,0
0.345,0.931,1.287,1
0.618,1.385,1.77,1
1.402,2.71,0.803,0
0.415,1.521,2.727,0
0.776,2.22,-0.549,0
0.181,0.455,0.553,1
0.149,0.64,0.936,1
0.103,0.433,0.544,0
3.459,0.478,-0.135,0
0.284,1.152,2.329,0
0.509,1.904,1.168,1
0.537,0.405,1.611,1
1.117,0.707,2.215,0
0.175,0.412,0.37,1
1.657,2.263,-0.374,0
0.307,0.853,2.321,1
0.912,0.861,-0.159,0
0.736,2.022,-0.329,0
0.424,2.48,1.386,0
1.642,1.196,0.419,0
0.852,1.655,2.298,1
1.203,1.859,0.476,0
0.339,0.519,1.95,0
2.878,0.341,0.274,0
0.317,1.008,2.523,1
0.216,0.336,0.652,1
0.633,1.69,0.465,0
0.774,0.964,-0.256,0
1.033,1.762,-0.258,0
0.584,2.299,0.586,0
0.366,1.292,0.89,1
0.176,0.977,2.473,0
0.24,1.023,1.346,0
0.386,1.911,0.652,0
0.213,1.032,2.25,0
0.198,0.639,1.029,1
0.466,1.018,1.778,0
-0.426,-0.74,1.046,1
0.127,0.732,0.356,1
2.126,1.611,1.019,0
0.226,0.958,2.176,0
0.54,1.666,1.936,1
0.206,0.605,0.757,0
0.252,2.056,0.794,0
2.437,1.412,0.43,0
0.439,2.04,0.663,0
-0.058,4.378,-0.48,0
1.4,1.606,0.361,0
0.376,1.968,0.657,0
0.899,1.904,-0.411,0
0.418,0.767,0.368,1
0.22,1.327,1.277,0
2.097,0.466,-0.092,0
2.094,1.535,0.75,0
1.864,2.255,-0.325,0
2.514,-0.238,0.103,0
0.56,-1.17,1.664,0
-0.072,0.661,1.134,1
0.443,2.273,1.764,0
0.132,0.515,0.665,1
1.797,2.261,-0.505,0
0.542,3.126,-0.557,0
0.421,1.998,0.677,0
0.237,1.009,2.565,0
1.887,2.525,-0.323,0
2.765,1.015,0.509,0
-0.24,-0.446,-0.452,0
0.743,1.36,-0.776,1
1.744,2.206,-0.476,0
0.114,0.465,0.749,1
0.65,2.903,-0.763,0
1.079,2.048,-0.439,0
