@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6'

@attribute Ao numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.352,1.035,0.217,0
1.159,2.064,-0.308,0
2.145,-0.562,-0.141,1
2.317,0.766,-0.305,0
1.185,0.293,-0.141,0
2.018,1.768,0,0
-0.25,-0.445,-1.184,1
2.324,-0.456,-0.083,0
0.487,-0.127,0.072,0
1.713,-0.478,-0.156,0
0.639,-0.107,-0.053,0
0.832,1.765,0.489,0
1.232,0.433,-0.391,0
3.345,-0.606,-0.27,0
0.697,1.321,0,1
1.298,1.482,-0.259,0
1.49,1.931,0,0
1.209,2.464,-0.305,0
-0.805,-0.294,-0.112,0
0.661,2.416,1.02,1
2.254,-0.299,-0.16,0
1.426,1.665,0.846,1
1.341,1.919,-0.206,0
1.085,2.155,-0.31,1
0.355,-0.092,-0.047,0
0.824,1.225,0,0
2.821,-0.503,0.884,0
0.302,0.304,0,0
2.973,-0.529,-0.153,0
0.921,1.125,0,1
0.335,0.474,0,0
1.441,1.267,-0.214,0
0.802,1.001,-0.936,1
1.395,2.985,0,0
0.892,2.474,-0.307,0
1.852,-0.505,-0.115,0
1.204,1.5,-0.32,0
1.272,-0.24,0.163,0
1.293,0.256,-0.103,0
1.136,2.694,0.77,1
2.024,0.899,0,0
2.013,1.871,-0.234,0
0.796,0.792,0,1
0.614,1.646,-0.42,0
2.998,-0.526,-0.144,0
1.429,0.662,-0.467,0
2.417,-0.392,0.924,0
0.813,1.771,0.758,1
1.132,2.107,0,1
0.603,2.147,-0.831,1
-0.497,-0.851,-0.459,1
1.229,1.472,-0.541,1
1.127,2.844,-0.377,0
1.541,1.985,0,0
2.156,1.685,0,0
0.375,0.527,0,0
0.735,0.944,0,1
2.161,0.845,-0.375,1
1.741,0.822,-0.175,0
1.627,-0.302,-0.089,0
2.295,0.593,0.134,0
1.066,2.355,0,0
2.694,-0.482,-0.14,0
1.131,0.581,0,1
-0.241,0.488,-0.066,0
1.824,1.135,0,0
0.311,0.426,1.201,0
3.228,-0.618,-0.154,0
1.116,-0.282,-0.243,0
2.371,1.326,0.86,1
1.436,-0.279,-0.102,0
1.391,1.712,0,1
0.825,0.851,-0.667,0
0.947,0.779,0,1
0.695,0.415,0,1
