@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
1.24,0.875,-0.078,0
0.96,0.712,0.091,0
0.108,0.464,1.08,0
0.747,1.029,-0.998,1
0.96,1.09,1.114,1
0.531,2.105,-0.201,0
3.084,0.782,-0.088,0
0.141,0.64,1.899,1
0.148,0.777,1.672,0
0.64,2.462,-0.335,0
0.352,1.828,-0.165,0
0.515,0.457,1.058,1
-0.077,-0.174,-0.47,0
-0.145,1.424,-0.798,0
0.303,1.426,0.327,0
0.213,1.448,0.338,0
0.324,1.276,0.378,0
1.026,2.185,0.206,0
0.648,0.484,1.913,0
1.16,1.236,-0.093,0
2.586,0.614,0.162,0
0.999,2.847,0.438,1
0.377,0.801,-0.743,1
0.157,0.841,2.023,0
1.576,1.608,-0.121,0
3.223,0.698,-0.061,0
0.145,0.392,2.189,0
1.918,1.214,0.114,0
0.735,2.882,-0.355,0
2.885,-0.282,0.503,0
0.991,2.986,0.648,0
0.208,0.897,1.64,1
4.107,0.607,-0.047,0
0.195,0.419,1.248,1
2.917,1.008,0.432,0
0.365,0.876,1.509,1
0.711,2.448,0.255,0
0.358,0.471,0.907,1
0.294,1.074,1.111,1
0.247,1.17,-0.56,0
0.55,2.247,0.503,0
3.221,0.509,0.16,0
0.308,2.612,0.271,0
2.286,1.321,-0.171,0
1.543,1.994,-0.126,0
0.192,1.594,-0.694,0
0.201,1.552,0.323,0
0.156,0.678,0.914,1
0.134,0.681,1.01,0
0.257,0.577,1.253,0
0.55,1.931,-0.207,0
1.002,1.378,1.22,1
0.205,1.397,0.508,0
0.117,0.276,1.391,0
1.952,1.886,0.323,0
-0.239,3.211,-0.311,0
3.065,0.355,-0.073,0
0.708,2.221,-0.188,0
3.061,0.583,0.326,0
0.078,0.353,1.574,0
1.49,1.435,-0.095,0
1.012,1.612,0.203,0
1.004,2.192,0.833,0
0.091,0.443,0.738,0
0.622,3.087,-0.252,0
0.396,1.382,1.114,1
0.518,2.673,0.691,0
0.847,1.63,0.351,0
0.366,1.727,0.386,0
0.239,0.547,0.904,0
1.065,2.259,0.252,0
0.136,0.717,1.897,1
0.207,1.141,-0.548,0
0.978,0.816,-0.591,1
0.785,2.821,0.699,1
1.952,0.499,0.151,0
0.53,2.274,-0.186,0
2.342,1.805,1.068,0
1.654,1.517,0.716,0
1.063,2.585,-0.175,0
0.23,0.926,2.243,1
0.314,2.164,0.995,0
-0.164,0.342,1.911,1
0.683,3.51,0.319,0
0.665,2.972,0.256,0
0.425,1.439,0.275,0
0.208,0.617,1.657,1
0.326,0.7,1.886,1
0.106,0.468,0.825,1
0.582,0.496,1.548,1
2.364,0.747,-0.078,0
2.975,0.585,0.086,0
1.303,1.852,0.406,0
1.121,1.599,0.329,0
2.756,0.266,0.194,0
0.346,1.789,0.268,0
0.31,0.496,1.696,1
2.036,1.325,0.373,0
-0.154,-0.237,1.003,1
0.402,2.047,-0.175,0
0.27,1.23,-0.812,0
0.1,0.261,1.385,0
0.102,0.564,-0.965,0
0.441,1.842,0.229,0
0.125,0.446,1.127,0
0.134,0.494,-0.643,0
3.027,0.863,0.099,0
0.192,0.982,0.961,0
1.62,1.209,0.716,1
0.947,2.776,0.853,0
0.412,2.62,0.556,0
1.022,1.834,-0.106,0
0.942,0.966,0.107,0
0.431,0.681,-0.694,1
2.427,0.253,1.242,0
0.495,2.94,0.4,0
1.108,1.182,-0.091,0
2.032,0.524,0.152,0
0.435,1.86,-0.217,0
0.517,1.513,1.471,1
0.223,0.395,1.207,0
0.691,1.179,0.682,0
0.503,3.593,0.493,0
0.42,0.862,1.104,0
0.891,1.352,0.861,1
0.242,1.661,0.4,0
3.055,0.508,-0.075,0
0.699,1.203,0.804,1
0.104,0.356,1.809,0
0.648,0.754,1.265,1
1.152,2.062,1.29,0
0.356,0.847,-0.464,0
0.89,1.93,1.343,1
0.287,0.938,-0.593,1
0.685,3.172,0.623,1
1.09,1.212,0.432,1
2.763,0.624,0.106,0
0.234,1.459,1.016,0
0.589,0.89,0.931,0
0.526,2.483,0.622,0
0.123,0.726,1.575,0
0.267,1.309,0.741,0
2.522,0.476,0.146,0
0.435,2.408,0.701,0
0.219,1.279,-0.599,0
2.014,0.545,-0.06,0
0.314,0.665,1.111,1
0.822,1.043,1.127,1
0.519,1.999,-0.632,0
2.967,1.482,-0.13,0
0.378,2.203,0.783,0
2.092,1.178,0.242,0
0.162,0.753,1.923,1
0.627,2.967,1.082,1
0.431,0.475,1.339,1
0.065,0.279,1.497,0
0.487,1.881,1.629,1
-0.32,-0.587,-0.637,0
0.163,0.544,-0.782,0
1.125,1.966,-0.13,0
1.265,2.212,-0.167,0
1.167,2.286,0.269,1
0.32,1.827,0.23,0
0.229,0.998,-0.651,0
0.221,0.754,1.235,1
0.431,2.627,-0.469,1
1.013,2.31,0.748,1
2.038,2.236,-0.132,1
1.859,0.81,0.158,0
0.218,1.072,-0.603,0
0.537,1.104,1.35,1
2.942,0.53,0.081,0
0.167,0.364,0.324,0
0.196,0.525,1.087,0
3.164,-0.263,0.069,0
1.4,1.26,0.157,0
0.253,0.406,1.568,0
3.169,0.412,-0.073,0
0.156,0.464,0.801,1
0.458,1.129,-0.542,1
-0.104,0.551,1.942,0
1.68,2.342,-0.138,0
0.593,2.432,0.25,0
3.264,-0.306,0.101,0
0.386,2.363,0.464,0
0.345,2.155,0.318,0
0.729,1.166,0.736,1
2.283,-0.2,0.071,0
0.226,1.21,0.435,0
0.099,0.378,0.692,1
0.179,0.878,1.531,1
0.671,0.593,1.026,1
0.435,3.341,-0.294,0
0.348,0.918,1.037,0
0.607,2.526,-0.467,0
0.182,0.515,1.773,1
0.236,0.46,0.909,0
0.337,1.18,0.741,0
0.339,1.134,-0.593,0
0.961,1.678,0.932,1
0.463,2.963,0.324,0
0.817,1.094,0.143,0
0.202,0.733,-0.343,1
0.213,0.962,-0.78,1
0.122,0.573,2.191,0
1.453,2.15,-0.182,0
0.305,1.943,0.721,0
0.341,1.223,1.285,1
0.736,2.493,0.211,0
0.334,0.442,2.175,0
0.89,2.258,-0.154,0
3.012,1.408,-0.123,0
0.1,0.405,0.849,0
0.876,3.241,0.551,0
0.534,2.848,-0.215,0
0.305,0.599,1.921,1
-0.165,1.809,0.59,0
2.074,1.149,0.339,0
2.869,1.077,0.5,0
-0.184,0.485,-0.982,1
0.061,0.266,0.529,0
0.221,0.609,0.71,0
2.444,0.273,0.156,0
0.763,3.172,-0.194,0
0.816,3.026,-0.198,0
0.218,1.432,-0.408,0
0.716,3.174,-0.232,0
0.461,0.809,1.196,1
1.509,1.922,1.303,0
0.111,0.452,1.57,1
0.108,0.402,-0.23,1
0.356,0.551,1.089,0
0.158,0.416,2.135,0
0.099,0.472,1.996,0
0.269,0.725,1.374,1
1.415,1.529,-0.101,0
0.441,0.794,0.962,1
0.573,0.733,-0.445,1
0.215,0.376,1.861,1
0.48,0.656,1.496,1
0.096,0.326,1.419,0
0.54,2.787,-0.242,0
0.983,1.915,-0.662,1
0.162,1.153,-0.687,0
0.567,0.907,-0.617,1
0.424,0.428,1.114,0
0.278,2.433,0.58,0
0.962,1.664,-0.71,1
0.898,2.733,-0.161,0
-0.152,1.182,-0.991,0
0.265,0.819,-0.627,0
-0.142,0.613,1.203,1
0.465,0.871,0.758,1
2.013,2.143,0.522,0
0.675,2.915,0.413,0
-0.132,0.94,1.183,0
0.583,0.594,0.676,1
0.171,0.913,1.027,0
0.072,0.333,0.507,0
1.092,2.369,-0.383,0
0.564,0.46,0.906,1
0.321,3.02,0.677,1
0.5,0.731,1.347,1
0.29,0.824,-0.602,1
0.494,2.442,0.233,0
0.421,0.573,1.341,1
1.957,1.436,0.232,0
0.236,1.053,-0.652,0
0.132,0.588,1.318,0
-0.12,1.159,0.598,0
0.257,0.757,0.757,1
0.089,0.706,0.406,0
0.356,0.807,1.552,1
0.266,1.055,-0.819,0
2.761,1.125,-0.215,0
0.436,2.86,1.081,1
0.41,1.803,0.483,0
0.629,2.94,0.313,0
1.439,1.079,0.216,0
0.236,0.772,-0.608,1
0.137,0.695,1.63,1
0.814,0.334,-0.651,1
0.228,0.46,1.282,0
0.367,0.416,1.073,1
0.226,1.816,0.327,0
0.216,1.037,-0.65,0
0.233,0.632,0.724,0
1.037,1.78,-0.107,0
0.236,1.165,-0.919,0
2.254,1.491,0.624,0
0.984,2.097,0.781,1
0.517,2.602,0.534,0
0.339,0.933,-0.334,0
3.041,0.446,0.089,0
0.361,1.791,0.264,0
2.064,0.657,0.107,0
0.128,0.598,0.602,1
-0.067,-0.286,1.797,1
0.365,0.526,0.918,1
0.679,0.656,1.737,1
1.037,2.405,-0.16,0
0.326,0.457,1.601,1
0.453,1.001,-0.508,0
0.333,1.645,0.638,0
0.456,2.64,-0.238,0
0.714,1.3,-0.571,0
2.41,0.29,0.162,0
0.253,0.406,1.567,0
1.549,2.37,0.215,0
2.843,0.346,0.154,0
0.209,0.543,1.936,1
-0.323,0.674,-0.9,1
0.504,1.435,-0.378,1
