@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-3,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Dcl numeric
@attribute Class {0,1}

@data
0.307,1.272,2.656,0
0.229,1.748,0.634,0
0.655,1.054,1.372,1
0.316,1.36,1.986,0
0.533,2.581,-0.595,0
0.482,0.917,1.435,1
0.967,2.225,-0.291,0
0.42,2.394,1.358,0
0.218,0.659,1.048,1
0.871,0.961,1.468,1
0.328,1.09,2.044,1
0.508,2.937,-0.498,0
0.269,1.13,2.209,0
1.195,-0.837,-0.266,0
0.089,0.616,1.451,0
1.235,1.996,-0.359,0
0.387,0.474,1.643,1
0.267,0.727,0.677,0
0.181,0.479,1.833,1
0.251,1.067,0.443,0
0.155,0.453,1.053,0
0.192,0.638,0.498,1
2.01,1.07,0.359,0
0.432,0.615,1.981,1
0.227,1.064,2.302,0
0.164,0.556,-0.683,0
1.176,2.074,-0.336,0
2.918,0.994,0.745,0
0.268,1.599,0.712,0
1.086,1.163,-0.272,0
0.656,3.296,-0.554,1
0.536,2.885,1.008,0
0.131,0.316,0.492,0
3.483,0.479,-0.134,0
1.929,0.828,0.178,0
0.576,0.551,1.96,1
0.721,1.473,1.911,1
0.405,3.056,-0.609,0
0.836,2.717,1.521,1
3.684,0.362,-0.1,0
2.146,0.439,0.159,0
0.204,0.567,2.562,0
0.414,0.577,0.988,1
0.695,1.923,-0.27,0
0.247,0.645,0.797,0
0.338,1.087,2.791,0
0.106,0.387,0.835,1
0.356,1.13,2.504,1
2.733,0.493,-0.116,0
0.374,1.254,1.206,0
1.518,1.411,-0.23,0
3.237,0.521,1.084,0
2.328,0.582,-0.107,0
1.31,2.463,-0.334,0
0.316,1.385,1.342,0
0.181,1.783,2.053,0
1.203,2.741,0.944,0
2.099,0.889,-0.175,0
0.159,0.356,0.591,0
0.315,1.213,0.769,1
0.576,2.703,1.06,0
0.58,0.542,1.528,1
0.406,2.574,2.009,1
0.307,2.782,-0.427,0
0.52,0.985,1.236,1
0.977,2.536,-0.536,0
0.635,1.011,2.131,1
0.14,0.312,0.314,1
0.178,0.698,0.508,1
0.108,0.412,0.517,1
0.261,0.593,1.21,0
0.771,2.585,-0.676,0
0.399,0.66,2.966,1
0.4,1.025,2.406,0
0.23,1.749,-0.395,0
3.542,-0.331,-0.158,0
-0.095,-0.39,-0.636,1
0.098,0.693,0.294,1
1.126,2.136,0.629,0
3.393,0.377,-0.111,0
0.289,1.235,2.536,0
0.531,3.435,-0.592,0
0.45,0.721,1.903,1
0.647,3.212,-0.483,0
0.339,1.148,2.217,0
0.436,2.561,1.097,0
0.298,1.666,1.496,1
0.912,0.791,0.893,1
1.472,0.728,-0.13,0
1.766,1.457,0.509,0
2.544,0.78,0.363,0
0.205,0.549,0.782,0
0.273,1.758,0.817,0
-0.174,1.629,1.45,0
2.619,0.853,-0.161,0
2.954,0.951,0.729,0
1.067,2.209,-0.336,0
0.953,0.741,1.895,0
0.595,1.653,-0.345,0
0.459,1.882,-0.37,0
0.823,2.79,-0.414,0
0.33,1.209,2.637,0
0.2,0.591,1.458,1
0.219,0.695,1.079,1
1.577,1.626,0.78,0
0.158,0.281,0.389,0
0.657,0.49,0.812,0
2.348,0.283,0.143,0
0.191,0.519,0.724,0
-0.235,-0.709,-1.258,1
0.308,2.052,-0.397,0
0.158,0.475,0.468,0
0.592,2.457,-0.353,0
0.706,2.348,1.569,0
0.234,1.176,0.888,1
0.325,0.806,2.461,0
0.243,1.017,2.191,0
1.858,2.149,-0.308,0
0.142,0.573,1.504,0
3.17,0.529,-0.143,0
0.46,1.211,0.488,1
0.273,1.623,-0.435,0
1.906,-0.347,0.154,0
0.768,1.512,0.929,1
1.851,0.249,-0.072,0
0.499,0.351,0.358,1
0.534,2.408,-0.476,0
0.841,2.174,-0.488,0
0.09,0.311,0.43,0
0.257,1.277,1.865,0
2.426,0.954,-0.135,0
2.88,0.332,0.196,0
0.233,0.685,0.936,1
0.062,0.23,0.244,0
0.849,1.656,0.464,0
2.761,0.661,-0.15,0
0.384,1.835,0.751,0
0.15,0.408,0.536,0
-0.126,1.2,1.508,0
2.555,-0.242,0.209,0
0.199,1.328,-0.829,0
0.111,0.44,-0.51,0
0.43,3.32,-0.579,0
0.213,0.605,1.485,1
0.391,1.762,1.66,0
0.395,0.914,2.53,0
0.1,0.408,0.771,1
0.763,1.677,-0.381,0
0.996,1.283,0.315,0
0.609,1.765,1.198,0
0.256,0.594,0.877,0
-0.165,0.458,0.662,1
2.99,0.309,-0.153,0
0.212,0.368,0.597,0
0.303,1.333,1.895,1
0.579,3.262,-0.709,0
0.279,0.929,2.174,0
1.297,1.473,-0.26,0
1.305,0.795,1.715,1
0.967,2.69,-0.413,0
0.103,0.453,0.788,1
0.478,3.147,-0.605,0
0.283,2.093,1.121,0
2.065,0.519,-0.115,0
1.719,1.625,-0.264,0
0.415,1.692,1.53,1
2.259,1.52,-0.264,0
0.439,0.896,1.934,1
0.437,1.932,1.163,0
0.598,2.389,0.797,0
2.51,-0.217,0.213,0
0.386,1.576,1.853,0
0.555,1.681,-0.546,0
0.286,1.034,2.5,0
1.476,1.929,1.524,1
0.4,3.424,-0.563,0
0.255,0.659,1.591,0
2.783,0.299,-0.098,0
0.944,1.258,0.308,0
0.208,0.406,0.625,1
2.08,0.707,-0.111,0
0.159,1.248,1.135,0
0.211,1.067,1.741,0
0.395,0.644,3.005,1
0.204,1.385,1.795,0
0.782,1.778,-0.43,0
0.279,1.879,1.856,0
0.78,1.52,1.042,1
0.195,0.443,0.755,1
2.504,0.461,0.21,0
0.476,1.125,0.832,1
3.467,-0.319,0.408,0
0.513,3.256,-0.436,0
0.257,1.182,2.417,0
-0.129,1.094,2.569,0
0.401,1.784,1.217,0
0.98,-0.688,-0.404,0
2.131,0.528,0.131,0
0.457,1.035,1.066,1
0.304,1.88,-0.445,0
0.38,2.927,-0.502,0
0.89,3.092,-0.538,0
-0.118,0.62,1.462,1
1.509,1.113,-0.166,0
3.236,0.591,-0.148,0
0.789,1.414,1.1,1
0.24,1.01,0.396,0
0.246,1.187,2.52,0
0.225,0.618,1.494,1
2.796,0.551,0.577,0
2.763,1.039,0.479,0
2.981,0.333,0.158,0
0.21,0.822,2.42,1
0.189,0.61,0.518,1
3.269,0.614,1.015,0
0.476,2.52,0.978,0
0.182,0.796,1.385,1
0.193,0.996,2.144,0
2.003,0.997,-0.15,0
3.222,0.51,-0.151,0
0.121,0.268,0.467,0
0.211,0.874,2.555,1
0.214,1.294,0.847,0
1.858,0.758,0.135,0
0.367,2.259,-0.319,0
1.196,2.373,-0.342,0
1.109,2.194,1.666,1
0.262,1.304,2.382,0
0.081,0.332,0.424,1
0.364,2.511,-0.373,0
0.396,0.629,1.525,1
0.128,0.442,0.52,0
0.125,0.794,0.66,1
0.682,2.257,-0.443,0
0.175,1.247,1.442,0
0.264,0.984,0.623,1
0.397,2.921,-0.637,0
0.193,0.788,0.794,0
0.59,1.933,-0.43,0
1.322,0.603,0.156,0
0.173,0.407,0.855,0
0.473,1.57,-0.413,0
0.499,0.351,0.358,1
3.087,0.57,1.064,0
0.271,2.481,-0.485,0
1.239,1.892,0.585,0
0.25,1.016,3.155,0
