@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Class {0,1}

@data
0.136,0.736,0
0.699,2.295,0
1.312,2.591,0
1.607,2.312,0
0.856,1.875,0
0.12,0.443,1
0.18,0.836,0
1.271,1.743,0
2.075,2.142,0
0.245,0.552,0
0.338,0.477,0
0.284,0.976,1
3.115,0.571,0
0.229,0.452,0
0.144,0.858,0
2.822,0.316,0
0.472,2.321,0
0.567,0.863,1
2.469,0.32,0
1.186,2.573,1
0.135,0.68,1
0.075,0.376,0
0.939,1.4,1
2.416,0.88,0
0.313,0.654,1
2.676,0.308,0
0.539,0.555,1
0.121,0.582,0
0.174,0.938,1
0.049,0.309,0
0.118,0.384,0
0.634,3.05,0
0.077,-0.088,1
2.646,0.98,0
0.183,0.64,0
-0.712,0.483,0
1.094,2.35,0
0.241,1.884,0
0.87,2.369,0
1.371,0.965,1
0.545,0.752,1
0.356,1.503,0
0.35,2.637,0
0.828,2.132,0
1.334,1.06,0
0.157,0.432,0
1.007,2.845,0
2.209,1.314,0
2.117,1.646,0
0.619,1.695,0
0.53,2.976,0
0.794,1.828,0
2.198,0.27,0
0.541,2.888,0
0.672,0.602,1
0.238,0.809,1
0.072,0.265,0
0.563,2.441,0
0.482,1.236,0
1.383,0.79,1
0.428,0.5,1
1.178,0.625,1
0.954,2.609,0
1.947,0.99,0
0.403,1.803,0
0.583,2.523,0
0.584,1.796,1
0.294,0.523,1
1.52,1.396,0
3.22,0.598,0
1.776,1.123,0
1.619,1.55,0
0.541,2.446,0
2.084,1.911,0
1.301,2.591,0
0.719,2.628,0
0.148,1.029,0
0.384,3.147,1
0.263,0.913,0
0.172,0.662,0
0.252,1.166,0
2.51,1.063,0
0.557,0.596,1
2.956,0.36,0
0.294,0.453,0
0.194,1.262,0
0.808,1.69,0
0.254,2.007,0
0.874,2.65,1
1.677,1.266,0
0.321,0.674,1
-0.097,1.037,0
0.129,0.969,1
0.145,0.331,0
1.896,0.648,0
1.351,2.481,0
0.584,2.874,0
0.093,0.443,1
0.25,1.027,0
0.307,0.846,1
0.171,-0.298,1
0.235,0.673,1
2.451,-0.211,0
0.327,1.291,0
0.121,0.325,0
0.402,0.617,0
3.042,0.472,0
0.959,2.302,1
0.508,2.003,0
0.397,1.067,1
0.297,0.556,1
1.644,1.654,0
2.457,0.732,0
0.158,0.825,0
1.084,0.767,0
0.352,0.541,1
0.374,0.712,1
0.627,1.375,0
0.985,2.644,1
0.324,2.576,0
0.836,2.098,0
0.306,0.483,1
0.993,1.201,1
0.26,2.668,0
-0.163,-0.321,0
0.723,3.151,0
0.248,0.601,1
0.238,0.454,0
0.257,0.317,0
2.409,0.29,0
1.129,1.229,0
0.37,0.488,1
0.472,0.956,0
1.004,2.024,0
0.579,2.812,1
-0.194,2.018,0
0.365,1.607,0
0.348,0.475,0
2.667,0.33,0
2.236,1.288,0
0.421,1.589,0
0.179,1.111,0
2.493,0.265,0
0.185,1.416,0
0.149,0.536,1
0.128,0.338,0
0.1,0.28,0
0.269,0.579,0
0.34,1.823,0
0.606,2.201,1
0.216,0.732,1
0.307,0.499,1
2.829,1.492,0
0.323,1.76,0
0.332,1.406,0
0.46,1.935,0
0.251,1.268,1
0.974,1.071,0
0.524,2.625,0
0.627,0.871,1
0.31,1.211,1
2.063,0.734,0
1.376,1.472,0
2.744,0.524,0
2.993,0.385,0
0.27,1.184,0
0.52,1.97,0
0.272,0.527,1
0.231,1.25,0
0.164,0.706,0
0.302,3.331,0
0.292,0.317,1
0.922,2.122,0
0.503,0.813,1
1.139,0.662,1
0.253,0.292,1
0.851,2.024,1
0.5,2.247,0
1.246,2.402,0
0.315,2.086,0
1,1.795,0
0.161,0.548,0
0.577,1.909,0
0.724,3.408,0
0.593,0.593,1
0.717,0.72,0
0.174,0.854,1
1.258,0.737,0
0.397,2.703,0
1.101,3.092,0
0.172,0.473,1
0.698,2.407,1
2.03,0.636,0
0.535,1.65,1
0.651,1.128,0
1.392,1.958,1
3.909,0.584,0
0.126,0.732,0
0.486,3.553,0
1.253,2.393,0
3.53,-0.29,0
1.264,2.951,0
0.76,1.029,1
0.151,0.82,1
0.286,0.602,0
0.403,-0.648,1
1.191,2.041,0
0.122,0.827,1
0.653,2.511,0
0.965,1.935,0
0.316,0.67,1
0.231,1.764,0
0.565,1.167,1
0.195,0.854,1
0.265,1.313,0
0.28,0.619,1
0.144,0.448,0
3.227,0.521,0
0.418,2.138,0
0.145,0.332,0
0.77,1.607,0
2.302,0.619,0
0.312,0.847,0
0.214,0.929,0
0.17,0.46,0
0.185,0.484,0
0.513,0.545,1
0.175,0.964,0
0.321,0.648,1
0.225,2.497,0
3.597,0.63,0
0.929,0.343,1
0.381,2.045,0
3.119,-0.267,0
0.816,1.456,0
1.21,1.967,1
0.651,2.527,0
1.116,2.206,1
0.638,2.498,0
0.376,1.33,1
2.935,0.724,0
1.303,2.465,1
0.279,1.209,0
0.305,1.632,0
-0.125,1.458,0
0.25,0.958,1
-0.178,1.89,0
0.386,1.497,0
0.164,0.946,0
0.668,2.159,0
1.176,2.254,0
0.806,1.226,1
0.44,0.526,1
2.655,0.577,0
0.464,2.4,1
0.258,0.894,0
0.2,0.565,0
0.289,1.159,0
2.167,0.312,0
0.107,0.392,0
0.197,0.705,1
0.252,0.687,1
0.455,0.43,1
0.74,2.32,0
0.362,0.399,1
0.146,0.402,0
0.14,0.58,0
0.459,0.709,1
3.168,0.722,0
0.118,0.263,0
3.004,-0.317,0
0.853,0.786,0
-0.044,0.533,0
1.09,1.973,0
0.361,0.686,1
1.93,0.936,0
0.792,2.117,0
0.15,0.391,1
0.306,0.483,1
0.096,0.344,0
0.155,0.391,0
0.203,0.532,0
0.651,2.655,0
0.406,1.016,1
0.135,0.436,0
0.486,2.458,0
1.171,1.334,0
0.08,0.263,1
0.324,1.044,1
0.47,0.566,1
1.091,0.86,1
0.885,0.328,1
1.393,2.061,1
2.09,0.618,0
0.601,1.861,0
0.504,2.877,0
0.935,1.688,1
0.305,0.94,1
0.311,2.065,0
0.253,0.872,1
0.883,2.215,0
0.178,1.152,0
0.183,0.928,0
0.278,1.8,0
0.353,0.827,1
0.223,0.75,1
0.335,2.761,1
0.144,0.875,0
0.802,1.88,0
0.192,0.519,0
1.207,1.576,0
2.444,0.273,0
3.209,0.79,0
0.618,0.567,1
0.339,1.547,0
0.267,1.344,0
0.229,0.802,1
0.487,1.592,0
0.124,0.398,0
0.486,1.176,1
3.184,0.486,0
1.645,0.571,0
1.534,1.45,0
0.251,1.02,0
0.188,0.75,0
0.207,0.799,0
0.16,1.022,0
0.291,1.161,0
0.369,0.48,1
3.161,-0.243,0
0.743,1.288,0
0.539,2.612,0
0.368,3.033,0
2.725,0.297,0
0.808,1.869,0
0.083,0.35,0
1.363,1.396,0
1.801,0.853,0
0.912,0.79,1
2.614,0.392,0
0.211,1.402,0
1.204,1.729,0
1.117,2.852,1
0.317,0.745,0
0.985,1.104,0
0.75,1.367,1
0.25,0.5,0
0.325,1.077,0
0.135,0.43,1
0.553,2.923,0
2.692,0.278,0
0.518,2.759,0
1.594,0.578,0
0.704,0.966,0
2.467,1.238,0
3.083,0.501,0
3.629,1.018,0
0.101,0.476,0
0.412,1.815,0
1.083,0.58,1
0.189,0.533,0
0.251,0.964,1
0.127,0.455,0
0.119,0.654,1
0.331,2.723,0
1.538,0.562,0
0.337,1.325,1
0.109,0.697,1
0.306,1.004,0
3.505,1.089,0
0.299,1.503,0
0.444,1.333,1
0.539,0.711,1
0.133,0.487,1
0.153,0.55,1
0.545,2.094,1
0.393,1.749,0
0.142,0.335,0
0.935,2.334,0
0.194,0.652,1
3.451,-0.296,0
0.228,0.844,1
0.509,2.083,0
0.076,0.356,0
0.218,0.331,1
1.914,2.572,0
0.317,1.318,0
1.601,2.2,0
0.388,0.955,0
2.747,0.745,0
0.233,0.473,0
1.318,2.763,0
0.738,1.888,0
2.474,0.334,0
0.824,1.346,1
0.137,0.894,0
0.253,1.317,0
0.983,1.849,1
2.217,-0.195,0
2.877,0.52,0
0.592,2.258,0
0.66,1.695,0
1.014,0.491,1
0.371,0.961,0
0.302,2.12,0
0.212,0.656,0
0.569,0.909,1
0.948,2.4,0
0.202,1.502,0
0.553,0.38,1
0.314,1.186,1
0.225,0.852,1
1.757,0.972,0
0.452,2.425,0
0.597,1.132,1
0.114,0.591,1
1.132,1.404,0
3.246,0.823,0
0.551,1.145,0
1.626,2,0
0.145,0.51,1
0.295,1.164,0
1.517,1.41,0
3,0.438,0
2.035,1.726,0
0.376,1.259,0
1.687,1.914,0
1.528,0.54,0
0.614,1.697,0
0.22,1.291,0
2.02,0.615,0
0.09,0.681,1
0.293,2.304,0
1.54,2.122,0
0.058,0.207,0
0.189,1.102,0
2.555,-0.242,0
-0.165,-0.917,0
2.556,0.718,0
2.397,0.416,0
1.068,1.601,0
1.565,0.495,0
0.596,1.555,1
0.246,0.683,0
1.7,2.193,0
1.889,1.009,0
1.341,1.174,0
0.272,0.821,1
1.925,0.892,0
0.071,0.312,0
0.146,0.786,0
0.182,1.094,0
1.139,2.421,1
0.279,0.67,0
0.517,1.205,0
0.543,0.486,1
0.364,0.859,0
0.58,1.224,1
0.563,2.583,0
0.598,1.583,0
-0.181,0.649,0
0.483,2.622,1
2.234,0.546,0
0.116,0.485,0
0.296,0.73,1
0.376,1.218,1
0.72,0.502,0
0.328,0.656,1
-0.147,1.393,0
0.189,0.363,0
0.582,3.252,0
0.422,3.294,0
2.628,0.845,0
1.179,1.328,0
0.232,2.627,0
0.136,0.214,1
3.568,-0.29,0
0.892,1.534,0
0.211,1.473,0
0.881,1.29,1
1.052,2.559,0
0.985,1.684,0
0.245,0.727,1
0.564,2.68,1
0.199,1.02,0
0.2,0.684,1
3.66,0.423,0
0.634,2.292,0
3.561,-0.277,0
2.4,0.627,0
0.152,0.428,0
0.52,3.048,0
0.464,3.041,0
0.248,0.947,1
2.196,0.269,0
0.66,1.695,0
0.165,0.496,0
0.886,1.913,0
0.403,2.671,0
0.677,1.848,0
1.165,0.903,1
0.419,1.303,0
0.111,0.332,0
0.432,1.071,0
3.399,0.577,0
1.639,1.796,0
0.431,0.628,1
1.036,1.783,0
0.139,0.582,1
1.556,2.125,0
0.094,0.382,0
0.718,0.574,0
2.699,-0.264,0
0.251,1.08,0
0.345,1.708,0
0.829,1.838,0
1.325,1.206,0
0.104,0.508,0
0.245,1.796,0
0.749,2.499,0
0.278,1.63,1
0.599,3.057,1
0.583,2.235,0
0.788,2.617,1
0.359,1.105,1
0.801,0.592,1
1.157,0.855,0
0.987,2.4,0
0.56,1.075,1
0.148,1.153,0
0.318,0.911,1
0.564,2.68,1
-0.079,0.719,1
0.337,2.682,0
2.164,1.797,0
1.386,1.298,0
0.368,1.5,0
-0.106,-0.363,1
1.288,0.722,0
0.15,0.933,0
