@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Class {0,1}

@data
0.268,1.352,0
0.401,1.159,0
0.541,2.145,1
0.626,2.317,0
1.055,1.185,0
0.273,2.018,0
-0.073,-0.25,1
0.371,2.324,0
1.905,0.487,0
0.693,1.713,0
2.389,0.639,0
0.289,0.832,0
1.312,1.232,0
0.565,3.345,0
-0.115,0.697,1
0.232,1.298,0
-0.164,1.49,0
0.264,1.209,0
-0.993,-0.805,0
0.297,0.661,1
1.127,2.254,0
1.146,1.426,1
0.56,1.341,0
0.296,1.085,1
2.102,0.355,0
0.152,0.824,0
0.745,2.821,0
0.087,0.302,0
0.383,2.973,0
0.295,0.921,1
0.144,0.335,0
0.169,1.441,0
0.363,0.802,1
0.279,1.395,0
0.279,0.892,0
0.644,1.852,0
0.308,1.204,0
1.667,1.272,0
2.411,1.293,0
0.283,1.136,1
0.448,2.024,0
0.197,2.013,0
0.216,0.796,1
0.227,0.614,0
0.641,2.998,0
1.331,1.429,0
0.951,2.417,0
0.523,0.813,1
0.62,1.132,1
0.418,0.603,1
-0.114,-0.497,1
0.543,1.229,1
0.308,1.127,0
0.33,1.541,0
0.499,2.156,0
0.173,0.375,0
0.25,0.735,1
0.279,2.161,1
0.236,1.741,0
0.958,1.627,0
1.495,2.295,0
0.249,1.066,0
0.648,2.694,0
0.235,1.131,1
3.892,-0.241,0
0.567,1.824,0
0.12,0.311,0
0.477,3.228,0
0.072,1.116,0
0.709,2.371,1
1.956,1.436,0
0.285,1.391,1
0.155,0.825,0
0.143,0.947,1
0.13,0.695,1
-0.144,1.214,0
0.567,0.51,1
0.234,0.722,1
0.538,0.682,1
2.581,0.735,0
1.639,2.471,0
3.724,-0.302,0
1.232,1.073,0
0.863,2.356,1
0.108,0.753,0
1.04,2.638,0
0.695,1.215,1
0.39,1.25,0
0.466,1.06,0
0.279,1.735,0
0.705,1.623,1
0.301,1.011,0
0.734,2.821,0
0.413,1.824,0
0.146,0.612,0
0.382,2.454,0
0.092,0.372,1
0.129,0.355,0
2.726,0.966,0
0.238,2.446,0
-0.069,0.51,1
0.116,0.399,0
0.313,0.854,0
0.223,1.357,0
0.193,1.16,0
0.27,0.832,1
0.195,0.443,1
1.9,0.836,0
1.038,1.656,0
0.776,2.215,0
2.511,1.155,0
1.612,2.32,0
0.521,3.176,0
0.409,0.349,1
0.499,1.932,0
0.288,1.596,0
0.798,1.703,0
0.183,1.354,0
-0.363,1.817,0
0.867,2.49,0
2.479,0.616,0
0.616,0.753,1
0.165,0.588,1
1.074,2.424,0
0.834,2.757,0
1.677,1.795,0
0.618,1.016,0
1.802,1.243,0
0.273,0.937,0
1.226,1.277,0
0.562,2.911,0
0.259,0.861,1
0.136,0.627,0
0.834,0.372,1
0.108,0.298,0
0.331,0.59,0
0.2,1.367,0
0.624,2.58,0
0.773,2.314,1
0.154,0.343,0
1.335,1.345,0
0.404,1.284,0
0.438,2.465,0
0.673,0.596,1
0.116,0.471,1
-0.118,0.497,1
1.131,2.61,0
0.73,1.373,0
2.133,1.473,0
0.344,1.233,1
0.132,0.517,1
1.304,2.718,0
0.178,1.103,0
0.311,1.405,0
0.445,2.413,0
0.457,3.001,0
0.437,1.387,0
0.233,0.543,1
0.523,1.005,1
0.214,0.546,1
0.283,1.261,0
0.238,1.519,0
0.51,2.301,0
0.314,3.283,0
0.219,0.484,1
-0.523,-0.751,1
0.147,0.417,0
0.064,0.286,1
0.455,2.558,0
1.414,0.591,0
0.296,1.804,0
0.262,1.54,0
0.52,0.38,1
0.221,1.265,0
0.279,0.892,0
-0.089,1.333,0
0.216,0.365,0
0.121,0.671,0
2.414,1.231,0
1.231,1.8,1
0.94,1.464,1
0.154,0.339,0
0.404,1.193,0
0.394,2.329,1
0.233,0.86,0
1.172,1.957,0
2.967,0.918,0
1.21,2.364,0
0.079,0.355,0
1.101,0.717,0
0.305,1.2,1
1.712,2.499,0
0.201,1.369,0
0.096,0.498,1
0.128,0.389,0
1.02,0.605,1
0.243,1.014,0
0.199,0.636,1
0.17,0.986,0
0.218,0.816,0
1.592,1.644,0
0.444,0.698,1
0.461,0.585,0
0.651,2.023,0
1.061,2.04,0
0.31,1.074,0
1.031,0.584,1
2.131,1.245,0
2.31,0.325,0
1.453,0.562,0
0.267,1.331,0
1.023,1.009,0
0.757,1.605,0
0.213,0.325,1
0.108,0.355,0
0.892,1.429,1
0.265,1.079,1
1.526,1.931,0
0.568,2.495,0
0.403,0.391,1
0.643,1.547,0
0.381,0.55,0
0.311,2.639,0
0.093,0.281,0
0.397,0.966,0
2.205,0.544,0
1.014,0.653,1
0.257,1.029,1
1.214,2.723,0
0.2,0.506,1
0.322,1.981,1
2.696,-0.22,0
3.126,0.482,0
0.668,1.559,0
0.334,1.478,0
0.907,1.906,0
1.062,2.243,0
0.109,0.697,1
0.288,0.891,0
-0.239,-0.788,0
0.234,1.794,0
0.895,0.559,1
-0.114,1.272,0
0.214,0.601,1
1.059,2.209,1
2.971,0.48,0
0.274,2.028,0
0.309,2.255,0
0.864,2.364,0
0.236,0.995,0
0.309,2.547,0
1.246,2.16,0
0.312,0.847,1
0.735,3.15,0
0.19,1.045,0
0.449,2.339,1
2.991,0.411,0
-0.83,1.088,0
0.313,2.116,0
0.222,0.436,1
1.027,0.821,1
2.041,0.906,0
0.106,0.458,0
0.999,1.019,1
-0.26,-0.825,0
0.093,0.613,1
0.127,0.705,0
0.232,0.77,1
0.259,1.255,1
1.18,0.843,0
0.215,0.611,1
1.441,0.97,0
-0.052,0.651,1
0.455,2.401,0
0.959,1.399,0
0.268,1.333,0
0.486,1.088,0
0.569,0.908,1
0.577,2.804,0
0.584,1.413,1
-0.239,0.7,1
0.723,1.59,0
0.257,1.09,0
0.373,1.299,1
1.943,1.012,0
0.391,0.905,1
0.96,0.431,1
0.6,2.234,0
0.27,2.186,0
0.469,1.774,0
0.382,1.752,0
0.331,1.163,1
1.086,1.046,0
1.301,2.515,0
0.625,2.852,0
0.724,2.438,0
0.249,0.569,1
1.824,0.597,0
3.347,0.482,0
1.036,2.396,0
1.547,1.178,0
0.158,0.378,1
0.313,1.268,0
0.316,0.62,1
0.276,0.904,0
1.461,1.555,0
0.048,0.234,0
1.205,0.721,1
1.84,-0.254,0
0.086,0.308,0
0.298,0.642,1
0.575,2.035,0
0.282,1.739,0
2.287,-0.234,0
0.377,0.522,0
1.115,2.261,0
0.462,2.139,0
0.636,0.675,1
0.416,0.399,0
0.165,1.198,0
0.374,1.266,0
1.078,0.9,1
0.074,0.373,0
0.327,1.581,0
0.351,2.237,0
0.525,0.974,0
0.252,0.623,1
0.29,1.224,0
0.288,0.765,0
1.158,2.391,1
0.101,0.629,1
0.37,0.81,1
0.578,1.929,0
0.229,1.118,0
1.569,1.44,0
1.11,0.729,0
0.27,1.806,0
0.205,0.629,0
0.675,1.505,0
3.432,-0.312,0
-0.199,-0.562,0
0.687,1.871,1
2.56,1.439,0
0.234,0.48,1
0.32,1.062,0
2.91,0.359,0
2.708,0.925,0
0.206,1.121,0
2.116,0.488,0
0.185,1.098,0
0.411,0.736,1
0.765,2.815,0
-0.144,-0.563,1
1.411,2.01,0
3.644,-0.294,0
-0.309,0.907,0
0.169,1.034,1
0.539,0.653,1
0.496,1.171,1
1.058,2.479,1
0.681,1.257,1
3.164,0.728,0
2.429,0.968,0
0.417,0.567,1
0.642,1.871,0
0.385,0.67,1
0.832,3.36,0
0.978,1.539,0
0.313,1.214,1
0.44,0.728,1
2.839,1.081,0
1.232,1.285,1
0.166,0.589,0
0.22,0.535,1
2.377,0.65,0
1.098,1.264,1
-0.132,-0.333,0
0.518,0.819,1
1.257,2.24,0
1.146,2.519,0
0.215,0.523,1
0.582,0.401,1
0.139,0.384,0
0.95,0.555,1
0.608,3.531,0
0.273,1.982,0
0.639,2.884,0
0.336,1.536,0
0.224,0.558,1
2.347,0.928,0
2.475,1.325,0
0.912,1.59,0
0.096,0.61,0
0.427,-1.045,0
0.265,2.037,0
0.251,0.542,0
0.936,2.357,1
1.843,1.023,0
0.119,0.604,0
0.521,1.331,1
0.512,0.87,1
1.798,1.851,0
0.621,1.749,0
0.228,0.881,1
2.063,1.161,0
1.136,0.603,1
0.568,0.892,0
0.09,0.314,0
0.355,1.816,0
1.492,0.795,0
0.771,2.719,0
0.412,2.118,0
0.227,1.27,0
0.222,1.017,0
0.106,0.635,1
0.58,2.541,0
0.445,0.965,1
1.099,1.843,1
1.466,1.697,0
0.302,0.697,1
3.414,-0.301,0
0.266,3.155,0
1.256,2.372,1
0.701,2.062,0
0.391,1.276,0
1.796,0.858,0
0.322,1.754,0
1.199,2.525,1
0.572,2.469,1
1.396,1.149,1
0.121,0.635,0
2.437,1.018,0
0.329,2.133,1
2.611,0.661,0
0.562,1.253,1
1.601,0.836,0
0.131,0.617,0
3.359,-0.241,0
0.598,2.171,0
0.365,0.433,0
0.465,1.193,1
0.18,0.679,1
2.101,1.502,0
0.134,0.651,0
0.126,0.732,0
0.699,2.221,0
0.385,2.111,0
1.414,1.694,0
0.327,0.659,1
3.132,0.557,0
0.147,0.625,1
0.044,0.301,0
0.281,0.867,0
1.309,0.768,1
0.228,1.054,0
0.131,0.263,1
-0.102,-0.549,0
2.21,1.84,0
1.031,1.627,0
1.296,2.241,0
1.079,2.734,1
0.533,2.235,0
1.228,0.904,0
0.365,0.882,1
0.301,1.934,0
0.918,0.758,0
0.361,2.716,0
0.216,0.376,1
0.917,2.238,0
0.555,2.557,0
0.127,0.522,1
0.299,0.849,1
2.781,0.932,0
0.477,1.051,1
