@relation phoneme

@attribute Dcl numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
-0.281,0.182,0.2,0
2.552,1.104,-0.415,0
-0.412,-0.168,-0.124,0
0.245,0.153,-0.101,0
-0.386,-0.152,-0.086,0
-0.661,-0.245,-0.139,0
-0.29,0.176,-0.094,0
-0.67,2.38,0,0
0.659,0.286,-0.11,0
0.932,0.734,-0.291,0
-0.491,0.28,0.607,0
2.095,-0.587,-0.313,0
0.181,0.148,-0.072,0
1.096,-0.264,-0.097,0
0.388,0.535,0,0
0.451,0.717,-0.291,0
0.32,-0.469,0,0
0.306,0.208,-0.094,0
0.153,0.162,-0.061,0
0.677,1.807,1.49,0
0.445,-0.697,1.824,0
2.29,-0.695,-0.374,0
0.992,0.453,0,0
0.154,-0.09,0.071,0
0.25,-0.105,0.122,0
1.486,-0.41,-0.259,0
0.909,0.425,0.225,0
-0.486,0.252,0.342,0
2.082,-0.627,-0.305,0
0.504,0.306,-0.309,0
-0.51,-0.213,-0.305,0
-0.259,-0.09,-0.075,0
-0.381,0.327,-0.119,0
-0.418,0.279,-0.188,0
1.583,-0.44,-0.212,0
-0.441,-0.194,-0.135,0
-0.55,0.611,-0.189,0
-0.264,-0.085,0.088,0
1.138,1.862,0,0
1.189,1.071,-0.285,0
1.294,1.762,0,0
-0.378,0.228,-0.162,0
2.484,-0.527,-0.319,0
0.837,1.902,-0.875,0
1.846,-0.477,-0.201,0
-0.247,-0.097,-0.066,0
2.62,1.194,-0.555,0
0.339,0.2,-0.32,0
-0.574,0.268,0.229,0
2.136,-0.854,0,0
-0.631,-0.255,-0.169,0
-0.337,-0.138,0.135,0
0.486,1.742,0,0
0.629,2.132,-0.659,0
-0.107,0.13,-0.053,0
1.339,0.665,0.878,0
2.634,-0.756,0,0
2.107,-0.919,-0.514,0
0.479,0.366,-0.179,0
0.402,-0.096,-0.07,0
1.916,-0.618,0,0
1.399,0.716,-0.422,0
-0.532,-0.215,0,0
0.957,0.479,-0.201,0
-0.677,-0.248,-0.149,0
0.189,0.119,-0.143,0
2.162,-0.682,0,0
-0.485,0.252,0.343,0
2.774,-0.784,-0.337,0
0.885,0.359,0,0
2.404,-0.665,0,0
1.397,0,0,0
0.523,1.47,1.046,0
0.962,0.452,0.246,0
0.82,0.333,0,0
0.396,0.265,-0.163,0
-0.128,0.117,0.115,0
1.396,-0.523,0,0
1.359,0.77,0,0
1.439,2.113,0,0
0.86,-0.589,1.974,0
-0.291,-0.277,1.781,0
0.139,0.103,0.09,0
-0.24,0.204,0.163,0
0.158,0.194,-0.063,0
0.45,-0.608,1.78,0
-0.571,0.517,-0.278,0
0.451,0.202,0,0
