@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,4,6'

@attribute Aa numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.136,1.073,0
0.699,0.403,0
1.312,0.534,0
1.607,0.222,0
0.856,0.366,0
0.12,-0.318,1
0.18,1.056,0
1.271,-0.404,0
2.075,0.457,0
0.245,-0.528,0
0.338,1.191,0
0.284,-0.786,1
3.115,-0.074,0
0.229,1.47,0
0.144,-0.718,0
2.822,0.091,0
0.472,0.716,0
0.567,-0.496,1
2.469,0.082,0
1.186,0.344,1
0.135,1.552,1
0.075,0.424,0
0.939,1.303,1
2.416,0.094,0
0.313,0.789,1
2.676,0.983,0
0.539,1.247,1
0.121,2.225,0
0.174,1.097,1
0.049,-0.447,0
0.118,0.973,0
0.634,0.876,0
0.077,-0.326,1
2.646,-0.092,0
0.183,1.903,0
-0.712,0.148,0
1.094,0.183,0
0.241,0.272,0
0.87,-0.198,0
1.371,0.638,1
0.545,-0.604,1
0.356,-0.396,0
0.35,-0.26,0
0.828,-0.205,0
1.334,1.109,0
0.157,1.902,0
1.007,0.422,0
2.209,0.529,0
2.117,-0.302,0
0.619,-0.233,0
0.53,0.683,0
0.794,-0.201,0
2.198,1.842,0
0.541,-0.254,0
0.672,2.131,1
0.238,-0.604,1
0.072,1.007,0
0.563,-0.485,0
0.482,-0.705,0
1.383,-0.547,1
0.428,0.733,1
1.178,0.618,1
0.954,1.195,0
1.947,0.14,0
0.403,0.516,0
0.583,0.295,0
0.584,1.431,1
0.294,1.14,1
1.52,0.133,0
3.22,0.096,0
1.776,-0.071,0
1.619,-0.1,0
0.541,-0.44,0
2.084,-0.24,0
1.301,-0.246,0
0.719,0.253,0
0.148,-0.672,0
0.384,-0.41,1
0.263,-0.687,0
0.172,1.093,0
0.252,-0.726,0
2.51,0.72,0
0.557,1.204,1
2.956,-0.266,0
0.294,0.946,0
0.194,0.754,0
0.808,-0.151,0
0.254,0.607,0
0.874,0.584,1
1.677,0.394,0
0.321,2.252,1
-0.097,-0.632,0
0.129,1.683,1
0.145,-0.741,0
1.896,0.138,0
1.351,0.572,0
0.584,0.521,0
0.093,2.5,1
0.25,-0.859,0
0.307,1.537,1
0.171,-1.084,1
0.235,1.332,1
2.451,0.166,0
0.327,0.541,0
0.121,0.874,0
0.402,1.123,0
3.042,0.093,0
0.959,0.369,1
0.508,0.273,0
0.397,1.328,1
0.297,1.111,1
1.644,1.395,0
2.457,0.092,0
0.158,-0.892,0
1.084,0.078,0
0.352,0.79,1
0.374,0.826,1
0.627,-0.163,0
0.985,0.394,1
0.324,0.543,0
0.836,0.29,0
0.306,1.404,1
0.993,0.768,1
0.26,0.708,0
-0.163,1.244,0
0.723,0.284,0
0.248,0.993,1
0.238,1.38,0
0.257,2.224,0
2.409,0.162,0
1.129,-0.089,0
0.37,2.657,1
0.472,-0.356,0
1.004,1.205,0
0.579,0.495,1
