@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,5-6'

@attribute Ao numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.811,0.86,1
2.139,-0.1,0
0.225,0.912,0
2.604,-0.147,0
0.959,0,0
2.285,-0.099,0
1.493,-0.113,0
2.156,0.109,0
3.145,-0.385,0
3.451,-0.153,0
1.755,0,0
0.309,1.824,0
1.445,0.689,1
1.397,0.119,0
1.328,-0.256,0
2.315,-0.293,0
2.528,0.189,0
1.057,1.157,1
0.531,0,1
1.776,-0.241,0
2.213,-0.436,0
2.928,-0.133,0
0.869,0.103,0
0.299,1.037,1
0.713,-0.052,0
2.061,-0.121,0
2.039,1.222,0
0.387,-0.339,0
2.074,-0.104,0
2.673,-0.177,0
1.138,0,0
0.862,-0.796,1
2.53,1.107,0
3.373,-0.146,0
2.154,1.02,1
2.054,1.449,0
0.764,-0.772,1
1.165,-0.065,0
2.609,-0.246,0
1.057,-0.393,0
1.317,-0.067,0
0.526,0,1
0.268,-0.082,0
0.882,0.078,0
1.673,-0.173,0
1.271,0.098,0
1.354,0.246,0
1.433,0.198,0
1.662,0,0
0.298,0.934,0
0.584,1.251,1
1.005,1.331,1
0.463,0,0
0.551,0.4,0
0.334,0,0
1.08,-0.67,1
0.607,-0.139,0
1.505,0.101,0
0.884,-0.452,0
2.87,-0.117,0
0.322,-0.299,1
0.851,-0.996,0
1.773,-0.077,0
1.111,0.308,0
1.96,-0.41,0
1.169,-0.066,0
0.671,0,1
1.146,-0.7,1
1.963,-0.357,1
1.558,-0.086,0
1.316,1.196,1
0.866,0.081,0
0.794,0.075,0
0.98,0.221,0
2.23,0.504,0
0.432,-0.784,0
0.571,-0.35,0
3.127,-0.393,0
2.168,0.723,0
0.543,1.457,1
2.19,0.98,0
2.197,-0.104,0
1.071,-0.391,0
0.984,-0.825,1
0.625,0.058,0
2.671,0.793,0
1.494,-0.182,0
0.938,0.22,0
0.303,-0.919,0
0.509,0,1
0.349,-0.371,0
1.401,-0.451,1
0.482,-0.052,0
1.13,-0.74,1
0.435,-0.053,0
1.09,0.182,0
1.822,0.447,1
0.559,-1,0
1.449,-0.191,1
2.867,0.915,0
1.125,0.831,1
-0.273,-0.095,0
0.672,-0.709,0
0.432,-0.245,0
1.607,0.32,0
1.764,-0.118,0
0.483,0.105,0
1.401,0,0
-0.211,-0.059,0
1.922,0.114,0
2.179,-0.233,0
1.498,0.086,0
0.619,-0.032,0
0.638,0,1
1.18,0.091,0
1.333,0.551,0
0.598,-0.248,1
0.501,-0.724,0
0.789,-0.059,0
3.093,-0.237,0
0.358,-0.102,0
3.003,-0.234,0
0.586,-0.395,1
0.605,-0.751,1
0.435,0.422,1
-0.334,-0.06,0
1.762,0.18,0
1.825,-0.43,0
3.104,-0.233,0
1.403,2.016,0
0.729,1.339,1
0.701,1.539,1
2.563,0,0
0.474,2.021,1
1.885,-0.221,0
1.351,-0.16,0
0.203,0,0
1.09,0,0
0.349,-1.115,1
1.556,-0.355,1
0.807,0.521,1
1.699,-0.115,0
0.619,1.06,1
0.511,0,1
1.185,1.181,1
0.534,0.761,1
2.248,-0.187,1
0.56,1.396,1
1.367,0.107,0
1.196,-0.47,0
-0.374,-0.065,0
1.31,0.532,0
0.282,-0.065,0
2.822,1.001,0
2.068,-0.138,1
0.592,0,0
1.505,1.618,0
1.94,-0.107,0
0.377,0.048,0
2.669,0,0
0.435,-0.098,0
0.944,-0.059,0
-0.36,-0.072,0
1.65,0,0
0.81,0.921,1
0.414,0.34,1
2.512,-0.232,0
0.469,0.089,0
1.411,0,0
0.488,-0.044,0
1.59,-0.201,0
1.587,-0.168,0
0.685,0,1
1.178,0,0
0.546,1.184,1
0.433,0.719,1
0.997,0.297,0
0.495,0.051,0
2.261,-0.109,0
1.948,0,0
1.256,1.175,1
0.557,-0.206,0
2.294,-0.163,1
1.952,-0.175,0
3.039,0.189,0
1.696,-0.241,0
2.114,-0.116,0
0.513,0.851,1
1.876,-0.267,0
0.967,-0.333,0
0.949,1.071,1
0.468,0,0
1.687,0.355,0
0.953,0.639,1
2.769,0.214,0
0.268,1.737,0
1.934,-0.1,0
0.789,-0.602,1
0.48,-0.543,0
0.772,0.089,0
2.829,-0.213,0
2.845,-0.111,0
2.249,-0.217,0
0.792,-0.459,0
2.574,0.374,0
2.248,-0.189,0
1.765,-0.144,1
0.565,1.763,1
1.798,0.706,0
1.436,-0.315,0
0.6,0.068,0
0.608,-0.056,0
2.588,-0.195,0
1.292,-0.474,0
1.371,0.559,0
0.392,0,1
1.606,0.942,0
0.588,1.115,1
1.904,-0.273,1
2.523,-0.24,1
0.818,0.065,0
2.735,-0.199,0
2.116,0.465,1
1.135,0.859,1
0.482,-0.05,0
-0.256,-0.071,0
0.464,0.921,0
0.517,0,1
2.804,-0.201,0
1.241,-0.624,0
-0.22,-0.066,0
1.284,-0.421,1
1.36,-0.092,0
1.433,0,0
0.595,-0.762,0
0.629,-0.407,1
1.44,-0.079,0
2.637,-0.277,0
2.108,-0.262,0
0.842,-0.738,1
1.531,1.126,0
1.624,-0.197,0
0.359,1.346,1
1.433,-0.168,1
1.667,0,0
0.951,1.043,1
2.962,-0.241,0
1.14,-0.211,0
1.535,0.143,0
1.589,0,0
1.214,-0.535,0
0.57,-0.193,0
0.458,1.155,1
2.019,0,0
0.282,0.269,0
0.394,0,1
1.01,0,0
1.371,0.076,0
0.698,0.685,1
2.793,0.156,0
2.204,0.116,0
2.611,-0.162,0
2.762,-0.149,1
0.621,0,0
0.365,0.084,0
1.84,0.096,0
2.707,1.006,0
0.97,-0.164,0
1.807,-0.478,0
0.726,0.091,0
1.183,-0.394,1
1.841,-0.141,0
0.497,-0.738,1
0.705,-0.878,1
1.598,0.17,0
2.226,-0.124,0
0.532,-0.487,1
1.059,-0.123,0
0.849,0.385,0
1.016,-0.262,0
1.061,-0.061,0
1.093,0,1
1.66,0.11,0
2.114,-0.106,1
0.483,1.108,1
1.527,-0.15,1
0.424,0,0
0.566,-0.534,1
1.65,0.179,0
1.634,0,0
2.527,-0.481,0
0.568,0,1
1.985,0.49,0
0.956,-0.72,1
1.009,-0.179,0
2.615,0.542,1
1.221,-0.285,0
0.256,-0.342,0
1.435,-0.239,1
0.277,-0.275,1
1.319,1.248,1
2.365,-0.101,1
0.872,-0.075,0
2.04,1.753,0
1.153,0.253,0
1.431,0.233,0
0.588,-0.123,0
0.901,0.75,1
0.481,2.337,1
1.064,-0.062,0
1.042,0,1
-0.298,-0.057,0
1.722,-0.16,0
0.635,1.456,1
0.71,-0.592,1
1.967,-0.3,0
1.726,-0.309,0
0.932,0.988,1
1.249,-0.173,1
1.114,-0.384,0
1.964,-0.508,0
2.205,-0.118,0
3.101,-0.165,0
0.924,1.592,1
0.589,-0.621,0
0.464,0.292,0
1.348,-0.498,1
1.241,-0.209,0
2.389,0.238,0
0.729,-0.764,1
2.526,0,0
0.925,0.419,0
2.092,0,0
0.674,1.511,1
-1.038,-0.35,0
0.813,0.067,0
0.771,0.084,0
0.931,-0.41,0
1.086,0.201,0
0.731,-0.537,1
0.45,0.6,1
0.532,1.052,1
0.703,0.041,0
0.502,-0.249,1
1.36,0.132,0
-0.237,-0.453,0
0.297,1.812,1
3.204,0.183,0
1.265,0,1
0.979,0.101,0
1.571,0,0
1.258,0,1
0.425,1.493,1
0.441,0,1
0.384,-0.853,0
0.619,-1.013,1
-0.335,-0.787,1
3.078,0,0
0.422,0.961,1
0.476,0,0
1.237,1.502,1
0.187,-0.569,1
2.062,-0.112,0
2.692,1.298,0
0.581,1.967,0
0.72,-0.52,1
0.548,0.324,0
1.698,0,0
1.677,0,0
2.304,0.251,0
1.108,0,0
1.419,0,0
2.25,-0.121,0
0.558,-0.777,0
1.395,-0.081,0
0.295,-0.96,0
1.072,0,0
1.421,-0.085,0
0.572,-0.093,0
2.902,1.028,0
0.855,0.085,0
0.506,-0.057,0
3.129,0.196,0
0.493,-0.626,1
0.671,0.347,0
0.419,-0.054,0
1.306,-0.062,0
0.398,-0.77,1
1.875,-0.081,0
1.139,0,0
1.23,1.528,1
0.596,0.066,0
1.478,1.184,1
0.394,-0.72,1
0.427,0.984,1
1,1.264,1
2.983,-0.158,0
1.3,-0.206,0
0.401,-0.291,0
3.102,-0.21,0
-0.26,0.134,0
0.508,-0.789,0
1.981,-0.118,0
0.498,0.076,0
2.927,-0.213,0
2.334,-0.137,0
2.072,0.856,0
3.052,-0.329,0
2.626,-0.158,0
2.801,0.981,0
2.081,-0.404,1
1.666,0,0
0.624,0.457,0
0.62,0,1
2.564,0.227,0
1.105,0,0
0.804,0,0
0.719,-0.518,1
0.774,-0.523,0
0.357,0,0
2.444,0,0
1.213,-0.372,0
0.843,1.358,1
3.089,-0.334,0
0.659,-0.693,1
2.96,-0.144,0
0.975,0.527,0
1.946,-0.091,0
0.526,0,0
0.393,-0.059,0
-0.237,-0.454,0
2.024,-0.397,0
1.346,0,0
0.847,-0.621,1
0.433,2.012,1
0.704,1.578,1
1.325,-0.135,0
0.978,-1.008,1
2.881,0.157,0
1.005,-0.338,1
2.577,-0.241,0
0.97,0.617,0
1.252,-0.179,0
0.54,0.07,0
1.118,-0.358,1
2.73,-0.123,0
1.404,-0.109,0
1.107,-0.247,0
1.15,-0.301,0
1.788,0,0
0.99,0,1
0.341,-0.076,0
1.233,-0.183,0
0.482,0.899,0
0.719,-0.581,1
1.598,-0.255,1
0.373,2.043,0
0.281,0.269,0
0.517,-0.218,0
1.949,-0.075,0
1.413,-0.434,0
-0.27,-0.082,0
0.725,0,0
1.857,0.095,0
2.963,-0.389,1
0.809,0,1
0.715,0,1
2.908,0.205,0
0.626,0.522,1
0.66,-0.095,0
0.627,0.915,1
1.373,0,0
1.064,0,0
0.442,1.27,1
2.848,0.694,0
1.537,0,0
1.666,-0.431,1
2.586,-0.18,0
1.212,0.082,0
2.844,0.602,0
0.788,0.061,0
1.554,0.337,0
1.224,-0.539,0
1.514,-0.229,0
0.378,-0.784,1
0.291,0,0
0.976,-0.387,0
0.623,-0.057,0
1.66,0.246,0
0.531,-0.531,0
0.279,-0.075,0
0.988,-1.12,1
1.911,-0.202,0
0.732,0.089,0
2.559,-0.299,0
0.729,-0.469,0
0.678,-0.508,1
2.399,0,0
0.981,0.441,0
0.994,-0.369,0
1.252,-0.234,0
2.247,-0.411,1
0.19,-0.488,1
2.158,0,0
0.734,1.24,1
1.275,-0.234,0
1.976,0,0
1.401,0.12,0
3.191,-0.384,0
0.629,-0.062,0
0.892,-0.446,0
0.76,0,1
2.203,-0.295,0
0.476,0.998,0
1.819,0.125,0
2.03,-0.257,1
0.158,-0.672,1
0.431,0.394,0
1.246,-0.21,0
1.809,0.298,1
-1.153,-0.151,0
0.648,0.634,1
2.253,0.929,0
1.066,0.402,0
0.579,0,0
0.812,-0.243,1
0.911,0.518,0
0.467,0.071,0
1.08,0,0
0.67,-0.387,1
0.666,-0.106,0
0.508,0,1
1.065,0,1
1.997,-0.101,0
0.501,0,1
2.275,-0.247,0
0.476,-0.097,0
1.752,0,0
1.028,-0.406,0
1.27,-0.065,0
1.975,-0.239,0
