@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,4,6'

@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.99,-0.738,0
1.531,1.601,0
1.963,0.191,0
0.299,0.694,0
0.896,0.475,0
-0.301,-0.078,0
2.279,0.778,0
1.781,0.491,0
1.692,-0.312,0
1.031,-0.544,0
0.953,-0.777,0
0.519,1.611,1
1.055,-0.547,0
1.441,0.167,0
0.745,1.225,1
2.751,-0.169,0
0.502,2.022,0
0.758,1.905,1
0.541,1.106,1
-0.233,-0.078,0
0.532,1.25,0
1.367,0.14,0
2.192,0.264,0
0.617,1.338,1
1.995,-0.144,0
2.441,0.436,1
0.387,1.019,0
2.579,0.724,0
1.413,-0.348,0
0.487,0.693,1
1.593,0.516,0
2.218,-0.313,1
1.893,-0.432,0
0.52,1.652,1
0.587,0.668,1
0.449,0.936,1
1.09,1.063,1
0.478,1,1
0.822,-0.087,0
2.197,0.199,0
0.857,0.725,0
0.65,0.112,0
1.465,0.689,0
0.274,1.426,0
1.604,-0.292,0
2.058,0.668,0
2.771,0.249,0
2.528,0.882,1
0.389,-0.617,0
1.078,-0.775,0
1.014,-0.849,0
2.136,-0.184,0
0.817,1.705,0
2.821,-0.432,0
2.625,-0.205,1
2.962,0.388,0
1.875,-0.461,0
1.598,0.252,0
1.383,0.691,0
1.06,2.435,1
0.426,0.71,1
1.079,-0.341,0
1.501,0.993,0
0.381,-0.263,0
0.284,-0.574,0
1.094,-0.082,0
1.048,1.328,1
0.811,2.122,1
2.116,-0.166,0
1.279,-0.533,1
1.809,0.917,0
0.753,-0.31,0
1.051,-0.564,0
1.81,-0.125,0
1.221,1.071,0
2.58,0.789,0
0.679,-0.68,1
-0.477,-1.581,0
1.113,1.019,1
1.686,-0.256,0
0.496,0.15,0
0.676,-0.554,1
1.786,0.459,0
0.966,-0.458,1
0.346,0.51,0
0.692,1.197,0
0.926,-0.563,0
1.392,0.476,1
0.553,1.927,1
0.302,0.853,0
1.136,-0.763,0
2.524,0.371,0
0.953,1.066,1
0.742,1.221,1
2.64,0.609,0
0.563,1.186,1
2.152,-0.244,0
0.489,0.915,0
2.407,-0.18,0
0.958,-0.813,1
0.692,1.574,0
0.764,-0.605,1
2.779,0.605,1
2.25,0.272,0
1.275,0.427,0
2.226,-0.161,0
2.283,1.456,0
2.555,0.452,0
1.585,1.145,0
0.502,1.72,0
2.776,0.474,1
0.651,0.128,0
1.289,1.098,1
1.302,-0.474,0
0.451,0.832,1
1.764,-0.238,0
0.384,2.14,0
0.617,0.633,1
1.687,-0.63,0
1.951,-0.136,0
3.001,-0.171,0
1.059,-0.083,0
0.788,0.133,0
0.814,1.692,0
2.214,-0.149,0
1.344,-0.698,0
1.414,-0.728,0
1.08,-1.124,1
0.558,1.417,1
0.662,-0.607,1
1.829,-0.44,0
0.283,0.156,0
0.648,0.111,0
0.598,2.198,0
0.614,0.449,1
0.823,1.83,0
1.975,0.217,0
0.559,0.139,0
2.557,-0.143,0
-0.315,-0.109,0
0.415,2.147,0
0.403,0.1,0
1.811,0.257,0
0.357,-0.32,0
0.607,0.993,1
0.788,1.231,1
1.226,0.1,0
2.318,0.546,0
0.964,-0.477,1
2.071,-0.423,0
2.253,-0.201,0
2.902,1.191,0
1.701,-0.641,0
0.555,1.481,1
1.119,-0.634,1
0.526,2.081,0
0.442,1.071,1
0.694,-0.087,0
1.19,-0.72,0
1.912,-0.154,0
2.765,0.286,0
0.455,0.576,0
0.801,-0.743,1
1.589,0.685,0
2.494,1.169,1
2.006,-0.173,0
0.366,-0.74,0
1.416,-0.848,0
2.897,0.371,0
1.428,0.525,0
3.137,0.545,0
1.322,-0.109,0
2.619,0.362,0
0.699,1.115,1
-0.266,0.091,0
0.545,1.286,1
1.047,-0.541,0
0.524,-0.407,0
0.421,0.121,0
2.493,1.169,1
2.415,-0.365,0
0.594,0.942,1
-0.812,-0.465,1
