@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,4,6'

@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.811,0.821,1
2.139,0.241,0
0.225,0.264,0
2.604,0.313,0
0.959,1.705,0
2.285,-0.159,0
1.493,0.304,0
2.156,-0.122,0
3.145,1.274,0
3.451,-0.245,0
1.755,0.334,0
0.309,-0.697,0
1.445,0.716,1
1.397,0.184,0
1.328,0.451,0
2.315,0.703,0
2.528,-0.151,0
1.057,1.318,1
0.531,1.883,1
1.776,0.504,0
2.213,0.65,0
2.928,-0.189,0
0.869,0.102,0
0.299,1.123,1
0.713,-0.085,0
2.061,0.248,0
2.039,-0.476,0
0.387,1.019,0
2.074,-0.181,0
2.673,0.403,0
1.138,-0.974,0
0.862,0.827,1
2.53,-0.343,0
3.373,-0.245,0
2.154,0.836,1
2.054,0.473,0
0.764,1.241,1
1.165,-0.1,0
2.609,-0.262,0
1.057,-0.781,0
1.317,-0.121,0
0.526,0.965,1
0.268,0.081,0
0.882,0.07,0
1.673,0.405,0
1.271,0.122,0
1.354,-0.39,0
1.433,0.327,0
1.662,-0.636,0
0.298,1.522,0
0.584,1.044,1
1.005,1.871,1
0.463,2.313,0
0.551,0.686,0
0.334,1.189,0
1.08,2.245,1
0.607,0.203,0
1.505,-0.101,0
0.884,0.341,0
2.87,-0.173,0
0.322,0.521,1
0.851,2.585,0
1.773,-0.123,0
1.111,0.258,0
1.96,0.195,0
1.169,0.235,0
0.671,0,1
1.146,2.144,1
1.963,1.48,1
1.558,-0.136,0
1.316,0.669,1
0.866,0.096,0
0.794,-0.082,0
0.98,-0.217,0
2.23,0.568,0
0.432,1.44,0
0.571,1.128,0
3.127,-0.274,0
2.168,-0.281,0
0.543,1.125,1
2.19,0.617,0
2.197,-0.168,0
1.071,-0.623,0
0.984,-1.032,1
0.625,0.106,0
2.671,-0.191,0
1.494,-0.413,0
0.938,0.346,0
0.303,2.092,0
0.509,0.749,1
0.349,1.461,0
1.401,1.137,1
0.482,0.133,0
1.13,1.29,1
0.435,0.089,0
1.09,0.204,0
1.822,-0.452,1
0.559,2.327,0
1.449,-0.52,1
2.867,-0.299,0
1.125,1.191,1
-0.273,0.27,0
0.672,1.99,0
0.432,0.7,0
1.607,0.436,0
1.764,-0.238,0
0.483,0.106,0
1.401,-0.665,0
-0.211,0.152,0
1.922,0.174,0
2.179,0.58,0
1.498,-0.104,0
0.619,-0.067,0
0.638,1.742,1
1.18,-0.114,0
1.333,-0.536,0
0.598,0.635,1
0.501,1.989,0
0.789,0.075,0
3.093,0.63,0
0.358,-0.222,0
3.003,0.827,0
0.586,1.078,1
0.605,0.873,1
0.435,0.743,1
-0.334,0.112,0
1.762,0.454,0
1.825,0.296,0
3.104,0.845,0
1.403,-0.336,0
0.729,1.338,1
0.701,1.669,1
2.563,0.741,0
0.474,1.311,1
1.885,0.174,0
1.351,0.679,0
0.203,0.483,0
1.09,0.525,0
0.349,1.579,1
1.556,-0.526,1
0.807,-0.724,1
1.699,0.266,0
0.619,1.36,1
0.511,0.573,1
1.185,0.977,1
0.534,1.3,1
2.248,0.679,1
0.56,0.949,1
1.367,-0.122,0
1.196,1.121,0
-0.374,-0.092,0
1.31,-0.298,0
0.282,0.164,0
2.822,0.446,0
2.068,-0.297,1
0.592,1.236,0
1.505,-0.429,0
1.94,-0.177,0
0.377,0.067,0
2.669,-0.296,0
0.435,-0.27,0
0.944,-0.107,0
-0.36,-0.085,0
1.65,-0.612,0
0.81,0.968,1
0.414,-0.633,1
2.512,0.27,0
0.469,0.092,0
1.411,0.649,0
0.488,0.102,0
1.59,0.486,0
1.587,-0.339,0
0.685,2.073,1
1.178,-0.581,0
0.546,1.665,1
0.433,0.719,1
0.997,0.36,0
0.495,0.07,0
2.261,-0.195,0
1.948,0.563,0
1.256,0.884,1
0.557,0.14,0
2.294,-0.396,1
1.952,-0.345,0
3.039,-0.191,0
1.696,0.449,0
2.114,-0.191,0
0.513,1.332,1
1.876,-0.613,0
0.967,-0.79,0
0.949,-0.418,1
0.468,0.798,0
1.687,-0.294,0
0.953,1.066,1
2.769,0.331,0
0.268,0.996,0
1.934,-0.211,0
0.789,1.781,1
0.48,1.305,0
0.772,0.123,0
2.829,0.247,0
2.845,-0.202,0
2.249,0.691,0
0.792,-0.985,0
2.574,0.396,0
2.248,0.412,0
1.765,-0.355,1
0.565,1.149,1
1.798,0.92,0
1.436,-0.659,0
0.6,0.089,0
0.608,-0.095,0
2.588,-0.372,0
1.292,-0.826,0
1.371,-0.6,0
0.392,1.763,1
1.606,0.801,0
0.588,1.501,1
1.904,-0.309,1
2.523,0.863,1
0.818,0.094,0
2.735,-0.187,0
2.116,0.391,1
1.135,-0.505,1
0.482,0.133,0
-0.256,0.194,0
0.464,0.495,0
0.517,0.829,1
2.804,-0.436,0
1.241,-0.314,0
-0.22,0.198,0
1.284,1.508,1
1.36,-0.137,0
1.433,-0.542,0
0.595,2.318,0
0.629,0.911,1
1.44,0.129,0
2.637,0.264,0
2.108,-0.544,0
0.842,2.022,1
1.531,0.97,0
1.624,-0.473,0
0.359,1.917,1
1.433,-0.415,1
1.667,-0.211,0
0.951,1.058,1
2.962,0.588,0
1.14,0.763,0
1.535,0.265,0
1.589,-0.863,0
1.214,-0.55,0
0.57,0.145,0
0.458,-0.51,1
2.019,0.629,0
0.282,-0.397,0
0.394,2.066,1
1.01,-0.842,0
1.371,-0.131,0
0.698,-0.483,1
2.793,0.22,0
2.204,-0.17,0
2.611,0.349,0
2.762,-0.25,1
0.621,2.052,0
0.365,0.091,0
1.84,-0.116,0
2.707,0.617,0
0.97,0.265,0
1.807,0.992,0
0.726,0.102,0
1.183,-0.473,1
1.841,0.379,0
0.497,1.917,1
0.705,1.585,1
1.598,0.319,0
2.226,-0.178,0
0.532,1.36,1
1.059,-0.32,0
0.849,0.753,0
1.016,-0.493,0
1.061,0.115,0
1.093,-0.687,1
1.66,-0.111,0
2.114,-0.23,1
0.483,-0.493,1
1.527,-0.418,1
0.424,1.839,0
0.566,-0.499,1
1.65,0.333,0
1.634,-0.141,0
2.527,0.426,0
0.568,0.887,1
1.985,0.448,0
0.956,1.758,1
1.009,0.366,0
2.615,0.653,1
1.221,1.071,0
0.256,0.389,0
1.435,-0.378,1
0.277,-0.248,1
1.319,1,1
2.365,-0.183,1
0.872,-0.082,0
2.04,-0.511,0
1.153,-0.303,0
1.431,0.473,0
0.588,0.207,0
0.901,1.343,1
0.481,-1.007,1
1.064,0.116,0
1.042,1.051,1
-0.298,0.079,0
1.722,-0.338,0
0.635,0.514,1
