@relation phoneme

@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.561,-0.644,0
1.188,1.008,0
1.513,-0.545,0
0.496,0.15,0
1.764,1.052,0
0.732,0.088,0
2.317,0.411,0
1.701,-0.641,0
0.525,1.087,0
0.951,0.326,0
1.322,-0.109,0
2.923,-0.215,0
0.826,-0.274,0
1.576,0.337,0
1.264,0.575,0
0.719,0.117,0
0.375,1.742,0
0.514,2.127,0
0.393,0.11,0
1.813,0.505,0
1.877,0.262,0
3.041,0.621,0
2.138,0.292,0
1.806,-0.37,0
0.854,0.721,0
2.769,0.331,0
1.818,-0.162,0
0.72,-0.794,0
0.935,-0.991,0
3.241,0.551,0
1.081,-0.237,0
1.098,-0.698,0
2.971,0.257,0
1.277,0.182,0
1.277,-0.605,0
1.413,0.195,0
1.11,0.11,0
0.855,-0.668,0
1.997,-0.163,0
2.775,0.833,0
2.902,0.552,0
0.258,1.391,0
0.484,0.879,0
0.265,0.081,0
1.155,-0.087,0
0.355,0.519,0
2.247,-0.176,0
-0.234,0.176,0
0.476,0.147,0
0.692,1.197,0
2.295,0.225,0
0.454,1.38,0
2.042,0.214,0
0.799,1.596,0
0.293,0.075,0
2.252,0.403,0
1.589,0.685,0
2.885,0.618,0
2.039,-0.476,0
0.617,1.041,0
1.432,0.343,0
0.614,-0.201,0
0.845,0.082,0
1.798,0.921,0
2.3,-0.202,0
1.087,-0.824,0
2.402,-0.18,0
0.873,-0.837,0
0.469,0.092,0
1.433,0.327,0
0.497,0.866,0
0.532,1.25,0
1.416,0.139,0
1.511,-0.466,0
1.54,-0.76,0
2.506,-0.148,0
0.436,1.634,0
1.127,-0.784,0
0.596,-0.075,0
1.121,0.498,0
0.631,2.041,0
2.061,-0.179,0
1.091,-0.072,0
-0.233,0.077,0
2.759,-0.312,0
2.4,-0.164,0
1.773,1.043,0
-0.243,-0.081,0
2.259,0.252,0
0.61,0.591,0
1.851,-0.124,0
2.399,-0.498,0
1.325,0.373,0
0.376,0.424,0
0.588,0.68,0
1.248,-0.7,0
0.249,0.102,0
0.569,0.971,0
2.092,-0.462,0
1.555,0.271,0
1.73,0.171,0
1.072,-0.74,0
1.442,-0.139,0
0.736,1.259,0
1.071,-0.623,0
0.967,-0.368,0
0.488,0.094,0
1.208,-0.094,0
0.289,0.928,0
0.556,1.628,0
1.007,-0.772,0
-0.825,-1.494,0
-0.374,-0.092,0
1.246,-0.499,0
1.06,-0.676,0
1.088,-0.126,0
2.279,0.778,0
0.5,1.7,0
0.342,1.827,0
2.149,0.27,0
0.884,0.341,0
0.384,1.56,0
0.845,-0.737,0
2.221,-0.188,0
0.267,0.16,0
1.942,1.609,0
2.098,0.29,0
1.984,-0.147,0
1.599,0.329,0
1.123,-0.485,0
0.502,1.72,0
1.945,0.609,0
1.232,0.103,0
1.341,-0.489,0
1.044,-0.663,0
0.847,1.911,0
-0.211,0.166,0
0.813,1.109,0
0.435,2.222,0
0.637,0.104,0
1.536,-0.114,0
0.551,1.942,0
2.432,0.25,0
1.554,0.275,0
1.717,0.312,0
2.028,0.406,0
2.273,0.697,0
1.118,-0.555,0
1.149,0.339,0
1.354,-0.097,0
1.517,0.716,0
1.681,-0.238,0
1.598,0.252,0
2.558,-0.369,0
0.636,0.078,0
-0.233,-0.078,0
0.584,0.326,0
1.305,1.809,0
2.404,0.259,0
3.211,-0.311,0
0.267,1.007,0
1.058,-0.756,0
0.46,1.282,0
0.892,-0.53,0
0.446,1.127,0
1.266,1.077,0
1.02,-0.668,0
0.295,0.62,0
3.085,0.497,0
2.205,-0.183,0
1.505,-0.13,0
