@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,4,6'

@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.657,-0.331,0
0.576,0.83,1
0.642,1.281,1
1.423,-0.123,0
1.792,-0.517,0
2.164,0.63,0
2.711,0.381,0
1.007,-0.772,0
1.47,-0.437,1
1.356,0.333,0
0.475,1.637,0
0.55,1.13,1
1.811,0.212,0
1.91,0.563,1
0.503,-0.156,0
0.584,0.326,0
1.009,-0.555,0
0.713,1.197,0
2.995,-0.321,0
0.433,2.096,1
0.5,1.7,0
0.966,0.301,0
0.996,-0.721,0
1.127,-0.105,0
2.274,-0.19,0
2.197,-0.19,0
1.607,-0.109,0
0.378,-0.601,0
1.277,-0.426,0
0.491,-0.084,0
-0.275,-0.069,0
1.444,0.716,1
-0.709,-0.143,0
0.455,1.748,0
2.303,-0.144,0
1.494,1.755,1
0.496,1.781,0
1.204,-0.432,0
-0.656,-0.64,0
-0.269,0.11,0
0.52,1.957,1
2.084,0.426,0
0.884,1.215,1
0.566,0.202,0
0.758,0.746,0
1.555,-0.097,0
0.5,0.831,0
0.932,-0.612,0
0.471,1.183,0
0.448,1.786,0
2.692,0.348,0
0.704,1.741,0
3.17,-0.281,0
0.309,0.984,0
1.814,0.741,1
1.082,-0.239,0
2.015,-0.187,0
2.109,-0.419,1
3.544,0.456,0
0.752,1.324,1
0.932,1.787,1
1.267,0.575,0
0.719,0,1
1.975,-0.18,0
1.538,0.191,0
1.846,1.53,1
0.602,-0.748,1
2.311,0.222,0
0.861,1.026,1
0.774,-0.091,0
0.734,1.698,1
0.374,0.482,1
0.561,0.475,0
0.883,0.842,1
0.395,0.544,0
0.531,-0.445,0
0.686,1.873,0
2.195,-0.138,0
3.459,-0.291,0
3.273,-0.307,0
1.149,-0.724,0
0.476,0.147,0
1.104,0.729,1
2.372,0.278,0
-0.234,0.176,0
1.136,-0.638,0
3.28,-0.242,0
0.575,0.275,0
1.352,0.861,1
2.201,0.739,0
0.515,1.668,1
1.044,0.134,0
2.545,0.227,0
0.269,0.931,0
0.534,-0.799,1
1.064,-0.627,0
0.601,0.928,0
2.477,-0.484,0
1.079,-0.688,0
2.558,-0.497,0
0.965,0.638,1
0.546,0.53,0
1.054,0.808,1
0.172,-0.439,1
1.998,-0.189,0
0.66,0.068,0
2.532,-0.158,0
0.733,0.343,1
2.748,0.301,0
2.68,0.265,0
1.639,0.28,0
1.265,-0.524,0
0.89,0.245,0
1.122,-0.798,0
1.232,0.103,0
0.341,1.026,1
1.851,0.286,0
2.311,-0.289,0
1.321,-0.503,0
1.791,0.983,0
2.205,0.191,0
2.242,0.587,1
0.422,1.954,1
1.079,1.109,1
1.019,0.113,0
0.448,-0.387,0
0.508,0.927,1
1.634,-0.121,0
3.42,-0.245,0
3.013,0.295,0
0.559,1.542,0
0.577,1.267,1
2.186,0.215,0
2.068,0.311,0
0.434,1.443,1
0.641,2.283,1
1.218,-0.098,0
0.985,-0.563,1
0.837,2.826,1
2.103,0.601,0
0.655,1.735,1
2.883,-0.216,0
1.194,0.687,0
1.226,0.35,0
1.413,0.69,1
2.248,-0.25,0
2.076,1.383,1
0.317,2.224,0
0.422,-0.08,0
1.345,0.693,0
0.45,0.946,1
2.681,-0.278,0
0.41,0.671,0
0.873,-0.837,0
2.692,0.274,0
0.51,-1.004,1
0.506,0.84,1
3.076,0.304,0
1.72,0.3,0
3.296,0.887,0
1.059,-0.874,1
0.811,0.162,0
0.463,-0.848,0
0.359,0.093,0
2.015,1.552,0
0.526,1.195,1
0.966,-0.638,0
1.518,0.716,0
-0.297,1.205,1
0.661,2.273,0
0.537,-0.065,0
1.555,0.516,0
2.138,0.292,0
0.326,-0.788,0
0.572,0.327,0
1.147,0.647,0
2.32,-0.587,0
0.543,1.6,1
0.584,2.355,0
1.147,-0.844,0
0.901,1.194,0
1.495,0.718,0
0.444,2.178,0
