@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,4,6'

@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
1.352,-0.332,0
1.159,-0.69,0
2.145,-0.228,1
2.317,0.411,0
1.185,0.182,0
2.018,0.697,0
-0.25,1.539,1
2.324,-0.168,0
0.487,0.079,0
1.713,-0.221,0
0.639,0.13,0
0.832,0.835,0
1.232,0.375,0
3.345,0.751,0
0.697,1.713,1
1.298,-0.482,0
1.49,0.699,0
1.209,-0.669,0
-0.805,-0.151,0
0.661,-0.789,1
2.254,0.172,0
1.426,-0.464,1
1.341,-0.489,0
1.085,-0.596,1
0.355,0.095,0
0.824,2.058,0
2.821,-0.249,0
0.302,0.535,0
2.973,-0.241,0
0.921,1.018,1
0.335,1.668,0
1.441,0.545,0
0.802,1.568,1
1.395,-0.752,0
0.892,-0.53,0
1.852,0.213,0
1.204,0.569,0
1.272,0.204,0
1.293,0.226,0
1.136,-0.661,1
2.024,0.33,0
2.013,-0.6,0
0.796,1.752,1
0.614,-1.219,0
2.998,-0.204,0
1.429,1.619,0
2.417,0.438,0
0.813,1.27,1
1.132,1.763,1
0.603,1.006,1
-0.497,-0.818,1
1.229,1.902,1
1.127,-0.784,0
1.541,-0.539,0
2.156,-0.588,0
0.375,-0.324,0
0.735,2.285,1
2.161,1.08,1
1.741,0.382,0
1.627,0.193,0
2.295,0.225,0
1.066,-0.791,0
2.694,-0.24,0
1.131,1.918,1
-0.241,-0.127,0
1.824,0.347,0
0.311,1.818,0
3.228,-0.288,0
1.116,0.624,0
2.371,0.602,1
1.436,0.231,0
1.391,2.097,1
0.825,1.949,0
0.947,1.17,1
0.695,-0.786,1
1.214,-0.53,0
0.51,1.576,1
0.722,0.732,1
0.682,1.165,1
0.735,-0.08,0
2.471,-0.2,0
-0.302,-0.083,0
1.073,-0.08,0
2.356,0.594,1
0.753,0.723,0
2.638,0.913,0
1.215,-0.318,1
1.25,0.694,0
1.06,-0.676,0
1.735,0.443,0
1.623,0.726,1
1.011,-0.696,0
2.821,0.415,0
1.824,0.434,0
0.612,2.002,0
2.454,-0.57,0
0.372,0.579,1
0.355,1.469,0
0.966,0.455,0
2.446,0.576,0
0.51,1.442,1
0.399,1.139,0
0.854,-0.659,0
1.357,-0.372,0
1.16,-0.594,0
0.832,1.274,1
