@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,4-6'

@attribute Ao numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.867,1.041,0.559,0
0.609,1.427,-0.811,1
2.271,-0.369,-0.168,1
1.405,-0.701,-0.272,1
2.479,-0.317,0,0
0.548,0.836,0,1
0.688,0.699,0.52,1
0.514,-0.625,0,0
0.594,-0.808,0,1
2.083,0.283,-0.19,0
0.647,0.556,0.451,1
2.167,0.475,1.125,0
-0.275,0.09,-0.074,0
0.502,0.151,-0.152,0
0.496,1.117,1.106,1
0.581,1.122,1.408,1
0.437,-0.082,-0.042,0
0.274,1.157,1.638,0
0.463,1.13,0,1
0.917,2.418,-0.86,1
3.191,-0.204,-0.136,0
1.955,0.2,0.256,0
2.129,0.434,1.019,0
1.117,-0.587,1.164,1
0.804,0.109,0,0
1.566,0.474,-0.253,0
2.408,-0.267,-0.166,0
1.237,1.092,-0.437,0
0.552,1.926,-0.783,1
0.987,-0.656,-0.279,0
0.766,2.249,0,1
3.162,-0.255,0.662,0
0.779,1.167,-0.397,1
1.313,-0.574,-0.313,1
0.915,-0.668,-0.52,1
1.903,0.223,-0.09,0
1.027,1.356,0,0
2.063,0.231,-0.132,0
1.505,0.437,0.231,0
2.6,0.303,0.2,0
1.16,0.621,-0.535,0
1.929,-0.626,-0.321,0
0.456,-0.498,1.078,1
0.614,2.308,-0.968,0
1.281,1.925,-0.568,1
2.725,-0.186,0.39,0
1.239,0.147,-0.095,0
1.716,-0.108,0.1,0
2.496,0.24,0.163,0
0.667,1.038,-0.456,0
0.688,-0.089,-0.056,0
0.336,-0.608,1.78,0
0.779,-0.105,0.122,0
0.552,0.6,0,1
1.489,0.601,0,0
0.378,0.796,0.72,1
1.931,-0.618,0,0
1.717,0.312,-0.322,0
2.272,-0.186,0.744,0
0.184,-0.496,-0.817,1
3.177,-0.212,-0.141,0
0.459,0,0,0
0.961,0.865,2.116,1
0.872,1.212,-0.375,0
0.584,0.621,1.315,1
2.025,0.524,0.634,1
1.811,0.463,0.301,0
1.501,1.513,-0.407,0
2.693,-0.174,-0.104,0
1.064,-0.556,-0.302,1
0.597,2.278,-0.879,1
2.197,-0.351,-0.151,0
0.363,0.09,-0.052,0
2.686,0.465,1.47,0
0.719,2.032,-1.019,0
0.786,-0.399,0,1
0.672,0.078,0.065,0
0.598,0.634,0,0
0.875,-0.095,-0.06,0
1.734,0.734,-0.291,0
2.844,0.422,0.617,0
0.611,2.181,0,0
1.513,-0.545,0,0
0.411,-0.632,1.311,1
-0.254,0.135,-0.06,0
3.66,-0.343,-0.159,0
0.809,1.768,-0.699,1
1.252,0.437,-0.235,0
3.087,-0.29,-0.186,0
0.335,1.478,0,0
0.656,0.117,-0.067,0
1.091,-0.072,0.068,0
0.49,2.008,-0.561,0
1.573,0.349,0.318,0
1.38,-0.154,-0.075,0
0.45,1.317,2.015,1
1.078,1.277,0,1
2.011,0.308,0,0
2.938,-0.248,-0.149,0
1.312,0.464,-0.201,0
1.16,0.394,0.218,0
1.858,-0.432,-0.502,0
1.522,-0.469,0.338,0
0.545,2.268,-0.653,0
1.392,-0.615,-0.266,0
0.531,-0.093,-0.058,0
0.885,-0.405,-0.198,1
1.413,0.195,-0.081,0
2.202,-0.156,-0.088,0
1.405,-0.113,0,0
3.034,-0.182,0.178,0
0.674,-0.059,0.048,0
3.048,0.7,0,0
2.29,-0.155,0.12,0
0.588,0.68,0,0
3.136,0.879,-0.316,0
0.689,1.434,1.627,1
2.585,0.701,0.552,0
1.584,0.571,-0.458,0
0.901,-0.638,0.313,1
1.26,0.906,0.799,1
0.566,0.719,0.838,0
-0.317,-0.072,-0.053,0
0.68,0.754,1.24,1
1.529,0.391,-0.578,1
1.108,0.11,-0.056,0
1.37,-0.706,-0.255,1
0.884,1.944,-0.676,0
1.518,1.077,1.151,1
-0.319,0.078,-0.054,0
1.42,-0.097,0.09,0
2.722,-0.281,1.049,0
2.476,0.426,1.02,0
1.112,1.309,-0.495,0
0.639,0.549,2.261,0
0.837,-0.819,-0.392,1
0.875,1,1.207,1
0.357,-0.287,-0.131,0
0.258,0.769,0.428,1
0.503,0.981,0.826,0
1.121,1.178,-0.41,0
2.178,-0.368,-0.145,0
0.545,0.959,-0.256,0
0.817,-0.679,-0.683,1
-0.314,0.078,-0.051,0
3.389,-0.251,0.372,0
0.471,-0.075,0.119,0
0.34,1.308,0,0
1.379,1.283,-0.444,1
1.165,-0.395,-0.22,0
0.752,0.984,0,0
1.018,-0.43,0.918,1
2.591,-0.238,-0.121,0
0.866,0.073,0.076,0
1.423,-0.169,-0.257,0
2.713,0.481,0.242,0
0.344,2.158,0,0
-0.233,0.077,0.063,0
1,-0.959,-0.365,0
0.583,-0.363,1.546,0
2.713,0.789,0.885,0
2.469,1.279,-0.361,1
0.888,0.439,-0.329,0
3.208,-0.23,0.349,0
0.705,1.756,-1.04,1
1.19,0.766,-0.709,1
1.506,-0.115,0.079,0
-0.319,0.095,-0.065,0
0.845,0.082,0.084,0
0.944,0.093,0,0
1.791,-0.111,0.103,0
1.123,-0.459,-0.178,0
1.261,1.312,-0.712,1
1.335,0.13,0.151,0
1.676,0.197,-0.13,0
0.539,0.08,0.062,0
0.831,0.081,0.098,0
1.867,0.139,0.158,0
2.223,-0.417,-0.239,0
0.994,1.183,0.648,0
-0.26,-0.078,0.108,0
0.381,0.984,1.251,0
2.15,0.39,0.192,0
0.526,0,0,0
1.091,0.105,0.076,0
0.316,0.087,0.062,0
0.583,0.091,0.062,0
0.988,0.094,0.061,0
2.098,1.39,-0.433,0
2.511,0.97,-0.284,1
2.724,0.423,0.299,0
2.261,-0.224,0.154,0
0.651,0.131,-0.051,0
0.735,0.143,-0.075,0
-0.23,0.113,-0.117,0
0.921,2.318,-0.814,1
1.876,0.306,0,0
2.276,-0.189,0.132,0
0.267,0.16,-0.064,0
1.503,-0.319,0.459,0
0.831,0.87,0,0
3.144,-0.261,0,0
0.483,2.132,-0.659,0
1.139,0.825,0,0
1.44,-0.478,0.375,0
0.722,-0.999,-0.785,1
1.919,0.274,0.113,0
0.675,1.033,2.068,1
1.023,-0.1,0.069,0
0.591,0.236,-0.176,0
1.334,0.556,-0.214,0
1.952,-0.345,-0.176,0
0.87,2.123,-0.786,1
0.61,0.163,0.102,0
2.031,0.737,-0.317,0
0.888,0.375,0.429,0
0.57,1.559,0.547,0
1.543,1.724,-0.479,1
3.04,-0.265,-0.188,0
2.759,-0.184,-0.13,0
0.566,-0.748,-0.354,1
1.38,0.535,-0.219,0
0.513,1.332,0.851,1
0.972,1.579,-0.45,0
-0.863,-0.577,-0.297,0
1.3,0.385,-0.276,0
1.144,1.914,-0.704,1
1.253,-0.772,0,0
2.34,0.404,-0.406,0
2.716,1.009,-0.387,0
0.82,1.641,-0.503,1
0.653,-0.73,0.393,0
0.619,1.262,0,0
2.823,-0.127,-0.075,0
1.633,0.733,0.619,1
0.551,-0.624,2.719,0
0.267,1.007,1.695,0
0.378,2.463,-0.698,1
2.06,0.441,0,0
2.579,-0.213,-0.305,0
1.189,-0.638,-0.517,1
0.773,-0.596,0,1
2.09,0.867,-0.439,0
0.4,1.914,-0.623,0
2.033,-0.682,0,0
1.763,0.454,0.188,0
1.73,0.171,-0.074,0
0.845,2.423,0,1
0.259,-0.469,0,0
0.458,0.664,0.622,1
1.407,-0.434,-0.216,0
0.741,-0.842,-0.405,1
0.608,2.548,-1.1,0
-0.285,-0.082,-0.092,0
0.514,0.813,0,1
1.018,1.108,1.46,1
1.129,0.569,0.291,0
1.266,0.484,0.764,0
1.721,2.044,-0.563,0
1.734,-0.217,-0.11,1
0.889,1.105,0.432,0
1.044,-0.076,-0.047,0
2.689,-0.337,0.813,0
0.796,-0.114,-0.066,0
1.92,0.27,-0.174,0
1.056,0.866,-0.264,0
0.813,1.662,0,1
-0.361,0.084,0.069,0
2.657,0.417,-0.19,0
3.055,-0.226,-0.128,0
1.723,-0.641,-0.315,0
0.449,1.624,-0.781,1
2.122,-0.249,-0.126,0
0.776,0.191,0.561,0
