@relation vehicle

@attribute Compactness numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
90,44,155,van
95,42,159,van
95,52,140,van
93,48,140,van
89,49,146,van
93,46,150,van
86,50,130,van
94,50,135,van
93,51,144,van
93,53,145,van
92,50,140,van
85,51,130,van
91,51,135,van
90,44,156,van
96,44,148,van
91,45,152,van
95,46,148,van
85,57,124,van
87,46,139,van
96,44,149,van
89,55,137,van
88,43,155,van
90,49,145,van
94,43,149,van
89,46,141,van
86,43,163,van
88,44,150,van
90,50,142,van
83,55,129,van
92,52,139,van
94,50,127,van
87,50,142,van
91,50,142,van
89,54,140,van
94,43,155,van
85,46,148,van
90,52,141,van
83,52,137,van
89,50,134,van
93,44,165,van
84,44,157,van
84,49,140,van
88,44,158,van
85,56,128,van
90,45,149,van
91,51,142,van
84,48,134,van
90,43,158,van
90,42,153,van
86,47,131,van
95,42,157,van
91,56,130,van
83,55,128,van
88,48,137,van
98,51,142,van
90,49,145,van
86,56,132,van
90,43,167,van
94,44,156,van
89,44,144,van
88,52,129,van
96,43,150,van
92,50,143,van
95,46,145,van
89,45,145,van
89,44,160,van
98,43,149,van
97,52,129,van
93,43,155,van
91,47,139,van
90,48,144,van
83,46,144,van
90,43,160,van
89,44,151,van
96,43,148,van
94,43,162,van
97,43,157,van
96,46,148,van
89,44,145,van
93,43,157,van
93,49,142,van
95,44,144,van
96,50,141,van
94,43,161,van
94,44,170,van
98,52,144,van
100,42,163,van
92,55,132,van
96,52,139,van
97,43,149,van
89,44,151,van
89,47,130,van
89,44,163,van
86,48,134,van
91,53,144,van
93,49,136,van
93,48,145,van
89,51,144,van
97,45,148,van
88,45,144,van
89,44,160,van
87,47,148,van
94,43,155,van
86,57,135,van
90,44,164,van
86,46,147,van
86,54,127,van
89,57,129,van
89,43,163,van
95,44,149,van
92,58,132,van
93,52,145,van
93,46,143,van
94,46,147,van
100,43,150,van
94,50,135,van
85,57,125,van
87,57,125,van
90,44,156,van
91,45,143,van
83,53,140,van
93,45,147,van
91,45,157,van
90,43,161,van
87,58,126,van
96,47,150,van
90,43,156,van
92,45,140,van
90,43,159,van
90,48,146,van
93,49,141,van
86,54,139,van
93,53,137,van
89,43,163,van
97,52,143,van
90,43,167,van
95,43,157,van
88,57,128,van
89,49,133,van
94,43,158,van
88,54,144,van
89,43,160,van
86,57,134,van
91,44,145,van
94,43,160,van
85,58,135,van
91,46,137,van
86,55,134,van
89,43,159,van
92,49,144,van
85,57,122,van
98,47,148,van
93,44,153,van
85,45,148,van
94,52,143,van
87,50,141,van
90,42,160,van
86,48,143,van
98,51,138,van
84,55,125,van
94,43,157,van
89,46,139,van
88,52,130,van
93,50,136,van
89,43,151,van
94,52,132,van
89,43,158,van
89,44,158,van
95,43,162,van
98,53,139,van
87,45,152,van
88,57,128,van
88,51,142,van
91,48,139,van
85,46,147,van
89,56,127,van
88,53,139,van
90,43,167,van
85,53,135,van
96,42,134,saab
110,32,164,saab
90,56,127,saab
89,46,146,saab
108,31,171,saab
109,31,169,saab
86,50,124,saab
95,39,152,saab
110,31,162,saab
105,30,163,saab
88,46,131,saab
107,31,172,saab
88,47,142,saab
108,33,164,saab
100,34,147,saab
111,31,156,saab
93,38,151,saab
108,34,159,saab
100,32,163,saab
104,31,168,saab
93,52,134,saab
102,30,177,saab
93,44,143,saab
108,31,159,saab
97,36,144,saab
107,31,162,saab
115,31,165,saab
101,38,153,saab
105,33,149,saab
89,37,133,saab
88,43,149,saab
109,30,175,saab
107,31,167,saab
108,30,168,saab
117,31,163,saab
91,40,148,saab
93,41,147,saab
91,41,133,saab
96,37,134,saab
87,44,136,saab
91,42,126,saab
108,32,162,saab
106,32,153,saab
106,31,171,saab
98,37,144,saab
97,30,167,saab
96,38,139,saab
106,31,168,saab
94,39,131,saab
105,31,168,saab
84,45,132,saab
98,37,155,saab
110,31,171,saab
89,41,131,saab
113,31,165,saab
104,33,158,saab
90,47,124,saab
95,43,134,saab
108,32,155,saab
88,54,130,saab
104,31,172,saab
106,33,158,saab
108,31,167,saab
90,42,128,saab
93,36,146,saab
91,38,134,saab
104,32,162,saab
83,53,125,saab
94,42,148,saab
86,49,136,saab
80,46,130,saab
94,39,139,saab
88,50,125,saab
105,30,170,saab
104,31,163,saab
97,36,138,saab
99,35,144,saab
93,40,134,saab
91,47,131,saab
82,54,126,saab
90,54,118,saab
82,51,128,saab
105,31,168,saab
112,32,159,saab
