@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R2,7,9,13,18-19'

@attribute Circularity numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
44,149,19,188,183,bus
34,123,17,118,202,saab
45,151,19,186,189,bus
37,119,17,125,183,van
36,133,18,119,208,van
44,150,19,189,182,bus
54,213,24,201,195,opel
35,149,19,125,210,opel
40,132,18,150,195,saab
49,213,24,210,189,bus
44,144,19,169,198,bus
42,169,20,156,204,bus
45,157,20,186,196,opel
43,149,19,176,194,saab
44,147,19,183,185,bus
46,149,19,185,188,bus
57,219,25,219,196,opel
39,169,20,142,199,saab
48,201,23,199,197,saab
58,226,25,216,196,opel
45,146,19,161,207,van
46,151,19,188,184,bus
43,151,19,174,197,opel
45,149,19,176,196,bus
51,220,25,209,186,bus
57,221,25,236,200,opel
37,135,18,141,183,saab
44,145,19,166,206,van
40,132,18,151,209,opel
54,202,23,235,200,saab
45,161,20,186,203,bus
56,217,24,216,199,opel
46,153,19,190,187,bus
49,157,20,203,194,van
42,152,19,171,183,bus
34,140,18,117,207,saab
53,238,26,242,184,bus
57,212,24,223,193,opel
52,201,23,204,204,saab
57,218,24,250,195,opel
42,148,19,171,182,bus
43,155,19,161,197,van
35,150,19,137,198,opel
38,133,18,145,184,opel
36,140,18,126,204,saab
43,150,19,164,196,van
52,218,24,197,203,opel
45,159,20,177,195,saab
48,175,21,198,199,saab
39,167,20,129,204,saab
39,142,19,144,189,opel
49,177,21,209,199,opel
56,217,24,216,197,saab
35,155,19,117,205,bus
54,208,24,240,197,saab
50,178,21,210,194,opel
51,220,25,206,198,opel
53,221,25,202,200,saab
56,210,24,218,196,opel
49,159,20,186,192,van
55,216,24,218,193,opel
40,181,21,160,202,saab
53,213,24,202,198,saab
43,155,19,173,190,bus
45,158,20,173,193,van
51,190,22,235,198,opel
46,161,20,186,193,van
41,139,18,161,184,van
35,122,17,116,203,van
49,159,20,186,192,van
45,158,20,162,199,van
52,236,26,250,184,bus
42,134,18,164,197,van
36,119,17,127,184,van
36,162,20,125,204,bus
36,150,19,121,205,saab
41,129,18,153,201,van
36,142,19,137,200,saab
37,127,18,119,190,van
46,192,22,174,197,bus
53,220,25,203,203,saab
42,185,22,173,197,saab
56,220,25,218,195,opel
42,131,18,162,191,van
45,140,18,175,196,van
