@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,11-12,18-19'

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
104,100,61,225,686,195,saab
93,76,63,191,405,197,saab
78,63,51,162,299,185,saab
98,101,70,236,661,197,opel
103,98,63,214,567,204,opel
89,75,56,170,317,188,opel
86,78,68,168,305,201,van
79,80,55,172,311,193,opel
80,57,55,142,229,184,opel
90,80,62,169,366,193,van
80,68,54,171,329,183,bus
89,79,64,168,311,197,van
82,68,64,169,320,184,bus
93,73,68,175,347,205,bus
91,66,66,169,325,207,bus
107,98,59,258,866,184,bus
92,79,64,183,396,198,opel
85,64,55,167,323,182,bus
89,72,56,163,286,192,opel
105,106,68,217,640,199,saab
81,68,53,170,333,183,bus
100,104,59,220,642,198,saab
93,64,68,163,268,201,van
96,74,74,188,419,200,bus
85,65,56,170,332,184,bus
93,75,51,164,284,185,van
103,103,65,229,673,196,opel
94,68,67,164,310,203,bus
86,60,60,140,212,207,van
83,62,53,143,218,185,van
107,106,51,275,954,184,bus
94,73,71,171,362,206,bus
85,70,58,171,334,186,bus
109,100,59,210,553,202,opel
91,66,56,159,237,194,van
89,51,54,138,213,183,van
98,78,63,160,300,207,van
104,96,59,206,530,200,opel
86,75,62,158,290,190,opel
88,77,59,175,343,208,opel
101,105,61,213,578,205,saab
90,85,58,175,345,197,van
91,70,66,162,296,202,van
78,51,56,135,209,184,opel
91,60,56,139,211,198,van
83,73,68,169,305,199,van
101,101,57,225,741,198,opel
90,78,60,172,374,193,van
97,76,60,180,370,206,saab
85,66,57,173,333,183,bus
106,98,68,222,679,201,opel
107,108,68,223,700,204,saab
89,89,58,202,471,196,saab
91,83,60,189,383,191,saab
86,69,54,174,325,182,bus
105,108,63,226,712,203,saab
109,103,66,229,677,201,saab
84,65,55,169,325,183,bus
79,72,62,175,344,188,bus
84,70,61,156,278,205,van
92,69,58,165,290,206,opel
83,70,69,166,306,193,bus
97,76,73,194,487,200,bus
95,83,69,189,484,198,bus
97,78,62,182,389,211,opel
97,92,63,197,481,204,opel
88,60,59,147,246,209,van
89,83,61,189,402,193,saab
92,80,67,180,353,195,saab
88,69,59,147,252,200,opel
94,85,62,184,430,210,saab
102,105,64,214,600,204,saab
101,107,61,228,730,201,opel
87,74,66,173,318,200,bus
98,101,65,216,584,197,saab
80,68,53,169,327,184,bus
90,69,64,165,272,191,van
107,96,62,221,694,198,saab
87,52,54,135,196,190,van
88,82,56,180,357,193,saab
103,105,56,222,650,196,saab
87,71,53,158,277,186,saab
99,100,54,223,726,198,opel
95,76,57,173,339,200,van
106,101,67,228,721,201,saab
