@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
47,55,157,20,160,176,van
37,55,122,17,128,146,van
35,62,131,18,127,115,van
44,63,137,18,146,167,van
48,56,160,20,167,185,van
42,57,123,17,144,160,van
42,64,128,18,143,159,van
40,58,136,18,138,137,van
36,69,136,18,136,127,van
45,56,157,20,155,188,van
47,58,152,19,155,184,van
47,53,157,20,165,176,van
40,56,118,17,137,153,van
45,63,146,19,148,161,van
40,58,122,17,140,150,van
37,54,115,17,126,144,van
44,68,142,18,147,171,van
46,67,157,20,150,184,van
38,66,140,18,139,130,van
44,65,153,19,156,143,van
46,68,155,19,148,182,van
39,56,131,18,144,134,van
37,60,130,18,130,121,van
37,62,136,18,134,140,van
42,59,131,18,142,162,van
46,63,160,20,157,171,van
45,63,151,19,148,171,van
37,52,127,18,137,119,van
47,65,155,19,157,178,van
35,59,128,18,129,109,van
36,59,139,18,130,127,van
44,64,135,18,145,162,van
39,68,143,19,137,158,van
39,60,119,17,134,141,van
42,56,127,18,145,152,van
36,61,133,18,130,127,van
36,57,118,17,128,136,van
37,54,119,17,132,129,van
42,64,133,18,141,159,van
46,66,159,20,159,176,van
44,54,156,20,151,176,van
42,51,135,18,144,155,van
41,65,145,19,145,140,van
40,63,146,19,140,137,van
48,63,156,20,165,188,van
40,53,132,18,137,157,van
40,59,122,17,139,143,van
46,66,151,19,147,179,van
46,58,161,20,158,186,van
43,105,139,18,145,172,van
37,52,119,17,128,125,van
47,64,156,20,149,182,van
50,57,156,20,170,187,van
39,62,137,18,137,124,van
48,64,157,20,161,186,van
41,57,149,19,143,158,van
46,64,151,19,148,182,van
42,68,134,18,142,170,van
41,56,130,18,143,157,van
48,56,157,20,164,187,van
39,56,114,17,135,145,van
40,49,131,18,145,156,van
45,56,159,20,156,173,van
49,64,157,20,158,203,van
41,52,139,18,143,161,van
47,58,161,20,153,185,van
37,53,122,17,129,135,van
37,63,138,18,134,124,van
47,62,147,19,152,181,van
36,55,120,17,128,131,van
39,52,128,18,135,142,van
43,65,137,18,146,164,van
41,63,144,19,150,134,van
48,64,161,20,167,186,van
37,54,120,17,127,147,van
41,63,144,19,143,127,van
48,60,150,19,156,200,van
48,58,161,20,163,185,van
42,66,148,19,145,147,van
48,64,156,19,153,187,van
41,56,126,18,144,155,van
45,69,143,18,148,176,van
47,64,159,20,157,185,van
35,58,122,17,132,116,van
45,68,142,18,144,179,van
41,58,149,19,145,162,van
45,68,157,20,156,176,van
36,61,133,18,135,119,van
46,64,163,20,163,170,van
44,64,137,18,144,171,van
37,61,137,18,140,121,van
46,55,160,20,161,171,van
45,67,154,19,149,174,van
44,62,145,19,148,166,van
45,67,157,20,157,157,van
41,51,140,18,141,149,van
42,61,151,19,145,163,van
40,53,132,18,140,157,van
37,55,132,18,135,124,van
40,65,144,19,141,143,van
47,133,158,20,163,176,van
45,59,158,20,158,173,van
36,52,118,17,129,125,van
43,54,155,19,149,161,van
39,62,140,18,150,124,van
36,58,118,17,125,138,van
49,56,159,20,160,186,van
43,97,150,19,149,164,van
43,52,139,18,144,172,van
48,60,161,20,159,186,van
39,49,134,18,142,134,van
38,52,130,18,139,132,van
45,102,155,20,160,177,van
40,68,146,19,139,157,van
47,64,163,20,160,185,van
47,64,156,20,163,188,van
44,58,156,20,157,176,van
35,57,116,17,125,123,van
41,62,146,19,144,161,van
40,59,127,17,139,150,van
45,63,158,20,157,162,van
43,55,130,18,146,156,van
38,56,118,17,129,152,van
46,62,159,20,156,186,van
42,53,131,18,144,162,van
44,55,155,20,158,164,van
36,57,132,18,136,121,van
48,72,162,20,159,184,van
43,54,155,19,153,165,van
38,62,114,17,132,137,van
44,56,157,20,155,175,van
49,57,159,20,167,186,van
46,59,157,20,158,177,van
37,60,133,18,135,128,van
44,63,142,18,148,171,van
39,59,139,18,139,123,van
46,58,159,20,160,189,van
34,61,122,17,127,112,van
46,63,160,20,160,176,van
41,59,123,17,137,150,van
36,60,133,18,134,119,van
43,64,138,18,143,174,van
43,64,137,18,145,159,van
35,55,117,17,122,139,van
38,55,130,18,138,123,van
46,70,157,20,155,192,van
43,55,154,19,150,164,van
48,126,153,19,156,200,van
34,59,127,18,130,113,van
38,52,133,18,140,140,van
39,48,135,18,139,151,van
43,66,150,19,147,143,van
40,53,132,18,139,158,van
48,59,160,20,160,185,van
36,56,119,17,124,127,van
47,60,155,19,155,186,van
35,54,119,17,121,137,van
49,56,159,20,162,185,van
44,67,158,20,149,154,van
45,64,147,19,148,174,van
46,66,162,20,155,172,van
42,62,130,18,142,161,van
47,66,156,20,158,178,van
39,66,139,18,140,126,van
41,61,129,18,142,153,van
36,56,119,17,130,118,van
40,64,144,19,139,149,van
35,58,126,17,128,112,van
45,58,140,18,148,175,van
39,48,134,18,141,139,van
41,60,128,18,141,157,van
38,59,136,18,133,128,van
42,66,153,19,144,150,van
35,64,128,18,129,112,van
46,61,147,19,152,199,van
43,64,136,18,145,167,van
42,58,134,18,142,164,van
42,58,152,19,144,161,van
43,57,151,19,149,159,van
40,62,150,19,133,173,saab
37,58,157,20,132,115,saab
50,58,208,24,159,186,saab
51,63,196,23,159,201,saab
37,55,129,18,127,140,saab
43,54,144,19,146,174,saab
40,64,177,21,135,165,saab
48,61,207,24,153,200,saab
51,59,217,24,163,203,saab
51,56,210,24,163,222,saab
38,62,149,19,129,153,saab
38,51,142,19,130,146,saab
39,60,172,21,134,152,saab
42,61,178,21,144,138,saab
34,58,116,17,121,127,saab
38,59,153,19,129,137,saab
38,53,137,18,127,145,saab
38,65,169,20,136,141,saab
40,62,169,20,139,133,saab
34,59,140,18,124,117,saab
43,62,180,21,143,153,saab
53,61,217,24,168,209,saab
53,63,213,24,166,202,saab
53,66,204,23,165,224,saab
50,60,211,24,156,188,saab
37,68,159,20,134,134,saab
47,60,171,21,155,169,saab
45,60,157,20,149,169,saab
49,64,208,24,158,184,saab
50,65,187,22,156,195,saab
54,64,213,24,171,221,saab
50,61,181,21,158,220,saab
40,58,177,21,133,155,saab
41,61,150,19,138,173,saab
48,65,197,23,152,174,saab
46,61,193,22,149,160,saab
38,66,154,19,133,130,saab
38,55,142,19,128,145,saab
49,62,206,23,155,215,saab
37,61,135,18,127,141,saab
37,67,154,19,129,144,saab
42,58,140,18,142,158,saab
44,63,185,22,144,165,saab
39,59,167,20,134,129,saab
55,67,206,23,167,220,saab
48,60,175,21,152,198,saab
50,67,187,22,158,214,saab
34,56,133,18,123,125,saab
41,56,136,18,136,162,saab
50,63,177,21,155,197,saab
54,65,208,24,162,240,saab
53,66,211,24,164,210,saab
43,57,149,19,143,176,saab
33,57,112,17,119,127,saab
46,66,203,23,149,210,saab
54,70,215,24,168,228,saab
39,59,169,20,132,142,saab
56,73,221,25,174,214,saab
55,68,218,24,173,229,saab
52,64,221,25,168,200,saab
37,62,135,18,125,144,saab
46,66,191,22,148,169,saab
40,58,181,21,134,160,saab
