@relation vehicle

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Minor_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
80,45,148,174,1,199,van
84,45,145,162,4,200,van
85,43,158,173,12,193,van
86,44,156,200,0,194,van
58,55,132,116,6,203,van
91,43,155,192,15,200,van
66,50,135,119,9,208,van
60,58,132,137,14,194,van
64,49,142,170,7,201,van
84,45,143,158,9,199,van
78,46,147,171,1,201,van
85,43,151,174,5,196,van
78,48,140,126,4,208,van
51,57,124,127,13,184,van
66,50,143,161,7,184,van
80,43,163,174,1,193,van
66,52,129,112,6,200,van
70,49,140,121,0,205,van
53,55,125,133,7,183,van
80,44,145,147,3,199,van
82,45,140,137,9,206,van
85,43,155,175,5,195,van
75,43,161,171,0,192,van
68,52,143,159,14,196,van
74,44,158,177,12,191,van
80,44,157,176,5,193,van
58,52,139,150,6,182,van
51,56,127,147,7,183,van
66,50,140,148,12,183,van
66,50,142,164,6,197,van
53,57,128,136,7,183,van
75,49,141,149,5,185,van
88,45,157,140,1,207,van
76,44,149,159,2,200,van
64,57,125,123,1,203,van
68,53,135,142,8,187,van
82,46,145,140,4,207,van
70,53,137,119,2,190,van
82,43,149,161,1,197,van
51,57,128,125,8,183,van
62,52,145,156,8,184,van
72,50,135,128,2,195,van
88,43,157,185,12,198,van
58,54,140,150,7,206,van
60,56,132,129,2,190,van
68,52,144,134,4,187,van
70,48,134,140,11,202,van
80,46,148,161,5,207,van
88,43,157,157,8,200,van
88,43,148,182,14,202,van
85,44,156,176,17,195,van
66,51,138,123,3,194,van
66,52,140,140,11,183,van
73,42,153,185,11,191,van
53,53,140,157,8,183,van
78,45,152,199,13,200,van
68,47,130,127,7,196,van
64,51,142,161,3,210,van
59,52,137,157,12,183,van
84,44,165,188,8,195,van
87,43,158,203,4,194,van
85,44,144,161,8,197,van
78,48,145,159,17,210,van
84,44,158,164,7,195,van
62,52,143,157,5,186,van
68,50,134,119,6,209,van
81,44,160,177,9,192,van
85,44,153,165,12,196,van
70,50,141,139,10,183,van
66,48,146,164,3,202,van
70,49,146,166,10,187,van
70,50,130,127,2,202,van
73,46,148,176,2,199,van
66,50,127,115,8,201,van
72,49,145,167,4,209,van
85,43,157,178,2,196,van
80,45,144,161,4,197,van
85,43,167,186,1,192,van
89,44,145,163,11,199,van
77,44,164,187,1,191,van
70,53,145,152,5,190,van
85,42,160,185,9,195,van
85,43,157,162,1,199,van
82,46,143,127,6,207,van
71,46,147,179,2,196,van
68,48,143,174,6,201,van
68,52,132,116,1,196,van
70,49,144,172,4,185,van
66,56,128,131,1,190,van
73,43,158,186,0,193,van
49,55,128,146,8,184,van
80,43,156,186,17,193,van
87,43,161,186,4,195,van
62,52,139,150,13,210,van
88,43,149,154,14,202,van
84,46,148,166,10,206,van
66,53,144,155,3,194,van
53,57,125,138,9,183,van
58,57,134,148,7,194,van
88,44,148,182,15,199,van
64,49,136,127,2,204,van
87,43,149,182,1,202,van
62,54,127,112,2,208,van
76,44,151,176,12,193,van
78,43,159,186,2,193,van
84,44,150,164,6,196,van
68,51,130,121,3,203,van
81,44,156,200,2,195,van
70,47,139,130,4,202,van
85,43,167,186,3,195,van
78,43,167,185,1,192,van
83,43,155,188,1,197,van
83,43,163,176,0,194,van
62,55,129,135,0,185,van
87,44,149,174,9,201,van
82,43,162,185,7,191,van
66,47,148,175,3,196,van
87,43,162,186,5,194,van
52,58,126,144,11,190,van
60,52,129,109,1,209,van
62,57,135,145,7,204,van
81,44,163,188,6,193,van
76,48,137,124,3,209,van
85,44,151,186,13,197,van
55,53,139,158,0,183,van
85,44,155,184,4,197,van
81,45,152,181,0,198,van
60,55,134,141,7,207,van
81,45,149,164,5,196,van
62,52,141,157,13,208,van
92,42,157,171,7,200,van
77,46,141,143,0,200,van
66,54,139,143,7,208,van
70,53,139,132,0,185,van
74,49,133,128,7,193,van
77,44,160,177,7,191,van
66,51,144,162,10,191,van
66,54,144,160,8,198,van
82,43,160,186,10,192,van
85,42,163,170,18,196,van
58,52,130,113,4,206,van
85,44,144,150,11,204,van
90,43,150,184,17,200,van
78,43,160,185,10,192,van
64,50,142,159,7,201,van
77,47,150,124,15,208,van
64,50,141,159,7,201,van
75,43,163,185,3,192,van
88,45,147,143,2,206,van
63,50,136,121,3,201,van
68,51,142,134,4,186,van
47,57,122,139,5,184,van
84,44,170,187,5,191,van
