@relation vehicle

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Minor_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
73,46,18,144,169,3,van
85,42,20,160,177,0,van
88,43,20,157,173,12,van
78,46,18,147,168,11,van
68,47,18,130,166,1,van
53,53,18,140,142,7,van
66,48,18,146,166,9,van
85,43,20,155,176,16,van
57,58,17,135,134,7,van
77,46,19,141,168,5,van
84,44,20,158,176,11,van
68,52,18,143,154,5,van
68,52,18,144,159,10,van
58,52,18,130,148,10,van
68,52,18,132,155,2,van
70,49,18,144,164,16,van
70,49,18,140,156,23,van
53,55,17,125,141,1,van
77,44,20,160,171,17,van
84,44,20,170,171,6,van
78,48,18,145,156,12,van
52,58,17,126,135,22,van
66,56,17,128,140,18,van
58,55,17,132,142,17,van
70,53,18,137,156,13,van
89,44,19,145,170,23,van
62,57,17,135,137,9,van
75,49,18,141,164,15,van
47,57,17,122,136,9,van
66,50,19,140,159,19,van
75,44,20,165,168,7,van
78,43,20,160,173,11,van
70,48,18,145,231,9,van
66,47,18,148,168,12,van
58,54,17,140,146,4,van
68,48,18,143,161,0,van
84,43,20,159,173,20,van
84,45,19,143,170,14,van
85,43,19,155,179,5,van
58,57,17,129,140,2,van
66,50,18,135,154,3,van
84,44,20,165,171,15,van
66,50,18,143,160,19,van
76,44,20,151,163,12,van
85,44,19,155,175,2,van
70,50,18,130,153,10,van
79,46,19,150,165,9,van
51,56,17,127,138,4,van
66,50,18,127,159,7,van
60,56,17,130,139,14,van
78,45,19,152,168,11,van
73,42,20,153,172,8,van
80,43,20,163,175,7,van
63,55,17,137,148,3,van
78,47,18,148,160,2,van
81,45,19,152,171,6,van
77,47,18,150,161,3,van
83,42,20,159,176,16,van
76,51,18,135,157,12,van
62,52,18,143,158,7,van
87,43,20,161,179,15,van
78,43,20,167,169,14,van
80,46,19,148,161,10,van
70,53,18,145,156,4,van
85,43,20,167,173,11,van
69,48,18,134,163,6,van
91,43,20,155,172,21,van
68,51,18,142,164,1,van
75,43,20,161,173,16,van
72,50,18,135,161,7,van
85,43,19,155,320,9,van
64,51,18,142,161,12,van
92,42,20,157,176,21,van
80,45,19,144,169,16,van
85,44,19,144,173,13,van
83,43,20,155,180,21,van
78,48,18,140,157,7,van
78,43,20,159,172,2,van
60,56,17,132,141,8,van
66,51,18,138,160,12,van
85,42,20,163,176,0,van
76,48,18,137,156,6,van
88,44,19,148,173,11,van
66,54,17,139,145,11,van
64,50,18,141,157,0,van
82,46,19,143,160,10,van
84,44,19,150,174,2,van
73,46,18,148,173,0,van
82,43,20,156,170,21,van
85,43,20,167,175,16,van
60,52,18,129,147,6,van
81,44,20,160,200,17,van
