@relation vehicle

@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
20,150,184,67,192,van
19,152,181,72,188,van
17,122,139,89,180,van
17,125,133,82,179,van
18,142,134,75,186,van
19,139,157,70,189,van
18,144,171,65,196,van
20,160,189,77,183,van
18,145,172,99,190,van
20,162,185,75,182,van
17,137,150,76,186,van
18,146,167,72,188,van
19,157,140,64,197,van
19,155,186,75,185,van
20,161,171,77,182,van
20,167,185,76,182,van
18,146,166,78,186,van
20,149,154,66,194,van
20,160,176,73,185,van
17,137,153,65,193,van
18,150,124,62,201,van
20,163,174,77,182,van
18,143,159,69,192,van
18,138,137,73,187,van
18,147,171,70,190,van
19,150,159,67,192,van
19,147,179,66,194,van
19,156,200,75,185,van
18,127,115,66,196,van
18,141,139,80,183,van
18,130,127,73,189,van
19,156,143,66,194,van
19,148,171,65,197,van
17,135,145,64,197,van
18,148,171,63,201,van
20,160,185,73,185,van
18,138,123,69,191,van
19,140,148,85,182,van
19,155,184,73,186,van
18,129,109,62,202,van
17,125,123,65,196,van
18,139,151,85,183,van
20,156,186,74,185,van
17,130,118,67,192,van
19,147,179,67,195,van
18,141,157,61,201,van
20,163,170,71,189,van
18,131,138,71,189,van
18,129,112,66,195,van
17,134,141,61,200,van
18,136,121,67,193,van
17,139,143,63,202,van
19,151,186,74,186,van
20,156,176,73,187,van
19,149,159,71,187,van
18,130,127,66,194,van
17,132,137,72,190,van
17,121,137,90,180,van
18,142,161,63,203,van
20,157,171,70,189,van
18,144,172,79,183,van
18,139,132,74,186,van
18,142,159,67,193,van
19,144,161,71,188,van
18,146,164,67,193,van
19,151,174,72,185,van
19,139,149,71,188,van
19,145,162,72,188,van
18,130,113,63,199,van
19,143,127,63,199,van
20,155,172,74,184,van
20,157,157,67,192,van
17,127,147,82,181,van
19,157,178,76,184,van
18,145,167,64,201,van
18,130,121,65,195,van
17,126,144,74,186,van
18,145,152,74,189,van
19,147,179,72,187,van
18,139,158,87,176,van
18,135,124,69,191,van
19,145,147,70,189,van
17,128,131,73,186,van
19,156,200,118,185,van
18,141,159,67,193,van
18,135,142,75,182,van
20,155,175,76,184,van
18,135,128,69,192,van
20,157,185,71,189,van
20,170,187,77,182,van
20,153,185,77,183,van
18,133,128,72,189,van
19,137,158,68,191,van
20,161,186,75,184,van
18,143,174,69,192,van
20,158,177,79,184,van
20,165,188,73,185,van
20,156,173,76,183,van
20,163,176,97,184,van
18,142,170,71,192,van
19,153,165,75,184,van
20,158,178,74,183,van
18,145,162,75,187,van
17,140,150,63,199,van
19,145,163,72,187,van
19,150,134,67,195,van
19,153,187,74,185,van
20,160,185,76,183,van
18,140,126,64,201,van
20,158,164,75,183,van
19,148,182,70,192,van
17,132,129,72,186,van
18,140,121,64,196,van
18,139,123,62,201,van
18,145,156,78,184,van
17,135,145,64,199,van
19,149,174,67,192,van
18,134,124,71,189,van
18,145,159,63,203,van
18,136,127,67,193,van
19,143,158,72,189,van
17,129,135,79,181,van
18,134,119,62,201,van
18,134,140,68,194,van
18,139,130,67,192,van
20,165,176,77,182,van
19,155,187,135,188,van
17,128,112,64,199,van
18,140,157,86,176,van
18,137,124,63,201,van
18,144,179,71,191,van
19,148,174,71,188,van
17,125,138,85,180,van
19,144,150,65,196,van
17,127,112,64,200,van
20,155,188,75,184,van
20,159,176,72,186,van
20,149,182,68,192,van
19,152,199,70,189,van
20,151,176,76,184,van
20,159,186,75,184,van
20,159,184,70,187,van
19,150,164,73,185,van
18,142,162,65,197,van
20,163,188,76,184,van
20,160,177,78,183,van
17,128,136,88,180,van
19,144,161,72,187,van
19,147,143,65,196,van
18,143,157,78,184,van
18,144,134,72,186,van
18,141,139,80,183,van
17,129,152,78,184,van
20,164,187,78,182,van
17,139,150,62,204,van
19,141,143,70,190,van
17,144,160,66,193,van
18,146,156,70,190,van
19,148,182,69,194,van
18,141,149,77,184,van
