@relation vehicle

@attribute Radius_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
127,7,66,196,van
114,7,87,183,van
162,8,70,199,van
150,8,72,196,van
131,7,74,190,van
136,11,77,191,van
136,11,73,196,van
143,7,62,209,van
137,7,63,206,van
147,6,61,208,van
145,9,73,197,van
144,9,75,195,van
137,11,76,193,van
133,6,66,198,van
178,10,70,197,van
126,6,64,202,van
159,8,67,203,van
163,9,64,206,van
105,5,86,183,van
166,10,66,203,van
306,49,118,194,van
129,6,65,203,van
129,6,64,204,van
160,9,70,199,van
148,8,68,201,van
121,9,77,191,van
136,6,64,203,van
164,9,68,202,van
150,8,71,195,van
162,8,63,210,van
144,10,72,197,van
165,8,67,204,van
141,9,72,200,van
163,11,74,195,van
133,10,75,196,van
164,10,68,201,van
114,7,85,182,van
123,5,73,190,van
126,8,78,183,van
170,9,65,206,van
113,6,79,185,van
174,9,65,204,van
136,10,74,197,van
140,6,63,206,van
142,9,69,197,van
142,11,76,192,van
134,6,76,188,van
152,7,75,191,van
150,10,67,201,van
139,7,63,208,van
166,9,66,202,van
138,8,69,192,van
109,6,80,185,van
135,12,75,195,van
250,55,99,199,van
164,9,70,201,van
147,10,74,197,van
139,11,75,191,van
146,9,69,195,van
164,8,64,208,van
231,46,91,196,van
322,48,97,194,van
145,6,65,203,van
130,5,72,194,van
147,11,76,193,van
167,8,71,199,van
150,7,69,196,van
132,10,78,191,van
154,9,71,197,van
155,8,63,209,van
138,7,64,207,van
148,9,70,200,van
143,11,74,193,van
117,7,78,184,van
176,10,66,202,van
143,8,71,196,van
137,11,75,194,van
157,11,74,195,van
111,5,82,183,van
141,9,72,199,van
169,9,67,204,van
161,10,73,195,van
149,9,72,198,van
149,10,75,196,van
141,8,73,196,van
150,9,69,201,van
175,12,69,200,van
125,10,78,191,van
124,6,79,185,van
131,6,65,199,van
139,8,67,201,van
159,10,75,194,van
119,4,78,186,van
142,10,71,200,van
120,8,80,183,van
121,5,82,183,van
174,10,69,202,van
117,6,86,182,van
112,5,85,184,van
138,10,77,191,van
111,7,85,183,van
137,10,76,192,van
124,7,77,185,van
150,7,64,205,van
133,11,77,192,van
110,3,89,184,van
123,7,78,185,van
140,11,74,193,van
160,25,67,202,van
137,6,78,187,van
161,12,76,196,van
157,8,64,209,van
145,11,77,194,van
161,10,65,205,van
162,10,75,195,van
151,8,62,208,van
131,9,72,194,van
133,11,76,193,van
119,5,75,187,van
163,10,73,195,van
139,11,76,195,van
157,9,67,202,van
149,8,62,209,van
121,7,75,186,van
141,11,75,192,van
160,10,68,199,van
157,9,64,207,van
170,9,64,207,van
162,9,64,207,van
166,10,67,202,van
133,11,74,192,van
133,8,70,194,van
140,7,64,208,van
144,8,62,210,van
149,11,75,193,van
153,8,62,209,van
158,10,64,206,van
158,9,71,201,van
160,8,63,207,van
113,3,88,183,van
116,6,74,190,van
172,9,67,200,van
162,10,74,196,van
161,8,71,199,van
111,8,80,184,van
115,5,81,184,van
333,49,135,196,van
139,6,73,188,van
154,9,71,199,van
125,7,73,191,van
162,11,71,198,van
125,8,74,185,van
131,11,77,193,van
140,7,61,207,van
139,8,73,196,van
125,7,81,184,van
151,8,66,200,van
126,6,67,198,van
157,8,65,203,van
117,4,85,183,van
125,10,76,193,van
162,11,74,193,van
133,7,78,186,van
159,9,70,200,van
162,10,70,199,van
126,9,71,190,van
150,11,73,194,van
151,7,72,194,van
114,6,86,183,van
143,11,75,193,van
138,7,72,193,van
125,5,69,194,van
144,7,65,204,van
160,11,72,196,van
147,9,66,201,van
143,9,66,202,van
110,2,90,183,van
116,7,84,183,van
150,10,67,201,van
155,8,69,193,saab
192,9,70,197,saab
144,6,63,206,saab
126,7,72,187,saab
213,11,70,197,saab
137,7,76,187,saab
135,5,70,191,saab
203,11,68,200,saab
153,7,61,209,saab
202,10,71,196,saab
223,10,67,203,saab
197,11,64,204,saab
194,10,67,201,saab
151,8,64,205,saab
189,11,70,201,saab
234,10,73,197,saab
186,11,71,202,saab
204,11,71,203,saab
210,11,71,197,saab
180,9,63,204,saab
201,12,62,208,saab
202,10,73,199,saab
161,7,71,193,saab
187,8,69,197,saab
197,9,65,203,saab
134,7,82,185,saab
206,9,70,198,saab
176,7,67,199,saab
171,9,60,209,saab
152,6,70,196,saab
147,8,64,201,saab
186,10,74,195,saab
172,8,61,209,saab
118,4,81,184,saab
195,9,66,199,saab
139,5,68,195,saab
162,8,63,205,saab
225,11,68,202,saab
192,9,66,205,saab
228,12,66,205,saab
195,8,68,199,saab
203,9,68,197,saab
195,10,66,205,saab
175,9,63,206,saab
156,8,70,192,saab
219,9,74,196,saab
136,6,71,195,saab
209,10,73,196,saab
178,8,68,202,saab
174,8,70,196,saab
200,10,72,198,saab
165,7,66,203,saab
194,10,62,208,saab
137,5,86,183,saab
208,9,68,200,saab
178,8,68,199,saab
195,10,67,200,saab
220,12,66,202,saab
148,5,80,185,saab
213,9,72,196,saab
211,9,68,202,saab
211,11,64,205,saab
197,11,67,202,saab
193,11,72,201,saab
231,11,71,196,saab
215,9,67,201,saab
182,11,72,198,saab
141,7,74,191,saab
132,6,71,192,saab
189,9,69,198,saab
200,7,66,202,saab
119,5,79,185,saab
180,8,69,195,saab
189,8,64,201,saab
188,9,66,201,saab
136,6,69,191,saab
136,6,77,186,saab
123,8,75,186,saab
207,12,73,205,saab
202,9,72,197,saab
209,11,64,207,saab
191,11,62,210,saab
130,5,74,188,saab
171,9,63,208,saab
149,7,69,194,saab
187,7,70,195,saab
167,7,68,196,saab
146,7,63,204,saab
225,12,70,200,saab
122,4,76,190,saab
131,4,85,183,saab
197,9,67,202,saab
177,7,70,199,saab
183,8,67,197,saab
206,11,67,201,saab
191,12,68,199,saab
189,10,70,198,saab
206,12,71,203,saab
202,10,70,203,saab
151,6,74,189,saab
184,6,66,203,saab
174,11,73,196,saab
132,6,83,184,saab
136,6,65,202,saab
115,6,77,185,saab
203,10,68,199,saab
197,11,64,205,saab
206,10,72,196,saab
199,11,72,198,saab
127,6,70,189,saab
104,4,83,185,saab
181,8,70,195,saab
213,12,71,199,saab
130,6,68,195,saab
183,8,72,195,saab
231,10,72,197,saab
222,11,71,199,saab
201,11,72,200,saab
157,7,65,201,saab
208,10,64,211,saab
205,11,71,199,saab
150,5,77,187,saab
196,10,73,197,saab
188,10,69,199,saab
154,6,71,191,saab
120,5,81,183,saab
217,10,68,197,saab
140,6,79,185,saab
182,12,72,201,saab
214,10,64,204,saab
209,10,70,199,saab
160,7,71,192,saab
191,9,70,198,saab
206,10,65,205,saab
222,12,70,201,saab
193,10,70,202,saab
142,7,72,191,saab
186,9,67,206,saab
215,10,69,199,saab
190,10,74,198,saab
209,8,70,196,saab
220,10,73,199,saab
228,12,67,204,saab
175,9,68,199,saab
161,7,67,198,saab
129,7,83,185,saab
191,9,62,205,saab
208,9,64,204,saab
192,9,65,201,saab
213,11,65,204,saab
169,8,67,199,saab
193,10,73,197,saab
158,7,61,207,saab
121,4,82,184,saab
176,7,67,198,saab
171,8,61,204,saab
170,7,68,200,saab
162,8,63,200,saab
219,11,68,201,saab
186,9,61,210,saab
192,9,61,208,saab
211,11,69,203,saab
191,8,67,199,saab
181,11,72,199,saab
201,12,71,198,saab
203,11,72,199,saab
114,4,86,182,saab
228,12,71,199,saab
184,9,73,197,saab
172,10,73,197,saab
140,7,82,185,saab
138,4,74,190,saab
165,8,60,211,saab
133,6,74,189,saab
174,7,70,195,saab
170,8,72,194,saab
213,12,65,205,saab
221,12,72,201,saab
162,7,69,195,saab
162,6,66,204,saab
201,11,65,206,saab
211,10,65,206,saab
166,8,72,191,saab
117,7,78,184,saab
202,11,61,208,saab
169,8,72,193,saab
187,9,63,207,saab
115,3,86,183,saab
132,7,75,188,saab
197,11,74,196,saab
212,11,71,197,saab
146,7,66,195,saab
220,11,70,201,saab
176,9,62,208,saab
201,9,73,197,saab
165,6,70,200,bus
173,4,83,184,bus
207,5,75,195,bus
187,6,77,189,bus
188,7,72,197,bus
160,7,81,188,bus
140,6,82,183,bus
122,7,84,183,bus
197,6,72,199,bus
193,5,68,204,bus
123,7,81,184,bus
116,6,85,182,bus
199,6,74,193,bus
184,6,71,202,bus
150,7,80,187,bus
133,7,81,184,bus
170,7,82,184,bus
216,6,73,197,bus
180,7,70,202,bus
205,52,127,183,bus
191,6,71,204,bus
141,7,80,187,bus
139,7,78,188,bus
135,8,80,185,bus
165,6,74,194,bus
199,6,72,204,bus
201,7,72,197,bus
184,7,77,187,bus
171,7,69,201,bus
203,7,72,200,bus
113,8,85,183,bus
197,6,74,198,bus
208,5,76,191,bus
155,22,75,191,bus
141,7,77,189,bus
204,6,69,203,bus
156,6,80,186,bus
165,7,71,193,bus
141,8,78,188,bus
137,6,75,191,bus
126,8,86,182,bus
169,6,84,183,bus
173,7,69,200,bus
161,4,85,183,bus
151,8,68,203,bus
174,7,68,205,bus
152,7,75,192,bus
185,6,83,184,bus
126,7,81,184,bus
188,5,77,190,bus
146,6,75,188,bus
198,5,79,191,bus
154,7,78,186,bus
122,6,87,182,bus
155,7,71,195,bus
148,7,80,185,bus
179,8,83,184,bus
164,7,66,204,bus
148,7,69,199,bus
173,7,68,206,bus
181,6,85,184,bus
190,7,67,206,bus
169,6,75,189,bus
180,6,72,200,bus
123,6,87,182,bus
173,7,65,208,bus
187,5,70,203,bus
118,7,82,185,bus
184,8,70,200,bus
186,6,71,203,bus
194,6,69,203,bus
171,6,71,195,bus
180,6,83,182,bus
171,7,68,200,bus
199,6,74,195,bus
187,7,70,201,bus
139,6,80,184,bus
152,6,71,196,bus
175,6,65,209,bus
160,7,69,198,bus
168,4,78,189,bus
159,6,67,200,bus
129,6,83,183,bus
127,8,85,182,bus
130,6,86,183,bus
154,4,82,184,bus
166,5,69,193,bus
189,4,82,186,bus
183,7,74,195,bus
123,7,83,183,bus
209,6,69,201,bus
191,6,85,184,bus
204,6,77,189,bus
186,7,67,206,bus
136,7,81,185,bus
121,7,85,182,bus
207,7,72,199,bus
162,5,72,195,bus
238,4,85,184,bus
177,19,76,189,bus
126,6,86,182,bus
191,6,69,202,bus
128,8,82,183,bus
205,5,72,197,bus
119,8,85,182,bus
120,7,81,184,bus
120,8,80,185,bus
148,6,75,187,bus
172,6,85,183,bus
203,5,78,189,bus
201,6,79,187,bus
154,22,88,185,bus
173,6,66,204,bus
169,7,76,187,bus
193,6,76,193,bus
185,7,68,205,bus
124,6,87,182,bus
113,7,88,182,bus
179,6,69,198,bus
183,6,85,183,bus
158,7,80,188,bus
195,7,69,206,bus
144,8,74,191,bus
194,6,78,192,bus
167,7,83,186,bus
169,7,67,207,bus
206,6,73,199,bus
130,7,82,185,bus
156,7,78,188,bus
130,7,81,185,bus
184,6,71,202,bus
123,7,81,182,bus
155,7,72,196,bus
154,7,76,189,bus
121,7,87,182,bus
235,6,86,184,bus
213,5,71,198,bus
194,6,85,183,bus
128,7,79,187,bus
130,8,79,186,bus
203,5,71,199,bus
193,6,70,204,bus
209,7,73,194,bus
192,5,70,202,bus
122,6,88,182,bus
170,6,71,191,bus
125,6,82,184,bus
123,8,81,184,bus
166,7,69,201,bus
199,7,80,184,bus
155,7,72,195,bus
120,8,85,183,bus
252,52,119,185,bus
156,7,75,193,bus
170,6,65,203,bus
179,6,69,201,bus
120,6,86,183,bus
185,7,72,199,bus
139,6,74,191,bus
130,7,81,186,bus
125,7,85,182,bus
199,5,72,200,bus
128,8,81,184,bus
194,6,80,186,bus
159,5,76,193,bus
120,7,85,182,bus
161,5,75,196,bus
132,7,83,182,bus
185,6,66,205,bus
186,8,67,206,bus
141,7,84,184,bus
169,7,71,197,bus
183,7,74,191,bus
191,6,73,197,bus
149,8,77,188,bus
165,7,72,195,bus
159,6,73,190,bus
120,7,85,182,bus
177,5,74,198,bus
148,7,76,189,bus
123,6,85,182,bus
182,5,71,205,bus
246,6,82,185,bus
199,7,69,203,bus
207,6,75,194,bus
164,5,84,182,bus
227,4,88,182,bus
186,6,73,197,bus
152,7,74,190,bus
198,6,68,198,bus
171,6,72,201,bus
180,7,77,190,bus
219,7,74,195,bus
128,8,82,184,bus
137,7,81,183,bus
177,5,87,181,bus
186,10,73,195,opel
178,9,63,206,opel
203,9,68,198,opel
145,7,67,197,opel
121,4,87,183,opel
209,11,72,199,opel
194,8,74,192,opel
197,9,67,200,opel
222,12,72,195,opel
204,9,72,195,opel
204,10,66,201,opel
201,9,74,194,opel
164,8,70,196,opel
172,8,71,198,opel
206,9,62,205,opel
111,6,82,184,opel
197,10,63,204,opel
189,10,71,197,opel
203,11,71,197,opel
216,11,73,196,opel
196,9,69,199,opel
214,9,74,193,opel
121,5,74,187,opel
