@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R2,5,7,10,16-19'

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Minor_kurtosis numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
46,68,152,148,11,189,195,bus
48,68,208,154,38,190,202,opel
44,52,152,147,2,180,185,bus
46,58,159,160,4,183,194,van
43,55,130,146,8,190,194,van
42,54,148,141,14,180,182,bus
47,55,157,160,9,182,192,van
49,74,190,154,7,195,195,bus
53,63,195,162,5,191,198,opel
46,66,151,146,0,186,190,bus
55,68,218,173,10,188,199,saab
39,59,150,134,16,184,193,opel
48,64,156,153,14,185,196,van
48,68,199,150,11,192,194,bus
49,64,208,158,24,190,202,saab
39,64,166,138,19,197,205,saab
35,57,116,123,27,183,190,saab
36,64,157,126,20,192,198,opel
47,66,156,158,15,183,195,van
49,54,212,153,23,190,189,bus
41,61,150,138,8,182,185,saab
33,57,112,119,21,181,183,saab
55,69,215,168,16,188,199,saab
47,53,157,165,7,182,191,van
39,63,175,132,23,191,198,saab
40,56,118,137,8,193,199,van
35,58,126,128,19,199,207,van
46,61,166,154,9,198,207,saab
44,75,146,141,1,194,201,bus
57,56,260,175,21,182,183,bus
40,63,146,135,10,192,196,bus
47,60,155,155,5,185,196,van
41,64,177,134,4,196,198,bus
44,65,153,156,17,194,203,van
47,68,154,146,3,188,194,bus
37,60,161,131,0,188,192,opel
52,53,212,163,11,186,194,opel
48,62,200,158,22,192,202,opel
38,59,134,126,23,179,188,opel
38,60,170,134,28,191,199,saab
45,64,161,151,2,194,201,saab
45,56,159,156,21,183,193,van
41,65,183,137,24,193,200,opel
53,63,220,167,24,188,197,opel
49,63,177,156,5,192,198,opel
51,60,195,161,10,192,201,saab
44,63,137,146,9,188,194,van
55,67,218,174,22,191,202,opel
54,48,247,165,1,181,182,bus
45,69,156,144,5,193,198,bus
54,56,223,174,29,187,201,opel
40,58,136,138,0,187,188,van
39,48,135,139,8,183,182,van
38,56,118,129,2,184,186,van
39,69,168,133,22,186,192,opel
43,59,152,143,11,193,198,saab
51,65,201,159,7,193,193,bus
36,64,160,125,31,195,203,saab
38,53,134,132,24,188,198,opel
34,57,138,122,29,204,210,opel
40,56,133,135,2,187,191,saab
44,64,148,145,1,181,183,bus
41,56,141,141,8,202,209,saab
38,62,149,129,21,188,193,saab
55,67,206,167,19,187,196,saab
35,54,119,121,1,180,183,van
41,63,175,142,30,197,206,opel
46,66,162,155,4,184,193,van
38,66,164,131,22,200,202,bus
38,59,153,129,1,187,192,saab
52,55,210,166,2,187,194,opel
43,105,139,145,9,190,199,van
52,68,222,165,28,188,199,opel
51,51,217,165,25,188,188,bus
46,66,151,147,4,195,204,van
51,69,183,156,1,189,196,saab
52,71,214,164,16,187,196,opel
46,65,196,146,8,186,194,opel
44,53,151,146,16,180,185,bus
39,48,134,141,20,183,184,van
46,59,150,146,3,185,191,bus
38,55,142,128,2,180,183,saab
39,54,135,131,6,187,190,opel
47,70,162,153,6,200,205,bus
36,53,135,126,4,181,182,saab
