@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,8,10,19'

@attribute Compactness numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
88,43,148,bus
101,32,154,opel
82,44,147,bus
93,43,160,van
91,51,146,van
85,46,141,bus
89,44,160,van
98,34,154,bus
101,34,162,opel
87,44,146,bus
104,31,173,saab
85,45,134,opel
94,43,153,van
100,32,150,bus
106,32,158,saab
98,40,138,saab
84,59,123,saab
90,42,126,opel
93,44,158,van
104,31,153,bus
86,45,138,saab
85,61,119,saab
101,31,168,saab
85,44,165,van
91,38,132,saab
89,56,137,van
89,53,128,van
100,40,154,saab
87,45,141,bus
113,26,175,bus
89,45,135,bus
90,43,155,van
96,36,134,bus
93,44,156,van
86,43,146,bus
97,41,131,opel
101,31,163,opel
103,33,158,opel
80,51,126,opel
86,39,134,saab
89,41,151,saab
85,43,156,van
91,36,137,opel
106,30,167,opel
91,37,156,opel
101,34,161,saab
91,48,146,van
104,30,174,opel
106,27,165,bus
94,41,144,bus
103,30,174,opel
93,49,138,van
90,51,139,van
86,57,129,van
88,40,133,opel
94,43,143,saab
100,32,159,bus
90,41,125,saab
85,51,132,opel
88,48,122,opel
86,50,135,saab
86,45,145,bus
96,47,141,saab
89,45,129,saab
98,32,167,saab
86,57,121,van
103,38,142,opel
95,42,155,van
99,39,131,bus
89,43,129,saab
99,32,166,opel
82,48,145,van
100,30,165,opel
105,30,165,bus
93,44,147,van
93,36,156,saab
102,31,164,opel
91,34,146,opel
80,45,146,bus
96,52,141,van
83,44,146,bus
79,48,128,saab
83,49,131,opel
100,40,153,bus
82,50,126,saab
