@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,5,12,17-19'

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
84,59,221,179,183,van
94,69,344,199,206,bus
89,64,356,185,196,van
94,54,366,183,194,van
119,65,675,192,202,saab
91,59,404,199,208,saab
96,50,269,183,183,van
92,62,466,192,200,opel
73,54,227,176,184,opel
94,54,242,195,196,van
94,55,430,190,195,opel
87,56,321,179,182,bus
82,126,326,181,185,bus
102,65,576,193,191,bus
108,64,711,188,199,saab
99,68,524,195,195,bus
85,63,307,187,196,van
85,65,330,184,191,bus
97,59,511,194,206,saab
87,64,264,193,201,van
106,57,670,192,206,opel
95,62,406,199,204,opel
94,67,313,194,202,van
89,58,273,186,187,van
103,60,518,198,208,saab
91,61,326,197,207,van
83,59,327,185,191,bus
89,52,351,183,191,van
83,65,309,188,195,bus
86,54,327,180,182,bus
91,69,340,195,201,bus
108,55,687,189,201,saab
89,58,349,186,197,van
109,58,776,187,186,bus
87,57,243,186,192,saab
99,63,521,191,199,saab
94,138,354,188,196,van
85,59,348,191,197,opel
96,51,255,181,182,van
84,54,327,185,191,saab
101,62,527,193,202,saab
97,64,426,192,198,opel
96,58,682,186,194,opel
105,62,711,189,200,saab
104,67,697,187,196,opel
86,59,301,189,196,van
93,64,383,192,199,saab
102,53,692,187,198,opel
85,56,339,182,187,saab
97,66,526,190,197,saab
95,70,430,200,206,bus
102,67,719,187,199,saab
92,48,277,182,183,van
113,62,613,193,204,saab
89,54,369,182,193,van
104,64,669,187,196,saab
80,56,240,183,191,opel
98,71,422,200,203,bus
86,59,203,199,204,van
80,57,191,179,183,opel
92,71,393,195,202,bus
85,53,193,179,185,saab
81,58,259,177,184,opel
102,63,513,195,204,opel
91,59,322,197,203,opel
82,68,337,183,188,bus
89,73,373,191,195,bus
105,60,545,196,205,saab
86,70,321,187,191,bus
105,61,586,192,200,saab
91,61,415,189,198,opel
85,56,233,184,194,opel
96,66,355,192,202,van
86,55,204,190,194,van
81,60,333,179,183,bus
87,59,327,185,188,bus
87,67,327,188,195,bus
111,61,636,196,205,saab
103,59,684,186,194,opel
92,71,350,195,200,bus
106,60,717,186,196,opel
95,62,478,198,206,opel
111,51,1018,181,183,bus
93,56,251,201,207,opel
93,64,422,188,195,saab
