@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R2,5,7,9-10,13,19'

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
37,59,123,17,125,133,van
43,69,150,19,142,177,bus
43,64,155,19,151,174,van
49,54,158,20,162,186,van
54,65,213,24,167,232,saab
45,59,163,20,148,179,saab
40,50,137,18,141,139,van
39,62,176,21,137,151,opel
37,54,126,18,128,147,opel
36,54,127,18,132,116,van
38,55,169,20,130,155,opel
44,56,149,19,144,171,bus
45,126,148,19,144,185,bus
45,65,194,22,146,167,bus
53,64,220,25,168,214,saab
48,68,185,22,153,171,bus
45,63,143,19,147,179,van
41,65,149,19,139,155,bus
42,59,186,22,138,168,saab
42,64,133,18,142,159,van
49,57,214,24,161,172,opel
45,62,164,20,145,178,opel
45,67,145,19,147,179,van
44,58,136,18,146,166,van
49,60,185,22,160,178,saab
43,61,149,19,157,140,van
46,59,148,19,146,183,bus
46,52,156,20,160,177,van
41,65,144,19,141,147,bus
42,54,150,19,140,172,bus
45,69,150,19,144,179,bus
52,55,216,24,171,214,saab
47,58,153,19,151,186,van
52,58,227,25,158,217,bus
37,57,128,18,129,132,saab
43,63,186,22,144,166,saab
47,138,155,19,155,187,van
37,59,153,19,126,136,opel
39,51,133,18,139,150,van
38,54,149,19,132,149,saab
52,62,188,22,162,203,saab
47,64,168,20,150,182,opel
54,58,215,24,175,222,opel
51,62,220,25,163,202,saab
54,67,218,24,170,196,opel
38,59,142,18,131,138,van
45,64,160,20,147,188,saab
54,53,217,24,174,223,opel
40,56,152,19,134,160,saab
44,66,188,22,144,175,saab
47,70,167,20,152,185,bus
55,67,222,25,177,213,saab
40,48,139,19,140,148,van
48,62,203,23,151,183,saab
47,54,160,20,163,174,van
54,64,213,24,172,222,saab
36,56,128,18,124,133,opel
46,71,166,20,150,180,bus
39,59,116,17,135,145,van
34,57,114,17,119,121,opel
37,71,161,20,128,135,bus
33,53,115,17,118,127,saab
38,58,134,18,128,148,opel
43,63,185,22,142,139,opel
35,59,147,19,131,123,opel
43,68,151,19,145,173,bus
41,73,157,19,136,153,bus
51,60,191,22,162,194,saab
45,70,146,19,146,189,bus
45,61,198,23,149,186,saab
38,61,167,20,134,145,opel
36,56,127,18,125,123,opel
44,66,155,19,150,159,van
39,55,117,17,134,148,van
45,60,152,19,151,179,bus
42,59,149,19,142,156,bus
41,67,148,19,140,152,bus
53,61,207,23,167,216,saab
56,59,216,24,173,219,opel
39,71,152,19,131,143,bus
55,60,221,25,173,214,opel
49,62,178,21,154,171,opel
58,51,265,29,174,255,bus
34,56,130,18,120,114,opel
39,64,169,20,134,149,saab
