@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,8,10,13,15,18-19'

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Minor_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
74,43,148,192,5,195,bus
107,32,154,204,5,202,opel
72,44,147,177,2,185,bus
82,43,160,189,2,194,van
70,51,146,156,1,194,van
66,46,141,174,6,182,bus
84,44,160,176,5,192,van
84,34,154,209,4,195,bus
103,34,162,210,5,198,opel
71,44,146,189,2,190,bus
107,31,173,229,3,199,saab
77,45,134,133,0,193,opel
83,43,153,187,4,196,van
95,32,150,200,7,194,bus
106,32,158,184,1,202,saab
81,40,138,131,8,205,saab
53,59,123,128,10,190,saab
78,42,126,142,1,198,opel
85,44,158,178,7,195,van
89,31,153,198,1,189,bus
64,45,138,173,5,185,saab
40,61,119,127,12,183,saab
108,31,168,214,2,199,saab
75,44,165,176,1,191,van
88,38,132,156,0,198,saab
60,56,137,153,10,199,van
70,53,128,112,4,207,van
81,40,154,175,13,207,saab
70,45,141,178,6,201,bus
109,26,175,261,11,183,bus
72,45,135,145,4,196,bus
85,43,155,186,1,196,van
77,36,134,148,0,198,bus
90,44,156,143,9,203,van
75,43,146,190,7,194,bus
76,41,131,136,0,192,opel
105,31,163,204,12,194,opel
101,33,158,164,8,202,opel
64,51,126,135,1,188,opel
86,39,134,138,1,199,saab
77,41,151,174,4,201,saab
82,43,156,173,10,193,van
93,36,137,153,11,200,opel
98,30,167,214,10,197,opel
86,37,156,201,7,198,opel
98,34,161,219,0,201,saab
66,48,146,167,1,194,van
109,30,174,226,8,202,opel
105,27,165,243,12,182,bus
72,41,144,191,5,198,bus
107,30,174,200,0,201,opel
73,49,138,137,0,188,van
57,51,139,151,12,182,van
58,57,129,152,9,186,van
88,40,133,151,3,192,opel
69,43,143,187,12,198,saab
89,32,159,205,6,193,bus
85,41,125,139,9,203,saab
72,51,132,123,1,198,opel
69,48,122,120,9,210,opel
63,50,135,166,9,191,saab
70,45,145,185,10,183,bus
69,47,141,169,11,209,saab
77,45,129,153,6,193,saab
104,32,167,220,5,196,saab
44,57,121,137,6,183,van
83,38,142,138,7,206,opel
76,42,155,172,8,193,van
74,39,131,137,2,202,bus
82,43,129,137,1,192,saab
104,32,166,215,3,194,opel
70,48,145,172,4,199,van
109,30,165,207,7,199,opel
93,30,165,208,9,188,bus
85,44,147,179,0,204,van
90,36,156,230,6,196,saab
98,31,164,199,0,196,opel
101,34,146,199,5,194,opel
68,45,146,190,4,185,bus
64,52,141,139,7,184,van
68,44,146,183,5,191,bus
55,48,128,145,4,183,saab
69,49,131,162,16,190,opel
70,40,153,172,9,205,bus
51,50,126,144,15,182,saab
