@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Major_variance numeric
@attribute Minor_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
91,61,165,1,van
94,68,170,17,van
90,56,169,1,van
94,56,176,10,van
94,63,174,1,van
89,64,170,6,van
84,58,166,5,van
89,65,168,0,van
84,62,159,11,van
96,68,173,14,van
94,64,179,4,van
86,60,140,7,van
83,68,169,10,van
85,55,140,1,van
89,59,167,7,van
88,55,176,7,van
85,57,138,1,van
93,56,180,1,van
93,66,164,2,van
91,57,170,9,van
89,58,175,13,van
90,60,179,1,van
91,61,161,6,van
90,64,177,9,van
97,64,173,1,van
91,55,159,1,van
97,56,158,5,van
88,52,135,8,van
92,48,159,12,van
86,59,145,7,van
94,64,177,4,van
86,56,140,9,van
89,61,170,11,van
87,58,168,3,van
93,63,160,6,van
86,54,141,2,van
92,52,160,7,van
93,66,169,0,van
83,53,142,8,van
85,56,139,13,van
96,51,154,6,van
95,62,163,10,van
94,54,178,5,van
93,65,170,9,van
89,102,200,9,van
90,55,173,0,van
87,54,135,11,van
94,54,176,1,van
89,58,147,4,van
94,57,171,5,van
93,58,180,2,van
88,59,148,4,van
93,51,164,5,van
90,60,149,13,van
91,66,162,4,van
92,62,135,14,van
92,58,142,6,van
90,60,173,2,van
86,54,139,6,van
94,67,164,11,van
98,55,160,3,van
88,62,169,4,van
89,58,168,10,van
93,63,165,4,van
86,64,161,6,van
95,56,173,7,van
90,58,170,0,van
89,54,175,1,van
88,59,147,1,van
90,64,175,3,van
91,68,164,13,van
85,63,171,2,van
86,59,137,7,van
89,133,229,0,van
98,67,173,14,van
96,62,161,15,van
89,54,138,7,van
95,66,168,11,van
98,49,164,4,van
98,52,157,0,van
89,59,177,12,van
89,60,153,6,van
83,55,144,8,van
95,64,176,12,van
96,63,161,5,van
90,48,155,12,van
93,66,172,7,van
89,59,166,7,van
93,66,157,4,van
90,58,172,11,van
97,67,173,8,van
94,138,320,12,van
100,64,176,18,van
85,64,169,1,van
89,52,171,7,van
95,65,163,4,van
90,59,154,15,van
95,63,176,7,van
86,63,163,1,van
83,53,143,0,van
95,72,176,6,van
84,59,141,7,van
85,60,150,3,van
93,68,163,7,van
96,66,167,3,van
86,59,167,5,van
94,70,172,15,van
90,62,169,17,van
89,58,172,4,van
93,54,174,12,van
88,57,137,7,van
91,58,163,6,van
94,61,154,9,van
95,57,173,2,van
88,56,176,5,van
90,58,175,4,van
87,58,138,9,van
98,56,159,4,van
93,49,160,8,van
88,62,150,3,van
90,64,165,3,van
89,59,148,12,van
89,58,173,8,van
91,66,171,3,van
94,64,154,14,van
91,63,166,1,van
90,60,172,2,van
86,55,140,7,van
93,57,158,3,van
90,64,158,4,van
93,64,156,17,van
90,56,169,1,van
90,97,200,5,van
86,61,153,2,van
89,66,173,1,van
92,52,164,4,van
93,63,171,8,van
89,53,162,10,van
91,56,159,3,van
89,52,137,2,van
85,56,170,10,van
96,48,160,7,van
87,64,157,7,van
92,59,149,13,van
94,54,155,1,van
95,66,175,8,van
96,67,167,9,van
95,52,158,11,van
85,55,136,5,van
89,54,163,12,van
90,59,173,10,van
93,65,179,2,van
89,64,173,5,van
87,68,167,0,van
89,55,169,5,van
94,60,161,2,van
90,57,173,1,van
89,59,170,12,van
90,65,162,3,van
88,55,174,6,van
86,58,170,3,van
85,52,148,8,van
93,52,156,2,van
98,63,160,19,van
89,63,170,5,van
85,53,168,1,van
96,50,162,10,van
89,56,143,10,van
84,61,156,0,van
93,56,156,5,van
91,55,157,0,van
100,67,170,17,van
87,62,171,0,van
96,64,173,15,van
93,58,166,0,van
86,68,168,1,van
89,64,168,8,van
91,56,139,6,van
82,105,231,4,van
105,68,217,14,saab
110,57,226,18,saab
108,73,232,8,saab
93,59,186,6,saab
85,57,130,12,saab
93,64,180,11,saab
99,63,221,8,saab
108,55,229,10,saab
107,64,216,21,saab
104,65,207,3,saab
93,63,191,4,saab
90,58,172,3,saab
90,64,187,9,saab
94,59,175,12,saab
97,71,222,1,saab
92,66,181,4,saab
80,55,168,9,saab
89,62,174,6,saab
89,59,186,5,saab
108,62,216,12,saab
95,64,202,7,saab
