@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R6,9,12,17-19'

@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
9,19,330,189,199,van
9,18,266,194,202,van
7,18,307,192,199,bus
11,23,623,191,201,saab
7,19,355,189,195,saab
9,22,512,191,199,saab
5,18,247,183,187,opel
7,22,523,194,197,bus
7,19,342,193,197,bus
9,19,330,188,200,van
10,24,683,188,197,opel
6,19,308,185,189,saab
9,19,347,196,204,van
7,18,246,192,196,van
8,19,329,180,185,bus
9,19,314,190,200,van
5,17,192,182,187,opel
11,20,371,189,198,van
11,20,370,183,192,van
6,17,216,190,195,saab
7,19,331,196,203,saab
7,19,332,192,200,bus
8,19,360,203,209,saab
7,19,321,197,203,opel
11,24,661,190,200,opel
4,27,892,181,183,bus
6,17,221,178,185,opel
10,23,612,191,199,saab
11,25,727,190,198,opel
11,24,666,187,194,opel
9,19,325,188,198,van
6,22,531,197,198,bus
6,18,274,183,189,saab
11,24,704,188,197,saab
3,17,203,180,184,van
7,20,379,195,201,opel
11,25,716,187,196,opel
11,20,349,183,193,van
11,24,676,191,202,saab
8,22,521,193,198,opel
9,21,465,195,205,saab
7,19,336,180,184,bus
10,22,520,198,211,saab
10,25,737,187,196,opel
6,19,340,183,188,bus
10,21,504,189,197,opel
6,20,429,199,203,bus
7,19,341,184,187,bus
11,24,694,188,201,saab
6,23,636,192,192,bus
6,18,282,183,185,van
6,18,246,201,208,van
11,25,725,189,196,opel
6,19,338,181,186,bus
7,19,338,183,189,opel
10,24,663,191,201,opel
10,25,706,187,195,opel
7,28,904,179,186,bus
7,17,225,202,208,van
12,20,351,183,195,van
4,18,279,186,190,saab
8,18,291,189,196,van
7,21,462,189,199,opel
10,25,718,187,197,saab
12,25,709,190,205,saab
7,19,345,187,192,opel
7,19,318,183,188,saab
7,19,339,187,193,bus
11,25,752,187,198,opel
6,22,579,194,194,bus
7,19,324,180,183,bus
6,28,987,180,184,bus
7,19,331,184,190,bus
9,21,474,193,200,opel
10,20,357,187,195,van
10,23,621,188,197,saab
7,19,327,186,191,saab
9,22,552,189,197,saab
6,19,319,179,182,bus
7,20,396,186,192,saab
9,18,285,192,201,van
6,18,247,176,183,van
7,19,326,180,183,bus
7,19,346,201,208,bus
