@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
93,70,126,52,127,53,71,191,van
89,84,133,55,157,44,74,182,van
91,60,126,56,119,56,67,192,van
86,66,139,59,122,54,63,202,van
84,80,140,58,156,44,74,183,van
89,89,147,61,151,44,72,187,van
93,70,131,56,127,53,74,189,van
95,76,142,57,151,44,71,187,van
88,80,147,62,146,45,71,188,van
93,83,142,56,157,43,75,184,van
93,82,159,63,144,46,63,199,van
91,66,142,58,134,50,69,191,van
89,77,125,52,156,44,78,183,van
92,60,130,62,114,58,72,190,van
84,70,150,61,137,49,64,196,van
84,53,121,59,123,55,82,179,van
95,76,162,66,162,42,74,184,van
95,82,170,65,145,46,64,199,van
88,76,155,62,137,48,63,201,van
89,60,131,56,118,56,65,193,van
100,85,164,64,163,42,71,189,van
88,55,114,53,132,53,87,176,van
90,78,134,56,160,43,76,182,van
90,81,144,60,150,44,75,185,van
86,62,140,61,122,54,64,200,van
87,52,116,54,115,58,74,186,van
86,75,136,58,161,43,75,183,van
86,68,150,64,138,48,69,192,van
94,91,175,70,157,43,69,190,van
90,57,114,48,135,51,85,183,van
95,92,159,63,160,42,70,189,van
89,76,125,54,156,44,76,184,van
89,70,137,58,136,49,78,186,van
93,64,123,51,135,51,78,185,van
93,85,163,66,156,44,74,183,van
90,80,143,62,159,43,74,185,van
89,80,131,54,160,43,77,182,van
85,57,126,56,114,58,64,197,van
83,59,116,53,132,52,84,177,van
86,60,140,60,119,55,61,200,van
90,85,145,58,152,44,73,186,van
91,66,151,63,137,48,72,188,van
85,64,129,57,116,57,65,196,van
98,66,130,55,130,51,69,191,van
93,73,139,58,136,49,73,187,van
86,58,119,56,118,57,78,184,van
96,88,174,68,155,43,69,194,van
85,75,121,53,157,44,77,182,van
89,66,125,53,131,51,73,188,van
94,68,150,64,128,52,69,192,van
95,82,139,56,159,43,75,182,van
87,53,117,58,118,57,85,180,van
90,66,157,65,137,48,67,193,van
93,63,139,57,132,50,67,193,van
98,68,121,49,134,51,75,186,van
90,72,157,64,137,48,65,196,van
85,68,119,52,128,53,75,182,van
86,62,129,59,116,57,64,199,van
85,71,150,63,143,46,72,187,van
93,85,161,65,155,43,76,184,van
92,58,136,58,122,55,64,197,van
90,72,157,64,136,49,64,201,van
88,60,143,59,128,52,62,202,van
90,86,306,126,153,44,118,185,van
83,53,114,53,132,53,86,176,van
90,85,161,64,163,42,73,185,van
86,70,143,61,133,50,66,194,van
95,84,158,62,145,46,64,199,van
89,84,141,58,149,45,72,188,van
89,78,150,63,160,43,73,185,van
96,77,160,62,140,47,62,201,van
89,85,149,59,158,43,75,183,van
96,64,111,48,134,52,80,183,van
93,75,124,51,140,49,77,184,van
83,62,113,53,122,55,79,181,van
88,66,133,57,123,54,66,193,van
91,80,162,66,148,44,70,189,van
94,85,160,63,158,43,68,189,van
94,87,137,54,158,43,75,183,van
93,90,166,65,153,44,66,194,van
95,88,162,64,159,43,71,189,van
91,70,133,55,130,51,70,190,van
94,66,147,62,131,50,66,196,van
90,73,137,58,161,43,76,182,van
93,88,170,66,150,45,65,196,van
87,66,139,58,140,47,73,188,van
88,51,105,52,119,57,86,179,van
90,85,157,64,161,43,74,185,van
93,82,145,58,159,43,77,183,van
96,88,160,64,151,44,70,192,van
98,68,136,56,131,52,72,186,van
94,68,127,54,127,52,66,195,van
87,81,162,68,146,46,70,189,van
83,73,161,68,142,46,71,191,van
97,66,151,64,128,52,66,195,van
97,91,161,63,151,45,65,197,van
86,76,143,59,142,47,71,189,van
93,64,158,68,134,49,71,192,van
93,84,150,63,156,44,73,185,van
89,84,163,66,159,43,72,186,van
94,87,159,64,157,43,75,183,van
89,51,111,54,120,56,82,181,van
96,70,120,50,137,50,80,183,van
92,70,124,52,139,49,79,183,van
90,63,144,59,131,50,65,197,van
89,81,246,102,155,44,90,183,van
96,87,169,67,154,44,67,192,van
90,62,147,60,128,52,61,201,van
85,68,145,60,130,51,65,195,van
89,85,160,64,155,43,72,185,van
96,85,166,66,155,43,67,192,van
85,51,115,56,119,57,81,181,van
84,70,145,62,136,48,68,194,van
94,82,136,54,155,43,74,186,van
98,78,160,63,142,47,63,201,van
93,85,133,54,155,44,75,184,van
97,62,133,56,130,52,78,184,van
91,66,131,56,126,53,72,191,van
85,47,110,55,117,57,89,180,van
89,74,135,59,157,44,79,184,van
88,84,135,55,155,44,75,183,van
94,66,151,61,133,50,62,201,van
97,88,173,67,157,43,67,192,van
86,58,125,55,117,57,69,190,van
94,83,162,64,156,43,74,185,van
97,87,164,64,156,43,68,192,van
96,58,117,51,133,52,86,181,van
94,85,333,138,155,43,135,188,van
91,84,141,57,149,45,72,189,van
86,44,110,54,119,57,90,180,van
88,85,139,56,157,43,76,184,van
89,58,137,58,122,54,63,199,van
93,64,165,69,136,49,67,193,van
90,73,136,58,161,42,77,183,van
93,85,169,66,151,44,67,195,van
94,84,138,57,156,44,77,182,van
92,66,125,52,139,50,81,182,van
93,62,117,49,131,52,78,184,van
90,78,143,60,161,43,75,184,van
91,88,157,61,149,45,64,197,van
89,85,147,58,153,44,74,186,van
89,70,138,58,126,53,64,199,van
85,82,133,56,159,43,76,183,van
94,87,162,64,157,43,75,184,van
88,53,113,57,118,57,88,180,van
91,64,148,61,129,51,68,194,van
90,85,149,60,155,43,75,185,van
94,81,166,67,145,46,66,194,van
87,64,150,64,133,50,67,193,van
90,69,152,64,135,49,75,187,van
91,77,153,59,139,48,62,201,van
82,70,250,105,139,48,99,190,van
98,88,176,67,158,43,66,194,van
93,78,164,66,139,48,64,201,van
85,66,123,55,120,56,73,186,van
94,82,137,56,159,43,76,183,van
87,64,150,64,133,50,67,193,van
95,85,174,66,153,44,65,196,van
90,85,141,57,159,43,75,182,van
96,80,162,63,146,46,64,199,van
90,81,231,97,150,45,91,186,van
91,70,160,66,140,47,67,192,van
83,49,112,55,122,55,85,180,van
86,78,164,68,142,46,70,190,van
85,73,167,69,143,46,71,190,van
91,82,164,68,143,46,68,191,van
89,77,159,65,144,46,70,190,van
89,68,141,59,139,47,73,189,van
89,51,109,52,118,57,80,181,van
90,78,142,59,160,43,76,183,van
94,85,163,68,157,44,73,187,van
87,81,149,62,147,45,72,188,van
92,66,111,48,139,50,85,182,van
90,77,132,56,157,44,78,182,van
91,78,148,61,147,45,70,189,van
86,60,115,54,119,56,72,186,van
89,79,154,64,144,46,71,188,van
92,82,163,63,146,45,64,199,van
88,64,151,62,130,51,63,203,van
109,104,199,60,215,31,67,189,saab
89,54,119,53,134,50,79,184,saab
91,79,176,59,163,40,62,199,saab
105,108,234,70,215,31,68,189,saab
101,98,194,60,195,34,67,192,saab
93,86,180,59,167,39,63,197,saab
105,105,184,57,211,31,71,186,saab
96,100,178,58,181,37,68,192,saab
85,75,132,54,147,46,75,183,saab
93,81,177,64,160,41,70,192,saab
108,109,182,55,216,31,72,189,saab
89,80,169,59,161,41,68,192,saab
