@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,5,10-11,14,17-19'

@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
73,65,143,176,66,200,204,bus
62,61,127,141,64,200,208,van
79,71,154,196,71,197,199,bus
77,58,142,165,64,198,205,saab
86,126,156,272,118,185,194,van
104,67,151,227,74,186,193,opel
103,66,163,222,66,191,201,opel
83,60,134,197,72,188,194,saab
84,75,138,189,69,196,201,bus
100,59,158,218,70,191,198,saab
87,64,161,179,75,184,195,van
105,68,148,223,69,191,202,opel
82,63,140,165,64,199,206,van
70,62,143,176,76,186,189,bus
104,60,147,222,73,189,197,saab
107,64,174,221,67,189,200,opel
64,69,136,161,67,193,204,van
74,58,136,174,70,187,196,saab
90,60,131,209,71,190,198,opel
104,71,172,226,71,189,196,saab
71,56,149,172,81,180,186,bus
74,60,128,177,61,197,204,saab
58,58,140,146,63,199,206,van
68,61,143,170,74,185,191,bus
57,56,135,134,64,197,202,van
101,62,180,225,71,186,196,opel
66,62,127,159,66,196,201,van
53,58,121,137,70,185,189,saab
54,55,127,146,81,180,184,saab
88,66,151,197,66,195,202,saab
103,69,147,220,73,187,194,opel
66,54,127,148,72,183,187,saab
72,72,133,184,70,200,204,bus
91,63,148,166,65,197,205,van
78,61,152,168,70,189,200,van
77,59,145,181,75,184,189,opel
100,67,162,280,88,182,182,bus
109,67,162,238,72,189,199,opel
83,63,154,205,70,189,195,saab
64,64,141,157,67,193,201,van
78,62,123,161,66,194,202,opel
108,54,172,220,68,190,201,opel
72,56,123,158,63,200,206,saab
70,54,145,169,81,181,184,bus
69,57,126,154,66,193,203,opel
70,56,145,177,82,181,185,bus
64,51,144,164,78,185,185,van
75,75,147,178,72,192,199,bus
74,59,133,178,63,198,204,opel
71,64,141,169,67,195,200,bus
66,52,133,170,87,180,183,opel
71,68,143,171,78,181,186,bus
89,71,145,204,71,195,198,bus
103,72,177,223,72,186,195,opel
109,57,174,229,70,189,201,saab
71,61,134,178,63,196,208,saab
76,62,137,156,63,201,209,van
61,53,144,169,85,179,182,bus
105,61,157,217,64,193,207,saab
70,74,143,180,76,186,189,bus
66,64,129,148,66,195,200,van
105,68,169,221,71,189,196,opel
104,56,167,226,72,189,199,saab
59,53,137,145,84,177,183,van
66,57,144,147,66,193,198,van
71,70,141,167,71,188,193,bus
104,66,148,210,68,190,200,saab
66,58,137,164,77,182,186,saab
77,59,139,159,62,201,209,van
70,70,148,183,69,200,203,bus
103,62,155,227,72,189,198,saab
98,61,165,246,79,188,187,bus
101,65,168,216,72,187,198,saab
73,69,148,173,71,190,199,van
55,53,139,142,87,176,183,van
98,63,156,232,77,189,189,bus
92,62,148,202,64,195,203,opel
70,66,134,167,69,193,201,bus
105,64,155,212,64,193,202,opel
93,67,161,214,72,188,195,opel
63,55,130,137,64,195,201,opel
72,69,131,189,70,200,202,bus
96,65,143,217,71,190,197,opel
72,64,144,159,65,196,203,van
